S_ime,R_time,Processors,Sigma
0.000000,106607.591588,2,0.245417
1798.885641,609.868524,2,0.972174
2945.390197,239765.644046,4,0.560986
5301.718057,1909630.024506,29,0.880554
9508.570924,249.683609,44,0.752653
11746.975393,51.450537,20,0.453731
28491.943768,4279.627460,30,0.464040
37354.345127,73.004690,83,1.134929
48696.877226,23782.358458,4,1.169688
55803.895603,7875.513685,26,0.146437
71937.473639,1922612.569522,2,1.691955
75346.824174,449264.118556,4,0.438828
95262.785368,17046.868851,5,1.433392
98816.774044,282.612500,121,0.879695
111122.549380,3773256.224095,4,1.075416
111495.773795,60.758572,141,0.968447
116746.631758,1094816.623412,296,1.274554
150325.577086,5893.515684,5,0.512425
173127.268249,12801.415947,2,0.774593
176724.580397,120.502455,8,0.994014
207505.089588,5674442.942760,10,0.565415
210584.646817,860.443287,17,1.111541
216497.726705,330.250258,18,1.013811
254763.726003,88615.496744,4,0.551172
257294.656162,9540.146716,5,1.697329
267930.708126,117069.936364,307,1.433619
276370.877695,2571533.440289,296,1.691546
290628.888476,186377.875841,8,1.469098
324347.514421,2828.314343,9,1.027437
344190.342395,75239.703979,12,0.756208
361878.547747,294.414563,5,0.916120
400690.927964,7068873.066942,44,1.901678
405074.792822,12287.639053,10,1.185098
414992.693481,10664753.037708,247,1.472275
449757.630995,2733066.985544,360,0.797668
452590.746357,110575.592560,202,0.352298
457079.755528,6772.100958,3,1.819047
478041.561994,27813961.899666,78,1.529392
493148.529638,16019.411856,8,1.235920
499069.625219,34.931494,305,0.954853
506302.585360,52678.632007,34,0.946808
507983.842839,898.032853,23,1.426432
517081.301262,6738.560860,165,1.163059
521755.339237,1339630.724646,5,0.722286
544705.977149,243573.672238,377,0.909749
544836.144263,42.353004,6,1.810925
577948.602495,13833.784208,2,1.231706
578230.290847,26393.979282,3,0.946907
584208.188700,20889277.470525,38,0.818877
585705.903076,60.102209,5,0.233691
588971.158038,859.037850,2,1.403179
602472.501662,630037.612668,112,1.175320
616895.800240,307525.149608,2,0.668241
617596.070540,2091.603708,100,0.205654
618436.301751,673993.099784,83,1.017181
636118.789777,6516.160418,4,0.915404
641726.305316,459.192097,110,1.345087
650628.751119,47540605.279439,43,0.425924
669196.526730,33753.309206,4,0.455021
677880.453035,249.366537,3,0.407656
678804.690250,147.163741,413,1.257874
709174.387848,6040438.573778,2,0.493794
716429.969301,7843880.414129,24,0.563694
726387.295086,1325317.746273,24,0.035886
755838.874967,498.427973,17,0.568106
770466.910461,1564714.093573,45,0.832186
771920.351678,3207.406775,2,1.691556
775525.980395,18467458.541708,155,1.511337
801032.606411,1439.706501,2,1.227968
807814.939153,32.202806,7,0.121882
823203.855685,155.493572,6,1.414277
827186.657199,51864361.180856,3,0.629308
850792.485308,373.969766,101,0.427123
854765.307109,27673994.085937,390,1.027640
879079.256538,221476.770008,461,0.278341
885903.686074,634869.321592,6,1.712024
899057.294861,113.163058,255,1.157831
912458.828527,1422.975471,154,0.959988
930410.983057,178288.088663,142,1.891246
932475.347776,351645.405143,117,1.581026
941324.565471,16768797.962601,135,0.885978
985783.653427,58700580.202366,101,0.572462
993901.314776,166799.238988,409,0.757459
996643.469530,603340.434238,19,1.185723
