id,Arrival,Start,Completion,No_of_expansion,No_of_shrinkage,Wait_time,Turn_around_time
10001,15340149,15340149,15340386,0,0,0,237
10002,15340547,15340547,15340769,0,0,0,222
10003,15341035,15341035,15341523,0,0,0,488
10010,15342571,15342571,15343379,0,0,0,808
10015,15344541,15344541,15344699,0,0,0,158
10004.0,15341724.0,15341724.0,15344707.757682277,1.0,0.0,0.0,2983.7576822768897
10016,15345138,15345138,15345285,0,0,0,147
10018,15345789,15345789,15345935,0,0,0,146
10011,15343404,15343404,15346696,0,0,0,3292
10019.0,15346646.0,15346646.0,15346750.14671308,1.0,0.0,0.0,104.14671307988465
10021.0,15346981.0,15346981.0,15347162.36639154,1.0,0.0,0.0,181.36639153957367
10023,15347412,15347412,15347567,0,0,0,155
10024,15347750,15347750,15347908,0,0,0,158
10027,15348061,15348061,15348197,0,0,0,136
10030,15349258,15349258,15349362,0,0,0,104
10031,15349677,15349677,15349823,0,0,0,146
10032,15349967,15349967,15350114,0,0,0,147
10033,15350201,15350201,15350347,0,0,0,146
10034,15350516,15350516,15350578,0,0,0,62
10035,15350549,15350549,15350778,0,0,0,229
10012.0,15343583.0,15343583.0,15354359.038695918,1.0,0.0,0.0,10776.038695918396
10025.0,15347933.0,15347933.0,15359104.46163808,1.0,0.0,0.0,11171.461638079956
10009,15342523,15342523,15361466,0,0,0,18943
10014,15344473,15344473,15365233,0,0,0,20760
10028,15348404,15348404,15369519,0,0,0,21115
10036.0,15356030.0,15356030.0,15372680.450673407,1.0,0.0,0.0,16650.450673406944
10037.0,15358258.0,15358258.0,15374605.805142505,1.0,0.0,0.0,16347.805142505094
10022,15347151,15347151,15374663,0,0,0,27512
10029,15348988,15348988,15375613,0,0,0,26625
10020,15346758,15346758,15376995,0,0,0,30237
10049,15374630,15374630,15377032,0,0,0,2402
10043.0,15369005.0,15369005.0,15379312.078112703,1.0,0.0,0.0,10307.078112702817
10050.0,15375535.0,15375535.0,15379651.687784405,1.0,0.0,0.0,4116.687784405425
10053.0,15376994.0,15376994.0,15379863.872762294,1.0,0.0,0.0,2869.872762294486
10052,15376962,15376962,15380094,0,0,0,3132
10039,15365705,15365705,15386176,0,0,0,20471
10040,15365759,15365759,15386197,0,0,0,20438
10045,15369476,15369476,15390326,0,0,0,20850
10056,15383325,15383325,15391133,0,0,0,7808
10008.0,15342341.0,15342341.0,15391741.096652484,1.0,0.0,0.0,49400.09665248357
10041,15368300,15368300,15392216,0,0,0,23916
10042,15368325,15368325,15392225,0,0,0,23900
10005.0,15342163.0,15342163.0,15392236.402105484,1.0,0.0,0.0,50073.40210548416
10051,15376809,15376809,15395351,0,0,0,18542
