id,Arrival,Start,Completion,No_of_expansion,No_of_shrinkage,Wait_time,Turn_around_time
1001.0,1249933.0,1249933.0,1250094.8268345112,1.0,0.0,0.0,161.82683451124467
1004.0,1250171.0,1250171.0,1250305.0,0.0,0.0,0.0,134.0
1006.0,1251427.0,1251427.0,1251666.0,0.0,0.0,0.0,239.0
1007.0,1251676.0,1251676.0,1251904.0,0.0,0.0,0.0,228.0
1008.0,1252013.0,1252013.0,1252295.0,0.0,0.0,0.0,282.0
1009.0,1252739.0,1252739.0,1252960.0,0.0,0.0,0.0,221.0
1010.0,1253324.0,1253324.0,1253546.0,0.0,0.0,0.0,222.0
1011.0,1254067.0,1254067.0,1254283.0,0.0,0.0,0.0,216.0
1012.0,1254300.0,1254300.0,1254883.0,0.0,0.0,0.0,583.0
1013.0,1254848.0,1254848.0,1255176.0,0.0,0.0,0.0,328.0
1014.0,1255237.0,1255237.0,1255518.5846240125,1.0,0.0,0.0,281.5846240124665
1016.0,1258266.0,1258266.0,1258349.0,0.0,0.0,0.0,83.0
1018.0,1258626.0,1258626.0,1258713.0,0.0,0.0,0.0,87.0
1019.0,1259252.0,1259252.0,1259345.0,0.0,0.0,0.0,93.0
1021.0,1260892.0,1260892.0,1260979.0,0.0,0.0,0.0,87.0
1022.0,1262655.0,1262655.0,1262739.0,0.0,0.0,0.0,84.0
1023.0,1262788.0,1262788.0,1262872.0,0.0,0.0,0.0,84.0
1024.0,1263062.0,1263062.0,1263178.0,0.0,0.0,0.0,116.0
1025.0,1263757.0,1263757.0,1264657.0,0.0,0.0,0.0,900.0
1027.0,1266055.0,1266055.0,1266235.0,0.0,0.0,0.0,180.0
1028.0,1266365.0,1266365.0,1268465.0,0.0,0.0,0.0,2100.0
1043.0,1278328.0,1278328.0,1278434.0,0.0,0.0,0.0,106.0
1057.0,1278331.0,1278331.0,1278434.455513712,1.0,0.0,0.0,103.45551371201873
1044.0,1278328.0,1278328.0,1278498.0,0.0,0.0,0.0,170.0
1063.0,1278332.0,1278332.0,1278514.0,0.0,0.0,0.0,182.0
1045.0,1278328.0,1278328.0,1278516.1759366216,1.0,0.0,0.0,188.1759366216138
1064.0,1278332.0,1278332.0,1278525.0,0.0,0.0,0.0,193.0
1065.0,1278332.0,1278332.0,1278870.9716255064,1.0,0.0,0.0,538.9716255064122
1077.0,1279241.0,1279241.0,1279310.742569317,1.0,0.0,0.0,69.74256931710988
1020.0,1259446.0,1259446.0,1283833.0,0.0,0.0,0.0,24387.0
1015.0,1255499.0,1255499.0,1287479.0,0.0,0.0,0.0,31980.0
1026.0,1265971.0,1265971.0,1290286.0,0.0,0.0,0.0,24315.0
1002.0,1250028.0,1250028.0,1298662.7577426524,1.0,0.0,0.0,48634.75774265244
1068.0,1278333.0,1278333.0,1299373.1136289772,1.0,0.0,0.0,21040.11362897721
1070.0,1278333.0,1278333.0,1299782.4057736036,1.0,0.0,0.0,21449.40577360359
1066.0,1278332.0,1278332.0,1299896.5979935136,1.0,0.0,0.0,21564.59799351357
1069.0,1278333.0,1278333.0,1299912.0792785145,1.0,0.0,0.0,21579.079278514488
1075.0,1278334.0,1278334.0,1300055.3733981028,1.0,0.0,0.0,21721.37339810282
