id,Arrival,Start,Completion,No_of_expansion,No_of_shrinkage,Wait_time,Turn_around_time
10001,15340149,15340149,15340386,0,0,0,237
10002,15340547,15340547,15340769,0,0,0,222
10003,15341035,15341035,15341523,0,0,0,488
10010,15342571,15342571,15343379,0,0,0,808
10015,15344541,15344541,15344699,0,0,0,158
10004.0,15341724.0,15341724.0,15344804.647451637,1.0,0.0,0.0,3080.6474516373128
10011.0,15343404.0,15343404.0,15345110.619854528,1.0,0.0,0.0,1706.619854528457
10016,15345138,15345138,15345285,0,0,0,147
10018,15345789,15345789,15345935,0,0,0,146
10019.0,15346646.0,15346646.0,15346778.961598089,1.0,0.0,0.0,132.96159808896482
10021.0,15346981.0,15346981.0,15347162.200915383,1.0,0.0,0.0,181.20091538317502
10023,15347412,15347412,15347567,0,0,0,155
10024,15347750,15347750,15347908,0,0,0,158
10027,15348061,15348061,15348197,0,0,0,136
10030,15349258,15349258,15349362,0,0,0,104
10031,15349677,15349677,15349823,0,0,0,146
10032,15349967,15349967,15350114,0,0,0,147
10033,15350201,15350201,15350347,0,0,0,146
10034,15350516,15350516,15350578,0,0,0,62
10035,15350549,15350549,15350778,0,0,0,229
10009.0,15342523.0,15342523.0,15352599.620470699,1.0,0.0,0.0,10076.620470698923
10012.0,15343583.0,15343583.0,15354528.619684894,1.0,0.0,0.0,10945.619684893638
10025.0,15347933.0,15347933.0,15359224.613696998,1.0,0.0,0.0,11291.613696997985
10028.0,15348404.0,15348404.0,15359776.327136517,1.0,0.0,0.0,11372.327136516571
10014,15344473,15344473,15365233,0,0,0,20760
10036.0,15356030.0,15356030.0,15372438.736716196,1.0,0.0,0.0,16408.73671619594
10037.0,15358258.0,15358258.0,15374423.764461664,1.0,0.0,0.0,16165.764461664483
10022,15347151,15347151,15374663,0,0,0,27512
10029,15348988,15348988,15375613,0,0,0,26625
10049.0,15374630.0,15374630.0,15375872.77298084,1.0,0.0,0.0,1242.7729808408767
10039.0,15365705.0,15365705.0,15376252.531916965,1.0,0.0,0.0,10547.5319169648
10020,15346758,15346758,15376995,0,0,0,30237
10040.0,15365759.0,15365759.0,15377102.68708611,1.0,0.0,0.0,11343.687086109072
10052.0,15376962.0,15376962.0,15378575.917359754,1.0,0.0,0.0,1613.9173597544432
10043.0,15369005.0,15369005.0,15379304.63632849,1.0,0.0,0.0,10299.636328490451
10050.0,15375535.0,15375535.0,15379881.796929112,1.0,0.0,0.0,4346.796929111704
10053.0,15376994.0,15376994.0,15379982.709913768,1.0,0.0,0.0,2988.7099137678742
10045.0,15369476.0,15369476.0,15380587.12616075,1.0,0.0,0.0,11111.126160750166
