id,Arrival,Start,Completion,No_of_expansion,No_of_shrinkage,Wait_time,Turn_around_time
1001,1249933,1249933,1250142,0,0,0,209
1004,1250171,1250171,1250305,0,0,0,134
1006,1251427,1251427,1251666,0,0,0,239
1007,1251676,1251676,1251904,0,0,0,228
1008,1252013,1252013,1252295,0,0,0,282
1009,1252739,1252739,1252960,0,0,0,221
1010,1253324,1253324,1253546,0,0,0,222
1011,1254067,1254067,1254283,0,0,0,216
1012,1254300,1254300,1254883,0,0,0,583
1013,1254848,1254848,1255176,0,0,0,328
1014,1255237,1255237,1255518,0,0,0,281
1016,1258266,1258266,1258349,0,0,0,83
1018,1258626,1258626,1258713,0,0,0,87
1019,1259252,1259252,1259345,0,0,0,93
1021,1260892,1260892,1260979,0,0,0,87
1022,1262655,1262655,1262739,0,0,0,84
1023,1262788,1262788,1262872,0,0,0,84
1024,1263062,1263062,1263178,0,0,0,116
1025,1263757,1263757,1264657,0,0,0,900
1027,1266055,1266055,1266235,0,0,0,180
1028,1266365,1266365,1268465,0,0,0,2100
1043,1278328,1278328,1278434,0,0,0,106
1044,1278328,1278328,1278498,0,0,0,170
1063,1278332,1278332,1278514,0,0,0,182
1057,1278331,1278331,1278524,0,0,0,193
1064,1278332,1278332,1278525,0,0,0,193
1045,1278328,1278328,1278687,0,0,0,359
1077,1279241,1279241,1279346,0,0,0,105
1065,1278332,1278332,1279386,0,0,0,1054
1020,1259446,1259446,1283833,0,0,0,24387
1015,1255499,1255499,1287479,0,0,0,31980
1026,1265971,1265971,1290286,0,0,0,24315
1017,1258471,1258471,1301187,0,0,0,42716
1082,1315914,1315914,1319247,0,0,0,3333
1081,1315886,1315886,1319256,0,0,0,3370
1066,1278332,1278332,1320929,0,0,0,42597
1068,1278333,1278333,1320961,0,0,0,42628
1067,1278332,1278332,1321033,0,0,0,42701
1069,1278333,1278333,1321394,0,0,0,43061
1070,1278333,1278333,1321473,0,0,0,43140
1071,1278333,1278333,1321938,0,0,0,43605
1072,1278333,1278333,1322031,0,0,0,43698
1073,1278334,1278334,1322147,0,0,0,43813
1075,1278334,1278334,1322152,0,0,0,43818
1076,1278334,1278334,1322232,0,0,0,43898
1074,1278334,1278334,1322302,0,0,0,43968
1029,1278324,1278324,1322746,0,0,0,44422
1031,1278325,1278325,1322933,0,0,0,44608
1030,1278324,1278324,1323110,0,0,0,44786
1032,1278325,1278325,1323772,0,0,0,45447
1033,1278325,1278325,1323834,0,0,0,45509
1034,1278325,1278325,1323983,0,0,0,45658
1078,1279268,1279268,1324142,0,0,0,44874
1035,1278326,1278326,1324224,0,0,0,45898
1036,1278326,1278326,1324494,0,0,0,46168
1037,1278326,1278326,1324680,0,0,0,46354
1038,1278326,1278326,1324691,0,0,0,46365
1039,1278327,1278327,1324716,0,0,0,46389
1040,1278327,1278327,1324925,0,0,0,46598
1052,1278330,1278330,1325966,0,0,0,47636
1053,1278330,1278330,1326028,0,0,0,47698
1041,1278327,1278327,1326047,0,0,0,47720
1054,1278330,1278330,1326353,0,0,0,48023
1055,1278330,1278330,1327502,0,0,0,49172
1058,1278331,1278331,1328443,0,0,0,50112
1042,1278327,1278327,1328656,0,0,0,50329
1046,1278329,1278329,1328742,0,0,0,50413
1059,1278331,1278331,1328860,0,0,0,50529
1047,1278329,1278329,1329241,0,0,0,50912
1060,1278331,1278331,1329347,0,0,0,51016
1061,1278331,1278331,1329836,0,0,0,51505
1048,1278329,1278329,1329945,0,0,0,51616
1049,1278329,1278329,1330514,0,0,0,52185
1062,1278331,1278331,1330686,0,0,0,52355
1050,1278329,1278329,1331260,0,0,0,52931
1088,1329524,1329524,1331861,0,0,0,2337
1051,1278329,1278329,1332006,0,0,0,53677
1079,1279304,1279304,1332107,0,0,0,52803
1056,1278330,1278330,1332380,0,0,0,54050
1090,1332446,1332446,1334629,0,0,0,2183
1005,1250435,1250435,1336835,0,0,0,86400
1086,1319247,1319247,1338123,0,0,0,18876
1085,1319243,1319243,1338239,0,0,0,18996
1092,1339534,1339534,1340434,0,0,0,900
1091,1335064,1335064,1340641,0,0,0,5577
1003,1250120,1250120,1340898,0,0,0,90778
1093,1340875,1340875,1341477,0,0,0,602
1002,1250028,1250028,1342942,0,0,0,92914
1106,1342971,1342971,1343041,0,0,0,70
1107,1342971,1342971,1343074,0,0,0,103
1142,1342995,1342995,1343107,0,0,0,112
1144,1350322,1350322,1350366,0,0,0,44
1143,1343085,1343085,1355625,0,0,0,12540
1148,1353465,1353465,1366198,0,0,0,12733
1084,1316037,1316037,1368391,0,0,0,52354
1083,1315982,1315982,1370227,0,0,0,54245
1150,1372668,1372668,1372784,0,0,0,116
1080,1313115,1313115,1377291,0,0,0,64176
1087,1319503,1319503,1379738,0,0,0,60235
1089,1332287,1332287,1382542,0,0,0,50255
1149,1372298,1372298,1383555,0,0,0,11257
1146,1350385,1350385,1394098,0,0,0,43713
1147,1353428,1353428,1394515,0,0,0,41087
1108,1342971,1342971,1398668,0,0,0,55697
1133,1342978,1342978,1400432,0,0,0,57454
1129,1342977,1342977,1400818,0,0,0,57841
1130,1342977,1342977,1400850,0,0,0,57873
1134,1342978,1342978,1401194,0,0,0,58216
1131,1342977,1342977,1401494,0,0,0,58517
1135,1342978,1342978,1402188,0,0,0,59210
1136,1342978,1342978,1402819,0,0,0,59841
1137,1342979,1342979,1402978,0,0,0,59999
1138,1342979,1342979,1403716,0,0,0,60737
1139,1342979,1342979,1403913,0,0,0,60934
1140,1342979,1342979,1404482,0,0,0,61503
1141,1342980,1342980,1404562,0,0,0,61582
1156,1406266,1406266,1406333,0,0,0,67
1158,1406414,1406414,1406664,0,0,0,250
1159,1406581,1406581,1406676,0,0,0,95
1160,1406781,1406781,1406876,0,0,0,95
1161,1407000,1407000,1407089,0,0,0,89
1123,1342974,1342974,1407154,0,0,0,64180
1162,1407559,1407559,1407652,0,0,0,93
1132,1342977,1342977,1407786,0,0,0,64809
1163,1411257,1411257,1411352,0,0,0,95
1166,1411565,1411565,1411653,0,0,0,88
1170,1411826,1411826,1411942,0,0,0,116
1145,1350342,1350342,1411984,0,0,0,61642
1171,1411989,1411989,1412095,0,0,0,106
1094,1342969,1342969,1413321,0,0,0,70352
1174,1413574,1413574,1413684,0,0,0,110
1175,1414061,1414061,1414167,0,0,0,106
1176,1414377,1414377,1414482,0,0,0,105
1177,1414811,1414811,1414915,0,0,0,104
1095,1342969,1342969,1415275,0,0,0,72306
1180,1415416,1415416,1415520,0,0,0,104
1173,1412126,1412126,1415550,0,0,0,3424
1181,1415570,1415570,1415666,0,0,0,96
1178,1415144,1415144,1415721,0,0,0,577
1096,1342969,1342969,1415779,0,0,0,72810
1182,1415695,1415695,1416159,0,0,0,464
1183,1416236,1416236,1416667,0,0,0,431
1185,1416720,1416720,1417214,0,0,0,494
1099,1342970,1342970,1417498,0,0,0,74528
1186,1417261,1417261,1417693,0,0,0,432
1151,1376893,1376893,1418547,0,0,0,41654
1188,1418443,1418443,1418548,0,0,0,105
1100,1342970,1342970,1418661,0,0,0,75691
1187,1418328,1418328,1418772,0,0,0,444
1189,1418688,1418688,1418789,0,0,0,101
1101,1342970,1342970,1419172,0,0,0,76202
1102,1342970,1342970,1419283,0,0,0,76313
1190,1418896,1418896,1420260,0,0,0,1364
1097,1342969,1342969,1420669,0,0,0,77700
1103,1342970,1342970,1421126,0,0,0,78156
1104,1342970,1342970,1421188,0,0,0,78218
1105,1342970,1342970,1421571,0,0,0,78601
1098,1342969,1342969,1424125,0,0,0,81156
1192,1421643,1421643,1424736,0,0,0,3093
1117,1342973,1342973,1426013,0,0,0,83040
1172,1412047,1412047,1426683,0,0,0,14636
1194,1426895,1426895,1426993,0,0,0,98
1195,1427022,1427022,1427113,0,0,0,91
1196,1427214,1427214,1427318,0,0,0,104
1193,1424722,1424722,1427690,0,0,0,2968
1191,1419118,1419118,1431603,0,0,0,12485
1118,1342973,1342973,1435034,0,0,0,92061
1112,1342972,1342972,1436246,0,0,0,93274
1124,1342974,1342974,1436291,0,0,0,93317
1125,1342974,1342974,1436291,0,0,0,93317
1126,1342974,1342974,1436302,0,0,0,93328
1127,1342974,1342974,1436302,0,0,0,93328
1128,1342974,1342974,1436302,0,0,0,93328
1109,1342971,1342971,1436310,0,0,0,93339
1113,1342972,1342972,1436322,0,0,0,93350
1114,1342972,1342972,1436322,0,0,0,93350
1115,1342972,1342972,1436333,0,0,0,93361
1184,1416602,1416602,1437263,0,0,0,20661
1116,1342972,1342972,1441033,0,0,0,98061
1119,1342973,1342973,1449209,0,0,0,106236
1120,1342973,1342973,1449319,0,0,0,106346
1110,1342971,1342971,1449452,0,0,0,106481
1121,1342973,1342973,1449688,0,0,0,106715
1111,1342971,1342971,1452102,0,0,0,109131
1122,1342973,1342973,1464142,0,0,0,121169
1157,1406342,1406342,1466439,0,0,0,60097
1152,1379063,1379063,1470778,0,0,0,91715
1153,1379081,1379081,1471787,0,0,0,92706
1179,1415305,1415305,1472381,0,0,0,57076
1214,1436505,1436505,1487542,0,0,0,51037
1154,1392087,1392087,1488496,0,0,0,96409
1211,1436504,1436504,1490281,0,0,0,53777
1212,1436504,1436504,1492279,0,0,0,55775
1239,1493484,1493484,1494436,0,0,0,952
1201,1436501,1436501,1496094,0,0,0,59593
1169,1411795,1411795,1498396,0,0,0,86601
1197,1427385,1427385,1498645,0,0,0,71260
1202,1436501,1436501,1501505,0,0,0,65004
1241,1501168,1501168,1501976,0,0,0,808
1240,1501131,1501131,1504534,0,0,0,3403
1227,1459323,1459323,1504649,0,0,0,45326
1228,1459323,1459323,1504691,0,0,0,45368
1203,1436501,1436501,1507452,0,0,0,70951
1204,1436501,1436501,1509345,0,0,0,72844
1198,1427785,1427785,1514185,0,0,0,86400
1243,1515194,1515194,1515317,0,0,0,123
1246,1519032,1519032,1519074,0,0,0,42
1215,1436505,1436505,1520830,0,0,0,84325
1200,1436118,1436118,1524132,0,0,0,88014
1205,1436502,1436502,1525376,0,0,0,88874
1222,1436507,1436507,1525454,0,0,0,88947
1223,1436507,1436507,1527333,0,0,0,90826
1224,1436507,1436507,1527603,0,0,0,91096
1218,1436506,1436506,1531930,0,0,0,95424
1207,1436503,1436503,1532404,0,0,0,95901
1229,1459323,1459323,1533053,0,0,0,73730
1225,1439432,1439432,1534182,0,0,0,94750
1206,1436502,1436502,1534588,0,0,0,98086
1219,1436506,1436506,1535462,0,0,0,98956
1258,1535625,1535625,1535719,0,0,0,94
1259,1536062,1536062,1536162,0,0,0,100
1261,1536290,1536290,1536394,0,0,0,104
1226,1456168,1456168,1536520,0,0,0,80352
1220,1436506,1436506,1536796,0,0,0,100290
1221,1436506,1436506,1537846,0,0,0,101340
1208,1436503,1436503,1539530,0,0,0,103027
1216,1436505,1436505,1540112,0,0,0,103607
1209,1436503,1436503,1540121,0,0,0,103618
1210,1436503,1436503,1541600,0,0,0,105097
1230,1459323,1459323,1547741,0,0,0,88418
1217,1436505,1436505,1549205,0,0,0,112700
1213,1436504,1436504,1549433,0,0,0,112929
1251,1519649,1519649,1551004,0,0,0,31355
1270,1551514,1551514,1551616,0,0,0,102
1271,1551605,1551605,1551646,0,0,0,41
1272,1551698,1551698,1551740,0,0,0,42
1273,1552042,1552042,1552084,0,0,0,42
1274,1553055,1553055,1553148,0,0,0,93
1167,1411603,1411603,1553183,0,0,0,141580
1264,1551137,1551137,1553675,0,0,0,2538
1263,1551136,1551136,1554578,0,0,0,3442
1164,1411489,1411489,1554876,0,0,0,143387
1265,1551137,1551137,1556408,0,0,0,5271
1266,1551137,1551137,1556484,0,0,0,5347
1168,1411633,1411633,1556604,0,0,0,144971
1267,1551137,1551137,1556679,0,0,0,5542
1165,1411547,1411547,1557035,0,0,0,145488
1237,1459325,1459325,1559835,0,0,0,100510
1232,1459324,1459324,1568783,0,0,0,109459
1233,1459324,1459324,1569299,0,0,0,109975
1231,1459323,1459323,1569351,0,0,0,110028
1234,1459324,1459324,1569642,0,0,0,110318
1155,1406229,1406229,1572187,0,0,0,165958
1235,1459324,1459324,1577275,0,0,0,117951
1250,1519387,1519387,1577634,0,0,0,58247
1236,1459324,1459324,1581910,0,0,0,122586
1238,1459325,1459325,1587497,0,0,0,128172
1242,1503874,1503874,1587714,0,0,0,83840
1244,1515331,1515331,1588425,0,0,0,73094
1249,1519365,1519365,1588729,0,0,0,69364
1253,1519676,1519676,1597982,0,0,0,78306
1282,1599511,1599511,1599602,0,0,0,91
1283,1599807,1599807,1599895,0,0,0,88
1199,1431560,1431560,1604360,0,0,0,172800
1286,1607468,1607468,1607578,0,0,0,110
1287,1607712,1607712,1607754,0,0,0,42
1252,1519670,1519670,1612053,0,0,0,92383
1248,1519216,1519216,1617695,0,0,0,98479
1256,1529394,1529394,1618132,0,0,0,88738
1247,1519116,1519116,1621333,0,0,0,102217
1289,1629762,1629762,1629908,0,0,0,146
1280,1588546,1588546,1635867,0,0,0,47321
1275,1553291,1553291,1638065,0,0,0,84774
1254,1519682,1519682,1640515,0,0,0,120833
1255,1519690,1519690,1642803,0,0,0,123113
1268,1551137,1551137,1647040,0,0,0,95903
1309,1647019,1647019,1647126,0,0,0,107
1310,1647019,1647019,1647148,0,0,0,129
1276,1553303,1553303,1648558,0,0,0,95255
1277,1553316,1553316,1650386,0,0,0,97070
1269,1551137,1551137,1650833,0,0,0,99696
1279,1587769,1587769,1658950,0,0,0,71181
1327,1675745,1675745,1675837,0,0,0,92
1328,1676024,1676024,1676108,0,0,0,84
1245,1515447,1515447,1688247,0,0,0,172800
1329,1691544,1691544,1691661,0,0,0,117
1330,1695111,1695111,1695226,0,0,0,115
1331,1695404,1695404,1695529,0,0,0,125
1332,1695643,1695643,1695789,0,0,0,146
1333,1696283,1696283,1698083,0,0,0,1800
1257,1534447,1534447,1698089,0,0,0,163642
1288,1612322,1612322,1698124,0,0,0,85802
1291,1647014,1647014,1698434,0,0,0,51420
1294,1647015,1647015,1698477,0,0,0,51462
1285,1603988,1603988,1698714,0,0,0,94726
1334,1699123,1699123,1699216,0,0,0,93
1295,1647015,1647015,1702525,0,0,0,55510
1292,1647014,1647014,1703063,0,0,0,56049
1290,1630247,1630247,1703650,0,0,0,73403
1335,1703916,1703916,1704066,0,0,0,150
1336,1703951,1703951,1704097,0,0,0,146
1284,1603842,1603842,1704368,0,0,0,100526
1337,1704056,1704056,1705138,0,0,0,1082
1338,1704085,1704085,1706630,0,0,0,2545
1262,1536643,1536643,1706763,0,0,0,170120
1260,1536150,1536150,1707798,0,0,0,171648
1313,1647161,1647161,1724598,0,0,0,77437
1296,1647015,1647015,1729137,0,0,0,82122
1293,1647014,1647014,1729365,0,0,0,82351
1278,1569641,1569641,1742441,0,0,0,172800
1314,1649816,1649816,1742788,0,0,0,92972
1323,1650850,1650850,1746987,0,0,0,96137
1322,1650722,1650722,1748320,0,0,0,97598
1317,1650129,1650129,1748737,0,0,0,98608
1321,1650594,1650594,1749915,0,0,0,99321
1315,1649870,1649870,1750550,0,0,0,100680
1316,1650001,1650001,1751808,0,0,0,101807
1342,1748076,1748076,1752558,0,0,0,4482
1343,1752541,1752541,1752637,0,0,0,96
1299,1647016,1647016,1753864,0,0,0,106848
1300,1647016,1647016,1753882,0,0,0,106866
1301,1647016,1647016,1754085,0,0,0,107069
1304,1647017,1647017,1754749,0,0,0,107732
1305,1647017,1647017,1754802,0,0,0,107785
1297,1647015,1647015,1755378,0,0,0,108363
1318,1650241,1650241,1756012,0,0,0,105771
1345,1755958,1755958,1756161,0,0,0,203
1306,1647017,1647017,1757206,0,0,0,110189
1319,1650352,1650352,1758074,0,0,0,107722
1320,1650465,1650465,1758263,0,0,0,107798
1302,1647016,1647016,1759212,0,0,0,112196
1307,1647017,1647017,1764025,0,0,0,117008
1281,1598147,1598147,1764216,0,0,0,166069
1298,1647015,1647015,1764316,0,0,0,117301
1303,1647016,1647016,1765173,0,0,0,118157
1311,1647125,1647125,1769080,0,0,0,121955
1312,1647130,1647130,1769716,0,0,0,122586
1348,1772993,1772993,1773093,0,0,0,100
1350,1773080,1773080,1773231,0,0,0,151
1351,1773828,1773828,1773919,0,0,0,91
1352,1773886,1773886,1774026,0,0,0,140
1349,1773075,1773075,1774074,0,0,0,999
1308,1647017,1647017,1774155,0,0,0,127138
1359,1774587,1774587,1774736,0,0,0,149
1325,1665246,1698089,1783376,0,0,32843,118130
1339,1705409,1705409,1791809,0,0,0,86400
1340,1706864,1706864,1792104,0,0,0,85240
1324,1665215,1665215,1793572,0,0,0,128357
1387,1792039,1792039,1797447,0,0,0,5408
1391,1811354,1811354,1812082,0,0,0,728
1371,1786930,1786930,1813005,0,0,0,26075
1388,1792185,1792185,1821561,0,0,0,29376
1379,1788228,1788228,1831097,0,0,0,42869
1375,1788227,1788227,1831189,0,0,0,42962
1376,1788227,1788227,1831280,0,0,0,43053
1380,1788228,1788228,1831292,0,0,0,43064
1382,1788229,1788229,1831675,0,0,0,43446
1381,1788228,1788228,1831716,0,0,0,43488
1385,1788230,1788230,1831860,0,0,0,43630
1383,1788229,1788229,1831880,0,0,0,43651
1386,1788230,1788230,1832024,0,0,0,43794
1384,1788229,1788229,1832128,0,0,0,43899
1377,1788227,1788227,1843200,0,0,0,54973
1341,1748058,1748058,1843437,0,0,0,95379
1394,1849966,1849966,1852854,0,0,0,2888
1344,1752613,1752613,1853042,0,0,0,100429
1395,1850618,1850618,1853468,0,0,0,2850
1396,1850889,1850889,1853667,0,0,0,2778
1397,1851126,1851126,1853893,0,0,0,2767
1362,1786927,1786927,1872974,0,0,0,86047
1363,1786927,1786927,1876469,0,0,0,89542
1326,1668360,1706763,1879563,0,0,38403,211203
1361,1786926,1786926,1881103,0,0,0,94177
1378,1788227,1788227,1881834,0,0,0,93607
1398,1883498,1883498,1884079,0,0,0,581
1401,1886781,1886781,1886960,0,0,0,179
1402,1886816,1886816,1886963,0,0,0,147
1364,1786928,1786928,1892556,0,0,0,105628
1365,1786928,1786928,1892665,0,0,0,105737
1367,1786929,1786929,1894119,0,0,0,107190
1368,1786929,1786929,1895634,0,0,0,108705
1372,1786930,1786930,1897157,0,0,0,110227
1366,1786928,1786928,1897259,0,0,0,110331
1373,1786930,1786930,1908162,0,0,0,121232
1389,1811049,1811049,1909600,0,0,0,98551
1390,1811093,1811093,1911959,0,0,0,100866
