id,Arrival,Start,Completion,No_of_expansion,No_of_shrinkage,Wait_time,Turn_around_time
10001,15340149,15340149,15340386,0,0,0,237
10002,15340547,15340547,15340769,0,0,0,222
10003,15341035,15341035,15341523,0,0,0,488
10010,15342571,15342571,15343379,0,0,0,808
10015,15344541,15344541,15344699,0,0,0,158
10016,15345138,15345138,15345285,0,0,0,147
10018,15345789,15345789,15345935,0,0,0,146
10011,15343404,15343404,15346696,0,0,0,3292
10019,15346646,15346646,15346792,0,0,0,146
10021,15346981,15346981,15347169,0,0,0,188
10004,15341724,15341724,15347187,0,0,0,5463
10023,15347412,15347412,15347567,0,0,0,155
10024,15347750,15347750,15347908,0,0,0,158
10027,15348061,15348061,15348197,0,0,0,136
10030,15349258,15349258,15349362,0,0,0,104
10031,15349677,15349677,15349823,0,0,0,146
10032,15349967,15349967,15350114,0,0,0,147
10033,15350201,15350201,15350347,0,0,0,146
10034,15350516,15350516,15350578,0,0,0,62
10035,15350549,15350549,15350778,0,0,0,229
10009,15342523,15342523,15361466,0,0,0,18943
10012,15343583,15343583,15364290,0,0,0,20707
10014,15344473,15344473,15365233,0,0,0,20760
10025,15347933,15347933,15369051,0,0,0,21118
10028,15348404,15348404,15369519,0,0,0,21115
10022,15347151,15347151,15374663,0,0,0,27512
10029,15348988,15348988,15375613,0,0,0,26625
10020,15346758,15346758,15376995,0,0,0,30237
10049,15374630,15374630,15377032,0,0,0,2402
10053,15376994,15376994,15380067,0,0,0,3073
10052,15376962,15376962,15380094,0,0,0,3132
10050,15375535,15375535,15383362,0,0,0,7827
10039,15365705,15365705,15386176,0,0,0,20471
10040,15365759,15365759,15386197,0,0,0,20438
10036,15356030,15356030,15386323,0,0,0,30293
10037,15358258,15358258,15388310,0,0,0,30052
10043,15369005,15369005,15389792,0,0,0,20787
10045,15369476,15369476,15390326,0,0,0,20850
10056,15383325,15383325,15391133,0,0,0,7808
10041,15368300,15368300,15392216,0,0,0,23916
10042,15368325,15368325,15392225,0,0,0,23900
10051,15376809,15376809,15395351,0,0,0,18542
10046,15371221,15371221,15397691,0,0,0,26470
10047,15371693,15371693,15398275,0,0,0,26582
10048,15371703,15371703,15398317,0,0,0,26614
10063,15391061,15391061,15398915,0,0,0,7854
10058,15386135,15386135,15406507,0,0,0,20372
10057,15386106,15386106,15406534,0,0,0,20428
10061,15389749,15389749,15410452,0,0,0,20703
10062,15390255,15390255,15410951,0,0,0,20696
10064,15392144,15392144,15416194,0,0,0,24050
10065,15392182,15392182,15416198,0,0,0,24016
10059,15386279,15386279,15416447,0,0,0,30168
10044,15369286,15369286,15417211,0,0,0,47925
10060,15388272,15388272,15417962,0,0,0,29690
