id,Arrival,Start,Completion,No_of_expansion,No_of_shrinkage,Wait_time,Turn_around_time
10001,3565775,3565775,3565821,0,0,0,46
10002,3566023,3566023,3566069,0,0,0,46
10003,3566371,3566371,3566421,0,0,0,50
10004,3566603,3566603,3566648,0,0,0,45
10008.0,3567070.0,3567070.0,3567093.0510757123,1.0,0.0,0.0,23.051075712312013
10007.0,3567069.0,3567069.0,3567101.6648321315,1.0,0.0,0.0,32.664832131471485
10009,3567084,3567084,3567162,0,0,0,78
10010,3567290,3567290,3567336,0,0,0,46
10011,3567511,3567511,3567557,0,0,0,46
10012,3567829,3567829,3567876,0,0,0,47
10014.0,3568491.0,3568491.0,3568539.9165579393,1.0,0.0,0.0,48.91655793925747
10015.0,3568502.0,3568502.0,3568718.019455588,1.0,0.0,0.0,216.01945558795705
10016.0,3568708.0,3568708.0,3568781.0702473205,1.0,0.0,0.0,73.0702473204583
10017,3568764,3568764,3568817,0,0,0,53
10019,3568975,3568975,3569022,0,0,0,47
10006.0,3567043.0,3567043.0,3569060.3581884126,1.0,0.0,0.0,2017.358188412618
10020.0,3569051.0,3569051.0,3569166.6009388273,1.0,0.0,0.0,115.60093882726505
10022,3569143,3569143,3569220,0,0,0,77
10021.0,3569101.0,3569101.0,3569364.2933018976,1.0,0.0,0.0,263.2933018975891
10018.0,3568955.0,3568955.0,3569480.4527539406,1.0,0.0,0.0,525.4527539405972
10013.0,3567904.0,3567904.0,3569717.4754973375,1.0,0.0,0.0,1813.4754973375238
10024.0,3569539.0,3569539.0,3569822.8517921832,1.0,0.0,0.0,283.851792183239
10027,3569926,3569926,3569961,0,0,0,35
10029.0,3570138.0,3570138.0,3570166.1642097267,1.0,0.0,0.0,28.164209726732224
10030.0,3570159.0,3570159.0,3570278.7869327012,1.0,0.0,0.0,119.78693270124495
10032.0,3570256.0,3570278.7869327012,3570311.7869327012,0.0,0.0,22.78693270124495,55.78693270124495
10033,3570454,3570454,3570499,0,0,0,45
10034,3570595,3570595,3570643,0,0,0,48
10035,3570671,3570671,3570701,0,0,0,30
10039.0,3570938.0,3570938.7224464784,3570976.7224464784,0.0,0.0,0.7224464784376323,38.72244647843763
10038.0,3570857.0,3570857.1412673322,3571079.1412673322,0.0,0.0,0.14126733224838972,222.1412673322484
10040.0,3571016.0,3571079.1412673322,3571117.1412673322,0.0,0.0,63.14126733224839,101.14126733224839
10036.0,3570717.0,3570717.0,3571149.9483745676,2.0,0.0,0.0,432.9483745675534
10005.0,3566852.0,3566852.0,3571181.4063635673,2.0,2.0,0.0,4329.406363567337
10041.0,3571163.0,3571181.4063635673,3571215.4063635673,0.0,0.0,18.406363567337394,52.406363567337394
10023.0,3569528.0,3569528.0,3571338.0169863813,1.0,0.0,0.0,1810.0169863812625
10031,3570236,3570236,3571457,0,0,0,1221
10042.0,3571431.0,3571431.0,3571463.96514346,1.0,0.0,0.0,32.96514345984906
10043.0,3571443.0,3571443.0,3571552.475476198,1.0,0.0,0.0,109.47547619789839
10044.0,3571498.0,3571498.0,3571612.8382442766,1.0,0.0,0.0,114.83824427658692
10046,3571608,3571608,3571659,0,0,0,51
10045.0,3571598.0,3571598.0,3571903.7418461577,1.0,0.0,0.0,305.74184615770355
10050,3572109,3572109,3572152,0,0,0,43
10047.0,3571841.0,3571841.0,3572175.091035922,1.0,0.0,0.0,334.0910359220579
10051,3572184,3572184,3572228,0,0,0,44
10053,3572604,3572604,3572694,0,0,0,90
10054,3572705,3572705,3572743,0,0,0,38
10052.0,3572512.0,3572512.0,3572790.132114411,1.0,0.0,0.0,278.13211441086605
10049.0,3571940.0,3571940.0,3572800.3264634386,1.0,0.0,0.0,860.3264634385705
10048.0,3571903.0,3571903.0,3573239.1388110006,1.0,0.0,0.0,1336.1388110006228
10059.0,3573213.0,3573239.1388110006,3573282.1388110006,0.0,0.0,26.13881100062281,69.13881100062281
10058.0,3573206.0,3573206.9778017593,3573291.305253524,1.0,0.0,0.9778017592616379,85.30525352386758
10056.0,3573166.0,3573166.0,3573596.742930999,0.0,1.0,0.0,430.7429309990257
10057.0,3573191.0,3573192.3846458457,3573750.1573367845,1.0,2.0,1.3846458457410336,559.1573367845267
10061.0,3573632.0,3573750.1573367845,3573923.6897065598,0.0,0.0,118.1573367845267,291.68970655975863
10055.0,3572996.0,3572996.0,3573969.178865285,2.0,1.0,0.0,973.1788652851246
10062.0,3573808.0,3573969.178865285,3574007.178865285,0.0,0.0,161.17886528512463,199.17886528512463
10037.0,3570757.0,3570757.0,3574416.7098548296,3.0,0.0,0.0,3659.7098548295908
10064,3574391,3574391,3574444,0,0,0,53
10063.0,3574167.0,3574167.0,3574466.7966869697,1.0,0.0,0.0,299.7966869696975
10068,3574578,3574578,3574609,0,0,0,31
10071.0,3574886.0,3574887.2350423974,3574965.2350423974,0.0,0.0,1.2350423973985016,79.2350423973985
10070.0,3574657.0,3574657.8057572055,3575156.2084034225,0.0,1.0,0.8057572054676712,499.2084034224972
10072.0,3575076.0,3575156.8347343584,3575192.8347343584,0.0,0.0,80.83473435835913,116.83473435835913
10066.0,3574507.0,3574507.0,3575220.0423570406,1.0,3.0,0.0,713.0423570405692
10074.0,3575216.0,3575220.0423570406,3575273.0423570406,0.0,0.0,4.042357040569186,57.042357040569186
10076.0,3575428.0,3575428.3046408435,3575508.3046408435,0.0,0.0,0.3046408435329795,80.30464084353298
10065.0,3574452.0,3574452.0,3575604.4279566132,1.0,1.0,0.0,1152.4279566132464
10075.0,3575341.0,3575341.7190722,3575726.245200378,0.0,1.0,0.7190721998922527,385.245200377889
10078.0,3575667.0,3575727.3997507044,3575768.3997507044,0.0,0.0,60.39975070441142,101.39975070441142
10028,3570115,3570115,3575812,0,0,0,5697
10079,3575775,3575812,3575828,0,0,37,53
10026,3569709,3569709,3575962,0,0,0,6253
10083.0,3575909.0,3575909.902338173,3575963.902338173,0.0,0.0,0.9023381727747619,54.90233817277476
10077.0,3575505.0,3575508.3046408435,3576034.4595593675,1.0,1.0,3.3046408435329795,529.459559367504
10080.0,3575821.0,3575828.0,3576059.8318334157,0.0,1.0,7.0,238.83183341566473
10069.0,3574642.0,3574643.5016369866,3576439.539935956,1.0,2.0,1.5016369866207242,1797.5399359557778
10086.0,3576082.0,3576082.5798074757,3576511.5798074757,0.0,0.0,0.5798074756748974,429.5798074756749
10081.0,3575830.0,3575830.9409637274,3576614.842847137,1.0,1.0,0.9409637274220586,784.8428471367806
10088.0,3576527.0,3576614.842847137,3576666.842847137,0.0,0.0,87.84284713678062,139.84284713678062
10060.0,3573609.0,3573609.2342806794,3576734.8589851703,4.0,3.0,0.23428067937493324,3125.8589851702563
10082.0,3575836.0,3575837.4754821593,3577049.2934598005,1.0,4.0,1.475482159294188,1213.2934598005377
10093.0,3576918.0,3577049.2934598005,3577064.2934598005,0.0,0.0,131.29345980053768,146.29345980053768
10090.0,3576753.0,3576753.452400815,3577136.3451220277,1.0,1.0,0.4524008152075112,383.34512202767655
10094.0,3577331.0,3577332.005028918,3577415.005028918,0.0,0.0,1.0050289179198444,84.00502891791984
10096.0,3577655.0,3577656.222813474,3577707.222813474,0.0,0.0,1.2228134740144014,52.2228134740144
10097.0,3577680.0,3577707.222813474,3577841.222813474,0.0,0.0,27.2228134740144,161.2228134740144
10099.0,3577892.0,3577893.345964767,3578180.076363892,0.0,1.0,1.3459647670388222,288.0763638918288
10067.0,3574531.0,3574531.0,3578331.280205914,5.0,3.0,0.0,3800.2802059138194
10101.0,3578049.0,3578050.0919638057,3578442.570969967,1.0,0.0,1.0919638057239354,393.57096996717155
10095.0,3577337.0,3577415.005028918,3578621.5033552083,2.0,1.0,78.00502891791984,1284.5033552083187
10104.0,3578601.0,3578621.5033552083,3578713.5033552083,0.0,0.0,20.50335520831868,112.50335520831868
10098.0,3577823.0,3577841.222813474,3578860.694849946,1.0,1.0,18.2228134740144,1037.6948499460705
10106.0,3578926.0,3578926.624134179,3579011.624134179,0.0,0.0,0.6241341792047024,85.6241341792047
10107.0,3579183.0,3579183.2506411844,3579274.2506411844,0.0,0.0,0.2506411843933165,91.25064118439332
10109.0,3579571.0,3579571.550127716,3579615.550127716,0.0,0.0,0.5501277158036828,44.55012771580368
10102.0,3578170.0,3578180.076363892,3579801.461834315,1.0,2.0,10.076363891828805,1631.4618343152106
10110.0,3579663.0,3579801.461834315,3579870.461834315,0.0,0.0,138.46183431521058,207.46183431521058
10084.0,3575945.0,3575962.0,3579905.485700166,4.0,6.0,17.0,3960.485700165853
10112.0,3579913.0,3579913.313034698,3579993.313034698,0.0,0.0,0.31303469790145755,80.31303469790146
10113.0,3580158.0,3580158.6924591865,3580631.6924591865,0.0,0.0,0.6924591865390539,473.69245918653905
10114.0,3580594.0,3580631.6924591865,3580715.0730384826,0.0,1.0,37.692459186539054,121.07303848257288
10115.0,3580665.0,3580666.284113154,3580720.508059802,0.0,1.0,1.2841131538152695,55.50805980199948
10100.0,3578037.0,3578037.785160221,3580770.0571438605,2.0,3.0,0.7851602211594582,2733.0571438604966
10105.0,3578706.0,3578713.5033552083,3581002.4420543974,1.0,2.0,7.5033552083186805,2296.4420543974265
10118.0,3580837.0,3581002.4420543974,3581076.7846509856,0.0,0.0,165.44205439742655,239.7846509856172
10119.0,3581048.0,3581076.7846509856,3581121.0351331406,0.0,0.0,28.78465098561719,73.0351331406273
10120.0,3581201.0,3581201.2869961504,3581250.2869961504,0.0,0.0,0.2869961503893137,49.286996150389314
10121.0,3581504.0,3581504.456465274,3581550.456465274,0.0,0.0,0.4564652740955353,46.456465274095535
10122.0,3581532.0,3581550.456465274,3582213.021117115,0.0,1.0,18.456465274095535,681.0211171149276
10111.0,3579814.0,3579870.461834315,3582238.2914650394,2.0,3.0,56.46183431521058,2424.291465039365
10125.0,3581939.0,3582213.021117115,3582301.616189219,0.0,0.0,274.0211171149276,362.61618921905756
10126.0,3582434.0,3582434.297132109,3582624.297132109,0.0,0.0,0.29713210882619023,190.2971321088262
10130.0,3583604.0,3583604.9330317783,3583844.9330317783,0.0,0.0,0.9330317783169448,240.93303177831694
10128.0,3582826.0,3582827.1456294106,3583983.224832201,0.0,1.0,1.1456294106319547,1157.224832200911
10129.0,3583549.0,3583983.224832201,3584022.8288518838,0.0,0.0,434.2248322009109,473.8288518837653
10131.0,3583613.0,3584022.8288518838,3584070.315107993,0.0,0.0,409.8288518837653,457.31510799285024
10132.0,3583970.0,3583983.4387443285,3584073.714703984,1.0,0.0,13.438744328450412,103.71470398409292
10133.0,3584058.0,3584070.315107993,3584228.946845561,1.0,0.0,12.315107992850244,170.94684556080028
10124.0,3581826.0,3581827.2602461693,3584424.551906673,2.0,3.0,1.2602461692877114,2598.551906672772
10073.0,3575211.0,3575212.6657300144,3584822.580737931,5.0,6.0,1.6657300144433975,9611.580737931188
10136.0,3584464.0,3584822.580737931,3584932.580737931,0.0,0.0,358.5807379311882,468.5807379311882
10134.0,3584169.0,3584230.5931573706,3585291.382544665,0.0,1.0,61.59315737057477,1122.3825446651317
10135.0,3584361.0,3584425.2190089473,3585323.7256811145,2.0,1.0,64.21900894725695,962.7256811144762
10137.0,3585212.0,3585212.5058929976,3585355.475589184,1.0,0.0,0.5058929976075888,143.4755891840905
10138.0,3585247.0,3585291.382544665,3585384.9230723134,1.0,0.0,44.38254466513172,137.9230723134242
10139.0,3585331.0,3585355.475589184,3585431.0630765664,1.0,0.0,24.475589184090495,100.06307656643912
10140.0,3585378.0,3585384.9230723134,3585501.9230723134,0.0,0.0,6.9230723134242,123.9230723134242
10143.0,3585994.0,3585994.916093571,3586107.916093571,0.0,0.0,0.9160935711115599,113.91609357111156
10091.0,3576801.0,3576801.8637859407,3586728.620650857,4.0,7.0,0.8637859406881034,9927.620650857221
10092.0,3576818.0,3576818.8751093526,3587131.8751093526,0.0,0.0,0.8751093526370823,10313.875109352637
10145.0,3586232.0,3586728.620650857,3587409.620650857,0.0,0.0,496.62065085722134,1177.6206508572213
10142.0,3585966.0,3585967.2337106685,3587503.188576417,0.0,1.0,1.233710668515414,1537.1885764170438
10144.0,3586118.0,3586119.084092064,3588107.8302905187,2.0,0.0,1.0840920638293028,1989.830290518701
10146.0,3587535.0,3588107.8302905187,3588774.8302905187,0.0,0.0,572.8302905187011,1239.830290518701
10127.0,3582515.0,3582625.138842356,3589478.638658573,7.0,5.0,110.13884235592559,6963.63865857292
10108.0,3579222.0,3579276.3797769947,3589561.874131476,8.0,6.0,54.37977699469775,10339.874131476041
10141.0,3585513.0,3585513.6743313028,3589776.811088769,3.0,2.0,0.674331302754581,4263.811088769231
10147.0,3589368.0,3589478.638658573,3590161.3620030438,1.0,0.0,110.63865857291967,793.3620030437596
10148.0,3590260.0,3590260.608651274,3590564.608651274,0.0,0.0,0.6086512738838792,304.6086512738839
10149.0,3590644.0,3590645.7151652696,3591063.7151652696,0.0,0.0,1.715165269561112,419.7151652695611
10150.0,3591117.0,3591117.685602125,3591192.685602125,0.0,0.0,0.6856021247804165,75.68560212478042
10153.0,3591887.0,3591887.4793098588,3593031.4793098588,0.0,0.0,0.47930985875427723,1144.4793098587543
10087.0,3576431.0,3589776.811088769,3594318.9048357876,4.0,4.0,13345.811088769231,17887.9048357876
10089.0,3576684.0,3594318.9048357876,3594482.9048357876,0.0,0.0,17634.9048357876,17798.9048357876
10157.0,3594527.0,3594527.590855048,3595095.590855048,0.0,0.0,0.5908550480380654,568.5908550480381
10156.0,3593825.0,3594318.9048357876,3595742.9907568004,0.0,1.0,493.90483578760177,1917.9907568003982
10159.0,3596989.0,3596989.64161321,3597119.64161321,0.0,0.0,0.6416132100857794,130.64161321008578
10103.0,3578485.0,3594482.9048357876,3603366.1518465816,0.0,2.0,15997.904835787602,24881.151846581604
10117.0,3580713.0,3603366.1518465816,3604316.3161604507,0.0,0.0,22653.151846581604,23603.31616045069
10123.0,3581800.0,3604316.3161604507,3604338.3555858163,0.0,0.0,22516.31616045069,22538.355585816316
10155.0,3593469.0,3604338.3555858163,3605052.7366284095,0.0,0.0,10869.355585816316,11583.736628409475
10154.0,3593085.0,3593086.133794119,3606831.286049599,3.0,2.0,1.1337941191159189,13746.286049598828
10161.0,3605210.0,3606831.286049599,3610669.286049599,0.0,0.0,1621.286049598828,5459.286049598828
10160.0,3600678.0,3605052.7366284095,3613266.012676883,2.0,0.0,4374.736628409475,12588.012676883023
10025.0,3569595.0,3569595.0,3614689.1267309044,5.0,9.0,0.0,45094.12673090445
10085.0,3576062.0,3576062.479398688,3617504.0848433236,6.0,10.0,0.47939868783578277,41442.084843323566
10162.0,3611226.0,3613266.012676883,3619659.012676883,0.0,0.0,2040.0126768830232,8433.012676883023
10152.0,3591801.0,3591801.8393833544,3621200.441622385,2.0,1.0,0.8393833544105291,29399.441622384824
10151.0,3591594.0,3591595.208048071,3621853.3964201743,2.0,2.0,1.208048070780933,30259.39642017428
