cores,time,running_job_len,pending_job_len
240,19397347,1,20
440,19399133,2,20
240,19399249,1,19
241,19401618,2,19
240,19402080,1,18
241,19402386,2,18
240,19402632,1,17
276,19402940,2,17
240,19403024,1,16
276,19403044,2,16
277,19403080,3,16
241,19403127,2,15
277,19403254,3,15
276,19403307,2,14
240,19403349,1,13
276,19403398,2,13
277,19403436,3,13
241,19403500,2,12
277,19403570,3,12
276,19403684,2,11
312,19403803,3,11
276,19403811,2,10
240,19403950,1,9
276,19403957,2,9
277,19403975,3,9
278,19404009,4,9
314,19404111,5,9
313,19404407,4,8
349,19404443,5,8
385,19404460,6,8
384,19404484,5,7
2419,19405647,6,7
2383,19405653,5,6
2384,19405681,6,6
2348,19405841,5,5
2277.0,19405867.450919114,4.0,4.0
2276,19406086,3,3
2240,19406109,2,2
240,19414804,1,1
0,19472047,0,0
