id,Arrival,Start,Completion,No_of_expansion,No_of_shrinkage,Wait_time,Turn_around_time
15002,19399133,19399133,19399249,0,0,0,116
15003,19401618,19401618,19402080,0,0,0,462
15004,19402386,19402386,19402632,0,0,0,246
15005.0,19402940.0,19402940.0,19403014.4352168,2.0,0.0,0.0,74.4352167993784
15006.0,19403044.0,19403044.0,19403128.44914614,1.0,1.0,0.0,84.44914614036679
15007.0,19403080.0,19403080.0,19403235.287672378,2.0,0.0,0.0,155.2876723781228
15008.0,19403254.0,19403254.0,19403342.993751943,4.0,0.0,0.0,88.99375194311142
15009.0,19403398.0,19403398.0,19403470.556253783,1.0,0.0,0.0,72.55625378340483
15010.0,19403436.0,19403436.0,19403614.8195558,1.0,0.0,0.0,178.81955580040812
15011.0,19403570.0,19403570.0,19403793.77439506,2.0,1.0,0.0,223.7743950597942
15012,19403803,19403803,19403950,0,0,0,147
15014.0,19403975.0,19403975.0,19404180.487734895,1.0,0.0,0.0,205.48773489519954
15015.0,19404009.0,19404009.0,19404270.051142864,3.0,0.0,0.0,261.0511428639293
15016.0,19404111.0,19404111.0,19405167.833052073,1.0,0.0,0.0,1056.833052072674
15013.0,19403957.0,19403957.0,19405562.15796307,1.0,1.0,0.0,1605.1579630710185
15017.0,19404443.0,19404443.0,19405787.431092687,2.0,0.0,0.0,1344.4310926869512
15018.0,19404460.0,19404460.0,19405802.23278555,2.0,1.0,0.0,1342.2327855490148
15020.0,19405681.0,19405681.0,19405950.627901595,2.0,0.0,0.0,269.62790159508586
15021,19405871,19405871,19406017,0,0,0,146
15022.0,19406472.0,19406472.0,19406795.289215177,3.0,0.0,0.0,323.2892151772976
15023.0,19406748.0,19406748.0,19407070.917460117,3.0,1.0,0.0,322.9174601174891
15024.0,19407496.0,19407496.0,19407642.637432612,2.0,0.0,0.0,146.63743261247873
15025,19407807,19407807,19407911,0,0,0,104
15026.0,19408190.0,19408190.0,19408309.593575176,1.0,0.0,0.0,119.59357517585158
15028.0,19408519.0,19408519.0,19408574.69301913,1.0,0.0,0.0,55.69301912933588
15027.0,19408207.0,19408207.0,19408574.929464232,1.0,0.0,0.0,367.92946423217654
15030.0,19408546.0,19408546.0,19408630.94298557,1.0,0.0,0.0,84.94298556819558
15031.0,19408572.0,19408572.0,19408710.84378039,2.0,1.0,0.0,138.84378039091825
15032.0,19408766.0,19408766.0,19409415.71557159,1.0,0.0,0.0,649.7155715897679
15035.0,19408821.0,19408821.0,19409528.455944993,1.0,0.0,0.0,707.4559449926019
15036.0,19408947.0,19408947.0,19409576.973195553,1.0,0.0,0.0,629.9731955528259
15033.0,19408769.0,19408769.0,19409597.472225282,3.0,1.0,0.0,828.4722252823412
15034.0,19408783.0,19408783.0,19409813.772891656,2.0,0.0,0.0,1030.7728916555643
15042.0,19409889.0,19409889.0,19409915.381460886,1.0,0.0,0.0,26.38146088644862
15048.0,19409890.0,19409890.0,19409951.49581238,1.0,0.0,0.0,61.49581237882376
15049.0,19409891.0,19409891.0,19410008.72744885,1.0,0.0,0.0,117.72744885087013
15050,19409891,19409891,19410013,0,0,0,122
15043.0,19409890.0,19409890.0,19410204.930916518,1.0,0.0,0.0,314.93091651797295
15046.0,19409890.0,19409890.0,19410205.45749361,1.0,0.0,0.0,315.4574936106801
15044.0,19409890.0,19409890.0,19410388.537903093,4.0,0.0,0.0,498.53790309280157
15045.0,19409890.0,19409890.0,19410456.235325783,3.0,1.0,0.0,566.2353257834911
15047,19409890,19409890,19410490,0,0,0,600
15055.0,19410064.0,19410064.0,19410665.74942503,1.0,0.0,0.0,601.7494250312448
15039,19409371,19409371,19410771,0,0,0,1400
15040.0,19409869.0,19409869.0,19411154.11150217,4.0,0.0,0.0,1285.1115021705627
15059.0,19410348.0,19410348.0,19411157.075231828,1.0,0.0,0.0,809.0752318277955
15063.0,19410349.0,19410349.0,19411157.836725626,1.0,0.0,0.0,808.8367256261408
15057.0,19410347.0,19410347.0,19411158.183062505,1.0,0.0,0.0,811.183062504977
15061.0,19410348.0,19410348.0,19411160.13884376,1.0,0.0,0.0,812.1388437598944
15068.0,19410350.0,19410350.0,19411160.983878817,1.0,0.0,0.0,810.9838788174093
15056.0,19410341.0,19410341.0,19411162.045044784,1.0,0.0,0.0,821.0450447835028
15060.0,19410348.0,19410348.0,19411164.53151954,1.0,0.0,0.0,816.5315195396543
15071.0,19410350.0,19410350.0,19411165.247544352,1.0,0.0,0.0,815.2475443519652
15062.0,19410348.0,19410348.0,19411165.942202598,1.0,0.0,0.0,817.9422025978565
15058.0,19410347.0,19410347.0,19411166.095158167,1.0,0.0,0.0,819.0951581671834
15073.0,19410351.0,19410351.0,19411166.260394134,1.0,0.0,0.0,815.2603941336274
15076.0,19410352.0,19410352.0,19411167.090731908,1.0,0.0,0.0,815.0907319076359
15067.0,19410349.0,19410349.0,19411168.23264942,1.0,0.0,0.0,819.2326494194567
15088.0,19410353.0,19410353.0,19411168.951543685,1.0,0.0,0.0,815.9515436850488
15090.0,19410354.0,19410354.0,19411168.986288,1.0,0.0,0.0,814.9862879998982
15093.0,19410354.0,19410354.0,19411170.16169246,1.0,0.0,0.0,816.1616924591362
