id,Arrival,Start,Completion,No_of_expansion,No_of_shrinkage,Wait_time,Turn_around_time
15002,19399133,19399133,19399249,0,0,0,116
15003,19401618,19401618,19402080,0,0,0,462
15004,19402386,19402386,19402632,0,0,0,246
15005.0,19402940.0,19402940.0,19403014.96496264,2.0,0.0,0.0,74.96496263891459
15006,19403044,19403044,19403127,0,0,0,83
15007.0,19403080.0,19403080.0,19403234.6942879,2.0,0.0,0.0,154.6942878998816
15008.0,19403254.0,19403254.0,19403351.34093141,1.0,1.0,0.0,97.34093141183257
15009,19403398,19403398,19403500,0,0,0,102
15010.0,19403436.0,19403436.0,19403604.81016715,2.0,0.0,0.0,168.8101671487093
15011,19403570,19403570,19403811,0,0,0,241
15012.0,19403803.0,19403803.0,19403942.502400506,2.0,1.0,0.0,139.5024005062878
15015.0,19404009.0,19404009.0,19404221.067035973,1.0,0.0,0.0,212.06703597307205
15014,19403975,19403975,19404484,0,0,0,509
15017.0,19404443.0,19404443.0,19405318.555270102,1.0,0.0,0.0,875.5552701018751
15013,19403957,19403957,19405653,0,0,0,1696
15016.0,19404111.0,19404111.0,19405668.71090215,2.0,1.0,0.0,1557.7109021507204
15018.0,19404460.0,19404460.0,19405749.15508956,2.0,0.0,0.0,1289.1550895608962
15020.0,19405681.0,19405681.0,19405949.45754591,3.0,0.0,0.0,268.4575459100306
15021,19405871,19405871,19406017,0,0,0,146
15022.0,19406472.0,19406472.0,19406805.84194916,2.0,0.0,0.0,333.8419491611421
15023.0,19406748.0,19406748.0,19407054.468049154,2.0,1.0,0.0,306.46804915368557
15024,19407496,19407496,19407642,0,0,0,146
15025,19407807,19407807,19407911,0,0,0,104
15026,19408190,19408190,19408486,0,0,0,296
15028.0,19408519.0,19408519.0,19408574.854982447,1.0,0.0,0.0,55.85498244687915
15030.0,19408546.0,19408546.0,19408631.11306352,1.0,0.0,0.0,85.11306352168322
15027,19408207,19408207,19408665,0,0,0,458
15031.0,19408572.0,19408572.0,19408687.05303963,2.0,0.0,0.0,115.05303962901235
15033.0,19408769.0,19408769.0,19409446.768153545,3.0,0.0,0.0,677.7681535445154
15034.0,19408783.0,19408783.0,19409447.45117245,1.0,0.0,0.0,664.4511724486947
15035.0,19408821.0,19408821.0,19409523.91252402,1.0,0.0,0.0,702.9125240184367
15036.0,19408947.0,19408947.0,19409876.54692356,3.0,0.0,0.0,929.546923559159
15042.0,19409889.0,19409889.0,19409930.05251105,2.0,0.0,0.0,41.05251105129719
15032,19408766,19408766,19409995,0,0,0,1229
15048.0,19409890.0,19409890.0,19410071.61211647,1.0,0.0,0.0,181.61211647093296
15043.0,19409890.0,19409890.0,19410205.851763465,1.0,0.0,0.0,315.85176346451044
15046.0,19409890.0,19409890.0,19410205.869250834,1.0,0.0,0.0,315.8692508339882
15044.0,19409890.0,19409890.0,19410206.35356994,1.0,0.0,0.0,316.35356993973255
15045,19409890,19409890,19410490,0,0,0,600
15055.0,19410064.0,19410071.61211647,19410250.73243153,1.0,1.0,7.6121164709329605,186.73243153095245
15039.0,19409371.0,19409371.0,19410493.17324584,3.0,0.0,0.0,1122.1732458397746
15049.0,19409891.0,19409891.0,19410544.58354335,3.0,0.0,0.0,653.5835433490574
15047.0,19409890.0,19409890.0,19410558.46264363,2.0,1.0,0.0,668.4626436308026
15040.0,19409869.0,19409869.0,19410747.867232494,2.0,0.0,0.0,878.8672324940562
15063.0,19410349.0,19410490.0,19411438.279223796,1.0,0.0,141.0,1089.2792237959802
15061.0,19410348.0,19410490.0,19411439.671525788,1.0,0.0,142.0,1091.6715257875621
15059.0,19410348.0,19410490.0,19411440.601078372,1.0,0.0,142.0,1092.6010783724487
15057.0,19410347.0,19410490.0,19411440.75096241,1.0,0.0,143.0,1093.7509624101222
15068.0,19410350.0,19410497.06882815,19411441.047823522,1.0,0.0,147.06882815063,1091.04782352224
15060.0,19410348.0,19410490.0,19411442.206809804,1.0,0.0,142.0,1094.2068098038435
15069.0,19410350.0,19410500.1838871,19411443.060744602,1.0,0.0,150.18388710170984,1093.0607446022332
15062.0,19410348.0,19410490.0,19411443.98107411,1.0,0.0,142.0,1095.9810741096735
15058.0,19410347.0,19410490.0,19411445.386195324,1.0,0.0,143.0,1098.3861953243613
15071.0,19410350.0,19410507.79200743,19411452.834367115,1.0,0.0,157.7920074313879,1102.8343671150506
15072.0,19410351.0,19410512.53607277,19411453.50362567,1.0,0.0,161.53607276827097,1102.5036256685853
15074.0,19410351.0,19410523.745796125,19411459.463917974,1.0,0.0,172.74579612538218,1108.4639179743826
15073.0,19410351.0,19410517.836575825,19411460.65011766,1.0,0.0,166.83657582476735,1109.650117661804
15075.0,19410352.0,19410529.98760866,19411462.54329019,1.0,0.0,177.98760866001248,1110.5432901903987
15077.0,19410352.0,19410543.50025004,19411470.63027237,1.0,0.0,191.50025004148483,1118.6302723698318
15078.0,19410352.0,19410550.74748366,19411472.941890642,1.0,0.0,198.74748365953565,1120.941890642047
15080.0,19410352.0,19410566.6659826,19411485.17414699,1.0,0.0,214.6659826003015,1133.174146991223
15081.0,19410352.0,19410575.18309082,19411490.15335507,1.0,0.0,223.18309082090855,1138.1533550694585
