cores,time,running_job_len
240,19397347,1
440,19399133,2
240,19399249,1
241,19401618,2
240,19402080,1
241,19402386,2
240,19402632,1
276,19402940,2
240,19403024,1
276,19403044,2
277,19403080,3
241,19403127,2
277,19403254,3
276,19403307,2
240,19403349,1
276,19403398,2
277,19403436,3
241,19403500,2
277,19403570,3
276,19403684,2
312,19403803,3
276,19403811,2
240,19403950,1
276,19403957,2
277,19403975,3
278,19404009,4
314,19404111,5
313,19404407,4
349,19404443,5
385,19404460,6
384,19404484,5
2407,19405647,6
2371,19405653,5
2372,19405681,6
2313.0,19405756.709995586,5.0
2277,19405841,4
2479,19405871,5
2476.0,19405952.358207878,4.0
2276,19406017,3
2240,19406109,2
2241,19406472,3
2443,19406748,4
2440.0,19406831.302118152,3.0
2240.0,19407014.016769707,2.0
2440,19407496,3
2240,19407642,2
2440,19407807,3
2240,19407911,2
2241,19408190,3
2242,19408207,4
2241,19408486,3
2483,19408519,4
4711,19408540,5
4951,19408546,6
5419,19408572,7
5416.0,19408573.985996723,6.0
4948.0,19408574.459614303,5.0
4480.0,19408631.74134635,4.0
4240,19408674,3
4480,19408766,4
4481,19408769,5
4721,19408783,6
5189,19408821,7
5429,19408947,8
7429,19409017,9
9569,19409331,10
9617,19409371,11
9221.0,19409441.760258075,10.0
9145,19409831,9
11431,19409869,11
11451,19409889,12
13971,19409890,18
22715,19409891,20
23092,19409936,19
24048,19409958,20
24048.0,19409978.199288137,20.0
24048,19409995,20
24048,19410034,20
24048.0,19410046.212792642,20.0
24048,19410050,20
23811.0,19410061.460016534,19.0
24048,19410064,20
23736.0,19410206.55179596,19.0
23112.0,19410207.11920362,18.0
21864.0,19410209.79325321,17.0
20013.0,19410286.85901961,16.0
19919.0,19410338.93781364,15.0
22781,19410341,16
22821,19410347,18
22901,19410348,22
23001,19410349,27
23081,19410350,31
23141,19410351,34
23281,19410352,41
23421,19410353,48
23561,19410354,55
23701,19410355,62
23741,19410356,64
24048.0,19410426.08545103,64.0
23928,19410490,62
24048.0,19410579.629199494,62.0
21161.0,19410951.963555098,63.0
21160,19411264,62
11176.0,19411574.901124828,61.0
13652,19411583,62
13692,19411794,63
13712,19411801,64
11312,19411802,63
11292,19411848,62
11372,19411886,63
11312,19411898,61
11252,19411899,58
11232,19411900,57
11192,19411901,55
11352,19411903,56
11332,19411908,55
11312,19411910,54
11292,19411911,53
11212,19411912,49
11172,19411913,47
11112,19411914,44
10972,19411915,37
10832,19411916,30
10692,19411917,23
10552,19411918,16
10512,19411919,14
10984,19411929,15
11544,19411948,16
12184,19411957,17
11872.0,19411969.45529882,16.0
13152,19411970,17
13072,19411988,16
12448.0,19411997.06552676,15.0
11808,19412032,14
11552,19412070,13
10272,19412121,12
10292,19412372,13
10412,19412378,15
12812,19412379,19
22164,19412380,21
24048.0,19412450.11,21.0
23952.0,19412456.8289092,20.0
23668.0,19412471.899475005,19.0
23648,19412474,18
21152.0,19412476.886876583,17.0
20920,19412501,16
20840,19412512,15
24048.0,19412653.127811715,15.0
23209.0,19412654.205418628,14.0
18345.0,19413067.828750197,13.0
10049.0,19413114.237332348,12.0
10512,19413342,13
6612.0,19414178.839366585,12.0
6456.0,19414297.36479948,11.0
4456,19414804,10
6684,19416808,11
10984,19417005,12
11240,19417814,13
13240,19417852,14
17140,19417883,15
19520,19421331,16
19840,19422261,17
20464,19422298,18
21088,19422345,19
21120,19427166,20
21163,19427281,19
21195,19437371,20
21227,19437547,21
21147.0,19437549.963555098,20.0
21115,19437665,19
21147,19437961,20
21167,19440126,21
21227,19440132,24
21307,19440133,28
21387,19440134,32
21487,19440135,37
21547,19440136,40
21687,19440137,47
21827,19440138,54
21967,19440139,61
22087,19440140,67
22147,19440141,70
21759.0,19443839.489226505,69.0
21291.0,19444705.26005873,68.0
21603.0,19454722.201948363,67.0
20979.0,19454767.645274326,66.0
20431.0,19455716.354117006,65.0
20044.0,19460510.46299051,64.0
16144.0,19462880.21354619,63.0
16877,19469141,62
17134,19469983,63
17170,19470285,64
17206,19470302,65
17063,19470687,66
17064,19470801,67
17065,19470878,68
17113,19470948,69
17112,19471201,68
17111,19471238,67
17112,19471384,68
17113,19471390,69
17065,19471415,68
17064,19471872,67
17063,19471878,66
17027,19471882,65
16991,19471962,64
17710,19472036,63
17470,19472047,62
17230,19472058,61
16990,19472067,60
16991,19472221,61
16990.0,19473009.22982463,60.0
17230,19473071,61
17470,19473102,62
17938,19473140,63
18178,19473173,64
18646,19473201,65
19114,19473283,66
19582,19473285,67
19822,19473289,68
20290,19473292,69
20291,19473533,70
20691,19473617,71
20771,19473716,72
20851,19473743,73
20771,19473786,72
20851,19473850,73
20850.0,19474570.59613215,72.0
20514.0,19474688.4058529,71.0
20654,19474740,74
23054,19474741,78
23054,19474830,76
22794.0,19474862.624619856,75.0
22754,19474863,74
24048.0,19474877.919024672,77.0
23856.0,19474886.379394937,76.0
23088.0,19474932.158405893,75.0
22704.0,19474947.62204495,74.0
20144.0,19474992.697228864,73.0
18864,19475016,72
24048,19475218,73
24028,19475548,72
24048.0,19475548.094431836,74.0
22768.0,19475667.094431836,73.0
24048,19475775,74
24045.0,19475875.281731896,73.0
24048.0,19475964.42,73.0
24048.0,19476051.466825474,73.0
24016.0,19476155.525544822,72.0
24048.0,19477412.155022074,77.0
24048.0,19477442.125039585,77.0
24048.0,19477462.262360808,77.0
