cores,time,running_job_len
240,19397347,1
440,19399133,2
240,19399249,1
241,19401618,2
240,19402080,1
241,19402386,2
240,19402632,1
276,19402940,2
240.0,19403014.96496264,1.0
276,19403044,2
277,19403080,3
241,19403127,2
240.0,19403234.6942879,1.0
276,19403254,2
240.0,19403351.34093141,1.0
276,19403398,2
277,19403436,3
241,19403500,2
279,19403570,3
276.0,19403604.81016715,2.0
312,19403803,3
276,19403811,2
240.0,19403942.502400506,1.0
276,19403957,2
277,19403975,3
278,19404009,4
316,19404111,5
313.0,19404221.067035973,4.0
349,19404443,5
420,19404460,6
419,19404484,5
360.0,19405318.555270102,4.0
2383,19405647,5
2347,19405653,4
2299.0,19405668.71090215,3.0
2300,19405681,4
2241.0,19405749.15508956,3.0
2442,19405871,4
2440.0,19405949.45754591,3.0
2240,19406017,2
2241,19406472,3
2443,19406748,4
2440.0,19406805.84194916,3.0
2240.0,19407054.468049154,2.0
2440,19407496,3
2240,19407642,2
2440,19407807,3
2240,19407911,2
2241,19408190,3
2242,19408207,4
2241,19408486,3
2481,19408519,4
4709,19408540,5
6849,19408546,6
7317,19408572,7
6849.0,19408574.854982447,6.0
6456.0,19408631.11306352,5.0
6530,19408665,4
6140.0,19408687.05303963,3.0
6380,19408766,4
6381,19408769,5
6621,19408783,6
7089,19408821,7
7557,19408947,8
9557,19409017,9
11699,19409331,10
11975,19409371,11
12047.0,19409446.768153545,10.0
11579.0,19409447.45117245,9.0
11111.0,19409523.91252402,8.0
13501,19409869,10
13036.0,19409876.54692356,9.0
13284,19409889,10
15804,19409890,16
24048,19409891,18
24048.0,19409907.8,18.0
24048.0,19409917.523303397,18.0
24015.0,19409930.05251105,17.0
24048.0,19409948.2,17.0
23808,19409995,16
24048.0,19409995.062273514,18.0
24048.0,19410031.931256447,18.0
24048.0,19410071.61211647,20.0
24048.0,19410130.0,20.0
24048.0,19410169.69202019,20.0
23970.0,19410205.851763465,19.0
23346.0,19410205.869250834,18.0
23205.0,19410206.35356994,17.0
24048,19410341,18
24048.0,19410385.052352786,18.0
24048.0,19410408.195010997,18.0
23888,19410490,17
24048.0,19410862.57653195,65.0
24047.0,19410250.73243153,64.0
23954.0,19410493.17324584,63.0
19012.0,19410544.58354335,62.0
18187.0,19410558.46264363,61.0
14967.0,19410747.867232494,60.0
23759,19410775,61
23839,19410796,62
23858.0,19411438.279223796,61.0
23819.0,19411439.671525788,60.0
23780.0,19411440.601078372,59.0
23741.0,19411440.75096241,58.0
23702.0,19411441.047823522,57.0
23663.0,19411442.206809804,56.0
23624.0,19411443.060744602,55.0
23585.0,19411443.98107411,54.0
23546.0,19411445.386195324,53.0
23507.0,19411452.834367115,52.0
23468.0,19411453.50362567,51.0
23435.0,19411459.463917974,50.0
23396.0,19411460.65011766,49.0
23357.0,19411462.54329019,48.0
23324.0,19411470.63027237,47.0
23285.0,19411472.941890642,46.0
23246.0,19411485.17414699,45.0
23207.0,19411490.15335507,44.0
13223.0,19411502.291692942,43.0
13184.0,19411507.462965623,42.0
13145.0,19411513.810585182,41.0
13106.0,19411527.334314074,40.0
13067.0,19411543.424131885,39.0
13034.0,19411567.469625406,38.0
15510,19411583,39
15478.0,19411588.49191691,38.0
15439.0,19411600.36676585,37.0
15400.0,19411610.44377915,36.0
15348.0,19411623.387829594,35.0
15309.0,19411630.489847384,34.0
15276.0,19411639.356961403,33.0
17636,19411794,34
17694,19411801,35
13014.0,19411808.833757784,34.0
12983.0,19411812.367225114,33.0
12943.0,19411832.741912894,32.0
12930,19411848,31
12852.0,19411853.314361315,30.0
12938,19411886,31
12899.0,19411897.02819973,30.0
13059,19411903,31
13046,19411908,30
13005.0,19411926.289555773,29.0
13349,19411929,30
13983,19411948,31
14623,19411957,32
14607.0,19411964.741269045,31.0
15935,19411970,32
15783.0,19411988.204641823,31.0
15159.0,19411997.500965737,30.0
14978.0,19412002.890137367,29.0
14812,19412032,28
14779.0,19412035.065171003,27.0
14820.0,19412049.89934732,26.0
14799.0,19412051.560094465,25.0
14779,19412053,24
14759.0,19412054.802638143,23.0
14732.0,19412054.928403094,22.0
14712.0,19412057.12974215,21.0
14692.0,19412066.6897299,20.0
15070.0,19412081.04890945,19.0
14580.0,19412097.600426193,18.0
14554.0,19412140.17671437,17.0
14534.0,19412166.540542964,16.0
14514.0,19412220.75360968,15.0
12440.0,19412262.03562172,14.0
12420.0,19412281.155001625,13.0
12400.0,19412334.143860992,12.0
12420,19412372,13
12540,19412378,15
15054,19412379,19
23798,19412380,21
23733.0,19412444.87095328,20.0
23577.0,19412450.106257524,19.0
23265.0,19412451.068841755,18.0
23025.0,19412451.875070617,17.0
22992.0,19412458.955639012,16.0
21744.0,19412474.58872549,15.0
19568,19412546,14
14448,19412551,13
12400.0,19412678.28116511,12.0
12640,19413342,13
12484.0,19413542.832303848,12.0
8584.0,19413609.933614686,11.0
6584,19414804,10
8584,19416808,11
10984,19417005,12
13520,19417814,13
15520,19417852,14
17520,19417883,15
18000,19421331,16
18801,19422261,17
19121,19422298,18
19441,19422345,19
19801,19427166,20
19841.0,19427280.97155328,19.0
19712.0,19432424.659699876,18.0
19819,19437371,19
19851,19437547,20
19819.0,19437660.96899128,19.0
19851,19437961,20
19871,19440126,21
19931,19440132,24
20011,19440133,28
20110,19440134,32
20248,19440135,37
20365,19440136,40
20543,19440137,47
20778,19440138,54
20975,19440139,61
