cores,time,running_job_len
240,19397347,1
440,19399133,2
240,19399249,1
241,19401618,2
240,19402080,1
241,19402386,2
240,19402632,1
276,19402940,2
240,19403024,1
276,19403044,2
277,19403080,3
241,19403127,2
277,19403254,3
276,19403307,2
240,19403349,1
276,19403398,2
277,19403436,3
241,19403500,2
277,19403570,3
276,19403684,2
312,19403803,3
276,19403811,2
240,19403950,1
276,19403957,2
277,19403975,3
278,19404009,4
314,19404111,5
313,19404407,4
349,19404443,5
385,19404460,6
384,19404484,5
2384,19405647,6
2348,19405653,5
2349,19405681,6
2313,19405841,5
2513,19405871,6
2313,19406017,5
2277,19406051,4
2276,19406086,3
2240,19406109,2
2241,19406472,3
2441,19406748,4
2440,19406971,3
2240,19407048,2
2440,19407496,3
2240,19407642,2
2440,19407807,3
2240,19407911,2
2241,19408190,3
2242,19408207,4
2241,19408486,3
2481,19408519,4
4481,19408540,5
4721,19408546,6
4961,19408572,7
4721,19408602,6
4720,19408665,5
4480,19408674,4
4240,19408681,3
4480,19408766,4
4481,19408769,5
4721,19408783,6
4961,19408821,7
5201,19408947,8
7201,19409017,9
7441,19409331,10
7489,19409371,11
7488,19409831,10
9728,19409869,12
9748,19409889,13
12268,19409890,19
19948,19409891,21
19928,19409936,20
20168,19409958,21
20408,19409982,22
19128,19409994,21
18888,19409995,20
19128,19410009,21
18888,19410010,20
13768,19410013,19
11208,19410034,18
11448,19410035,19
11208,19410050,18
11209,19410064,19
10969,19410080,18
10989,19410341,19
11029,19410347,21
11109,19410348,25
11209,19410349,30
11289,19410350,34
11349,19410351,37
11489,19410352,44
11629,19410353,51
11769,19410354,58
11909,19410355,65
11949,19410356,67
10709,19410490,62
8709,19410712,61
8661,19410771,60
8741,19410775,61
8821,19410796,62
8820,19411264,61
11220,19411583,62
11260,19411794,63
11280,19411801,64
8880,19411802,63
8860,19411848,62
8940,19411886,63
8880,19411898,61
8820,19411899,58
8800,19411900,57
8760,19411901,55
8920,19411903,56
8900,19411908,55
8880,19411910,54
8860,19411911,53
8780,19411912,49
8740,19411913,47
8680,19411914,44
8540,19411915,37
8400,19411916,30
8260,19411917,23
8120,19411918,16
8080,19411919,14
8400,19411929,15
8656,19411948,16
9296,19411957,17
10576,19411970,18
10496,19411988,17
10336,19412003,16
9696,19412032,15
9376,19412037,14
9120,19412070,13
7840,19412121,12
7860,19412372,13
7980,19412378,15
10380,19412379,19
18060,19412380,21
18040,19412474,20
18000,19412501,19
17920,19412512,18
17440,19412513,16
14880,19412546,15
9760,19412551,14
7840,19412555,12
8080,19413342,13
6080,19414804,12
6000,19415347,11
4000,19415946,10
6000,19416808,11
8400,19417005,12
8656,19417814,13
10656,19417852,14
12656,19417883,15
13136,19421331,16
13456,19422261,17
13776,19422298,18
14096,19422345,19
14128,19427166,20
14096,19427281,19
14128,19437371,20
14048,19437373,19
14080,19437547,20
14048,19437665,19
14080,19437961,20
14100,19440126,21
14160,19440132,24
14240,19440133,28
14320,19440134,32
14420,19440135,37
14480,19440136,40
14620,19440137,47
14760,19440138,54
14900,19440139,61
15020,19440140,67
15080,19440141,70
14840,19469126,69
14600,19469216,68
14360,19469221,67
14598,19469983,68
14634,19470285,69
14670,19470302,70
14671,19470687,71
14672,19470801,72
14673,19470878,73
14721,19470948,74
14720,19471201,73
14719,19471238,72
14720,19471384,73
14721,19471390,74
14673,19471415,73
14672,19471872,72
14671,19471878,71
14635,19471882,70
14599,19471962,69
14598,19472036,68
14358,19472047,67
14118,19472054,66
13878,19472058,65
13638,19472067,64
13639,19472221,65
13879,19473071,66
14119,19473102,67
14359,19473140,68
14599,19473173,69
14839,19473201,70
15079,19473283,71
15319,19473285,72
15559,19473289,73
15799,19473292,74
15798,19473421,73
15799,19473533,74
16199,19473617,75
16279,19473716,76
16359,19473743,77
16279,19473786,76
16359,19473850,77
16499,19474740,80
18899,19474741,84
21459,19474742,85
21359,19474830,83
21358,19474840,82
23918,19474861,82
23878,19474863,81
23718,19474864,80
23398,19474875,79
23398,19474886,79
22758,19474906,78
21478,19475030,77
21498,19475218,78
21499,19475224,79
22779,19475326,80
21499,19475445,79
21479,19475548,78
21478,19475724,77
21498,19475775,78
22778,19476026,79
21498,19476145,78
21478,19476237,77
21778,19476373,78
22758,19476457,78
24038,19476564,79
18918,19476661,78
17638,19476705,77
16358,19476862,76
16378,19477400,77
16418,19477405,78
17618,19477406,82
21458,19477407,84
24018,19477519,84
23998,19477557,83
23918,19477586,82
23878,19477601,81
23718,19477602,80
22758,19477634,78
21478,19477635,77
16358,19477707,76
16378,19478281,77
16358,19478525,76
16378,19478609,77
16438,19478686,79
21478,19478687,85
21498,19478777,86
22098,19478783,90
24018,19478784,92
23998,19478793,91
23998,19478844,91
23978,19478938,90
23938,19478991,89
23698,19478992,87
22418,19479033,86
21458,19479045,84
21478,19479047,85
24038,19479083,85
24038,19479131,85
23918,19479160,83
23758,19479191,82
23778,19479204,83
23758,19479218,82
22478,19479229,81
22158,19479234,80
21518,19479255,79
21538,19479267,80
21518,19479278,79
21518,19479351,79
21498,19479368,78
21478,19479374,77
21526,19479427,78
16406,19479789,77
16644,19479809,78
16596,19479862,77
16358,19480783,76
16102,19481398,75
16122,19482263,76
16170,19482330,77
16150,19482476,76
16170,19482592,77
16170,19482645,77
16150,19482673,76
16170,19482703,77
16150,19482773,76
16102,19482971,75
17382,19483053,76
17402,19483092,77
