id,Arrival,Start,Completion,No_of_expansion,No_of_shrinkage
1.0,0.0,0.0,466.5995737771714,1.0,0.0
2.0,465.0,465.0,705.5081302242286,1.0,0.0
3.0,1906.0,1906.0,2532.0,0.0,0.0
4.0,3571.0,3571.0,4218.0,0.0,0.0
8.0,4393.0,4393.0,5379.0,0.0,0.0
7.0,4346.0,4346.0,6758.0,0.0,0.0
10.0,5705.0,5705.0,6810.0,0.0,0.0
16.0,6955.0,6955.0,7003.0,0.0,0.0
17.0,7071.0,7071.0,7094.0,0.0,0.0
15.0,6796.0,6796.0,7096.0,0.0,0.0
5.0,4009.0,4218.0,7257.0,0.0,0.0
20.0,7334.0,7334.0,7358.0,0.0,0.0
22.0,7452.0,7452.0,7506.0,0.0,0.0
21.0,7444.0,7444.0,7566.0,0.0,0.0
26.0,7633.0,7633.1380254213955,7666.1380254213955,0.0,0.0
27.0,7721.0,7721.341326256153,7756.341326256153,0.0,0.0
28.0,7804.0,7804.4408452637945,7837.4408452637945,0.0,0.0
25.0,7623.0,7623.581199211211,11568.58119921121,0.0,0.0
29.0,7935.0,11568.58119921121,11594.58119921121,0.0,0.0
31.0,8113.0,11594.58119921121,11640.58119921121,0.0,0.0
33.0,8308.0,11640.58119921121,11737.58119921121,0.0,0.0
34.0,8489.0,11737.58119921121,11763.58119921121,0.0,0.0
35.0,8619.0,11763.58119921121,11788.58119921121,0.0,0.0
37.0,8653.0,11788.58119921121,11805.58119921121,0.0,0.0
6.0,4031.0,4031.0,12570.686504533247,1.0,1.0
40.0,8725.0,12570.686504533247,12610.686504533247,0.0,0.0
41.0,8856.0,12610.686504533247,12649.686504533247,0.0,0.0
42.0,8980.0,12649.686504533247,12694.686504533247,0.0,0.0
43.0,9104.0,12694.686504533247,12729.686504533247,0.0,0.0
45.0,9488.0,12729.686504533247,12778.686504533247,0.0,0.0
46.0,9721.0,12778.686504533247,12857.686504533247,0.0,0.0
48.0,9830.0,12857.686504533247,12885.686504533247,0.0,0.0
50.0,10257.0,12885.686504533247,12912.686504533247,0.0,0.0
39.0,8690.0,11805.58119921121,14602.58119921121,0.0,0.0
54.0,10438.0,14602.58119921121,14667.58119921121,0.0,0.0
18.0,7219.0,7257.0,15037.317312867577,1.0,1.0
61.0,11290.0,15037.317312867577,15071.317312867577,0.0,0.0
64.0,11527.0,15071.317312867577,15084.317312867577,0.0,0.0
23.0,7464.0,7506.0,15329.867529130688,1.0,1.0
68.0,12155.0,15329.867529130688,15388.867529130688,0.0,0.0
71.0,12606.0,15388.867529130688,15418.867529130688,0.0,0.0
73.0,12634.0,15418.867529130688,15507.867529130688,0.0,0.0
74.0,12651.0,15507.867529130688,15522.867529130688,0.0,0.0
56.0,10536.0,14667.58119921121,15669.58119921121,0.0,0.0
69.0,12228.0,15331.140973036368,15831.140973036368,0.0,0.0
77.0,12729.0,15669.58119921121,15832.58119921121,0.0,0.0
78.0,12793.0,15831.140973036368,15961.140973036368,0.0,0.0
14.0,6765.0,7096.318955227372,16004.318955227372,0.0,0.0
79.0,12892.0,15832.58119921121,16020.58119921121,0.0,0.0
32.0,8130.0,16004.318955227372,16189.318955227372,0.0,0.0
36.0,8631.0,16189.318955227372,16206.318955227372,0.0,0.0
19.0,7307.0,16004.318955227372,16445.318955227372,0.0,0.0
44.0,9406.0,16445.318955227372,16699.318955227372,0.0,0.0
53.0,10408.0,12912.686504533247,17426.686504533245,0.0,0.0
62.0,11317.0,16206.318955227372,17659.318955227372,0.0,0.0
63.0,11505.0,17659.318955227372,17671.318955227372,0.0,0.0
76.0,12692.0,15522.867529130688,17714.867529130686,0.0,0.0
83.0,13306.0,17714.867529130686,17900.867529130686,0.0,0.0
65.0,11545.0,17671.318955227372,18297.318955227372,0.0,0.0
82.0,13297.0,17426.686504533245,22569.686504533245,0.0,0.0
86.0,13345.0,22569.686504533245,22627.686504533245,0.0,0.0
84.0,13322.0,17900.867529130686,22992.867529130686,0.0,0.0
49.0,10227.0,16699.318955227372,23149.318955227372,0.0,0.0
88.0,13705.0,22992.867529130686,23265.867529130686,0.0,0.0
89.0,13777.0,23265.867529130686,23419.867529130686,0.0,0.0
87.0,13659.0,22627.686504533245,23985.686504533245,0.0,0.0
92.0,14358.0,23419.867529130686,24118.867529130686,0.0,0.0
67.0,11991.0,18297.318955227372,26561.318955227372,0.0,0.0
72.0,12624.0,26561.318955227372,26580.318955227372,0.0,0.0
75.0,12675.0,26580.318955227372,28525.318955227372,0.0,0.0
11.0,5872.0,5872.0,28804.96396935633,1.0,1.0
85.0,13331.0,28525.318955227372,29172.318955227372,0.0,0.0
91.0,14258.0,29172.318955227372,29846.318955227372,0.0,0.0
97.0,14751.0,29846.318955227372,29864.318955227372,0.0,0.0
99.0,14774.0,29864.318955227372,29879.318955227372,0.0,0.0
98.0,14763.0,29864.318955227372,30558.318955227372,0.0,0.0
100.0,14797.0,30558.318955227372,30673.318955227372,0.0,0.0
12.0,5999.0,5999.0,31897.68392695798,5.0,5.0
80.0,13080.0,15961.140973036368,32824.58891795692,1.0,1.0
90.0,14044.0,32824.58891795692,32859.58891795692,0.0,0.0
70.0,12391.0,28804.96396935633,37445.96396935633,0.0,0.0
96.0,14717.0,37446.91231797452,38507.91231797452,0.0,0.0
38.0,8675.0,16189.318955227372,42115.10848549722,0.0,2.0
94.0,14405.0,37445.96396935633,45397.96396935633,0.0,0.0
93.0,14369.0,23985.686504533245,49249.10805710184,1.0,1.0
95.0,14500.0,24118.867529130686,50612.92033564744,1.0,1.0
52.0,10402.0,23149.318955227372,50661.58307505582,1.0,1.0
9.0,4684.0,50661.58307505582,50706.58307505582,0.0,0.0
24.0,7519.0,7566.0,50970.89847264837,3.0,9.0
55.0,10448.0,50706.58307505582,51028.58307505582,0.0,0.0
57.0,10745.0,51028.58307505582,51097.58307505582,0.0,0.0
66.0,11559.0,15084.317312867577,69897.21029086446,3.0,2.0
81.0,13175.0,16020.58119921121,88433.20075623255,5.0,3.0
13.0,6063.0,69897.21029086446,153601.16318531672,1.0,1.0
30.0,8017.0,153601.16318531672,154165.16318531672,0.0,0.0
47.0,9811.0,154165.16318531672,154193.16318531672,0.0,0.0
51.0,10368.0,154193.16318531672,154220.16318531672,0.0,0.0
58.0,10800.0,154220.16318531672,154272.16318531672,0.0,0.0
