id,Arrival,Start,Completion,No_of_expansion,No_of_shrinkage
1.0,0.0,0.0,2127.572645256851,1.0,0.0
3.0,1906.0,2127.572645256851,2753.572645256851,0.0,0.0
2.0,465.0,465.0,3827.0,0.0,0.0
4.0,3571.0,3571.0,4218.0,0.0,0.0
8.0,4393.0,4393.0,5379.0,0.0,0.0
5.0,4009.0,4218.0,5891.3106628146925,1.0,0.0
10.0,5705.0,5705.0,6349.678988082753,1.0,0.0
7.0,4346.0,4346.0,6758.0,0.0,0.0
16.0,6955.0,6955.692071165053,7003.692071165053,0.0,0.0
15.0,6796.0,6797.159506735466,7097.159506735466,0.0,0.0
17.0,7071.0,7097.159506735466,7120.159506735466,0.0,0.0
18.0,7219.0,7219.2479628774,7242.2479628774,0.0,0.0
20.0,7334.0,7334.46851680862,7358.46851680862,0.0,0.0
22.0,7452.0,7452.295178965511,7506.295178965511,0.0,0.0
23.0,7464.0,7506.295178965511,7519.295178965511,0.0,0.0
21.0,7444.0,7444.310987181231,7566.310987181231,0.0,0.0
12.0,5999.0,5999.0,7613.185532168214,2.0,3.0
26.0,7633.0,7633.35716967443,7666.35716967443,0.0,0.0
19.0,7307.0,7308.140250471089,7749.140250471089,0.0,0.0
27.0,7721.0,7749.140250471089,7784.140250471089,0.0,0.0
28.0,7804.0,7804.207911102261,7837.207911102261,0.0,0.0
29.0,7935.0,7936.035598477132,7962.035598477132,0.0,0.0
6.0,4031.0,4031.0,8010.393253318835,4.0,3.0
31.0,8113.0,8113.135311967253,8159.135311967253,0.0,0.0
32.0,8130.0,8159.564394036508,8344.564394036508,0.0,0.0
33.0,8308.0,8344.564394036508,8441.564394036508,0.0,0.0
34.0,8489.0,8489.55172917605,8515.55172917605,0.0,0.0
35.0,8619.0,8619.65384618176,8644.65384618176,0.0,0.0
36.0,8631.0,8646.084181704673,8663.084181704673,0.0,0.0
37.0,8653.0,8663.084181704673,8680.084181704673,0.0,0.0
24.0,7519.0,7519.295178965511,8793.775482031515,4.0,7.0
40.0,8725.0,8793.871664152875,8833.871664152875,0.0,0.0
41.0,8856.0,8856.391168354661,8895.391168354661,0.0,0.0
42.0,8980.0,8980.48311568432,9025.48311568432,0.0,0.0
43.0,9104.0,9104.448323325529,9139.448323325529,0.0,0.0
45.0,9488.0,9488.468876654193,9537.468876654193,0.0,0.0
