cores,time,running_job_len
100.0,0.0,1.0
295.0,27.75,2.0
100.0,7580.253532190799,1.0
0.0,14427.75,0.0
20.0,57051.0,1.0
0.0,57096.0,0.0
1.0,81159.75,1.0
2.0,81225.0,2.0
4.0,81252.0,3.0
2.0,81281.1696348388,2.0
1.0,81313.75,1.0
0.0,82364.0,0.0
1000.0,84852.0,1.0
3560.0,94040.25,2.0
1000.0,94085.25,1.0
11000.0,94152.75,2.0
1000.0,94505.75,1.0
3560.0,94538.25,2.0
1000.0,94580.25,1.0
2000.0,94973.25,2.0
5510.0,95274.75,3.0
5511.0,95313.75,4.0
5510.0,95362.75,3.0
5511.0,95402.25,4.0
5510.0,95444.25,3.0
3560.0,96232.40254612437,2.0
3561.0,96321.75,3.0
3560.0,96374.75,2.0
3561.0,96398.25,3.0
3560.0,96439.10333690095,2.0
3561.0,96456.0,3.0
4563.0,96585.0,4.0
6163.0,96742.5,5.0
6460.0,96773.02443230787,4.0
4870.0,96954.94324658909,3.0
3560.0,97132.94263248867,2.0
4560.0,97149.75,3.0
4561.0,97186.5,4.0
5563.0,97485.0,5.0
4563.0,97503.75,4.0
3563.0,97516.0,3.0
3560.0,97516.07730947628,2.0
4560.0,97601.25,3.0
6110.0,97814.25,9.0
6690.0,97815.0,11.0
7185.0,97815.75,15.0
7680.0,97816.5,19.0
8270.0,97817.25,23.0
8760.0,97818.0,26.0
9355.0,97848.75,27.0
9855.0,97854.0,28.0
10830.0,97869.75,29.0
10635.0,97874.9296609835,28.0
8685.0,97877.74077172384,27.0
9185.0,97879.5,28.0
9685.0,97887.75,29.0
10185.0,97905.75,30.0
11160.0,97914.75,31.0
12135.0,97923.75,32.0
13110.0,97932.0,33.0
13610.0,97941.75,34.0
14585.0,97950.0,35.0
15560.0,97957.5,36.0
16060.0,97965.75,37.0
17035.0,97975.5,38.0
16840.0,98006.5,37.0
15865.0,98045.87259154611,36.0
15040.0,98077.18475016444,35.0
14065.0,98102.31414478498,34.0
13090.0,98106.37352932108,33.0
12115.0,98113.62394356444,32.0
11135.0,98134.67214317466,31.0
10310.0,98152.61871746779,30.0
9965.0,98192.5,29.0
9620.0,98233.75,28.0
9125.0,98247.60731865927,27.0
8015.0,98274.52617508691,26.0
7210.0,98327.48805241311,25.0
7211.0,98421.0,26.0
8212.0,98835.75,27.0
8520.0,99004.36703444905,26.0
9330.0,99174.0,27.0
8015.0,99217.88092944447,26.0
10575.0,99257.25,27.0
9770.0,99263.55066637657,26.0
7210.0,99592.25,25.0
9770.0,99803.25,26.0
13202.0,99818.25,27.0
8210.0,99836.34208471925,26.0
7210.0,100144.25,25.0
9770.0,100499.25,26.0
7210.0,100561.25,25.0
7211.0,101287.5,26.0
7210.0,101330.5,25.0
7211.0,101379.75,26.0
7210.0,101432.75,25.0
7211.0,101458.5,26.0
7212.0,101508.75,27.0
7211.0,101512.5,26.0
7210.0,101551.42044526123,25.0
8210.0,101925.75,26.0
9360.0,102117.0,27.0
7410.0,102199.80295653261,26.0
7210.0,102449.0,25.0
7410.0,102455.25,26.0
7210.0,102796.25,25.0
7211.0,102846.75,26.0
7210.0,102899.75,25.0
7211.0,102951.0,26.0
7210.0,102994.0,25.0
7610.0,103671.0,26.0
7210.0,103761.0,25.0
7610.0,103883.25,26.0
7210.0,104024.83793734967,25.0
7610.0,104452.5,26.0
8010.0,104616.0,27.0
8410.0,104619.0,28.0
8010.0,104701.0,27.0
7610.0,104703.0,26.0
7210.0,105059.51546421304,25.0
8210.0,105275.25,26.0
7210.0,105368.25,25.0
8210.0,105396.0,26.0
7210.0,105491.0,25.0
8210.0,105569.25,26.0
7210.0,105662.25,25.0
8210.0,106142.25,26.0
9020.0,106247.25,27.0
7410.0,106334.53920561163,26.0
7210.0,106444.25,25.0
8210.0,106857.0,26.0
7241.0,106961.0,25.0
9801.0,109366.5,26.0
21363.0,109707.0,27.0
11363.0,109897.0,26.0
21363.0,109905.75,27.0
17241.0,109956.20646893689,26.0
7241.0,110071.75,25.0
17241.0,110171.25,26.0
17241.0,110383.25,26.0
23941.0,110858.25,27.0
23941.0,111120.92193182661,27.0
23941.0,111367.076729794,27.0
23741.0,111721.29948784465,39.0
23241.0,111878.29948784465,38.0
19456.0,111992.29948784465,38.0
18956.0,112031.29948784465,37.0
17981.0,112317.18625568497,36.0
14141.0,112387.29948784465,35.0
13197.0,112762.87468342688,34.0
12372.0,112983.30659893443,33.0
12327.0,113544.29948784465,32.0
12827.0,113703.0,33.0
12162.0,113835.50371450947,32.0
11812.0,113973.67774903939,31.0
11043.0,114067.36700597874,30.0
10264.0,114547.85146644728,29.0
9617.0,114905.08340686704,28.0
8853.0,115310.44446852106,27.0
8108.0,116695.55399474553,26.0
8118.0,117027.75,27.0
8130.0,117102.75,28.0
8118.0,117118.31290362828,27.0
8153.0,117384.0,28.0
8133.0,117429.47999255596,27.0
7940.0,117701.89253232266,26.0
7989.0,118149.75,27.0
8038.0,118169.25,28.0
8013.0,118211.25,27.0
7964.0,118231.33143502503,26.0
7989.0,118235.25,27.0
7940.0,118266.7877895783,26.0
7745.0,118440.2169463383,25.0
7794.0,118449.0,26.0
7745.0,118455.06772746115,25.0
7550.0,118500.27384346782,24.0
17574.0,118536.0,25.0
17379.0,118643.39877986611,24.0
7379.0,118714.0,23.0
7184.0,118862.00152654176,22.0
7135.0,119192.82413471452,21.0
6940.0,119777.76510829927,20.0
6745.0,119806.30129471314,19.0
6550.0,119919.09577283775,18.0
6355.0,119979.0218508872,17.0
6160.0,120197.50502698233,16.0
6120.0,120633.58108721391,15.0
5803.0,128836.07112390237,14.0
5672.0,129976.1403296189,13.0
5479.0,130671.1896057471,12.0
5287.0,130929.39339663346,11.0
5096.0,131131.1627326752,10.0
4906.0,131878.79032804916,9.0
4744.0,132056.4148460656,8.0
