cores,time,running_job_len
100.0,0.0,1.0
200.0,27.75,2.0
100.0,14400.0,1.0
0.0,14427.75,0.0
20.0,57051.0,1.0
0.0,57096.0,0.0
1.0,81159.75,1.0
2.0,81225.0,2.0
3.0,81252.0,3.0
2.0,81275.0,2.0
1.0,81313.75,1.0
0.0,81987.36240719115,0.0
1000.0,84852.0,1.0
3560.0,94040.25,2.0
1000.0,94085.25,1.0
11000.0,94152.75,2.0
1000.0,94505.75,1.0
3560.0,94538.25,2.0
1000.0,94580.25,1.0
2000.0,94973.25,2.0
5510.0,95274.75,3.0
5511.0,95313.75,4.0
5510.0,95362.75,3.0
5511.0,95402.25,4.0
5510.0,95444.25,3.0
3560.0,96229.70144193582,2.0
3561.0,96321.75,3.0
3560.0,96374.75,2.0
3561.0,96398.25,3.0
3560.0,96440.25,2.0
3561.0,96456.0,3.0
4561.0,96585.0,4.0
6512.0,96742.5,5.0
4562.0,96758.81032624896,4.0
4560.0,96877.73649523413,3.0
5560.0,97149.75,4.0
5561.0,97186.5,5.0
4561.0,97227.90438705895,4.0
5563.0,97485.0,5.0
4563.0,97503.75,4.0
4560.0,97515.49525844853,3.0
3560.0,97516.0,2.0
4560.0,97601.25,3.0
5160.0,97814.25,9.0
5360.0,97815.0,11.0
5760.0,97815.75,15.0
6160.0,97816.5,19.0
6560.0,97817.25,23.0
6860.0,97818.0,26.0
7455.0,97848.75,27.0
7955.0,97854.0,28.0
8930.0,97869.75,29.0
9430.0,97879.5,30.0
9930.0,97887.75,31.0
10905.0,97905.75,32.0
11880.0,97914.75,33.0
12855.0,97923.75,34.0
12755.0,97924.75,33.0
11755.0,97928.25,32.0
12730.0,97932.0,33.0
13705.0,97941.75,34.0
14205.0,97950.0,35.0
14705.0,97957.5,36.0
15205.0,97965.75,37.0
16180.0,97975.5,38.0
15835.0,98006.5,37.0
15015.0,98046.83629141528,36.0
14345.0,98076.84313380528,35.0
13525.0,98079.28413271223,34.0
12550.0,98102.7563651366,33.0
11575.0,98104.72523918221,32.0
10600.0,98104.73457366075,31.0
9625.0,98152.29017284895,30.0
9275.0,98195.75,29.0
8465.0,98210.81228217886,28.0
7810.0,98283.05218702508,27.0
7310.0,98292.0,26.0
6355.0,98298.24937538011,25.0
6356.0,98421.0,26.0
7358.0,98835.75,27.0
7665.0,99013.50277970008,26.0
8775.0,99174.0,27.0
8275.0,99205.0,26.0
6355.0,99256.83086943328,25.0
8915.0,99257.25,26.0
6355.0,99592.25,25.0
8915.0,99803.25,26.0
10683.0,99818.25,27.0
8265.0,100187.11974710922,26.0
6355.0,100300.39035319856,25.0
8915.0,100499.25,26.0
6355.0,100561.25,25.0
6356.0,101287.5,26.0
6355.0,101330.5,25.0
6356.0,101379.75,26.0
6355.0,101432.75,25.0
6356.0,101458.5,26.0
6357.0,101508.75,27.0
6356.0,101512.5,26.0
6355.0,101561.75,25.0
7355.0,101925.75,26.0
7555.0,102117.0,27.0
6555.0,102263.75,26.0
6355.0,102449.0,25.0
6555.0,102455.25,26.0
6355.0,102796.25,25.0
6356.0,102846.75,26.0
6355.0,102899.75,25.0
6356.0,102951.0,26.0
6355.0,102987.65244048511,25.0
6755.0,103671.0,26.0
6355.0,103761.0,25.0
6755.0,103883.25,26.0
6355.0,104090.62386720526,25.0
6755.0,104452.5,26.0
7155.0,104616.0,27.0
7555.0,104619.0,28.0
7279.0,104703.0,27.0
6755.0,104776.36620283921,26.0
6355.0,105133.5,25.0
7355.0,105275.25,26.0
8965.0,105396.0,27.0
7655.0,105491.0,26.0
8965.0,105569.25,27.0
7965.0,105662.25,26.0
6355.0,105714.20353612202,25.0
7355.0,106142.25,26.0
6355.0,106234.25,25.0
6555.0,106247.25,26.0
6355.0,106444.25,25.0
7355.0,106857.0,26.0
6355.0,106961.0,25.0
8915.0,109366.5,26.0
20477.0,109707.0,27.0
11245.0,109897.0,26.0
21245.0,109905.75,27.0
11245.0,110071.75,26.0
21245.0,110171.25,27.0
16355.0,110359.70804266127,26.0
16355.0,110383.25,26.0
16855.0,110858.25,27.0
20455.0,111215.25,28.0
20955.0,111221.25,29.0
21455.0,111226.5,30.0
22430.0,111237.75,31.0
23405.0,111243.75,32.0
23905.0,111255.75,33.0
24048.0,111570.45,33.0
24048.0,111585.17625169226,33.0
24048.0,111747.98407738525,33.0
24048.0,111845.41129557513,33.0
24048.0,111915.23485500806,33.0
24048.0,111952.95,33.0
22933.0,112082.15476623084,32.0
24048.0,112083.23685528133,35.0
23935.0,112130.90177866165,38.0
22960.0,112190.09401983884,37.0
22960.0,112242.01177866165,37.0
23115.0,112307.56667866165,37.0
17430.0,112401.90177866165,37.0
16455.0,112425.9544088983,36.0
15800.0,112742.63794907901,35.0
11960.0,112796.90177866165,34.0
11750.0,113550.00109835608,33.0
10945.0,113637.10181882068,32.0
11445.0,113703.0,33.0
10945.0,113942.84273627482,32.0
10445.0,114088.0,31.0
9795.0,114386.30338193188,30.0
9290.0,114538.79247227579,29.0
8635.0,115214.62659111562,28.0
7830.0,116841.27986242794,27.0
7840.0,117027.75,28.0
7850.0,117102.75,29.0
7840.0,117118.75,28.0
7865.0,117384.0,29.0
7855.0,117469.75,28.0
7355.0,117853.75,27.0
7380.0,118149.75,28.0
7405.0,118169.25,29.0
7380.0,118211.25,28.0
7405.0,118235.25,29.0
7380.0,118284.75,28.0
7355.0,118371.0,27.0
7380.0,118449.0,28.0
7355.0,118458.25,27.0
17355.0,118536.0,28.0
7363.0,118714.0,27.0
