id,Arrival,Start,Completion,No_of_expansion,No_of_shrinkage,Wait_time,Turn_around_time,Exe_time
1.0,0.0,0.0,14400.0,0.0,0.0,0.0,14400.0,14400.0
2.0,27.75,27.75,14427.75,0.0,0.0,0.0,14400.0,14400.0
3.0,57051.0,57051.0,57096.0,0.0,0.0,0.0,45.0,45.0
5.0,81225.0,81225.0,81275.0,0.0,0.0,0.0,50.0,50.0
4.0,81159.75,81159.75,81313.75,0.0,0.0,0.0,154.0,154.0
6.0,81252.0,81252.0,82364.0,0.0,0.0,0.0,1112.0,1112.0
8.0,94040.25,94040.25,94085.25,0.0,0.0,0.0,45.0,45.0
9.0,94152.75,94152.75,94505.75,0.0,0.0,0.0,353.0,353.0
10.0,94538.25,94538.25,94580.25,0.0,0.0,0.0,42.0,42.0
13.0,95313.75,95313.75,95362.75,0.0,0.0,0.0,49.0,49.0
14.0,95402.25,95402.25,95444.25,0.0,0.0,0.0,42.0,42.0
15.0,96321.75,96321.75,96374.75,0.0,0.0,0.0,53.0,53.0
16.0,96398.25,96398.25,96440.25,0.0,0.0,0.0,42.0,42.0
18.0,96585.0,96585.0,96765.0,0.0,0.0,0.0,180.0,180.0
11.0,94973.25,94973.25,97087.25,0.0,0.0,0.0,2114.0,2114.0
19.0,96742.5,96742.5,97107.5,0.0,0.0,0.0,365.0,365.0
17.0,96456.0,96456.0,97113.0,0.0,0.0,0.0,657.0,657.0
20.0,97149.75,97149.75,97503.75,0.0,0.0,0.0,354.0,354.0
22.0,97485.0,97485.0,97516.0,0.0,0.0,0.0,31.0,31.0
21.0,97186.5,97186.5,97560.5,0.0,0.0,0.0,374.0,374.0
32.0,97815.75,97815.75,97924.75,0.0,0.0,0.0,109.0,109.0
23.0,97601.25,97601.25,97928.25,0.0,0.0,0.0,327.0,327.0
60.0,97975.5,97975.5,98006.5,0.0,0.0,0.0,31.0,31.0
50.0,97879.5,97879.5,98192.5,0.0,0.0,0.0,313.0,313.0
49.0,97869.75,97869.75,98194.75,0.0,0.0,0.0,325.0,325.0
