cores,time,running_job_len
240.0,14548010.25,1.0
668.0,14549349.75,2.0
468.0,14549465.75,1.0
469.0,14551213.5,2.0
468.0,14551675.5,1.0
469.0,14551789.5,2.0
468.0,14552035.5,1.0
504.0,14552205.0,2.0
540.0,14552283.0,3.0
504.0,14552289.0,2.0
505.0,14552310.0,3.0
469.0,14552366.0,2.0
505.0,14552440.5,3.0
469.0,14552535.5,2.0
468.0,14552537.0,1.0
504.0,14552548.5,2.0
505.0,14552577.0,3.0
469.0,14552650.5,2.0
505.0,14552677.5,3.0
504.0,14552825.0,2.0
540.0,14552852.25,3.0
504.0,14552918.5,2.0
540.0,14552967.75,3.0
541.0,14552981.25,4.0
505.0,14552999.25,3.0
506.0,14553006.75,4.0
542.0,14553083.25,5.0
578.0,14553332.25,6.0
614.0,14553345.0,7.0
613.0,14553404.75,6.0
612.0,14553490.25,5.0
2647.0,14554235.25,6.0
2648.0,14554260.75,7.0
2848.0,14554403.25,8.0
2648.0,14554549.25,7.0
2577.0,14554597.481684074,6.0
2541.0,14554663.75,5.0
2540.0,14554665.75,4.0
2504.0,14554813.25,3.0
2505.0,14554854.0,4.0
2469.0,14554998.25,3.0
2670.0,14555061.0,4.0
2668.0,14555185.069720762,3.0
2468.0,14555361.0,2.0
2668.0,14555622.0,3.0
2468.0,14555768.0,2.0
2668.0,14555855.25,3.0
2468.0,14555959.25,2.0
2469.0,14556142.5,3.0
2470.0,14556155.25,4.0
2710.0,14556389.25,5.0
4710.0,14556405.0,6.0
4950.0,14556409.5,7.0
5418.0,14556429.0,8.0
5417.0,14556438.5,7.0
5177.0,14556472.25,6.0
4709.0,14556491.45454417,5.0
4469.0,14556531.0,4.0
4709.0,14556574.5,5.0
4710.0,14556576.75,6.0
4950.0,14556587.25,7.0
4949.0,14556613.25,6.0
5417.0,14556615.75,7.0
5657.0,14556710.25,8.0
7885.0,14556762.75,9.0
8125.0,14556998.25,10.0
8173.0,14557028.25,11.0
7780.0,14557247.260135466,10.0
7312.0,14557327.954689737,9.0
9627.0,14557401.75,11.0
9647.0,14557416.75,12.0
12186.0,14557417.5,18.0
21462.0,14557418.25,20.0
21423.0,14557443.212466098,19.0
21663.0,14557468.5,20.0
19935.0,14557477.197256614,19.0
20175.0,14557486.5,20.0
20415.0,14557506.75,21.0
20655.0,14557526.25,22.0
15535.0,14557540.25,21.0
15536.0,14557548.0,22.0
16344.0,14557638.75,21.0
15954.0,14557642.88622626,20.0
16803.0,14557732.413918165,19.0
16179.0,14557735.395309588,18.0
16199.0,14557755.75,19.0
16239.0,14557760.25,21.0
16319.0,14557761.0,25.0
