cores,time,running_job_len
240.0,14548010.25,1.0
440.0,14549349.75,2.0
240.0,14549465.75,1.0
241.0,14551213.5,2.0
240.0,14551675.5,1.0
241.0,14551789.5,2.0
240.0,14552035.5,1.0
276.0,14552205.0,2.0
312.0,14552283.0,3.0
276.0,14552289.0,2.0
277.0,14552310.0,3.0
241.0,14552366.0,2.0
277.0,14552440.5,3.0
241.0,14552535.5,2.0
240.0,14552537.0,1.0
276.0,14552548.5,2.0
277.0,14552577.0,3.0
241.0,14552650.5,2.0
277.0,14552677.5,3.0
276.0,14552825.0,2.0
312.0,14552852.25,3.0
276.0,14552918.5,2.0
312.0,14552967.75,3.0
313.0,14552981.25,4.0
277.0,14552999.25,3.0
278.0,14553006.75,4.0
314.0,14553083.25,5.0
350.0,14553332.25,6.0
386.0,14553345.0,7.0
385.0,14553404.75,6.0
384.0,14553490.25,5.0
2384.0,14554235.25,6.0
2385.0,14554260.75,7.0
2585.0,14554403.25,8.0
2385.0,14554549.25,7.0
2349.0,14554663.75,6.0
2348.0,14554665.75,5.0
2312.0,14554813.25,4.0
2313.0,14554854.0,5.0
2277.0,14554936.0,4.0
2241.0,14554998.25,3.0
2441.0,14555061.0,4.0
2440.0,14555353.0,3.0
2240.0,14555361.0,2.0
2440.0,14555622.0,3.0
2240.0,14555768.0,2.0
2440.0,14555855.25,3.0
2240.0,14555959.25,2.0
2241.0,14556142.5,3.0
2242.0,14556155.25,4.0
2482.0,14556389.25,5.0
4482.0,14556405.0,6.0
4722.0,14556409.5,7.0
4962.0,14556429.0,8.0
4961.0,14556438.5,7.0
4721.0,14556472.25,6.0
4481.0,14556531.0,5.0
4241.0,14556544.5,4.0
4481.0,14556574.5,5.0
4482.0,14556576.75,6.0
4722.0,14556587.25,7.0
4721.0,14556613.25,6.0
4961.0,14556615.75,7.0
5201.0,14556710.25,8.0
7201.0,14556762.75,9.0
7441.0,14556998.25,10.0
7489.0,14557028.25,11.0
9729.0,14557401.75,13.0
9749.0,14557416.75,14.0
12269.0,14557417.5,20.0
19949.0,14557418.25,22.0
19929.0,14557463.75,21.0
20169.0,14557468.5,22.0
20409.0,14557486.5,23.0
20649.0,14557506.75,24.0
19369.0,14557521.5,23.0
19609.0,14557526.25,24.0
14489.0,14557540.25,23.0
14490.0,14557548.0,24.0
11930.0,14557561.25,23.0
11929.0,14557638.75,22.0
11949.0,14557755.75,23.0
11989.0,14557760.25,25.0
12069.0,14557761.0,29.0
12169.0,14557761.75,34.0
12249.0,14557762.5,38.0
12309.0,14557763.25,41.0
12449.0,14557764.0,48.0
12589.0,14557764.75,55.0
12729.0,14557765.5,62.0
12869.0,14557766.25,69.0
12909.0,14557767.0,71.0
12669.0,14557803.5,70.0
12429.0,14557814.25,69.0
12189.0,14557843.25,68.0
11949.0,14557844.75,67.0
10709.0,14558017.5,62.0
10789.0,14558081.25,63.0
10869.0,14558097.0,64.0
8869.0,14558244.75,63.0
8821.0,14558428.25,62.0
11221.0,14558687.25,63.0
11220.0,14558748.0,62.0
11260.0,14558845.5,63.0
11280.0,14558850.75,64.0
11260.0,14558897.75,63.0
8860.0,14558906.25,62.0
8940.0,14558914.5,63.0
9100.0,14558927.25,64.0
9420.0,14558946.75,65.0
9380.0,14558949.5,64.0
9636.0,14558961.0,65.0
10276.0,14558967.75,66.0
11556.0,14558977.5,67.0
11476.0,14559016.5,66.0
11316.0,14559027.25,65.0
10676.0,14559042.75,64.0
10356.0,14559054.75,63.0
10100.0,14559083.0,62.0
8820.0,14559128.5,61.0
8840.0,14559279.0,62.0
8960.0,14559283.5,64.0
11360.0,14559284.25,68.0
19040.0,14559285.0,70.0
19020.0,14559311.25,69.0
18960.0,14559312.0,66.0
18940.0,14559312.75,65.0
18900.0,14559313.5,63.0
18880.0,14559322.75,62.0
18860.0,14559323.25,61.0
18840.0,14559324.0,60.0
18760.0,14559324.75,56.0
18720.0,14559325.5,54.0
18660.0,14559326.25,51.0
18520.0,14559327.0,44.0
18380.0,14559327.75,37.0
18240.0,14559328.5,30.0
18100.0,14559329.25,23.0
18060.0,14559330.0,21.0
18040.0,14559381.0,20.0
18000.0,14559406.5,19.0
17920.0,14559417.5,18.0
17440.0,14559418.25,16.0
14880.0,14559451.0,15.0
9760.0,14559456.0,14.0
7840.0,14559460.25,12.0
8080.0,14560006.5,13.0
10080.0,14562606.0,14.0
10000.0,14562648.0,13.0
12400.0,14562753.75,14.0
12656.0,14563360.5,15.0
14656.0,14563389.0,16.0
12656.0,14563392.25,15.0
14656.0,14563412.25,16.0
12656.0,14563691.75,15.0
13136.0,14565998.25,16.0
13456.0,14566695.75,17.0
13776.0,14566723.5,18.0
14096.0,14566758.75,19.0
14128.0,14570374.5,20.0
14096.0,14570489.5,19.0
14128.0,14578028.25,20.0
14160.0,14578160.25,21.0
14128.0,14578278.25,20.0
14160.0,14578470.75,21.0
14180.0,14580094.5,22.0
14240.0,14580099.0,25.0
14320.0,14580099.75,29.0
14400.0,14580100.5,33.0
14500.0,14580101.25,38.0
14560.0,14580102.0,41.0
14700.0,14580102.75,48.0
14840.0,14580103.5,55.0
14980.0,14580104.25,62.0
15100.0,14580105.0,68.0
15160.0,14580105.75,71.0
15080.0,14584679.25,70.0
15318.0,14602487.25,71.0
15354.0,14602713.75,72.0
15390.0,14602726.5,73.0
15391.0,14603015.25,74.0
15392.0,14603100.75,75.0
15393.0,14603158.5,76.0
15441.0,14603211.0,77.0
15440.0,14603529.25,76.0
15439.0,14603537.75,75.0
15440.0,14603538.0,76.0
15441.0,14603542.5,77.0
15393.0,14603678.0,76.0
15392.0,14604026.0,75.0
15391.0,14604030.5,74.0
15392.0,14604165.75,75.0
15356.0,14604310.75,74.0
15355.0,14604316.5,73.0
15319.0,14604386.5,72.0
15559.0,14604803.25,73.0
15799.0,14604826.5,74.0
16039.0,14604855.0,75.0
16279.0,14604879.75,76.0
16519.0,14604900.75,77.0
16759.0,14604962.25,78.0
16999.0,14604963.75,79.0
17239.0,14604966.75,80.0
17479.0,14604969.0,81.0
17480.0,14605149.75,82.0
17880.0,14605212.75,83.0
17960.0,14605287.0,84.0
18040.0,14605307.25,85.0
17960.0,14605357.0,84.0
17959.0,14605365.75,83.0
18039.0,14605387.5,84.0
18179.0,14606055.0,87.0
20579.0,14606055.75,91.0
23139.0,14606056.5,92.0
23039.0,14606145.0,90.0
21759.0,14606175.5,90.0
21719.0,14606178.0,89.0
21559.0,14606178.75,88.0
21239.0,14606189.75,87.0
19959.0,14606200.75,86.0
19319.0,14606220.75,85.0
23159.0,14606319.5,85.0
23179.0,14606413.5,86.0
23180.0,14606418.0,87.0
23179.0,14606456.75,86.0
23159.0,14606743.5,85.0
23179.0,14606831.25,86.0
23178.0,14606918.0,85.0
23478.0,14607279.75,86.0
23458.0,14607293.25,85.0
23158.0,14607363.75,84.0
23178.0,14608050.0,85.0
23218.0,14608053.75,86.0
23778.0,14608054.5,89.0
23778.0,14608119.5,92.0
23758.0,14608207.0,91.0
23678.0,14608234.5,90.0
21758.0,14608238.5,89.0
22998.0,14608249.75,89.0
22838.0,14608250.5,88.0
21558.0,14608260.5,87.0
23798.0,14608282.5,87.0
21238.0,14608394.5,86.0
19318.0,14608466.5,84.0
