id,Arrival,Start,Completion,No_of_expansion,No_of_shrinkage,Wait_time,Turn_around_time,Exe_time
81.0,281687.9,281687.9,281939.9,0.0,0.0,0.0,252.0,252.0
82.0,281975.85000000003,281975.85000000003,282018.85000000003,0.0,0.0,0.0,43.0,43.0
83.0,282016.8,282016.8,282036.8,0.0,0.0,0.0,20.0,20.0
84.0,282018.10000000003,282018.10000000003,282038.10000000003,0.0,0.0,0.0,20.0,20.0
85.0,282018.75,282018.75,282038.75,0.0,0.0,0.0,20.0,20.0
88.0,282042.15,282042.15,282062.15,0.0,0.0,0.0,20.0,20.0
86.0,282041.5,282041.5,282062.5,0.0,0.0,0.0,21.0,21.0
87.0,282041.5,282041.5,282062.5,0.0,0.0,0.0,21.0,21.0
89.0,282042.8,282042.8,282062.8,0.0,0.0,0.0,20.0,20.0
90.0,282042.8,282042.8,282064.8,0.0,0.0,0.0,22.0,22.0
93.0,282044.10000000003,282044.10000000003,282065.10000000003,0.0,0.0,0.0,21.0,21.0
94.0,282044.10000000003,282044.10000000003,282065.10000000003,0.0,0.0,0.0,21.0,21.0
91.0,282043.45,282043.45,282065.45,0.0,0.0,0.0,22.0,22.0
92.0,282043.45,282043.45,282065.45,0.0,0.0,0.0,22.0,22.0
74.0,280145.45,280145.45,282536.83108192356,1.0,0.0,0.0,2391.3810819235514,2391.3810819235514
97.0,282569.95,282569.95,282580.95,0.0,0.0,0.0,11.0,11.0
98.0,282571.25,282571.25,282582.25,0.0,0.0,0.0,11.0,11.0
100.0,282572.55,282572.55,282583.55,0.0,0.0,0.0,11.0,11.0
99.0,282571.9,282571.9,282583.9,0.0,0.0,0.0,12.0,12.0
101.0,282573.85000000003,282573.85000000003,282584.85000000003,0.0,0.0,0.0,11.0,11.0
102.0,282574.5,282574.5,282585.5,0.0,0.0,0.0,11.0,11.0
59.0,280142.2,280142.2,282591.23973757296,1.0,0.0,0.0,2449.0397375729517,2449.0397375729517
103.0,282642.10000000003,282642.10000000003,282652.10000000003,0.0,0.0,0.0,10.0,10.0
68.0,280144.15,280144.15,282653.4940067358,1.0,0.0,0.0,2509.3440067357733,2509.3440067357733
65.0,280143.5,280143.5,282797.5155619908,1.0,0.0,0.0,2654.015561990789,2654.015561990789
104.0,282794.85000000003,282794.85000000003,283378.85000000003,0.0,0.0,0.0,584.0,584.0
106.0,282802.65,282802.65,283395.65,0.0,0.0,0.0,593.0,593.0
105.0,282798.75,282798.75,283397.75,0.0,0.0,0.0,599.0,599.0
79.0,280704.45,280704.45,283406.45,0.0,0.0,0.0,2702.0,2702.0
115.0,283288.85000000003,283288.85000000003,283449.85000000003,0.0,0.0,0.0,161.0,161.0
114.0,282982.05,282982.05,283876.05,0.0,0.0,0.0,894.0,894.0
51.0,279759.35000000003,279759.35000000003,283888.9466702709,4.0,0.0,0.0,4129.596670270839,4129.596670270839
107.0,282847.5,282847.5,283889.5,0.0,0.0,0.0,1042.0,1042.0
110.0,282866.35000000003,282866.35000000003,283957.35000000003,0.0,0.0,0.0,1091.0,1091.0
108.0,282851.4,282851.4,283970.4,0.0,0.0,0.0,1119.0,1119.0
96.0,282385.35000000003,282385.35000000003,284134.35000000003,0.0,0.0,0.0,1749.0,1749.0
109.0,282855.3,282855.3,284306.3,0.0,0.0,0.0,1451.0,1451.0
71.0,280144.8,280144.8,284613.55183707003,2.0,0.0,0.0,4468.751837070042,4468.751837070042
118.0,284769.55,284769.55,284786.55,0.0,0.0,0.0,17.0,17.0
119.0,284856.65,284856.65,285027.65,0.0,0.0,0.0,171.0,171.0
113.0,282911.85000000003,282911.85000000003,285211.78589052113,1.0,0.0,0.0,2299.9358905210975,2299.9358905210975
120.0,285084.8,285084.8,285316.8,0.0,0.0,0.0,232.0,232.0
62.0,280142.85000000003,280142.85000000003,285570.38310173404,3.0,1.0,0.0,5427.533101734007,5427.533101734007
80.0,280983.3,280983.3,285702.78598239785,2.0,0.0,0.0,4719.485982397862,4719.485982397862
9.0,228987.85,228987.85,285841.4935345729,1.0,0.0,0.0,56853.64353457288,56853.64353457288
123.0,285747.15,285747.15,285848.15,0.0,0.0,0.0,101.0,101.0
121.0,285629.5,285629.5,285863.5,0.0,0.0,0.0,234.0,234.0
125.0,285814.10000000003,285814.10000000003,285978.97054769425,3.0,0.0,0.0,164.8705476942123,164.8705476942123
148.0,286057.2,286057.2,286067.2,0.0,0.0,0.0,10.0,10.0
135.0,285868.7,285868.7,286103.1521006564,1.0,0.0,0.0,234.45210065640276,234.45210065640276
147.0,285927.85000000003,285927.85000000003,286157.85000000003,0.0,0.0,0.0,230.0,230.0
126.0,285827.10000000003,285827.10000000003,286179.10000000003,0.0,0.0,0.0,352.0,352.0
47.0,279758.7,279758.7,286358.7,0.0,0.0,0.0,6600.0,6600.0
117.0,284392.55,284392.55,286388.172382486,3.0,1.0,0.0,1995.6223824860062,1995.6223824860062
50.0,279759.35000000003,279759.35000000003,286395.35000000003,0.0,0.0,0.0,6636.0,6636.0
146.0,285885.60000000003,285885.60000000003,286408.33548509557,1.0,0.0,0.0,522.7354850955307,522.7354850955307
46.0,279758.05,279758.05,286436.05,0.0,0.0,0.0,6678.0,6678.0
133.0,285861.55,285861.55,286476.55,0.0,0.0,0.0,615.0,615.0
134.0,285865.45,285865.45,286511.45,0.0,0.0,0.0,646.0,646.0
28.0,277866.55,277866.55,286548.72643495305,1.0,0.0,0.0,8682.176434953057,8682.176434953057
129.0,285841.4,285841.4,286555.4,0.0,0.0,0.0,714.0,714.0
49.0,279758.7,279758.7,286566.7,0.0,0.0,0.0,6808.0,6808.0
130.0,285845.3,285845.3,286592.3,0.0,0.0,0.0,747.0,747.0
116.0,283533.25,283533.25,286601.48639891803,1.0,0.0,0.0,3068.2363989180303,3068.2363989180303
45.0,279758.05,279758.05,286607.05,0.0,0.0,0.0,6849.0,6849.0
149.0,286094.9,286094.9,286650.8012981466,1.0,0.0,0.0,555.9012981465785,555.9012981465785
131.0,285849.85000000003,285849.85000000003,286734.85000000003,0.0,0.0,0.0,885.0,885.0
44.0,279758.05,279758.05,286746.05,0.0,0.0,0.0,6988.0,6988.0
111.0,282870.25,282870.25,286759.25,0.0,0.0,0.0,3889.0,3889.0
48.0,279758.7,279758.7,286769.7,0.0,0.0,0.0,7011.0,7011.0
53.0,280140.9,280140.9,286840.9,0.0,0.0,0.0,6700.0,6700.0
140.0,285875.2,285875.2,286895.87407899246,1.0,0.0,0.0,1020.6740789924515,1020.6740789924515
144.0,285879.75,285879.75,286896.75,0.0,0.0,0.0,1017.0,1017.0
145.0,285882.35000000003,285882.35000000003,287187.35000000003,0.0,0.0,0.0,1305.0,1305.0
56.0,280141.55,280141.55,287273.55,0.0,0.0,0.0,7132.0,7132.0
27.0,277156.75,277156.75,287298.75,0.0,0.0,0.0,10142.0,10142.0
95.0,282059.7,282059.7,287426.15606474574,2.0,0.0,0.0,5366.456064745726,5366.456064745726
141.0,285875.2,285875.2,287512.2137369812,2.0,0.0,0.0,1637.0137369812,1637.0137369812
38.0,277869.15,277869.15,287543.9196007832,1.0,0.0,0.0,9674.769600783184,9674.769600783184
78.0,280452.9,280452.9,287662.9,0.0,0.0,0.0,7210.0,7210.0
29.0,277867.2,277867.2,287664.7374979213,1.0,0.0,0.0,9797.537497921265,9797.537497921265
32.0,277867.85000000003,277867.85000000003,287768.24579487904,1.0,0.0,0.0,9900.395794879005,9900.395794879005
137.0,285874.55,285874.55,287774.72548570955,1.0,0.0,0.0,1900.1754857095657,1900.1754857095657
139.0,285874.55,285874.55,287778.55,0.0,0.0,0.0,1904.0,1904.0
152.0,287607.45,287607.45,287786.45,0.0,0.0,0.0,179.0,179.0
142.0,285875.2,285875.2,287906.8992696776,1.0,0.0,0.0,2031.6992696775706,2031.6992696775706
40.0,277869.15,277869.15,288234.9205362016,1.0,0.0,0.0,10365.770536201599,10365.770536201599
122.0,285660.7,285660.7,288283.47026239726,1.0,0.0,0.0,2622.7702623972436,2622.7702623972436
34.0,277867.85000000003,277867.85000000003,288346.8780771424,1.0,0.0,0.0,10479.028077142371,10479.028077142371
42.0,277869.8,277869.8,288413.7797118514,1.0,0.0,0.0,10543.979711851396,10543.979711851396
153.0,288658.5,288658.5,288836.5,0.0,0.0,0.0,178.0,178.0
136.0,285873.9,285873.9,288960.7409628342,3.0,0.0,0.0,3086.8409628341906,3086.8409628341906
138.0,285874.55,285874.55,289025.30456540495,2.0,0.0,0.0,3150.754565404961,3150.754565404961
156.0,289181.10000000003,289181.10000000003,289237.10000000003,0.0,0.0,0.0,56.0,56.0
