cores,time,running_job_len
2.0,0.0,1.0
4.0,1546.268975,2.0
2.0,1617.23253,1.0
5.0,2531.770434,2.0
16.0,4557.200278,3.0
33.0,8173.286770999999,4.0
24.0,8204.30417,3.0
22.0,8497.339534,2.0
28.0,10097.353151000001,3.0
22.0,10104.528883,2.0
15.0,11677.722558833704,1.0
22.0,24490.833475,2.0
15.0,24922.560338,1.0
27.0,32108.691970999997,2.0
15.0,32118.616121999996,1.0
17.0,41858.397611,2.0
15.0,43974.250297,1.0
21.0,47967.380732,2.0
15.0,48727.13936,1.0
17.0,61835.327976,2.0
23.0,64765.905015,3.0
8.0,65065.00160967539,2.0
15.0,81885.077125,3.0
12.0,83439.145924,2.0
27.0,84939.980839,3.0
12.0,84974.771675,2.0
5.0,88593.59478344968,1.0
8.0,95517.66192,2.0
28.0,95838.474605,3.0
12.0,95846.845901,2.0
36.0,100351.957049,3.0
31.0,114610.71031356095,2.0
58.0,129215.42684300001,3.0
55.0,129796.185635,2.0
57.0,148815.087216,3.0
55.0,150006.86976700003,2.0
59.0,151907.230507,3.0
55.0,151923.02088,2.0
7.0,151932.48736069753,1.0
11.0,178365.247238,2.0
21.0,181012.34369,3.0
16.0,181109.970489,2.0
21.0,186095.052545,3.0
16.0,186135.246435,2.0
9.0,197869.50838918687,1.0
12.0,218987.375519,2.0
19.0,221162.888344,3.0
16.0,222070.39629200002,2.0
9.0,223354.88151872117,1.0
34.0,230305.32452199998,2.0
82.0,237560.24503899997,3.0
33.0,238612.1837361563,2.0
61.0,249816.01005799999,3.0
57.0,264075.836778,2.0
61.0,278799.545185,3.0
57.0,279093.655235,2.0
61.0,295855.854139,3.0
57.0,302008.050275,2.0
60.0,311060.113114,3.0
57.0,311096.248358,2.0
9.0,326597.4258867966,1.0
0.0,335470.48567054083,0.0
9.0,344422.08899099997,1.0
23.0,348190.32976500003,2.0
19.0,349337.71918500005,1.0
41.0,356715.464288,2.0
90.0,386598.377942,3.0
137.0,389033.640244,4.0
139.0,392892.25996399997,5.0
137.0,393552.836594,4.0
117.0,397823.689111,3.0
129.0,410910.40978499997,4.0
146.0,423895.913052,5.0
142.0,425362.981057,4.0
166.0,428985.51196,5.0
142.0,428990.52400399995,4.0
149.0,435202.75090200006,5.0
163.0,436647.91018199996,6.0
157.0,436749.483225,5.0
142.0,438082.2415030533,4.0
160.0,444467.81678900006,5.0
142.0,445125.36093900003,4.0
145.0,448485.481804,5.0
176.0,468213.172405,6.0
206.0,468325.060212,7.0
203.0,468331.05193799996,6.0
149.0,475216.91321632254,5.0
95.0,477614.19790266483,4.0
97.0,496787.551474,5.0
99.0,497029.682463,6.0
97.0,498068.14755999995,5.0
90.0,498860.6125936423,4.0
88.0,499360.026622,3.0
96.0,502168.10692600004,4.0
107.0,503455.497975,5.0
104.0,503463.78543,4.0
106.0,506262.21471499995,5.0
104.0,506359.69372599997,4.0
118.0,517867.57099,5.0
120.0,530265.412517,6.0
136.0,530867.344187,7.0
123.0,531089.707462,6.0
135.0,531589.582124,7.0
130.0,540002.756691855,6.0
132.0,546788.926654,7.0
113.0,546895.2511290105,6.0
111.0,547426.3345229999,5.0
125.0,551608.9814180001,6.0
111.0,551663.5349740001,5.0
120.0,559261.260935,6.0
106.0,561956.580648,5.0
119.0,575221.572531,6.0
116.0,578148.458682,5.0
104.0,578522.0521399999,4.0
106.0,582686.01914,5.0
104.0,582717.000034,4.0
133.0,583480.466156,5.0
104.0,583499.469822,4.0
106.0,609585.361373,5.0
115.0,615822.044928,6.0
128.0,624381.068125,7.0
140.0,649696.776466,8.0
135.0,649755.636728,7.0
144.0,662270.6038,8.0
146.0,663519.938949,9.0
144.0,663850.410394,8.0
161.0,666619.230917,9.0
148.0,679482.1245469291,8.0
104.0,681060.6654149913,7.0
106.0,688543.973412,8.0
104.0,688701.278177,7.0
107.0,694373.86635,8.0
104.0,694378.514493,7.0
107.0,707601.724555,8.0
104.0,707621.72304,7.0
106.0,711025.223122,8.0
122.0,731316.0958680001,9.0
109.0,731361.19804,8.0
137.0,734731.016167,9.0
195.0,755630.569089,10.0
228.0,761496.647187,11.0
223.0,762857.5664667562,10.0
214.0,764706.815131,9.0
153.0,767115.3034795665,8.0
179.0,772803.1008649999,9.0
157.0,772817.997929,8.0
174.0,784322.663448,9.0
157.0,784478.273364,8.0
150.0,787312.288024786,7.0
166.0,799753.805341,8.0
197.0,801528.272292,9.0
165.0,807597.6725851492,8.0
196.0,809134.798499,9.0
166.0,818322.580604026,8.0
153.0,837076.2629104053,7.0
182.0,847350.517598,8.0
224.0,854328.219573,9.0
256.0,856685.2948220001,10.0
201.0,862321.5536931035,9.0
223.0,883731.988164,10.0
242.0,888851.32972,11.0
229.0,891019.7810683628,10.0
238.0,894496.695292,11.0
246.0,902564.508384,12.0
243.0,903064.596732,11.0
234.0,912277.96601791,10.0
237.0,925198.407553,11.0
254.0,933322.495019,12.0
256.0,934334.3014079999,13.0
249.0,944155.9000974802,12.0
256.0,944156.9451761128,15.0
250.0,944281.0626934802,14.0
256.0,965094.2662841728,18.0
245.0,965091.4634678747,17.0
217.0,965092.6051573143,16.0
196.0,965505.4584401727,15.0
256.0,965889.317573,16.0
227.0,965939.106349,15.0
220.0,974126.8548197177,14.0
256.0,979239.193437,15.0
251.0,979245.7873150001,14.0
256.0,987907.418525,15.0
254.0,987985.947573,14.0
224.0,989323.2891243891,13.0
256.0,1005802.799475,14.0
256.0,1013347.10576869,14.0
247.0,1017569.57489969,13.0
256.0,1017570.5028008672,15.0
240.0,1017752.9156468672,14.0
256.0,1027478.531266,15.0
253.0,1027483.007888,14.0
256.0,1040121.739665,15.0
254.0,1040136.855304,14.0
256.0,1040228.541375,15.0
254.0,1042852.4329070001,14.0
256.0,1053702.583427,15.0
254.0,1058535.267133,14.0
256.0,1066417.6581911924,16.0
251.0,1069352.8161141924,15.0
256.0,1085533.9045664861,19.0
242.0,1085537.0579336104,18.0
240.0,1085577.566397,17.0
224.0,1091360.166241351,16.0
256.0,1097734.531175,17.0
241.0,1113517.4921372838,16.0
256.0,1113520.3609738797,20.0
249.0,1118519.1345558797,19.0
256.0,1122945.746665,20.0
249.0,1123145.2126936025,19.0
256.0,1142183.780839826,22.0
253.0,1142207.237884,21.0
223.0,1142327.541289826,20.0
256.0,1143850.292751,21.0
253.0,1144065.8668840001,20.0
211.0,1146270.1937235144,19.0
197.0,1159148.4302111445,18.0
256.0,1175104.128423,19.0
251.0,1175604.916439,18.0
256.0,1176044.656586,19.0
256.0,1195579.2679920448,19.0
243.0,1195871.0797790447,18.0
236.0,1207301.1617178207,17.0
256.0,1214893.756866,18.0
256.0,1229314.0274480574,21.0
249.0,1229517.2608150574,20.0
245.0,1229520.8207940573,19.0
234.0,1229535.5445540575,18.0
256.0,1231654.0809219999,19.0
253.0,1231882.714497,18.0
256.0,1233224.1301280002,19.0
251.0,1235952.8729603277,18.0
249.0,1240487.00252,17.0
256.0,1242983.7681161095,19.0
249.0,1242988.379118,18.0
225.0,1243033.5347791095,17.0
256.0,1248280.398273,18.0
231.0,1249256.5889377906,17.0
256.0,1254864.310802,18.0
246.0,1256287.3908488182,17.0
241.0,1259955.0380910002,16.0
256.0,1280238.0270130087,18.0
254.0,1281257.103647,17.0
256.0,1293949.3551892545,17.0
210.0,1314993.7202617207,16.0
256.0,1314994.207411101,20.0
254.0,1315040.9218907207,19.0
243.0,1317311.8946837208,18.0
212.0,1317665.5772267208,17.0
203.0,1327132.5621181012,16.0
256.0,1340003.611469,17.0
248.0,1352429.8659060001,16.0
256.0,1352431.1240246752,18.0
236.0,1353336.223513486,17.0
256.0,1353489.2878780002,18.0
237.0,1353772.362295,17.0
231.0,1354297.5639054407,16.0
256.0,1365504.390139,17.0
224.0,1389710.3628930054,16.0
256.0,1389711.6016315229,19.0
240.0,1389734.4776190054,18.0
215.0,1389787.949786523,17.0
256.0,1396316.622383,18.0
237.0,1403223.436922,17.0
256.0,1412127.776883,18.0
230.0,1503444.4556426548,17.0
256.0,1503475.5350141756,28.0
254.0,1503475.874505741,27.0
251.0,1503499.0636770756,26.0
248.0,1503518.509372519,25.0
229.0,1503762.4829756548,24.0
224.0,1504288.475102655,23.0
219.0,1504843.265379237,22.0
194.0,1506895.4782121757,21.0
256.0,1510411.344612,22.0
244.0,1510496.043764,21.0
224.0,1512471.7020285162,20.0
216.0,1512589.6700669976,19.0
256.0,1518374.2707180001,20.0
238.0,1518407.9258750002,19.0
256.0,1522953.9223129998,20.0
248.0,1523008.9814769998,19.0
256.0,1530426.7607790001,20.0
243.0,1534751.909833685,19.0
241.0,1536024.563521,18.0
256.0,1550931.241911,19.0
252.0,1552668.8154442257,18.0
250.0,1553591.2232910001,17.0
199.0,1563802.928444295,16.0
256.0,1576439.822184,17.0
237.0,1577056.238678,16.0
256.0,1578630.3004513225,18.0
224.0,1579394.6543623225,17.0
256.0,1581266.6308600002,18.0
243.0,1581989.067952,17.0
256.0,1613872.891776,18.0
254.0,1652017.2528600253,17.0
256.0,1652023.7973625057,22.0
254.0,1652078.6220688913,21.0
251.0,1652116.2745155739,20.0
235.0,1657776.8735905057,19.0
219.0,1668722.550498634,18.0
203.0,1671650.0637948017,17.0
186.0,1675606.8111899998,16.0
256.0,1682414.203909,17.0
244.0,1682419.924444,16.0
256.0,1690263.9186860002,17.0
256.0,1692140.835876,17.0
254.0,1692256.427568,16.0
256.0,1719070.0549040812,21.0
241.0,1720223.396735727,20.0
216.0,1720856.2133435868,19.0
256.0,1726493.002886,20.0
243.0,1726506.4745790001,19.0
256.0,1735306.443931,20.0
252.0,1735491.250182,19.0
256.0,1742856.3308247854,21.0
242.0,1742861.9807817854,20.0
238.0,1744067.4942239998,19.0
256.0,1761618.5935,20.0
252.0,1761987.132036,19.0
242.0,1776642.0147607655,18.0
256.0,1777230.384478,19.0
254.0,1785113.0267816805,18.0
247.0,1823536.4768060767,17.0
256.0,1823536.8200209178,19.0
244.0,1823545.6015539179,18.0
256.0,1825809.291082,19.0
251.0,1825814.6476919998,18.0
256.0,1838877.054114002,18.0
230.0,1841374.236383252,17.0
256.0,1845726.2315900002,18.0
240.0,1848370.5699630002,17.0
256.0,1853084.1196599999,18.0
256.0,1887063.815340366,19.0
247.0,1887128.587122366,18.0
256.0,1909590.3016463767,18.0
238.0,1909827.9932523768,17.0
256.0,1920810.351713,18.0
244.0,1924127.14905015,17.0
239.0,1932144.7935859999,16.0
256.0,1933215.497324,17.0
231.0,1958882.7239534382,16.0
