cores,time,running_job_len
2.0,0.0,1.0
4.0,1546.268975,2.0
2.0,1617.23253,1.0
5.0,2531.770434,2.0
12.0,4557.200278,3.0
29.0,8173.286770999999,4.0
20.0,8204.30417,3.0
18.0,8497.339534,2.0
24.0,10097.353151000001,3.0
18.0,10104.528883,2.0
15.0,20540.870569,1.0
22.0,24490.833475,2.0
15.0,24826.13846258121,1.0
27.0,32108.691970999997,2.0
15.0,32118.616121999996,1.0
17.0,41858.397611,2.0
15.0,43974.250297,1.0
21.0,47967.380732,2.0
15.0,48727.13936,1.0
17.0,61835.327976,2.0
20.0,64765.905015,3.0
5.0,65283.395088241596,2.0
9.0,81885.077125,3.0
7.0,83439.145924,2.0
22.0,84939.980839,3.0
8.0,84975.8342386781,2.0
2.0,89544.02269405476,1.0
5.0,95517.66192,2.0
21.0,95838.474605,3.0
5.0,95846.845901,2.0
29.0,100351.957049,3.0
56.0,129215.42684300001,4.0
53.0,129796.185635,3.0
55.0,148815.087216,4.0
53.0,150006.86976700003,3.0
57.0,151907.230507,4.0
53.0,151924.86511925946,3.0
5.0,151954.1988817871,2.0
9.0,178365.247238,3.0
14.0,181012.34369,4.0
9.0,181091.94051194264,3.0
7.0,185816.60065,2.0
12.0,186095.052545,3.0
7.0,186131.57398190492,2.0
10.0,218987.375519,3.0
17.0,221162.888344,4.0
14.0,221893.79113915664,3.0
7.0,223375.72899761357,2.0
32.0,230305.32452199998,3.0
56.0,237560.24503899997,4.0
31.0,239572.799049,3.0
59.0,249816.01005799999,4.0
55.0,264075.836778,3.0
59.0,278799.545185,4.0
55.0,279093.655235,3.0
59.0,295855.854139,4.0
55.0,302008.050275,3.0
58.0,311060.113114,4.0
57.0,311102.6329461203,3.0
9.0,326078.4783158424,2.0
6.0,327111.14447500004,1.0
15.0,344422.08899099997,2.0
29.0,348190.32976500003,3.0
25.0,349053.16660651524,2.0
47.0,356715.464288,3.0
98.0,386598.377942,4.0
118.0,389033.640244,5.0
120.0,392892.25996399997,6.0
118.0,393408.4440137959,5.0
98.0,397823.689111,4.0
110.0,410910.40978499997,5.0
114.0,423895.913052,6.0
110.0,424959.49235981307,5.0
134.0,428985.51196,6.0
110.0,428990.52400399995,5.0
102.0,431495.6334150425,4.0
109.0,435202.75090200006,5.0
115.0,436647.91018199996,6.0
112.0,436749.483225,5.0
102.0,439321.71274709614,4.0
120.0,444467.81678900006,5.0
102.0,445125.36093900003,4.0
105.0,448485.481804,5.0
136.0,468213.172405,6.0
166.0,468325.060212,7.0
163.0,468331.05193799996,6.0
109.0,477560.60488170444,5.0
111.0,496787.551474,6.0
113.0,497029.682463,7.0
111.0,498068.14755999995,6.0
104.0,498589.9189833779,5.0
102.0,499360.026622,4.0
110.0,502168.10692600004,5.0
121.0,503455.497975,6.0
118.0,503463.78543,5.0
120.0,506262.21471499995,6.0
118.0,506359.69372599997,5.0
132.0,517867.57099,6.0
148.0,530265.412517,7.0
164.0,530867.344187,8.0
151.0,531051.4588822633,7.0
163.0,531589.582124,8.0
158.0,539967.2656158857,7.0
130.0,546452.0268025708,6.0
132.0,546788.926654,7.0
130.0,547426.3345229999,6.0
111.0,547953.9706632158,5.0
125.0,551608.9814180001,6.0
111.0,551662.2944847938,5.0
84.0,558358.5564840001,4.0
93.0,559261.260935,5.0
96.0,575221.572531,6.0
93.0,578148.458682,5.0
81.0,578522.0521399999,4.0
83.0,582686.01914,5.0
81.0,582719.1724839885,4.0
110.0,583480.466156,5.0
81.0,583499.469822,4.0
83.0,609585.361373,5.0
89.0,615822.044928,6.0
95.0,624381.068125,7.0
107.0,649696.776466,8.0
102.0,649748.6935398257,7.0
111.0,662270.6038,8.0
113.0,663519.938949,9.0
111.0,663850.410394,8.0
128.0,666619.230917,9.0
115.0,679377.68183964,8.0
71.0,681594.0794758227,7.0
73.0,688543.973412,8.0
71.0,688668.4745143992,7.0
74.0,694373.86635,8.0
71.0,694378.514493,7.0
74.0,707601.724555,8.0
71.0,707621.72304,7.0
73.0,711025.223122,8.0
86.0,731316.0958680001,9.0
73.0,731363.1982825019,8.0
101.0,734731.016167,9.0
159.0,755630.569089,10.0
193.0,761496.647187,11.0
184.0,764706.815131,10.0
123.0,767124.1462371809,9.0
149.0,772803.1008649999,10.0
127.0,772820.1694664686,9.0
144.0,784322.663448,10.0
127.0,784449.0385230946,9.0
120.0,787502.4001804804,8.0
138.0,799753.805341,9.0
169.0,801528.272292,10.0
137.0,807603.8325211437,9.0
168.0,809134.798499,10.0
139.0,818383.324266767,9.0
153.0,847350.517598,10.0
195.0,854328.219573,11.0
201.0,856685.2948220001,12.0
172.0,864487.4414761843,11.0
167.0,869887.7503008737,10.0
191.0,883731.988164,11.0
210.0,888851.32972,12.0
197.0,891018.139440624,11.0
206.0,894496.695292,12.0
209.0,902564.508384,13.0
206.0,903064.596732,12.0
197.0,912423.1226578518,11.0
200.0,925198.407553,12.0
213.0,933322.495019,13.0
216.0,934334.3014079999,14.0
226.0,934457.1312909999,15.0
238.0,934513.768815,16.0
225.0,934548.5246101379,15.0
240.0,938052.600808,16.0
256.0,949324.356568,17.0
256.0,949326.6593224001,17.0
256.0,949328.4299871877,17.0
256.0,949329.9547392429,17.0
256.0,949331.2983988401,17.0
229.0,949335.5888130945,16.0
256.0,957776.465821,16.0
228.0,957779.859514,15.0
256.0,961523.781542,16.0
256.0,961692.37032596,16.0
256.0,961767.9776576019,16.0
256.0,961804.8246576013,16.0
214.0,961851.3068924774,15.0
250.0,965083.8521489999,16.0
247.0,980369.4071635084,15.0
256.0,980370.911474121,17.0
251.0,980376.0010415084,16.0
222.0,980420.7002501211,15.0
212.0,980567.2712211651,14.0
239.0,987907.418525,15.0
237.0,987985.947573,14.0
207.0,990497.7345045151,13.0
226.0,1005802.799475,14.0
235.0,1008941.004636,15.0
226.0,1013163.473767,14.0
242.0,1013377.219485,15.0
226.0,1013559.6323310001,14.0
238.0,1015430.394258,15.0
256.0,1027478.531266,16.0
256.0,1037893.729273845,16.0
253.0,1027483.007888,15.0
256.0,1040121.739665,16.0
254.0,1040136.855304,15.0
256.0,1040228.541375,16.0
256.0,1041278.0979878,16.0
256.0,1041713.9047227841,16.0
252.0,1042189.5957400881,15.0
256.0,1053702.583427,16.0
254.0,1058535.267133,15.0
246.0,1082012.280224129,14.0
256.0,1082017.311086528,19.0
256.0,1082018.5672122124,19.0
256.0,1082019.75137995,19.0
232.0,1082023.4538965002,18.0
227.0,1084947.438147129,17.0
256.0,1085529.219559,18.0
254.0,1085577.566397,17.0
234.0,1089491.9703410752,16.0
256.0,1097734.531175,17.0
240.0,1112304.241903516,16.0
256.0,1112305.5790156384,20.0
251.0,1119282.7948238584,19.0
256.0,1121888.9186208085,19.0
256.0,1125561.2776241573,19.0
256.0,1126147.9978456057,19.0
256.0,1129657.6103968602,21.0
256.0,1129708.321807105,21.0
256.0,1129731.322456053,21.0
256.0,1129742.9865703788,21.0
256.0,1129749.6537958037,21.0
256.0,1129760.0264518321,21.0
238.0,1129998.4342784605,20.0
217.0,1132507.7585516374,19.0
256.0,1142181.106231,20.0
256.0,1142710.5607831166,20.0
253.0,1142207.237884,19.0
224.0,1142792.2636441756,18.0
256.0,1143850.292751,19.0
256.0,1161949.9405571895,19.0
256.0,1143936.5224042002,19.0
256.0,1143976.648462493,19.0
251.0,1144027.491118769,18.0
216.0,1164078.5895281266,17.0
256.0,1175104.128423,18.0
256.0,1175304.4436294,18.0
256.0,1175391.808721456,18.0
247.0,1175496.0008294606,17.0
256.0,1176044.656586,18.0
256.0,1178206.6008082,18.0
256.0,1184398.245015439,18.0
251.0,1213069.2930768544,17.0
256.0,1223232.6846263816,21.0
256.0,1223313.9779731815,21.0
256.0,1223348.9859197445,21.0
256.0,1223365.7163272195,21.0
240.0,1223388.1929458748,20.0
256.0,1223494.03619,21.0
256.0,1223576.7535283999,21.0
243.0,1223587.5254243074,20.0
237.0,1223652.2454615373,19.0
256.0,1229126.9019,20.0
245.0,1229348.419006,19.0
256.0,1231654.0809219999,20.0
256.0,1231745.5343519999,20.0
256.0,1231789.1500604288,20.0
251.0,1231842.1301947974,19.0
256.0,1233224.1301280002,20.0
254.0,1235983.5833520002,19.0
252.0,1240487.00252,18.0
256.0,1254871.4343346888,22.0
249.0,1254873.2865082775,21.0
256.0,1254888.8929223255,21.0
256.0,1254897.4782229422,21.0
256.0,1254902.377224876,21.0
208.0,1254912.3040751358,20.0
186.0,1255133.6764512144,19.0
166.0,1262519.5922860918,18.0
163.0,1263302.5464019417,17.0
256.0,1265451.330593,18.0
256.0,1284712.0149785844,18.0
256.0,1288656.1269460996,19.0
254.0,1289675.6805880996,18.0
256.0,1295726.373617,19.0
256.0,1295745.2542686,19.0
256.0,1295754.1598585555,19.0
256.0,1295759.6335058112,19.0
251.0,1295768.589063557,18.0
235.0,1302096.4393851727,17.0
256.0,1305605.614049,18.0
245.0,1307923.788471,17.0
256.0,1313882.2902458222,19.0
225.0,1316554.1472108222,18.0
216.0,1326019.5449990002,17.0
189.0,1339770.1102202989,16.0
256.0,1340003.611469,17.0
256.0,1344974.1132438001,17.0
256.0,1347157.047697011,17.0
256.0,1347618.2055620824,17.0
256.0,1348190.4479470681,17.0
256.0,1348703.44889783,17.0
236.0,1349361.963472239,16.0
256.0,1349362.9190596147,18.0
236.0,1349819.630033528,17.0
231.0,1351385.0808442389,16.0
256.0,1353489.2878780002,17.0
237.0,1353772.362295,16.0
256.0,1365504.390139,17.0
256.0,1367978.4038100147,17.0
256.0,1376796.2407221296,17.0
256.0,1380924.2038351288,17.0
212.0,1386148.088021468,16.0
256.0,1386148.9337062722,19.0
240.0,1386172.202747468,18.0
256.0,1386202.755403751,18.0
256.0,1386207.9141342132,18.0
199.0,1386218.5596601767,17.0
256.0,1396316.622383,18.0
237.0,1403223.436922,17.0
256.0,1412127.776883,18.0
256.0,1432005.5858662736,18.0
235.0,1526830.7790690095,17.0
256.0,1526852.9149338068,27.0
256.0,1526853.4382422785,27.0
256.0,1526854.942898788,27.0
256.0,1526859.361139922,27.0
253.0,1526884.0320671126,26.0
250.0,1526903.1167878069,25.0
256.0,1526947.0063729216,25.0
256.0,1526974.2304357698,25.0
245.0,1527001.865535562,24.0
256.0,1527095.6308765041,24.0
256.0,1527181.791482774,24.0
256.0,1527328.1141373569,24.0
256.0,1527396.5154453001,24.0
245.0,1527491.925211903,23.0
256.0,1530427.3789391674,25.0
256.0,1530461.2585999675,25.0
256.0,1530477.5966311058,25.0
