cores,time,running_job_len
240.0,16487744.95,1.0
440.0,16489263.05,2.0
240.0,16489379.05,1.0
241.0,16491375.3,2.0
240.0,16491837.3,1.0
241.0,16492028.1,2.0
240.0,16492274.1,1.0
276.0,16492499.0,2.0
240.0,16492571.681841973,1.0
276.0,16492587.4,2.0
277.0,16492618.0,3.0
241.0,16492660.60604319,2.0
281.0,16492765.9,3.0
276.0,16492772.249113519,2.0
240.0,16492852.004434062,1.0
276.0,16492888.3,2.0
277.0,16492920.6,3.0
241.0,16492990.3,2.0
279.0,16493034.5,3.0
276.0,16493086.451730652,2.0
324.0,16493232.55,3.0
276.0,16493257.699209442,2.0
347.0,16493363.45,3.0
276.0,16493373.266821912,2.0
312.0,16493378.75,3.0
315.0,16493407.65,4.0
351.0,16493494.35,5.0
349.0,16493579.85669173,4.0
347.0,16493771.56988713,3.0
383.0,16493776.55,4.0
454.0,16493791.0,5.0
394.0,16494245.306547463,4.0
323.0,16494650.563770862,3.0
2311.0,16494799.95,4.0
4212.0,16494828.85,5.0
4414.0,16494990.35,6.0
4411.0,16495079.573501797,5.0
4211.0,16495136.35,4.0
4176.0,16495156.112301702,3.0
4140.0,16495297.507611519,2.0
4141.0,16495501.2,3.0
4342.0,16495735.8,4.0
4340.0,16495854.432242718,3.0
4140.0,16496035.8,2.0
4340.0,16496371.6,3.0
4140.0,16496555.252181295,2.0
4340.0,16496635.95,3.0
4140.0,16496739.95,2.0
4141.0,16496961.5,3.0
4142.0,16496975.95,4.0
4382.0,16497241.15,5.0
4381.0,16497257.5,4.0
6381.0,16497259.0,5.0
8521.0,16497264.1,6.0
9061.0,16497286.2,7.0
8593.0,16497347.416094858,6.0
8664.0,16497394.399606854,5.0
8277.0,16497395.571078578,4.0
8040.0,16497404.657970773,3.0
8280.0,16497451.1,4.0
8281.0,16497453.65,5.0
8521.0,16497465.55,6.0
8761.0,16497497.85,7.0
9001.0,16497604.95,8.0
11001.0,16497664.45,9.0
11242.0,16497931.35,10.0
11365.0,16497965.35,11.0
11513.0,16498132.019816194,10.0
14234.0,16498388.65,12.0
16532.0,16498405.65,13.0
19052.0,16498406.5,19.0
24048.0,16498408.546397418,21.0
24048.0,16498424.450000001,21.0
24048.0,16498433.748048726,21.0
24048.0,16498448.1,21.0
24015.0,16498448.455856588,20.0
24048.0,16498457.346397419,20.0
24048.0,16498466.685874477,20.0
24048.0,16498493.311457895,21.0
24048.0,16498499.43650896,21.0
24048.0,16498522.022905653,21.0
24048.0,16498558.437588412,21.0
24048.0,16498561.375747873,21.0
24048.0,16498572.514854578,23.0
23661.0,16498595.094686236,22.0
24048.0,16498649.57431981,22.0
24048.0,16498652.5,22.0
23808.0,16498726.85,21.0
24048.0,16498789.85,22.0
24048.0,16498819.949395819,22.0
23736.0,16498827.275551662,21.0
24048.0,16499032.159558263,69.0
24048.0,16498849.485450195,69.0
23424.0,16498851.329390429,68.0
23334.0,16498890.625633888,67.0
23204.0,16498906.26700096,66.0
20349.0,16498911.700787421,65.0
16227.0,16498926.245389206,64.0
16133.0,16498977.42116461,63.0
15493.0,16499006.5,62.0
10373.0,16499130.510458749,61.0
10370.0,16499139.436003473,60.0
17694.0,16499158.75,61.0
17850.0,16499176.6,62.0
17947.0,16499795.369059449,61.0
17908.0,16499802.263910096,60.0
17869.0,16499803.574642811,59.0
17830.0,16499803.69294075,58.0
17791.0,16499805.851835461,57.0
17752.0,16499805.88171186,56.0
17719.0,16499824.740768053,55.0
17686.0,16499825.062516693,54.0
17660.0,16499839.478366619,53.0
20150.0,16499845.55,54.0
20118.0,16499850.993147826,53.0
20079.0,16499855.419885505,52.0
20040.0,16499855.481390335,51.0
16140.0,16499857.506827539,50.0
16107.0,16499872.333282666,49.0
16081.0,16499883.126440369,48.0
16042.0,16499896.062340317,47.0
16003.0,16499901.789007328,46.0
15970.0,16499907.581264973,45.0
15938.0,16499916.271701785,44.0
16022.0,16500024.9,45.0
16042.0,16500030.85,46.0
16036.0,16500077.85,45.0
16142.0,16500103.1,46.0
16107.0,16500104.500895629,45.0
16086.0,16500113.194506943,44.0
16047.0,16500113.215733886,43.0
16207.0,16500117.55,44.0
16168.0,16500119.699182224,43.0
16122.0,16500120.32465458,42.0
16089.0,16500122.83954955,41.0
15997.0,16500123.94902103,40.0
15970.0,16500130.1603424,39.0
16442.0,16500139.65,40.0
16410.0,16500139.689635105,39.0
17122.0,16500147.007130772,38.0
17083.0,16500153.090169206,37.0
17643.0,16500155.8,38.0
18527.0,16500163.45,39.0
18520.0,16500169.310727006,38.0
18487.0,16500172.807875806,37.0
18461.0,16500172.85274295,36.0
20349.0,16500174.5,37.0
20061.0,16500182.334183617,36.0
20052.0,16500192.0466019,35.0
19428.0,16500206.167188456,34.0
19251.0,16500207.40130459,33.0
18003.0,16500211.143521247,32.0
17963.0,16500218.669996947,31.0
17463.0,16500225.122803973,30.0
17429.0,16500240.086007355,29.0
17403.0,16500241.971671386,28.0
17369.0,16500290.343194194,27.0
17343.0,16500299.726084989,26.0
16063.0,16500325.5,25.0
16043.0,16500325.641647646,24.0
16023.0,16500378.275551662,23.0
16003.0,16500390.275551662,22.0
15983.0,16500390.33908122,21.0
15963.0,16500391.465254854,20.0
15944.0,16500404.385976257,19.0
15924.0,16500409.851919606,18.0
15904.0,16500413.796554098,17.0
16504.0,16500436.529622348,16.0
13384.0,16500447.965162681,15.0
13364.0,16500454.37736507,14.0
9464.0,16500492.170051284,13.0
9444.0,16500504.45034049,12.0
9464.0,16500516.2,13.0
9603.0,16500521.3,15.0
12117.0,16500522.15,19.0
20709.0,16500523.0,21.0
20689.0,16500570.198147308,20.0
20650.0,16500573.148408735,19.0
