cores,time,running_job_len
240.0,16487744.95,1.0
440.0,16489263.05,2.0
240.0,16489379.05,1.0
241.0,16491375.3,2.0
240.0,16491837.3,1.0
241.0,16492028.1,2.0
240.0,16492274.1,1.0
276.0,16492499.0,2.0
240.0,16492583.0,1.0
276.0,16492587.4,2.0
277.0,16492618.0,3.0
241.0,16492670.4,2.0
277.0,16492765.9,3.0
276.0,16492845.0,2.0
240.0,16492860.9,1.0
276.0,16492888.3,2.0
277.0,16492920.6,3.0
241.0,16492990.3,2.0
277.0,16493034.5,3.0
276.0,16493168.6,2.0
312.0,16493232.55,3.0
276.0,16493275.5,2.0
312.0,16493363.45,3.0
313.0,16493378.75,4.0
277.0,16493379.55,3.0
278.0,16493407.65,4.0
314.0,16493494.35,5.0
350.0,16493776.55,6.0
386.0,16493791.0,7.0
385.0,16493805.65,6.0
384.0,16493887.75,5.0
2419.0,16494799.95,6.0
2420.0,16494828.85,7.0
2620.0,16494990.35,8.0
2584.0,16495059.45,7.0
2513.0,16495104.184478132,6.0
2313.0,16495136.35,5.0
2277.0,16495224.35,4.0
2276.0,16495233.85,3.0
2240.0,16495442.55,2.0
2241.0,16495501.2,3.0
2441.0,16495735.8,4.0
2440.0,16496000.2,3.0
2240.0,16496035.8,2.0
2440.0,16496371.6,3.0
2240.0,16496517.6,2.0
2440.0,16496635.95,3.0
2240.0,16496739.95,2.0
2241.0,16496961.5,3.0
2242.0,16496975.95,4.0
2482.0,16497241.15,5.0
2481.0,16497257.5,4.0
4709.0,16497259.0,5.0
4949.0,16497264.1,6.0
5189.0,16497286.2,7.0
4721.0,16497294.858380571,6.0
4481.0,16497388.2,5.0
4241.0,16497399.1,4.0
4240.0,16497433.95,3.0
4480.0,16497451.1,4.0
4481.0,16497453.65,5.0
4721.0,16497465.55,6.0
4961.0,16497497.85,7.0
5201.0,16497604.95,8.0
7429.0,16497664.45,9.0
7669.0,16497931.35,10.0
7717.0,16497965.35,11.0
7249.0,16498225.603746388,10.0
9535.0,16498388.65,12.0
9555.0,16498405.65,13.0
12075.0,16498406.5,19.0
22035.0,16498407.35,21.0
22015.0,16498452.65,20.0
24048.0,16498464.3,21.0
21552.0,16498467.767545868,20.0
22431.0,16498484.7,21.0
22671.0,16498507.65,22.0
22670.0,16498515.65,21.0
17550.0,16498529.35,20.0
17790.0,16498529.75,21.0
17791.0,16498554.4,22.0
17551.0,16498680.1,21.0
17311.0,16498692.55,20.0
16687.0,16498721.151125068,19.0
16375.0,16498721.984467678,18.0
15127.0,16498726.689018087,17.0
14887.0,16498726.85,16.0
14907.0,16498789.85,17.0
14947.0,16498794.95,19.0
15027.0,16498795.8,23.0
15127.0,16498796.65,28.0
15207.0,16498797.5,32.0
15267.0,16498798.35,35.0
15407.0,16498799.2,42.0
15547.0,16498800.05,49.0
15687.0,16498800.9,56.0
15827.0,16498801.75,63.0
15867.0,16498802.6,65.0
10875.0,16498827.457654858,64.0
10781.0,16498900.37147864,63.0
10661.0,16499006.5,61.0
10741.0,16499158.75,62.0
10821.0,16499176.6,63.0
8821.0,16499231.65,62.0
8820.0,16499754.4,61.0
11296.0,16499845.55,62.0
11336.0,16500024.9,63.0
11356.0,16500030.85,64.0
8956.0,16500064.55,63.0
8936.0,16500077.85,62.0
9016.0,16500103.1,63.0
9176.0,16500117.55,64.0
9136.0,16500128.9,63.0
9608.0,16500139.65,64.0
10168.0,16500155.8,65.0
11052.0,16500163.45,66.0
12940.0,16500174.5,67.0
12628.0,16500182.564945469,66.0
12548.0,16500205.1,65.0
11924.0,16500205.604823915,64.0
10676.0,16500211.731588969,63.0
10176.0,16500225.031258484,62.0
8896.0,16500325.5,61.0
8876.0,16500345.95,60.0
8816.0,16500346.8,57.0
8796.0,16500347.65,56.0
8756.0,16500348.5,54.0
8736.0,16500356.85,53.0
8716.0,16500357.95,52.0
8696.0,16500358.8,51.0
8616.0,16500359.65,47.0
8576.0,16500360.5,45.0
8516.0,16500361.35,42.0
8376.0,16500362.2,35.0
8236.0,16500363.05,28.0
8096.0,16500363.9,21.0
7956.0,16500364.75,14.0
7916.0,16500365.6,12.0
7936.0,16500516.2,13.0
8056.0,16500521.3,15.0
10456.0,16500522.15,19.0
20416.0,16500523.0,21.0
19792.0,16500594.798557313,20.0
19480.0,16500594.81681362,19.0
18232.0,16500617.722240737,18.0
18212.0,16500618.2,17.0
15716.0,16500619.795513801,16.0
15676.0,16500644.3,15.0
15596.0,16500655.3,14.0
13036.0,16500689.0,13.0
7916.0,16500694.0,12.0
8156.0,16501340.7,13.0
8000.0,16501872.627753463,12.0
6000.0,16503956.95,11.0
8228.0,16504286.8,12.0
12528.0,16504454.25,13.0
10528.0,16504593.45,12.0
13064.0,16505141.9,13.0
15308.0,16505174.2,14.0
19208.0,16505200.55,15.0
21588.0,16508131.35,16.0
22364.0,16508921.85,17.0
22988.0,16508953.3,18.0
23612.0,16508993.25,19.0
23644.0,16513091.1,20.0
23612.0,16513206.1,19.0
23644.0,16521765.35,20.0
23676.0,16521914.95,21.0
23644.0,16522032.95,20.0
23676.0,16522266.85,21.0
23696.0,16524107.1,22.0
23756.0,16524112.2,25.0
23836.0,16524113.05,29.0
23916.0,16524113.9,33.0
24016.0,16524114.75,38.0
24048.0,16524117.111232813,41.0
23968.0,16525756.75,40.0
24048.0,16525926.625319237,70.0
23424.0,16541371.235589188,69.0
22800.0,16541457.609779125,68.0
21864.0,16545859.920279821,67.0
17184.0,16547331.749625947,66.0
16908.0,16548902.299356598,65.0
17470.0,16549485.55,66.0
17506.0,16549742.25,67.0
17542.0,16549756.7,68.0
17543.0,16550083.95,69.0
17544.0,16550180.85,70.0
