cores,time,running_job_len
240.0,16487744.95,1.0
668.0,16489263.05,2.0
468.0,16489379.05,1.0
469.0,16491375.3,2.0
468.0,16491837.3,1.0
469.0,16492028.1,2.0
468.0,16492274.1,1.0
504.0,16492499.0,2.0
468.0,16492583.0,1.0
504.0,16492587.4,2.0
505.0,16492618.0,3.0
469.0,16492670.4,2.0
505.0,16492765.9,3.0
504.0,16492845.0,2.0
468.0,16492860.9,1.0
504.0,16492888.3,2.0
505.0,16492920.6,3.0
469.0,16492990.3,2.0
505.0,16493034.5,3.0
504.0,16493168.6,2.0
540.0,16493232.55,3.0
504.0,16493275.5,2.0
540.0,16493363.45,3.0
541.0,16493378.75,4.0
505.0,16493379.55,3.0
506.0,16493407.65,4.0
542.0,16493494.35,5.0
578.0,16493776.55,6.0
614.0,16493791.0,7.0
613.0,16493805.65,6.0
612.0,16493887.75,5.0
2635.0,16494799.95,6.0
2636.0,16494828.85,7.0
2838.0,16494990.35,8.0
2802.0,16495059.45,7.0
2799.0,16495079.513431765,6.0
2740.0,16495087.66029389,5.0
2540.0,16495136.35,4.0
2504.0,16495224.35,3.0
2468.0,16495442.55,2.0
2469.0,16495501.2,3.0
2670.0,16495735.8,4.0
2668.0,16495953.304822631,3.0
2468.0,16496035.8,2.0
2668.0,16496371.6,3.0
2468.0,16496517.6,2.0
2668.0,16496635.95,3.0
2468.0,16496739.95,2.0
2469.0,16496961.5,3.0
2470.0,16496975.95,4.0
2712.0,16497241.15,5.0
2711.0,16497257.5,4.0
4711.0,16497259.0,5.0
6851.0,16497264.1,6.0
6920.0,16497280.094876723,5.0
7388.0,16497286.2,6.0
7214.0,16497347.630236743,5.0
6680.0,16497383.886856899,4.0
6368.0,16497429.392611435,3.0
6608.0,16497451.1,4.0
6609.0,16497453.65,5.0
6849.0,16497465.55,6.0
7089.0,16497497.85,7.0
7329.0,16497604.95,8.0
9329.0,16497664.45,9.0
11470.0,16497931.35,10.0
11593.0,16497965.35,11.0
11666.0,16498155.326311529,10.0
13981.0,16498388.65,12.0
14001.0,16498405.65,13.0
16521.0,16498406.5,19.0
22571.0,16498407.35,21.0
22551.0,16498452.65,20.0
24048.0,16498464.3,21.0
24048.0,16498510.5,22.0
23658.0,16498516.950390428,21.0
24048.0,16498529.75,22.0
24048.0,16498539.35,22.0
21488.0,16498550.35,21.0
24048.0,16498554.4,22.0
23733.0,16498556.2055522,21.0
23735.0,16498680.1,20.0
23111.0,16498721.880767297,19.0
22955.0,16498723.261984745,18.0
23315.0,16498737.95,17.0
23302.0,16498770.380618567,16.0
24048.0,16498789.85,17.0
24048.0,16498823.28868521,17.0
24048.0,16498855.272047639,17.0
24048.0,16498915.743340945,17.0
23740.0,16498915.81963179,16.0
24048.0,16499167.49995128,64.0
24048.0,16498921.717050716,64.0
24048.0,16499000.052119246,64.0
22626.0,16499054.027757714,63.0
24048.0,16499158.75,64.0
23985.0,16499229.41196768,63.0
23517.0,16499337.479252279,63.0
23516.0,16499754.4,62.0
24048.0,16500027.402280036,64.0
24008.0,16500128.9,63.0
24048.0,16500129.38127429,66.0
24028.0,16500175.9,65.0
23868.0,16500229.38127429,64.0
23788.0,16500231.082188953,63.0
24048.0,16500233.210636655,67.0
21648.0,16500246.402280036,66.0
21088.0,16500306.76771218,65.0
21148.0,16500356.85,64.0
19868.0,16500384.210636655,63.0
19676.0,16500410.391512072,62.0
19260.0,16500410.823190818,61.0
19120.0,16500466.81963179,54.0
18960.0,16500478.81963179,46.0
18940.0,16500479.35991659,45.0
18920.0,16500480.01641093,44.0
18900.0,16500481.25694885,43.0
18880.0,16500483.253974192,42.0
18860.0,16500485.716359004,41.0
18840.0,16500488.675225561,40.0
18820.0,16500491.963364445,39.0
18800.0,16500495.389989804,38.0
18780.0,16500499.498196423,37.0
18760.0,16500504.24195482,36.0
18740.0,16500509.34504514,35.0
18720.0,16500515.243992807,34.0
22976.0,16500516.2,35.0
23096.0,16500521.3,37.0
23076.0,16500521.579693016,36.0
24048.0,16500524.34397463,40.0
24028.0,16500528.028716886,39.0
24008.0,16500535.268928817,38.0
23988.0,16500542.832704445,37.0
23968.0,16500550.593764484,36.0
23948.0,16500558.776180988,35.0
23928.0,16500567.391310165,34.0
23908.0,16500576.335349746,33.0
24048.0,16500578.384445032,33.0
24028.0,16500585.538564237,32.0
24048.0,16500593.919403093,32.0
24028.0,16500595.098627385,31.0
24048.0,16500596.50397463,31.0
24028.0,16500604.778428625,30.0
24048.0,16500605.3712639,30.0
23932.0,16500615.092139633,29.0
23912.0,16500618.2,28.0
23842.0,16500625.77320141,27.0
23623.0,16500636.58198287,26.0
23415.0,16500637.373809174,27.0
23375.0,16500644.3,26.0
23739.0,16500648.023408264,25.0
23719.0,16500660.84061898,24.0
23699.0,16500674.2063369,23.0
23493.0,16500677.114883414,22.0
23337.0,16500677.309487682,21.0
23013.0,16500685.450805709,20.0
22993.0,16500687.633660892,19.0
23172.0,16500701.456224525,18.0
24048.0,16500707.483809173,18.0
24048.0,16500714.076991705,18.0
24028.0,16500715.699521527,17.0
24048.0,16500724.082895039,17.0
24028.0,16500730.49995128,16.0
24048.0,16500801.220079979,16.0
23017.0,16500805.01762493,15.0
19036.0,16500895.943374155,14.0
16502.0,16501122.845001481,13.0
21113.0,16501340.7,14.0
17213.0,16501864.397143632,13.0
8917.0,16501886.230137706,12.0
8812.0,16503123.658962687,11.0
6812.0,16503956.95,10.0
8812.0,16504286.8,11.0
11212.0,16504454.25,12.0
11468.0,16505141.9,13.0
13468.0,16505174.2,14.0
15468.0,16505200.55,15.0
17848.0,16508131.35,16.0
