cores,time,running_job_len
240.0,16487744.95,1.0
440.0,16489263.05,2.0
240.0,16489379.05,1.0
241.0,16491375.3,2.0
240.0,16491837.3,1.0
241.0,16492028.1,2.0
240.0,16492274.1,1.0
276.0,16492499.0,2.0
240.0,16492583.0,1.0
276.0,16492587.4,2.0
277.0,16492618.0,3.0
241.0,16492670.4,2.0
277.0,16492765.9,3.0
276.0,16492845.0,2.0
240.0,16492860.9,1.0
276.0,16492888.3,2.0
277.0,16492920.6,3.0
241.0,16492990.3,2.0
277.0,16493034.5,3.0
276.0,16493168.6,2.0
312.0,16493232.55,3.0
276.0,16493275.5,2.0
312.0,16493363.45,3.0
313.0,16493378.75,4.0
277.0,16493379.55,3.0
278.0,16493407.65,4.0
314.0,16493494.35,5.0
350.0,16493776.55,6.0
386.0,16493791.0,7.0
385.0,16493805.65,6.0
384.0,16493887.75,5.0
2384.0,16494799.95,6.0
2385.0,16494828.85,7.0
2585.0,16494990.35,8.0
2549.0,16495059.45,7.0
2349.0,16495136.35,6.0
2313.0,16495224.35,5.0
2312.0,16495233.85,4.0
2276.0,16495382.0,3.0
2240.0,16495442.55,2.0
2241.0,16495501.2,3.0
2441.0,16495735.8,4.0
2440.0,16496000.2,3.0
2240.0,16496035.8,2.0
2440.0,16496371.6,3.0
2240.0,16496517.6,2.0
2440.0,16496635.95,3.0
2240.0,16496739.95,2.0
2241.0,16496961.5,3.0
2242.0,16496975.95,4.0
2482.0,16497241.15,5.0
2481.0,16497257.5,4.0
4481.0,16497259.0,5.0
4721.0,16497264.1,6.0
4961.0,16497286.2,7.0
4721.0,16497324.15,6.0
4481.0,16497388.2,5.0
4241.0,16497399.1,4.0
4240.0,16497433.95,3.0
4480.0,16497451.1,4.0
4481.0,16497453.65,5.0
4721.0,16497465.55,6.0
4961.0,16497497.85,7.0
5201.0,16497604.95,8.0
7201.0,16497664.45,9.0
7441.0,16497931.35,10.0
7489.0,16497965.35,11.0
9729.0,16498388.65,13.0
9749.0,16498405.65,14.0
12269.0,16498406.5,20.0
19949.0,16498407.35,22.0
19929.0,16498452.65,21.0
20169.0,16498464.3,22.0
20409.0,16498484.7,23.0
20649.0,16498507.65,24.0
19369.0,16498510.5,23.0
19368.0,16498515.65,22.0
14248.0,16498529.35,21.0
14488.0,16498529.75,22.0
11928.0,16498550.35,21.0
11929.0,16498554.4,22.0
11689.0,16498680.1,21.0
11449.0,16498692.55,20.0
11209.0,16498726.85,19.0
10969.0,16498737.95,18.0
10989.0,16498789.85,19.0
11029.0,16498794.95,21.0
11109.0,16498795.8,25.0
11209.0,16498796.65,30.0
11289.0,16498797.5,34.0
11349.0,16498798.35,37.0
11489.0,16498799.2,44.0
11629.0,16498800.05,51.0
11769.0,16498800.9,58.0
11909.0,16498801.75,65.0
11949.0,16498802.6,67.0
10709.0,16499006.5,62.0
10789.0,16499158.75,63.0
10869.0,16499176.6,64.0
8869.0,16499231.65,63.0
8821.0,16499365.35,62.0
8820.0,16499754.4,61.0
11220.0,16499845.55,62.0
11260.0,16500024.9,63.0
11280.0,16500030.85,64.0
8880.0,16500064.55,63.0
8860.0,16500077.85,62.0
8940.0,16500103.1,63.0
9100.0,16500117.55,64.0
9060.0,16500128.9,63.0
9380.0,16500139.65,64.0
9636.0,16500155.8,65.0
10276.0,16500163.45,66.0
11556.0,16500174.5,67.0
11476.0,16500205.1,66.0
11316.0,16500217.55,65.0
10676.0,16500238.45,64.0
10356.0,16500247.65,63.0
10100.0,16500277.8,62.0
8820.0,16500325.5,61.0
8800.0,16500345.95,60.0
8740.0,16500346.8,57.0
8720.0,16500347.65,56.0
8680.0,16500348.5,54.0
8660.0,16500356.85,53.0
8640.0,16500357.95,52.0
8620.0,16500358.8,51.0
8540.0,16500359.65,47.0
8500.0,16500360.5,45.0
8440.0,16500361.35,42.0
8300.0,16500362.2,35.0
8160.0,16500363.05,28.0
8020.0,16500363.9,21.0
7880.0,16500364.75,14.0
7840.0,16500365.6,12.0
7860.0,16500516.2,13.0
7980.0,16500521.3,15.0
10380.0,16500522.15,19.0
18060.0,16500523.0,21.0
18040.0,16500618.2,20.0
18000.0,16500644.3,19.0
17920.0,16500655.3,18.0
17440.0,16500656.15,16.0
14880.0,16500689.0,15.0
9760.0,16500694.0,14.0
7840.0,16500698.15,12.0
8080.0,16501340.7,13.0
8000.0,16503727.6,12.0
6000.0,16503956.95,11.0
8000.0,16504286.8,12.0
10400.0,16504454.25,13.0
8400.0,16504593.45,12.0
8656.0,16505141.9,13.0
10656.0,16505174.2,14.0
12656.0,16505200.55,15.0
13136.0,16508131.35,16.0
13456.0,16508921.85,17.0
13776.0,16508953.3,18.0
14096.0,16508993.25,19.0
14128.0,16513091.1,20.0
14096.0,16513206.1,19.0
14128.0,16521765.35,20.0
14160.0,16521914.95,21.0
14128.0,16522032.95,20.0
14160.0,16522266.85,21.0
14180.0,16524107.1,22.0
14240.0,16524112.2,25.0
14320.0,16524113.05,29.0
14400.0,16524113.9,33.0
14500.0,16524114.75,38.0
14560.0,16524115.6,41.0
14700.0,16524116.45,48.0
14840.0,16524117.3,55.0
14980.0,16524118.15,62.0
15100.0,16524119.0,68.0
15160.0,16524119.85,71.0
15080.0,16525756.75,70.0
15318.0,16549485.55,71.0
15354.0,16549742.25,72.0
15390.0,16549756.7,73.0
15391.0,16550083.95,74.0
15392.0,16550180.85,75.0
15393.0,16550246.3,76.0
15441.0,16550305.8,77.0
15440.0,16550597.95,76.0
15439.0,16550617.85,75.0
15440.0,16550676.4,76.0
15441.0,16550681.5,77.0
15393.0,16550772.8,76.0
15392.0,16551164.4,75.0
15391.0,16551169.5,74.0
15355.0,16551339.25,73.0
