cores,time,running_job_len
240.0,16487744.95,1.0
440.0,16489263.05,2.0
240.0,16489379.05,1.0
241.0,16491375.3,2.0
240.0,16491837.3,1.0
241.0,16492028.1,2.0
240.0,16492274.1,1.0
276.0,16492499.0,2.0
240.0,16492583.0,1.0
276.0,16492587.4,2.0
277.0,16492618.0,3.0
241.0,16492670.4,2.0
277.0,16492765.9,3.0
276.0,16492845.0,2.0
240.0,16492860.9,1.0
276.0,16492888.3,2.0
277.0,16492920.6,3.0
241.0,16492990.3,2.0
277.0,16493034.5,3.0
276.0,16493168.6,2.0
312.0,16493232.55,3.0
276.0,16493275.5,2.0
312.0,16493363.45,3.0
313.0,16493378.75,4.0
277.0,16493379.55,3.0
278.0,16493407.65,4.0
314.0,16493494.35,5.0
350.0,16493776.55,6.0
386.0,16493791.0,7.0
385.0,16493805.65,6.0
384.0,16493887.75,5.0
2419.0,16494799.95,6.0
2420.0,16494828.85,7.0
2620.0,16494990.35,8.0
2584.0,16495059.45,7.0
2513.0,16495101.123122074,6.0
2313.0,16495136.35,5.0
2277.0,16495224.35,4.0
2276.0,16495233.85,3.0
2240.0,16495442.55,2.0
2241.0,16495501.2,3.0
2441.0,16495735.8,4.0
2440.0,16496000.2,3.0
2240.0,16496035.8,2.0
2440.0,16496371.6,3.0
2240.0,16496517.6,2.0
2440.0,16496635.95,3.0
2240.0,16496739.95,2.0
2241.0,16496961.5,3.0
2242.0,16496975.95,4.0
2482.0,16497241.15,5.0
2481.0,16497257.5,4.0
4481.0,16497259.0,5.0
4721.0,16497264.1,6.0
4961.0,16497286.2,7.0
4721.0,16497324.15,6.0
4481.0,16497388.2,5.0
4241.0,16497399.1,4.0
4240.0,16497433.95,3.0
4480.0,16497451.1,4.0
4481.0,16497453.65,5.0
4721.0,16497465.55,6.0
4961.0,16497497.85,7.0
5201.0,16497604.95,8.0
7201.0,16497664.45,9.0
7441.0,16497931.35,10.0
7489.0,16497965.35,11.0
9925.0,16498388.65,13.0
9945.0,16498405.65,14.0
12465.0,16498406.5,20.0
21817.0,16498407.35,22.0
21797.0,16498452.65,21.0
22037.0,16498464.3,22.0
20309.0,16498467.215217771,21.0
20549.0,16498484.7,22.0
20789.0,16498507.65,23.0
20788.0,16498515.65,22.0
16462.0,16498529.35,21.0
16702.0,16498529.75,22.0
16703.0,16498554.4,23.0
16313.0,16498555.027290842,22.0
16867.0,16498680.1,21.0
16627.0,16498692.55,20.0
16315.0,16498722.610984266,19.0
15691.0,16498723.125689225,18.0
15451.0,16498726.85,17.0
15471.0,16498789.85,18.0
15511.0,16498794.95,20.0
15591.0,16498795.8,24.0
15691.0,16498796.65,29.0
15771.0,16498797.5,33.0
15831.0,16498798.35,36.0
15971.0,16498799.2,43.0
16111.0,16498800.05,50.0
16251.0,16498800.9,57.0
16391.0,16498801.75,64.0
16431.0,16498802.6,66.0
17105.0,16498901.359092386,65.0
16345.0,16499006.5,62.0
16425.0,16499158.75,63.0
16505.0,16499176.6,64.0
14505.0,16499231.65,63.0
8821.0,16499431.49450649,62.0
8820.0,16499754.4,61.0
11296.0,16499845.55,62.0
11336.0,16500024.9,63.0
11356.0,16500030.85,64.0
8956.0,16500064.55,63.0
8936.0,16500077.85,62.0
9016.0,16500103.1,63.0
9176.0,16500117.55,64.0
9136.0,16500128.9,63.0
9456.0,16500139.65,64.0
9712.0,16500155.8,65.0
10352.0,16500163.45,66.0
11632.0,16500174.5,67.0
11751.0,16500205.1,66.0
11668.0,16500217.55,65.0
11470.0,16500247.65,64.0
10509.0,16500311.245327733,63.0
10176.0,16500321.65953666,62.0
8896.0,16500325.5,61.0
8876.0,16500345.95,60.0
8816.0,16500346.8,57.0
8796.0,16500347.65,56.0
8756.0,16500348.5,54.0
8736.0,16500356.85,53.0
8716.0,16500357.95,52.0
8696.0,16500358.8,51.0
8616.0,16500359.65,47.0
8576.0,16500360.5,45.0
8516.0,16500361.35,42.0
8376.0,16500362.2,35.0
8236.0,16500363.05,28.0
8096.0,16500363.9,21.0
7956.0,16500364.75,14.0
7916.0,16500365.6,12.0
7936.0,16500516.2,13.0
8056.0,16500521.3,15.0
10456.0,16500522.15,19.0
18136.0,16500523.0,21.0
18699.0,16500618.2,20.0
18858.0,16500644.3,19.0
18778.0,16500655.3,18.0
18298.0,16500656.15,16.0
16135.0,16500689.0,15.0
11015.0,16500694.0,14.0
9593.0,16500732.603484238,13.0
7916.0,16500945.416836312,12.0
8156.0,16501340.7,13.0
8000.0,16501883.995048946,12.0
6000.0,16503956.95,11.0
8000.0,16504286.8,12.0
12300.0,16504454.25,13.0
10300.0,16504593.45,12.0
10556.0,16505141.9,13.0
12800.0,16505174.2,14.0
16700.0,16505200.55,15.0
19080.0,16508131.35,16.0
19400.0,16508921.85,17.0
19720.0,16508953.3,18.0
20040.0,16508993.25,19.0
20072.0,16513091.1,20.0
20040.0,16513206.1,19.0
20072.0,16521765.35,20.0
20104.0,16521914.95,21.0
20072.0,16522032.95,20.0
20104.0,16522266.85,21.0
20124.0,16524107.1,22.0
20184.0,16524112.2,25.0
20264.0,16524113.05,29.0
20344.0,16524113.9,33.0
20444.0,16524114.75,38.0
20504.0,16524115.6,41.0
20644.0,16524116.45,48.0
20784.0,16524117.3,55.0
20924.0,16524118.15,62.0
21044.0,16524119.0,68.0
21104.0,16524119.85,71.0
21024.0,16525756.75,70.0
20939.0,16538348.778215257,69.0
21452.0,16549485.55,70.0
21488.0,16549742.25,71.0
21524.0,16549756.7,72.0
21525.0,16550083.95,73.0
21526.0,16550180.85,74.0
21527.0,16550246.3,75.0
21575.0,16550305.8,76.0
17819.0,16550454.39781466,75.0
17818.0,16550597.95,74.0
