cores,time,running_job_len
2.0,0.0,1.0
4.0,1546.268975,2.0
2.0,1617.23253,1.0
5.0,2531.770434,2.0
12.0,4557.200278,3.0
29.0,8173.286770999999,4.0
20.0,8200.590688955815,3.0
18.0,8497.339534,2.0
25.0,10097.353151000001,3.0
20.0,10105.897941119942,2.0
15.0,17009.575295310937,1.0
22.0,24490.833475,2.0
15.0,24813.53844575972,1.0
27.0,32108.691970999997,2.0
15.0,32118.616121999996,1.0
17.0,41858.397611,2.0
15.0,43974.250297,1.0
21.0,47967.380732,2.0
15.0,48727.13936,1.0
17.0,61835.327976,2.0
20.0,64765.905015,3.0
5.0,65352.08373170433,2.0
8.0,81885.077125,3.0
5.0,83439.145924,2.0
20.0,84939.980839,3.0
5.0,84973.67405152961,2.0
8.0,95517.66192,3.0
28.0,95838.474605,4.0
12.0,95850.35503285489,3.0
9.0,96993.351117,2.0
33.0,100351.957049,3.0
36.0,129215.42684300001,4.0
33.0,129796.185635,3.0
35.0,148815.087216,4.0
33.0,150006.86976700003,3.0
37.0,151907.230507,4.0
33.0,151921.714696174,3.0
9.0,173925.740212,2.0
13.0,178365.247238,3.0
23.0,181012.34369,4.0
18.0,181109.970489,3.0
16.0,185816.60065,2.0
21.0,186095.052545,3.0
16.0,186135.246435,2.0
9.0,198717.44924002196,1.0
12.0,218987.375519,2.0
15.0,221162.888344,3.0
12.0,222070.39629200002,2.0
9.0,226146.934168,1.0
34.0,230305.32452199998,2.0
74.0,237560.24503899997,3.0
33.0,237802.52841370486,2.0
61.0,249816.01005799999,3.0
57.0,260121.95792779748,2.0
61.0,278799.545185,3.0
57.0,279032.94055666117,2.0
61.0,295855.854139,3.0
57.0,302008.050275,2.0
60.0,311060.113114,3.0
57.0,311096.248358,2.0
9.0,326440.7820100522,1.0
0.0,333987.7307246612,0.0
9.0,344422.08899099997,1.0
13.0,348190.32976500003,2.0
9.0,349337.71918500005,1.0
31.0,356715.464288,2.0
58.0,386598.377942,3.0
78.0,389033.640244,4.0
80.0,392892.25996399997,5.0
78.0,393388.8457786026,4.0
58.0,397823.689111,3.0
70.0,410910.40978499997,4.0
74.0,423895.913052,5.0
70.0,425362.981057,4.0
94.0,428985.51196,5.0
70.0,428990.52400399995,4.0
77.0,435202.75090200006,5.0
83.0,436647.91018199996,6.0
80.0,436749.483225,5.0
70.0,438474.48538894334,4.0
88.0,444467.81678900006,5.0
70.0,445000.5919072124,4.0
73.0,448485.481804,5.0
109.0,468213.172405,6.0
112.0,468325.060212,7.0
110.0,468331.05193799996,6.0
83.0,486487.188832,5.0
94.0,496787.551474,6.0
96.0,497029.682463,7.0
95.0,498068.14755999995,6.0
92.0,498717.34896883497,5.0
99.0,502168.10692600004,6.0
111.0,503455.497975,7.0
108.0,503463.78543,6.0
110.0,506262.21471499995,7.0
117.0,506338.4349050048,6.0
132.0,517867.57099,7.0
70.0,519287.10408498335,6.0
65.0,525740.2020549978,5.0
67.0,530265.412517,6.0
80.0,530867.344187,7.0
67.0,531089.707462,6.0
79.0,531589.582124,7.0
82.0,546788.926654,8.0
80.0,547426.3345229999,7.0
77.0,547942.2271711645,6.0
91.0,551608.9814180001,7.0
77.0,551659.4949969284,6.0
86.0,559261.260935,7.0
72.0,561956.580648,6.0
75.0,575221.572531,7.0
72.0,578148.458682,6.0
60.0,578522.0521399999,5.0
62.0,582686.01914,6.0
60.0,582713.073544024,5.0
89.0,583480.466156,6.0
67.0,583499.469822,5.0
69.0,609585.361373,6.0
75.0,615822.044928,7.0
88.0,624381.068125,8.0
100.0,649696.776466,9.0
95.0,649755.636728,8.0
104.0,662270.6038,9.0
106.0,663519.938949,10.0
104.0,663850.410394,9.0
121.0,666619.230917,10.0
108.0,679249.0859415896,9.0
110.0,688543.973412,10.0
108.0,688701.278177,9.0
111.0,694373.86635,10.0
108.0,694378.514493,9.0
111.0,707601.724555,10.0
115.0,707621.72304,9.0
117.0,711025.223122,10.0
130.0,731316.0958680001,11.0
117.0,731359.0900355731,10.0
145.0,734731.016167,11.0
203.0,755630.569089,12.0
195.0,758789.1676439999,11.0
198.0,761496.647187,12.0
189.0,764706.815131,11.0
151.0,772362.956836,10.0
173.0,772803.1008649999,11.0
151.0,772817.997929,10.0
168.0,784322.663448,11.0
151.0,784449.2208981987,10.0
167.0,799753.805341,11.0
198.0,801528.272292,12.0
195.0,805898.911635,11.0
163.0,807597.1226379407,10.0
194.0,809134.798499,11.0
165.0,818385.856891713,10.0
152.0,836023.5286214027,9.0
166.0,847350.517598,10.0
208.0,854328.219573,11.0
214.0,856685.2948220001,12.0
203.0,863990.7481336056,11.0
156.0,864774.1618431578,10.0
151.0,869977.4132153224,9.0
166.0,883731.988164,10.0
170.0,888851.32972,11.0
174.0,894496.695292,12.0
168.0,899040.2286660001,11.0
171.0,902564.508384,12.0
170.0,903064.596732,11.0
171.0,925198.407553,12.0
167.0,930075.7254353276,11.0
184.0,933322.495019,12.0
187.0,934334.3014079999,13.0
193.0,934457.1312909999,14.0
205.0,934513.768815,15.0
192.0,934547.6801984033,14.0
202.0,938052.600808,15.0
195.0,944200.1055142109,14.0
206.0,949324.356568,15.0
195.0,949336.2923904107,14.0
223.0,952577.33371,15.0
195.0,952588.9732160892,14.0
216.0,961523.781542,15.0
200.0,961934.973698,14.0
203.0,965083.8521489999,15.0
236.0,965889.317573,16.0
256.0,965925.7966727559,16.0
256.0,965930.3964863203,16.0
191.0,965939.7479534338,15.0
184.0,974044.025696958,14.0
205.0,979239.193437,15.0
200.0,979245.7873150001,14.0
202.0,987907.418525,15.0
205.0,987985.947573,14.0
222.0,1005802.799475,15.0
248.0,1008941.004636,16.0
239.0,1013163.473767,15.0
255.0,1013377.219485,16.0
239.0,1013559.6323310001,15.0
251.0,1015430.394258,16.0
253.0,1027478.531266,17.0
250.0,1027483.007888,16.0
252.0,1040121.739665,17.0
250.0,1040136.855304,16.0
252.0,1040228.541375,17.0
254.0,1042852.4329070001,16.0
234.0,1051908.5039952674,15.0
236.0,1053702.583427,16.0
234.0,1057489.1068202276,15.0
239.0,1065706.41027,16.0
242.0,1066416.903647,17.0
237.0,1067932.9283300312,16.0
253.0,1073252.955941,17.0
256.0,1085530.5822039386,20.0
256.0,1085532.3886209645,20.0
237.0,1085537.7433670417,19.0
235.0,1085567.7142761722,18.0
256.0,1097734.531175,19.0
256.0,1098194.94249821,19.0
256.0,1103749.1069491582,21.0
256.0,1113044.1989810343,22.0
256.0,1115043.7084138345,22.0
246.0,1117689.7113289004,21.0
256.0,1122985.0383876858,21.0
256.0,1123037.3316716359,21.0
256.0,1123059.9178015685,21.0
237.0,1123087.664033123,20.0
256.0,1125894.9596219999,21.0
256.0,1140870.250970371,21.0
242.0,1142861.356437,20.0
256.0,1142862.5201015437,22.0
253.0,1142887.4880899999,21.0
223.0,1143006.2805515437,20.0
256.0,1143850.292751,21.0
253.0,1144065.8668840001,20.0
249.0,1144984.500793,19.0
239.0,1163670.610798415,18.0
256.0,1175104.128423,19.0
251.0,1175604.916439,18.0
256.0,1176044.656586,19.0
256.0,1178206.6008082,19.0
256.0,1192020.7150875682,19.0
248.0,1192492.814338004,18.0
256.0,1222768.923682377,20.0
249.0,1222971.8375280001,19.0
256.0,1223228.304687,20.0
256.0,1228457.96893965,20.0
256.0,1233093.9778105658,20.0
252.0,1233882.767726784,19.0
256.0,1233887.5987416992,23.0
256.0,1233968.383674133,23.0
256.0,1234001.120116663,23.0
256.0,1234016.30916862,23.0
256.0,1234023.9522980233,23.0
244.0,1234033.880692538,22.0
233.0,1234105.3441346348,21.0
230.0,1234113.9793767731,20.0
228.0,1239072.6121534982,19.0
256.0,1239175.27245,20.0
232.0,1239225.039113,19.0
256.0,1242982.754515,20.0
249.0,1242988.379118,19.0
256.0,1249038.6751001491,19.0
256.0,1258338.9863785743,19.0
251.0,1263429.7136675743,18.0
256.0,1280238.564253514,20.0
256.0,1280640.221419369,20.0
254.0,1281257.103647,19.0
256.0,1284464.9474653099,19.0
256.0,1290499.075942347,19.0
256.0,1294717.6368019967,19.0
256.0,1301231.5556791553,19.0
256.0,1309407.2086187978,21.0
256.0,1309426.0892703978,21.0
256.0,1309433.9561524747,21.0
252.0,1309443.6708124748,20.0
256.0,1310745.828196255,20.0
237.0,1311236.4602639365,19.0
256.0,1313881.190292,20.0
256.0,1319546.6076849063,20.0
247.0,1326019.5449990002,19.0
256.0,1340003.611469,20.0
256.0,1351884.7278705912,20.0
256.0,1352429.8659060001,20.0
256.0,1353332.9011509386,20.0
251.0,1354452.983278,19.0
256.0,1355192.6983653114,20.0
244.0,1355639.3827760268,19.0
256.0,1356750.0833164526,19.0
256.0,1356988.1504166145,19.0
195.0,1357290.9435090546,18.0
256.0,1365504.390139,19.0
256.0,1371563.187493,19.0
210.0,1386386.197332981,18.0
256.0,1386387.3692618334,21.0
240.0,1386410.312058981,20.0
215.0,1386464.4776243337,19.0
256.0,1396316.622383,20.0
256.0,1399079.3481986,20.0
256.0,1400377.216704477,20.0
225.0,1401891.7863718984,19.0
256.0,1412127.776883,20.0
256.0,1434998.2587291552,22.0
237.0,1435316.2860621552,21.0
232.0,1435841.8280838032,20.0
256.0,1435892.5968129998,21.0
246.0,1446883.6760879997,20.0
256.0,1446883.9324671002,23.0
253.0,1446904.6848999998,22.0
241.0,1448458.7619949998,21.0
256.0,1452390.524744,22.0
256.0,1487313.9163509507,25.0
256.0,1495589.9609392544,25.0
256.0,1487329.6083928675,25.0
252.0,1487351.2598010546,24.0
249.0,1487364.1182049508,23.0
245.0,1496102.8479721001,22.0
256.0,1507589.8403375202,22.0
256.0,1511009.7835355203,22.0
244.0,1511094.4826875203,21.0
256.0,1518374.2707180001,22.0
245.0,1518429.0946785586,21.0
256.0,1522953.9223129998,22.0
248.0,1523008.9814769998,21.0
256.0,1530426.7607790001,22.0
254.0,1536024.563521,21.0
248.0,1545938.0791275878,20.0
256.0,1550931.241911,21.0
256.0,1555956.4171034,21.0
254.0,1553591.2232910001,20.0
228.0,1566206.4237233356,19.0
256.0,1576439.822184,20.0
237.0,1577056.238678,19.0
256.0,1578628.7741379181,21.0
224.0,1579393.1280489182,20.0
256.0,1581266.6308600002,21.0
256.0,1581562.83006772,21.0
256.0,1581690.3674956614,21.0
233.0,1581850.0104639877,20.0
217.0,1585422.70240601,19.0
256.0,1613872.891776,20.0
248.0,1633216.394409,19.0
256.0,1633217.3942255056,22.0
253.0,1633257.4904689998,21.0
250.0,1633313.834974,20.0
