cores,time,running_job_len
2.0,0.0,1.0
4.0,1546.268975,2.0
2.0,1617.23253,1.0
5.0,2531.770434,2.0
16.0,4557.200278,3.0
33.0,8173.286770999999,4.0
24.0,8204.30417,3.0
22.0,8497.339534,2.0
28.0,10097.353151000001,3.0
22.0,10104.528883,2.0
15.0,11670.866189504679,1.0
22.0,24490.833475,2.0
15.0,24824.317365208426,1.0
27.0,32108.691970999997,2.0
15.0,32118.616121999996,1.0
17.0,41858.397611,2.0
15.0,43806.97999019706,1.0
21.0,47967.380732,2.0
15.0,48727.13936,1.0
17.0,61835.327976,2.0
20.0,64765.905015,3.0
5.0,65157.78467458009,2.0
8.0,81885.077125,3.0
5.0,83439.145924,2.0
20.0,84939.980839,3.0
5.0,84974.771675,2.0
8.0,95517.66192,3.0
28.0,95838.474605,4.0
12.0,95854.19841235106,3.0
9.0,96993.351117,2.0
33.0,100351.957049,3.0
36.0,129215.42684300001,4.0
33.0,129796.185635,3.0
35.0,148815.087216,4.0
33.0,150006.86976700003,3.0
37.0,151907.230507,4.0
33.0,151923.02088,3.0
9.0,173925.740212,2.0
13.0,178365.247238,3.0
23.0,181012.34369,4.0
18.0,181095.0196339392,3.0
16.0,185816.60065,2.0
21.0,186095.052545,3.0
16.0,186135.246435,2.0
9.0,198880.62149559453,1.0
12.0,218987.375519,2.0
15.0,221162.888344,3.0
12.0,222018.86904920996,2.0
9.0,226146.934168,1.0
34.0,230305.32452199998,2.0
66.0,237560.24503899997,3.0
33.0,238063.1701664075,2.0
37.0,249816.01005799999,3.0
33.0,264075.836778,2.0
37.0,278799.545185,3.0
33.0,279093.655235,2.0
37.0,295855.854139,3.0
33.0,302008.050275,2.0
36.0,311060.113114,3.0
33.0,311091.0795503159,2.0
24.0,335004.4286003584,1.0
33.0,344422.08899099997,2.0
37.0,348190.32976500003,3.0
33.0,349022.6686888448,2.0
55.0,356715.464288,3.0
104.0,386598.377942,4.0
124.0,389033.640244,5.0
126.0,392892.25996399997,6.0
124.0,393552.836594,5.0
104.0,397823.689111,4.0
80.0,399891.774247,3.0
92.0,410910.40978499997,4.0
96.0,423895.913052,5.0
92.0,424991.85013922676,4.0
116.0,428985.51196,5.0
92.0,428990.52400399995,4.0
99.0,435202.75090200006,5.0
105.0,436647.91018199996,6.0
102.0,436749.483225,5.0
92.0,438739.4096105086,4.0
110.0,444467.81678900006,5.0
92.0,445125.36093900003,4.0
95.0,448485.481804,5.0
131.0,468213.172405,6.0
134.0,468325.060212,7.0
132.0,468331.05193799996,6.0
105.0,486487.188832,5.0
116.0,496787.551474,6.0
118.0,497029.682463,7.0
116.0,498068.14755999995,6.0
114.0,499360.026622,5.0
123.0,502168.10692600004,6.0
135.0,503455.497975,7.0
132.0,503463.78543,6.0
134.0,506262.21471499995,7.0
132.0,506336.1778306709,6.0
146.0,517867.57099,7.0
141.0,519696.17633603176,6.0
87.0,520740.2079541508,5.0
89.0,530265.412517,6.0
102.0,530867.344187,7.0
89.0,531089.707462,6.0
101.0,531589.582124,7.0
103.0,546788.926654,8.0
101.0,547426.3345229999,7.0
115.0,551608.9814180001,8.0
101.0,551663.5349740001,7.0
99.0,552946.612824,6.0
108.0,559261.260935,7.0
94.0,561956.580648,6.0
97.0,575221.572531,7.0
94.0,578148.458682,6.0
82.0,578522.0521399999,5.0
84.0,582686.01914,6.0
82.0,582710.6573190446,5.0
111.0,583480.466156,6.0
82.0,583499.469822,5.0
84.0,609585.361373,6.0
90.0,615822.044928,7.0
103.0,624381.068125,8.0
115.0,649696.776466,9.0
110.0,649744.3019006827,8.0
119.0,662270.6038,9.0
121.0,663519.938949,10.0
119.0,663850.410394,9.0
136.0,666619.230917,10.0
123.0,679391.8169504934,9.0
79.0,682003.5569103615,8.0
81.0,688543.973412,9.0
79.0,688701.278177,8.0
82.0,694373.86635,9.0
79.0,694378.514493,8.0
82.0,707601.724555,9.0
79.0,707621.72304,8.0
81.0,711025.223122,9.0
94.0,731316.0958680001,10.0
81.0,731361.19804,9.0
109.0,734731.016167,10.0
140.0,755630.569089,11.0
132.0,758789.1676439999,10.0
135.0,761496.647187,11.0
126.0,764706.815131,10.0
95.0,772362.956836,9.0
117.0,772803.1008649999,10.0
95.0,772822.9286600268,9.0
112.0,784322.663448,10.0
95.0,784478.273364,9.0
111.0,799753.805341,10.0
142.0,801528.272292,11.0
139.0,805898.911635,10.0
107.0,807606.3365066038,9.0
123.0,809134.798499,10.0
109.0,827210.012094,9.0
96.0,835839.0177095359,8.0
110.0,847350.517598,9.0
151.0,854328.219573,10.0
186.0,856685.2948220001,11.0
128.0,862033.775237029,10.0
126.0,874682.2562266586,9.0
143.0,883731.988164,10.0
151.0,888851.32972,11.0
137.0,889456.2362054333,10.0
141.0,894496.695292,11.0
144.0,902564.508384,12.0
141.0,903064.596732,11.0
144.0,925198.407553,12.0
157.0,933322.495019,13.0
153.0,933573.584453,12.0
156.0,934334.3014079999,13.0
162.0,934457.1312909999,14.0
174.0,934513.768815,15.0
161.0,934547.5265513109,14.0
171.0,938052.600808,15.0
184.0,949324.356568,16.0
173.0,949333.4317315844,15.0
168.0,951388.4992739103,14.0
196.0,952577.33371,15.0
168.0,952580.727403,14.0
189.0,961523.781542,15.0
168.0,961934.973698,14.0
171.0,965083.8521489999,15.0
204.0,965889.317573,16.0
175.0,965939.106349,15.0
168.0,974016.7168728176,14.0
173.0,979239.193437,15.0
168.0,979245.7873150001,14.0
170.0,987907.418525,15.0
168.0,987985.947573,14.0
185.0,1005802.799475,15.0
211.0,1008941.004636,16.0
202.0,1012230.9505583603,15.0
218.0,1013377.219485,16.0
202.0,1013526.5682236869,15.0
214.0,1015430.394258,16.0
217.0,1027478.531266,17.0
214.0,1027483.007888,16.0
216.0,1040121.739665,17.0
214.0,1040136.855304,16.0
216.0,1040228.541375,17.0
214.0,1042852.4329070001,16.0
216.0,1053702.583427,17.0
218.0,1057326.6094154324,16.0
223.0,1065706.41027,17.0
226.0,1066416.903647,18.0
221.0,1068641.568193,17.0
233.0,1073252.955941,18.0
247.0,1077489.9927790002,19.0
256.0,1077493.6568392536,19.0
256.0,1077494.8065384936,19.0
256.0,1077496.3387805554,19.0
222.0,1077501.166905878,18.0
253.0,1078023.393368,19.0
255.0,1085529.219559,20.0
256.0,1085556.920886354,20.0
256.0,1085560.8845131164,20.0
251.0,1085568.2693766286,19.0
236.0,1086216.130022,18.0
245.0,1097734.531175,19.0
256.0,1103748.3604137572,21.0
256.0,1116434.3543882282,22.0
249.0,1121433.1279702282,21.0
256.0,1122945.746665,22.0
249.0,1123145.2337009932,21.0
253.0,1127122.359450757,21.0
256.0,1142182.3678047569,23.0
253.0,1142207.237884,22.0
223.0,1142326.1282547568,21.0
256.0,1143850.292751,22.0
256.0,1143938.6781455302,22.0
252.0,1144045.0433876973,21.0
238.0,1144088.7562657571,20.0
234.0,1144984.500793,19.0
227.0,1169642.9020133845,18.0
233.0,1175104.128423,19.0
228.0,1175604.916439,18.0
233.0,1176044.656586,19.0
256.0,1187640.493564,20.0
256.0,1187760.1363966698,20.0
256.0,1187810.6155243795,20.0
256.0,1187835.259536025,20.0
229.0,1187869.0364405075,19.0
218.0,1193313.8269929935,18.0
255.0,1214893.756866,19.0
245.0,1250345.334269011,18.0
256.0,1250349.5607694131,25.0
256.0,1250369.467434613,25.0
256.0,1250381.710033711,25.0
256.0,1250399.3274324131,26.0
256.0,1250432.6453194842,26.0
256.0,1250401.6335196432,26.0
246.0,1250406.5132544278,25.0
240.0,1250500.2388287643,24.0
233.0,1250548.567636011,23.0
222.0,1250567.5497416956,22.0
219.0,1250575.5383392756,21.0
256.0,1254864.310802,22.0
254.0,1257608.2066610109,21.0
249.0,1259955.0380910002,20.0
247.0,1263100.612934011,19.0
256.0,1280237.8193786452,21.0
256.0,1280645.533085987,21.0
253.0,1281180.48582179,20.0
256.0,1295726.9076541592,22.0
254.0,1295773.575246,21.0
256.0,1321868.9700834001,21.0
247.0,1327476.2696744131,20.0
256.0,1327477.6589268893,22.0
256.0,1328428.1104399094,22.0
256.0,1328831.9381957345,22.0
256.0,1329313.1676612303,22.0
237.0,1333653.9706077434,21.0
224.0,1335450.4157,20.0
256.0,1340003.611469,21.0
250.0,1344991.7211897646,20.0
256.0,1344992.8946567292,22.0
236.0,1345825.712315,21.0
231.0,1347014.8385617645,20.0
228.0,1352429.8659060001,19.0
256.0,1353489.2878780002,20.0
237.0,1353772.362295,19.0
256.0,1365504.390139,20.0
233.0,1391531.6065327292,19.0
256.0,1391532.3201504843,21.0
256.0,1391541.9660408844,21.0
256.0,1391546.825060967,21.0
256.0,1391549.7404730164,21.0
256.0,1391551.489720246,21.0
256.0,1391554.1135910908,21.0
241.0,1391680.8965209627,20.0
256.0,1396316.622383,21.0
256.0,1401915.0251742601,21.0
244.0,1407207.1860438979,20.0
256.0,1430645.041057,21.0
244.0,1431146.7538845858,20.0
256.0,1431148.2509373815,22.0
256.0,1431493.6851243353,22.0
256.0,1431697.491294638,22.0
256.0,1431814.8041146172,22.0
251.0,1431990.773344586,21.0
256.0,1437300.911382,22.0
253.0,1437321.920194,21.0
256.0,1448458.7619949998,22.0
256.0,1452478.8936549744,23.0
256.0,1459449.8412699997,23.0
256.0,1459466.7989396998,23.0
256.0,1459484.1437799507,23.0
251.0,1459488.5133162432,22.0
256.0,1465486.012695213,24.0
256.0,1480303.3595321747,24.0
253.0,1465535.486527,23.0
249.0,1501697.8091599743,22.0
247.0,1524111.589008213,21.0
256.0,1524111.9517525022,23.0
248.0,1524167.0109165022,22.0
240.0,1524238.1716357488,21.0
256.0,1530426.7607790001,22.0
256.0,1539867.6573823951,22.0
254.0,1536024.563521,21.0
256.0,1549466.9189707185,21.0
256.0,1551366.1402949232,21.0
256.0,1552616.3118902,21.0
230.0,1554170.1784421725,20.0
256.0,1554170.7309660478,22.0
256.0,1555956.4171034,22.0
256.0,1555538.4872356977,22.0
256.0,1556359.1409974876,22.0
254.0,1556830.7123460479,21.0
256.0,1557590.1216401726,21.0
256.0,1557603.5837029726,21.0
256.0,1557610.235768505,21.0
232.0,1557620.213866803,20.0
202.0,1561006.9910382268,19.0
256.0,1576439.822184,20.0
256.0,1576686.3887816,20.0
256.0,1576799.906643009,20.0
225.0,1576961.8888379526,19.0
256.0,1578126.882553,20.0
242.0,1579344.5464397282,20.0
255.0,1581266.6308600002,21.0
256.0,1588371.00651697,21.0
256.0,1581555.6056968002,21.0
256.0,1581685.5694504722,21.0
