cores,time,running_job_len
2.0,0.0,1.0
4.0,1546.268975,2.0
2.0,1617.23253,1.0
5.0,2531.770434,2.0
16.0,4557.200278,3.0
33.0,8173.286770999999,4.0
24.0,8201.267802537923,3.0
22.0,8497.339534,2.0
28.0,10097.353151000001,3.0
22.0,10104.528883,2.0
15.0,11670.866189504679,1.0
22.0,24490.833475,2.0
15.0,24823.639148198352,1.0
27.0,32108.691970999997,2.0
15.0,32118.616121999996,1.0
17.0,41858.397611,2.0
15.0,43435.85765297823,1.0
21.0,47967.380732,2.0
15.0,48727.13936,1.0
17.0,61835.327976,2.0
20.0,64765.905015,3.0
5.0,65157.78467458009,2.0
8.0,81885.077125,3.0
5.0,83439.145924,2.0
20.0,84939.980839,3.0
5.0,84974.771675,2.0
8.0,95517.66192,3.0
28.0,95838.474605,4.0
12.0,95853.39251705058,3.0
9.0,96993.351117,2.0
33.0,100351.957049,3.0
36.0,129215.42684300001,4.0
33.0,129796.185635,3.0
35.0,148815.087216,4.0
33.0,150006.86976700003,3.0
37.0,151907.230507,4.0
33.0,151923.02088,3.0
9.0,173925.740212,2.0
13.0,178365.247238,3.0
23.0,181012.34369,4.0
18.0,181090.02072890036,3.0
16.0,185816.60065,2.0
21.0,186095.052545,3.0
16.0,186135.246435,2.0
9.0,198020.07726490672,1.0
12.0,218987.375519,2.0
15.0,221162.888344,3.0
12.0,221894.06780310028,2.0
9.0,226146.934168,1.0
34.0,230305.32452199998,2.0
82.0,237560.24503899997,3.0
33.0,237583.6595919972,2.0
37.0,249816.01005799999,3.0
33.0,264075.836778,2.0
37.0,278799.545185,3.0
33.0,279093.655235,2.0
37.0,295855.854139,3.0
33.0,302008.050275,2.0
36.0,311060.113114,3.0
33.0,311091.04553743603,2.0
24.0,333616.80874209554,1.0
33.0,344422.08899099997,2.0
37.0,348190.32976500003,3.0
33.0,349023.62115917914,2.0
55.0,356715.464288,3.0
104.0,386598.377942,4.0
124.0,389033.640244,5.0
126.0,392892.25996399997,6.0
124.0,393552.836594,5.0
104.0,397823.689111,4.0
80.0,399891.774247,3.0
92.0,410910.40978499997,4.0
96.0,423895.913052,5.0
92.0,425247.11962731986,4.0
116.0,428985.51196,5.0
92.0,428990.52400399995,4.0
99.0,435202.75090200006,5.0
105.0,436647.91018199996,6.0
102.0,436731.01880741044,5.0
92.0,438496.74328040774,4.0
110.0,444467.81678900006,5.0
92.0,445125.36093900003,4.0
95.0,448485.481804,5.0
122.0,468213.172405,6.0
125.0,468325.060212,7.0
122.0,468331.05193799996,6.0
95.0,486487.188832,5.0
97.0,496787.551474,6.0
99.0,497029.682463,7.0
97.0,498068.14755999995,6.0
95.0,499360.026622,5.0
103.0,502168.10692600004,6.0
106.0,503455.497975,7.0
103.0,503463.78543,6.0
105.0,506262.21471499995,7.0
103.0,506359.69372599997,6.0
117.0,517867.57099,7.0
119.0,530265.412517,8.0
132.0,530867.344187,9.0
119.0,531089.707462,8.0
131.0,531589.582124,9.0
128.0,537189.93879,8.0
131.0,546788.926654,9.0
128.0,547426.3345229999,8.0
126.0,550612.9454449175,7.0
140.0,551608.9814180001,8.0
126.0,551663.5349740001,7.0
99.0,558358.5564840001,6.0
108.0,559261.260935,7.0
94.0,561956.580648,6.0
97.0,575221.572531,7.0
94.0,578148.458682,6.0
82.0,578522.0521399999,5.0
84.0,582686.01914,6.0
82.0,582716.6674663544,5.0
111.0,583480.466156,6.0
82.0,583499.469822,5.0
84.0,609585.361373,6.0
90.0,615822.044928,7.0
103.0,624381.068125,8.0
115.0,649696.776466,9.0
110.0,649755.636728,8.0
119.0,662270.6038,9.0
121.0,663519.938949,10.0
119.0,663850.410394,9.0
136.0,666619.230917,10.0
123.0,679299.6515258903,9.0
79.0,679301.2411454207,8.0
81.0,688543.973412,9.0
79.0,688701.278177,8.0
82.0,694373.86635,9.0
79.0,694378.514493,8.0
82.0,707601.724555,9.0
79.0,707621.72304,8.0
81.0,711025.223122,9.0
94.0,731316.0958680001,10.0
81.0,731361.19804,9.0
109.0,734731.016167,10.0
140.0,755630.569089,11.0
132.0,758789.1676439999,10.0
135.0,761496.647187,11.0
126.0,764706.815131,10.0
95.0,772362.956836,9.0
117.0,772803.1008649999,10.0
96.0,772822.9286600268,9.0
113.0,784322.663448,10.0
97.0,784478.273364,9.0
92.0,795821.1651227197,8.0
108.0,799753.805341,9.0
139.0,801528.272292,10.0
107.0,807609.2724743031,9.0
123.0,809134.798499,10.0
107.0,827210.012094,9.0
94.0,835843.4156404978,8.0
107.0,847350.517598,9.0
149.0,854328.219573,10.0
184.0,856685.2948220001,11.0
127.0,862053.6034043499,10.0
146.0,883731.988164,11.0
155.0,888851.32972,12.0
141.0,889444.2300273305,11.0
145.0,894496.695292,12.0
148.0,902564.508384,13.0
145.0,903064.596732,12.0
141.0,908168.1712939166,11.0
144.0,925198.407553,12.0
157.0,933322.495019,13.0
153.0,933573.584453,12.0
156.0,934334.3014079999,13.0
162.0,934457.1312909999,14.0
174.0,934513.768815,15.0
161.0,934547.430921871,14.0
171.0,938052.600808,15.0
184.0,949324.356568,16.0
173.0,949330.1134540001,15.0
168.0,951370.0748965683,14.0
196.0,952577.33371,15.0
168.0,952580.727403,14.0
189.0,961523.781542,15.0
168.0,961934.973698,14.0
171.0,965083.8521489999,15.0
204.0,965889.317573,16.0
175.0,965939.106349,15.0
168.0,974016.7168728176,14.0
173.0,979239.193437,15.0
168.0,979245.7873150001,14.0
170.0,987907.418525,15.0
168.0,987985.947573,14.0
185.0,1005802.799475,15.0
211.0,1008941.004636,16.0
202.0,1012230.9505583603,15.0
218.0,1013377.219485,16.0
202.0,1013559.6323310001,15.0
214.0,1015430.394258,16.0
217.0,1027478.531266,17.0
214.0,1027483.007888,16.0
216.0,1040121.739665,17.0
214.0,1040136.855304,16.0
216.0,1040228.541375,17.0
214.0,1042852.4329070001,16.0
216.0,1053702.583427,17.0
218.0,1057323.458749759,16.0
223.0,1065706.41027,17.0
226.0,1066416.903647,18.0
221.0,1068641.568193,17.0
233.0,1073252.955941,18.0
247.0,1077489.9927790002,19.0
256.0,1077493.9038075244,19.0
256.0,1077495.2704607984,19.0
256.0,1077496.6519099947,19.0
222.0,1077500.2084704333,18.0
253.0,1078023.393368,19.0
255.0,1085529.219559,20.0
256.0,1085568.6530653797,20.0
252.0,1085573.5312758456,19.0
237.0,1086216.130022,18.0
245.0,1097734.531175,19.0
256.0,1103748.7170580546,21.0
256.0,1118542.6377823316,22.0
256.0,1123541.4113643316,22.0
249.0,1123741.147850757,21.0
256.0,1127122.7160950545,21.0
242.0,1144089.1129100546,20.0
256.0,1144089.9120102555,23.0
253.0,1144115.2445630545,22.0
223.0,1144233.6724602554,21.0
220.0,1144284.6975480756,20.0
216.0,1144984.500793,19.0
199.0,1161625.4356429416,18.0
229.0,1175104.128423,19.0
224.0,1175481.080084435,18.0
229.0,1176044.656586,19.0
252.0,1187640.493564,20.0
256.0,1187760.1363966698,20.0
256.0,1187810.7603648698,20.0
256.0,1187835.20967838,20.0
229.0,1187868.615437393,19.0
222.0,1196108.8574200205,18.0
255.0,1214893.756866,19.0
245.0,1250624.2582229387,18.0
256.0,1250628.3196518794,25.0
256.0,1250678.0863148794,26.0
256.0,1250711.4610878122,26.0
249.0,1250683.7109178794,25.0
243.0,1250789.83248346,24.0
236.0,1250827.4915899388,23.0
225.0,1250846.5696853874,22.0
222.0,1250854.8917980401,21.0
256.0,1254864.310802,22.0
254.0,1257887.1306149387,21.0
249.0,1259955.0380910002,20.0
247.0,1263379.5368879389,19.0
256.0,1280238.0596466928,21.0
256.0,1280645.6772468158,21.0
256.0,1280810.5504703133,21.0
252.0,1280997.6072360757,20.0
256.0,1285019.264731,21.0
256.0,1321868.9700834001,21.0
243.0,1335450.4157,20.0
256.0,1335450.822210702,23.0
256.0,1335469.5402580213,23.0
256.0,1335477.722794735,23.0
256.0,1335481.5602300416,23.0
251.0,1335486.795036674,22.0
256.0,1336804.8528592065,22.0
256.0,1337286.259028582,22.0
256.0,1341630.8362385072,22.0
256.0,1345825.712315,23.0
246.0,1347848.8296869998,22.0
256.0,1353577.128076171,22.0
244.0,1354023.6231105847,21.0
236.0,1354057.0906755072,20.0
230.0,1360898.625846022,19.0
200.0,1364516.1204460503,18.0
256.0,1365504.390139,19.0
233.0,1400232.8804002996,18.0
256.0,1400233.9935148985,21.0
256.0,1401915.0251742601,21.0
256.0,1400243.2929985763,21.0
256.0,1400248.201358692,21.0
256.0,1400251.2378798514,21.0
256.0,1400251.3003448194,21.0
256.0,1400253.4259219323,21.0
220.0,1400258.8887193687,20.0
208.0,1411151.85144351,19.0
256.0,1412127.776883,20.0
244.0,1448458.7619949998,19.0
256.0,1448466.7943680394,25.0
253.0,1448483.2158010453,24.0
256.0,1448955.9439088113,24.0
244.0,1448960.0345818517,23.0
235.0,1449105.1042213743,22.0
256.0,1452390.524744,23.0
256.0,1459451.718572964,23.0
253.0,1459493.078742964,22.0
256.0,1465486.0267003453,24.0
256.0,1489004.869102883,24.0
254.0,1453933.6173099563,23.0
250.0,1497685.7098730393,22.0
244.0,1524111.6030133453,21.0
256.0,1524112.5080625904,23.0
256.0,1524125.9701253904,23.0
256.0,1524132.5316201688,23.0
256.0,1524142.3738623364,23.0
248.0,1524197.4330263364,22.0
238.0,1524211.6335239399,21.0
256.0,1530427.1589555324,23.0
256.0,1531795.1362347323,23.0
256.0,1532420.2085074286,23.0
223.0,1533357.8169164732,22.0
221.0,1536024.563521,21.0
256.0,1550931.241911,22.0
256.0,1551365.9863892775,22.0
256.0,1552616.3118902,22.0
254.0,1553591.2232910001,21.0
256.0,1560257.9204033336,21.0
256.0,1574314.0235945599,21.0
256.0,1588371.00651697,21.0
234.0,1590015.5149954911,20.0
256.0,1590017.1535135799,23.0
256.0,1596559.382258031,23.0
256.0,1590306.1283503799,23.0
256.0,1590483.8478750119,23.0
237.0,1590631.9314894911,22.0
256.0,1590739.5906055798,22.0
224.0,1591503.9445165799,21.0
256.0,1613872.891776,22.0
256.0,1633216.394409,23.0
256.0,1633232.832833,23.0
256.0,1633240.707196802,23.0
251.0,1633250.3495182842,22.0
248.0,1633294.8739612552,21.0
231.0,1675606.8111899998,20.0
256.0,1675608.1603084775,22.0
256.0,1680767.9984242811,22.0
256.0,1683069.2289154811,22.0
256.0,1684127.8664661099,22.0
256.0,1684778.9285597464,22.0
256.0,1685715.8227920528,22.0
256.0,1686522.531039669,22.0
244.0,1685721.5433270528,21.0
