cores,time,running_job_len
2.0,0.0,1.0
4.0,1546.268975,2.0
2.0,1617.23253,1.0
5.0,2531.770434,2.0
12.0,4557.200278,3.0
29.0,8173.286770999999,4.0
20.0,8204.30417,3.0
18.0,8497.339534,2.0
25.0,10097.353151000001,3.0
20.0,10104.528883,2.0
15.0,16994.717219898062,1.0
22.0,24490.833475,2.0
15.0,24823.74308359881,1.0
27.0,32108.691970999997,2.0
15.0,32118.616121999996,1.0
17.0,41858.397611,2.0
15.0,43974.250297,1.0
21.0,47967.380732,2.0
15.0,48727.13936,1.0
17.0,61835.327976,2.0
20.0,64765.905015,3.0
5.0,64995.666712588434,2.0
9.0,81885.077125,3.0
5.0,83439.145924,2.0
20.0,84939.980839,3.0
6.0,84972.89986887216,2.0
2.0,94464.40357701048,1.0
5.0,95517.66192,2.0
21.0,95838.474605,3.0
5.0,95846.845901,2.0
29.0,100351.957049,3.0
57.0,129215.42684300001,4.0
55.0,129796.185635,3.0
57.0,148815.087216,4.0
55.0,150006.86976700003,3.0
59.0,151907.230507,4.0
55.0,151921.73359129674,3.0
7.0,151999.487791966,2.0
3.0,154272.42862120055,1.0
7.0,178365.247238,2.0
12.0,181012.34369,3.0
7.0,181089.74666256792,2.0
12.0,186095.052545,3.0
8.0,186131.72176650524,2.0
11.0,218987.375519,3.0
18.0,221162.888344,4.0
15.0,222070.39629200002,3.0
8.0,223374.50053055424,2.0
33.0,230305.32452199998,3.0
58.0,237560.24503899997,4.0
33.0,239572.799049,3.0
61.0,249816.01005799999,4.0
57.0,264075.836778,3.0
61.0,278799.545185,4.0
57.0,279093.655235,3.0
52.0,281556.37064803677,2.0
56.0,295855.854139,3.0
52.0,302008.050275,2.0
55.0,311060.113114,3.0
54.0,311093.55351503374,2.0
6.0,326256.09845689876,1.0
15.0,344422.08899099997,2.0
29.0,348190.32976500003,3.0
25.0,349051.63727058057,2.0
47.0,356715.464288,3.0
94.0,386598.377942,4.0
114.0,389033.640244,5.0
116.0,392892.25996399997,6.0
114.0,393489.29798594007,5.0
94.0,397823.689111,4.0
106.0,410910.40978499997,5.0
110.0,423895.913052,6.0
106.0,424956.202442889,5.0
130.0,428985.51196,6.0
106.0,428990.52400399995,5.0
113.0,435202.75090200006,6.0
119.0,436647.91018199996,7.0
116.0,436749.483225,6.0
106.0,438498.78273185034,5.0
124.0,444467.81678900006,6.0
106.0,445125.36093900003,5.0
109.0,448485.481804,6.0
140.0,468213.172405,7.0
170.0,468325.060212,8.0
167.0,468331.05193799996,7.0
113.0,477561.7999717523,6.0
109.0,490489.1935924793,5.0
111.0,496787.551474,6.0
113.0,497029.682463,7.0
111.0,498068.14755999995,6.0
104.0,498681.4765370296,5.0
102.0,499360.026622,4.0
110.0,502168.10692600004,5.0
121.0,503455.497975,6.0
118.0,503463.78543,5.0
120.0,506262.21471499995,6.0
118.0,506359.69372599997,5.0
132.0,517867.57099,6.0
148.0,530265.412517,7.0
164.0,530867.344187,8.0
151.0,531052.2141090248,7.0
163.0,531589.582124,8.0
158.0,540048.73296387,7.0
130.0,546384.6853975484,6.0
132.0,546788.926654,7.0
130.0,547426.3345229999,6.0
111.0,547494.6909716023,5.0
125.0,551608.9814180001,6.0
111.0,551660.7452969673,5.0
84.0,558358.5564840001,4.0
93.0,559261.260935,5.0
96.0,575221.572531,6.0
93.0,578148.458682,5.0
81.0,578522.0521399999,4.0
83.0,582686.01914,5.0
81.0,582712.3534080626,4.0
110.0,583480.466156,5.0
81.0,583499.469822,4.0
83.0,609585.361373,5.0
89.0,615822.044928,6.0
95.0,624381.068125,7.0
107.0,649696.776466,8.0
102.0,649751.7743091631,7.0
111.0,662270.6038,8.0
113.0,663519.938949,9.0
111.0,663850.410394,8.0
128.0,666619.230917,9.0
115.0,679142.323050792,8.0
71.0,680771.627109008,7.0
73.0,688543.973412,8.0
71.0,688701.278177,7.0
74.0,694373.86635,8.0
71.0,694378.514493,7.0
74.0,707601.724555,8.0
71.0,707621.72304,7.0
73.0,711025.223122,8.0
86.0,731316.0958680001,9.0
73.0,731363.0042157738,8.0
101.0,734731.016167,9.0
159.0,755630.569089,10.0
193.0,761496.647187,11.0
184.0,764706.815131,10.0
123.0,767102.5207626576,9.0
149.0,772803.1008649999,10.0
127.0,772819.4743029944,9.0
144.0,784322.663448,10.0
127.0,784456.808582591,9.0
120.0,787395.2860691582,8.0
138.0,799753.805341,9.0
169.0,801528.272292,10.0
137.0,807609.2658949323,9.0
168.0,809134.798499,10.0
137.0,818337.4414043099,9.0
150.0,847350.517598,10.0
192.0,854328.219573,11.0
198.0,856685.2948220001,12.0
170.0,864472.4827506222,11.0
190.0,883731.988164,12.0
209.0,888851.32972,13.0
196.0,890965.8037640621,12.0
205.0,894496.695292,13.0
208.0,902564.508384,14.0
205.0,903064.596732,13.0
196.0,912344.5243588268,12.0
193.0,915596.171976419,11.0
196.0,925198.407553,12.0
209.0,933322.495019,13.0
212.0,934334.3014079999,14.0
222.0,934457.1312909999,15.0
234.0,934513.768815,16.0
221.0,934547.4479289465,15.0
236.0,938052.600808,16.0
256.0,949324.356568,17.0
256.0,949326.6593224001,17.0
256.0,949328.1668177521,17.0
256.0,949329.3904421291,17.0
256.0,949330.4049986132,17.0
229.0,949333.090947049,16.0
224.0,951362.3188322487,15.0
256.0,952577.33371,16.0
256.0,952578.6911872,16.0
256.0,952580.0567468934,16.0
256.0,952581.5588609861,16.0
256.0,952583.6914784891,16.0
192.0,952591.6379033991,15.0
256.0,961523.781542,16.0
256.0,961692.37032596,16.0
228.0,961895.4075052864,15.0
246.0,965083.8521489999,16.0
256.0,979239.657526431,18.0
256.0,980361.7802808308,18.0
251.0,979245.7873150001,17.0
222.0,979289.446302431,16.0
217.0,981884.9519998693,15.0
245.0,987907.418525,16.0
243.0,987985.947573,15.0
213.0,992728.6823980361,14.0
232.0,1005802.799475,15.0
241.0,1008941.004636,16.0
232.0,1012246.3615081176,15.0
248.0,1013377.219485,16.0
232.0,1013559.6323310001,15.0
244.0,1015430.394258,16.0
256.0,1027478.531266,17.0
251.0,1027483.007888,16.0
256.0,1040121.739665,17.0
254.0,1040136.855304,16.0
256.0,1040228.541375,17.0
254.0,1042852.4329070001,16.0
248.0,1045471.3911511113,15.0
255.0,1053702.583427,16.0
256.0,1056451.3232586528,16.0
252.0,1057321.8984313118,15.0
256.0,1066417.1983481843,17.0
256.0,1067591.2615173843,17.0
256.0,1068098.8808548748,17.0
247.0,1068693.793947987,16.0
231.0,1079191.9159022004,15.0
256.0,1079193.6207566923,18.0
242.0,1079198.053648474,17.0
256.0,1085529.219559,18.0
256.0,1089694.59579465,18.0
254.0,1085577.566397,17.0
234.0,1089842.0720422098,16.0
256.0,1097734.531175,17.0
256.0,1125651.624986096,22.0
256.0,1125702.6428240961,22.0
252.0,1125703.179311319,21.0
256.0,1125737.5104729065,21.0
256.0,1125744.2578094273,21.0
229.0,1125754.9749318643,20.0
256.0,1125894.9596219999,21.0
249.0,1130648.6286428683,20.0
256.0,1142182.700127414,22.0
256.0,1142192.7606076142,22.0
256.0,1142197.439508289,22.0
256.0,1142200.0927545086,22.0
256.0,1142201.8897299976,22.0
249.0,1142204.8410784213,21.0
223.0,1142356.380092409,20.0
209.0,1142861.356437,19.0
256.0,1143850.292751,20.0
256.0,1143936.5224042002,20.0
256.0,1143975.9257623386,20.0
251.0,1144023.9248278,19.0
230.0,1147665.2132871174,18.0
256.0,1175104.128423,19.0
256.0,1175295.2462026477,19.0
256.0,1175304.4436294,19.0
256.0,1175391.0368588574,19.0
247.0,1175493.649779366,18.0
256.0,1176044.656586,19.0
256.0,1178206.6008082,19.0
256.0,1197735.9816594343,19.0
256.0,1198384.0557545652,19.0
256.0,1208551.313370905,19.0
243.0,1198675.867541565,18.0
256.0,1220982.555350525,18.0
234.0,1255199.0837999824,17.0
256.0,1255204.9865562632,27.0
249.0,1255206.97093623,26.0
256.0,1255222.980235137,26.0
256.0,1255231.801180254,26.0
256.0,1255236.615825058,26.0
208.0,1255245.6571359895,25.0
203.0,1255379.2826133138,24.0
198.0,1255385.4403503095,23.0
194.0,1255392.174656519,22.0
187.0,1255545.847926049,21.0
182.0,1260295.7138452632,20.0
182.0,1262461.9561919824,19.0
178.0,1264412.1871066168,18.0
256.0,1265451.330593,19.0
256.0,1284909.4490545688,20.0
254.0,1285929.0026965688,19.0
256.0,1295727.1689156885,21.0
256.0,1295745.731447813,21.0
256.0,1295753.6340078285,21.0
256.0,1295757.6714607372,21.0
251.0,1295763.1226562005,20.0
246.0,1310732.840634,19.0
256.0,1310733.2380699865,21.0
225.0,1313405.0950349865,20.0
256.0,1313881.190292,21.0
249.0,1314362.674113099,20.0
240.0,1326019.5449990002,19.0
256.0,1340003.611469,20.0
256.0,1344974.1132438001,20.0
236.0,1346995.9397036922,19.0
256.0,1346996.0329482742,21.0
256.0,1347157.2563707267,21.0
256.0,1347716.35405028,21.0
251.0,1349019.057075692,20.0
237.0,1349916.5942402584,19.0
256.0,1353489.2878780002,20.0
237.0,1353772.362295,19.0
230.0,1353950.1346557585,18.0
256.0,1365504.390139,19.0
256.0,1365611.5176986742,19.0
256.0,1374436.6291316554,19.0
242.0,1377529.1433714987,18.0
256.0,1377529.7903020508,20.0
256.0,1378572.0647445172,20.0
240.0,1377553.9050280508,19.0
256.0,1383805.4399366498,19.0
256.0,1393732.3209821107,19.0
231.0,1383881.7880916498,18.0
256.0,1396316.622383,19.0
237.0,1403223.436922,18.0
256.0,1412127.776883,19.0
256.0,1432206.2276079773,19.0
242.0,1491497.7127159918,18.0
256.0,1491507.372252878,28.0
256.0,1491511.9119629236,28.0
256.0,1491514.2329731614,28.0
251.0,1491517.5989706984,27.0
248.0,1491544.2911889884,26.0
245.0,1491557.5741068781,25.0
256.0,1491690.260876409,25.0
225.0,1491759.8020751604,24.0
220.0,1492170.792871571,23.0
256.0,1501490.905691,24.0
231.0,1504910.848889,23.0
225.0,1509744.2607598838,22.0
256.0,1510411.344612,23.0
256.0,1511191.7125672896,23.0
244.0,1510496.043764,22.0
256.0,1522954.1272109193,24.0
256.0,1525573.7676600956,24.0
238.0,1522987.7823679193,23.0
230.0,1523008.9814769998,22.0
222.0,1528136.0327905812,21.0
256.0,1530426.7607790001,22.0
256.0,1530812.4770336933,22.0
256.0,1532721.85990322,22.0
224.0,1534521.5570023754,21.0
222.0,1535596.7018243556,20.0
210.0,1537120.5323313447,19.0
256.0,1550931.241911,20.0
256.0,1552925.6816453002,20.0
