S_ime,W_time,R_time,Processors,id,type,Max_resource,Min_resource,Total_cost
0.0,4,14400,100,1,1,100,100,1440000
27.75,0,14400,100,2,1,100,100,1440000
57051.0,9,45,20,3,1,20,20,900
81159.75,16386,154,1,4,1,1,1,154
81225.0,16977,50,1,5,1,1,1,50
81252.0,16596,1112,1,6,2,2,1,1112
84852.0,11796,176777,1000,7,2,1350,600,176777000
94040.25,206,45,2560,8,2,3456,1536,115200
94152.75,112,353,10000,9,2,13500,6000,3530000
94538.25,197,42,2560,10,2,3456,1536,107520
94973.25,11,2114,1000,11,2,1350,600,2114000
95274.75,3,172800,2560,12,1,2560,2560,442368000
95313.75,4,49,1,13,1,1,1,49
95402.25,8,42,1,14,1,1,1,42
96321.75,4,53,1,15,1,1,1,53
96398.25,1,42,1,16,1,1,1,42
96456.0,8,657,1,17,2,2,1,657
96585.0,0,180,1000,18,2,1350,600,180000
96742.5,0,365,1000,19,2,1350,600,365000
97149.75,0,354,1000,20,1,1000,1000,354000
97186.5,4,374,1,21,2,2,1,374
97485.0,243,31,1000,22,2,1350,600,31000
97601.25,11,327,1000,23,1,1000,1000,327000
97814.25,1,25210,100,24,1,100,100,2521000
97814.25,1,41846,100,25,1,100,100,4184600
97814.25,1,42111,100,26,1,100,100,4211100
97814.25,1,42240,100,27,1,100,100,4224000
97814.25,1,42488,100,28,1,100,100,4248800
97814.25,1019,42341,100,29,1,100,100,4234100
97815.0,11,42114,100,30,1,100,100,4211400
97815.0,11,42891,100,31,1,100,100,4289100
97815.75,10,109,100,32,1,100,100,10900
97815.75,10,41534,100,33,1,100,100,4153400
97815.75,10,41866,100,34,1,100,100,4186600
97815.75,10,41994,100,35,1,100,100,4199400
97816.5,9,39720,100,36,1,100,100,3972000
97816.5,9,41951,100,37,1,100,100,4195100
97816.5,9,43726,100,38,1,100,100,4372600
97816.5,9,43788,100,39,1,100,100,4378800
97817.25,8,39474,100,40,1,100,100,3947400
97817.25,8,39751,100,41,1,100,100,3975100
97817.25,8,40137,100,42,1,100,100,4013700
97817.25,8,43203,100,43,1,100,100,4320300
97818.0,7,39377,100,44,1,100,100,3937700
97818.0,7,39516,100,45,1,100,100,3951600
97818.0,7,40033,100,46,1,100,100,4003300
97848.75,8,347,500,47,1,500,500,173500
97854.0,1,347,500,48,1,500,500,173500
97869.75,2,325,500,49,1,500,500,162500
97879.5,1,313,500,50,1,500,500,156500
97887.75,1,346,500,51,1,500,500,173000
97905.75,10,313,500,52,1,500,500,156500
97914.75,9,346,500,53,1,500,500,173000
97923.75,8,335,500,54,1,500,500,167500
97932.0,8,313,500,55,1,500,500,156500
97941.75,6,313,500,56,1,500,500,156500
97950.0,297,342,500,57,1,500,500,171000
97957.5,221,95052,500,58,1,500,500,47526000
97965.75,276,342,500,59,1,500,500,171000
97975.5,638,31,500,60,1,500,500,15500
98421.0,0,907,1,61,2,2,1,907
98835.75,309,296,1000,62,1,1000,1000,296000
99174.0,469,31,500,63,2,675,300,15500
99257.25,1,335,2560,64,2,3456,1536,857600
99803.25,155,33,2560,65,2,3456,1536,84480
99818.25,806,326,1000,66,2,1350,600,326000
100499.25,462,62,2560,67,1,2560,2560,158720
101287.5,0,43,1,68,1,1,1,43
101379.75,4,53,1,69,1,1,1,53
101458.5,0,54,1,70,1,1,1,54
101508.75,1,53,1,71,2,2,1,53
101925.75,5,338,1000,72,1,1000,1000,338000
102117.0,4,332,200,73,1,200,200,66400
102455.25,500,341,200,74,1,200,200,68200
102846.75,1,53,1,75,1,1,1,53
102951.0,1,43,1,76,1,1,1,43
103671.0,2,90,400,77,1,400,400,36000
103883.25,7,86,400,78,1,400,400,34400
104452.5,8,681,400,79,1,400,400,272400
104616.0,0,85,400,80,1,400,400,34000
104619.0,8,84,400,81,2,540,240,33600
105275.25,7,93,1000,82,2,1350,600,93000
105396.0,0,95,1000,83,2,1350,600,95000
105569.25,0,93,1000,84,2,1350,600,93000
106142.25,2,92,1000,85,1,1000,1000,92000
106247.25,1,197,200,86,2,270,120,39400
106857.0,7,104,1000,87,2,1350,600,104000
109366.5,3,467,2560,88,2,3456,1536,1195520
109707.0,16,190,10000,89,2,13500,6000,1900000
109905.75,4,166,10000,90,2,13500,6000,1660000
110171.25,3,212,10000,91,2,13500,6000,2120000
110369.25,0,214,10000,92,2,13500,6000,2140000
110541.75,0,271,10000,93,1,10000,10000,2710000
110858.25,4,7297,500,94,1,500,500,3648500
111215.25,4,888,500,95,1,500,500,444000
111221.25,7,3452,500,96,1,500,500,1726000
111226.5,11,3669,500,97,1,500,500,1834500
111237.75,7,21507,500,98,1,500,500,10753500
111243.75,10,6610,500,99,1,500,500,3305000
111255.75,5,1743,500,100,1,500,500,871500
111262.5,7,1823,500,101,1,500,500,911500
111270.75,7,157,500,102,1,500,500,78500
111276.75,10,3780,500,103,1,500,500,1890000
111284.25,146,2162,500,104,1,500,500,1081000
111294.0,787,310,500,105,1,500,500,155000
111300.75,1088,2694,500,106,2,675,300,1347000
111846.75,5816,395,3840,107,1,3840,3840,1516800
113703.0,4,385,500,108,1,500,500,192500
117027.75,0,91,10,109,1,10,10,910
117102.75,3,367,10,110,1,10,10,3670
117384.0,7,987,25,111,1,25,25,24675
118149.75,4,135,25,112,1,25,25,3375
118169.25,1,42,25,113,1,25,25,1050
118235.25,0,223,25,114,1,25,25,5575
118449.0,11,1348,25,115,2,34,15,33700
118536.0,0,178,10000,116,1,10000,10000,1780000
145588.5,5,658,25,117,2,34,15,16450
146099.25,1,302,10000,118,1,10000,10000,3020000
146208.75,2,1384,2,119,2,3,2,2768
147786.0,1,87,1000,120,1,1000,1000,87000
151009.5,8,155,200,121,1,200,200,31000
151145.25,4,332,200,122,2,270,120,66400
152342.25,9,321,1000,123,2,1350,600,321000
152615.25,8,409,1000,124,2,1350,600,409000
152860.5,2,294,3840,125,2,5184,2304,1128960
152985.75,0,590,1000,126,1,1000,1000,590000
153105.0,1,325,200,127,2,270,120,65000
153702.75,6,1242,1000,128,1,1000,1000,1242000
154329.0,10,11296,200,129,2,270,120,2259200
154686.0,1,1059,3840,130,1,3840,3840,4066560
155727.75,0,185,500,131,2,675,300,92500
155949.0,0,707,1000,132,1,1000,1000,707000
155958.75,10,610,500,133,1,500,500,305000
157332.75,1,43190,100,134,1,100,100,4319000
157333.5,11,43157,100,135,1,100,100,4315700
157333.5,11,43857,100,136,1,100,100,4385700
157334.25,10,3949,100,137,1,100,100,394900
157334.25,10,43382,100,138,1,100,100,4338200
157334.25,10,43623,100,139,1,100,100,4362300
157334.25,10,43706,100,140,1,100,100,4370600
157335.0,9,95,100,141,1,100,100,9500
157335.0,9,44366,100,142,1,100,100,4436600
157335.0,9,44605,100,143,1,100,100,4460500
157335.0,9,44729,100,144,1,100,100,4472900
157335.75,8,44439,100,145,1,100,100,4443900
157335.75,8,45006,100,146,1,100,100,4500600
157335.75,8,49351,100,147,1,100,100,4935100
157336.5,7,5896,100,148,1,100,100,589600
157336.5,7,44355,100,149,1,100,100,4435500
157336.5,7,53799,100,150,1,100,100,5379900
157336.5,7,64861,100,151,1,100,100,6486100
157337.25,6,70910,100,152,1,100,100,7091000
157337.25,6,74810,100,153,1,100,100,7481000
157337.25,6,78260,100,154,1,100,100,7826000
157337.25,6,78509,100,155,1,100,100,7850900
157337.25,6,78730,100,156,1,100,100,7873000
157606.5,1,1242,500,157,1,500,500,621000
157606.5,1,2011,500,158,1,500,500,1005500
157606.5,1,5786,500,159,1,500,500,2893000
157606.5,1,96868,500,160,1,500,500,48434000
157606.5,1,98032,500,161,1,500,500,49016000
157606.5,1,98250,500,162,1,500,500,49125000
157607.25,11,7877,500,163,1,500,500,3938500
157607.25,11,43627,500,164,1,500,500,21813500
157608.0,1241,1036,500,165,1,500,500,518000
157608.0,2010,3547,500,166,1,500,500,1773500
157608.0,10,11639,500,167,1,500,500,5819500
157608.0,2277,9817,500,168,1,500,500,4908500
157608.75,3512,299,500,169,2,675,300,149500
159861.75,508,837,3840,170,1,3840,3840,3214080
160016.25,1,165,200,171,1,200,200,33000
160236.0,9,4074,500,172,2,675,300,2037000
164601.75,0,395,3840,173,1,3840,3840,1516800
164993.25,8,188743,200,174,1,200,200,37748600
165004.5,4,2457,500,175,1,500,500,1228500
165096.75,5,115,200,176,1,200,200,23000
165277.5,3,188380,200,177,1,200,200,37676000
166055.25,9,187326,200,178,1,200,200,37465200
166281.0,0,19629,200,179,1,200,200,3925800
167103.0,0,142850,500,180,1,500,500,71425000
168316.5,135,90490,500,181,1,500,500,45245000
171653.25,0,105,200,182,1,200,200,21000
172693.5,1,95,200,183,1,200,200,19000
172752.75,6,92016,500,184,1,500,500,46008000
172752.75,6,92028,500,185,1,500,500,46014000
172752.75,6,93703,500,186,1,500,500,46851500
172752.75,6,94106,500,187,1,500,500,47053000
172752.75,6,98076,500,188,1,500,500,49038000
172753.5,10999,94798,500,189,1,500,500,47399000
172753.5,10999,96384,500,190,1,500,500,48192000
172753.5,10999,98192,500,191,1,500,500,49096000
172753.5,10999,98245,500,192,1,500,500,49122500
172753.5,10999,105651,500,193,1,500,500,52825500
172791.0,8,95,100,194,1,100,100,9500
172798.5,9,95,200,195,1,200,200,19000
172801.5,5,95,100,196,1,100,100,9500
172855.5,17,95,100,197,1,100,100,9500
174215.25,6,20126,1,198,1,1,1,20126
181000.5,3,167405,200,199,1,200,200,33481000
182153.25,6,95,80,200,1,80,80,7600
182220.0,1,91,10,201,2,14,6,910
187318.5,10,86400,3840,202,1,3840,3840,331776000
189719.25,9,24941,200,203,1,200,200,4988200
189926.25,9,57299,100,204,1,100,100,5729900
189993.75,0,49755,100,205,1,100,100,4975500
190070.25,0,57750,100,206,1,100,100,5775000
190086.0,2,48529,100,207,1,100,100,4852900
190104.0,0,44110,100,208,1,100,100,4411000
190123.5,8,96,100,209,1,100,100,9600
190208.25,170,93224,500,210,1,500,500,46612000
190280.25,1,42539,100,211,1,100,100,4253900
209115.75,1,59739,200,212,1,200,200,11947800
223476.75,0,59097,100,213,1,100,100,5909700
223477.5,11,58193,100,214,1,100,100,5819300
223477.5,11,58857,100,215,1,100,100,5885700
223478.25,10,44489,100,216,1,100,100,4448900
223478.25,10,58711,100,217,1,100,100,5871100
223478.25,10,59096,100,218,1,100,100,5909600
223478.25,10,59694,100,219,1,100,100,5969400
223479.0,9,59911,100,220,1,100,100,5991100
223479.0,9,60212,100,221,1,100,100,6021200
223479.0,9,60595,100,222,1,100,100,6059500
223479.0,9,102035,100,223,1,100,100,10203500
223479.75,8,76669,100,224,1,100,100,7666900
223479.75,8,93271,100,225,1,100,100,9327100
223479.75,8,94205,100,226,1,100,100,9420500
223479.75,8,94341,100,227,1,100,100,9434100
223480.5,2784,56751,100,228,1,100,100,5675100
223480.5,7,96316,100,229,1,100,100,9631600
223480.5,7,112961,100,230,1,100,100,11296100
223480.5,2784,117386,100,231,2,135,60,11738600
225568.5,0,180202,1000,232,1,1000,1000,180202000
226334.25,3,346,200,233,1,200,200,69200
226452.0,1,169,200,234,1,200,200,33800
226581.0,9,77399,200,235,1,200,200,15479800
226601.25,4,77252,200,236,2,270,120,15450400
228714.75,0,314,1000,237,2,1350,600,314000
229364.25,0,395,1000,238,2,1350,600,395000
229895.25,8,177554,1000,239,2,1350,600,177554000
233190.75,5,1986,1000,240,2,1350,600,1986000
235091.25,0,147,1000,241,2,1350,600,147000
235344.0,7,197198,1000,242,1,1000,1000,197198000
235538.25,7,98473,500,243,1,500,500,49236500
235640.25,6,102860,100,244,1,100,100,10286000
235645.5,10,100076,100,245,1,100,100,10007600
235647.75,7,75362,100,246,1,100,100,7536200
235652.25,1,102466,100,247,2,135,60,10246600
236413.5,1,23985,1000,248,1,1000,1000,23985000
257787.75,3,84,100,249,1,100,100,8400
257890.5,1,59493,100,250,1,100,100,5949300
257929.5,2,99753,500,251,1,500,500,49876500
257964.0,9,98190,500,252,1,500,500,49095000
257980.5,0,97674,500,253,1,500,500,48837000
257997.0,0,97348,500,254,1,500,500,48674000
258014.25,1,93848,500,255,1,500,500,46924000
258021.75,2,259200,500,256,1,500,500,129600000
258029.25,3,93317,500,257,1,500,500,46658500
258033.0,2961,93718,500,258,1,500,500,46859000
258036.75,13017,96045,500,259,1,500,500,48022500
258042.0,14520,95612,500,260,1,500,500,47806000
258045.75,48261,97885,500,261,1,500,500,48942500
274557.0,4,78270,200,262,2,270,120,15654000
285054.75,0,172800,10000,263,1,10000,10000,1728000000
301820.25,0,125,2,264,1,2,2,250
301923.75,0,1210,10,265,2,14,6,12100
302034.75,1,81552,1000,266,1,1000,1000,81552000
302915.25,1,1251,2,267,2,3,2,2502
304862.25,5,115,1000,268,2,1350,600,115000
305124.0,0,146,1000,269,1,1000,1000,146000
306140.25,3,605,500,270,2,675,300,302500
306597.75,10,147,1000,271,1,1000,1000,147000
306637.5,1,61068,500,272,1,500,500,30534000
306666.0,5,4269,200,273,1,200,200,853800
306749.25,0,4163,200,274,1,200,200,832600
306786.75,4,4109,200,275,1,200,200,821800
306897.0,3,3963,200,276,1,200,200,792600
310446.75,10,76468,100,277,1,100,100,7646800
310446.75,10,83259,100,278,1,100,100,8325900
310446.75,10,109480,100,279,1,100,100,10948000
310446.75,10,110122,100,280,1,100,100,11012200
310447.5,9,90663,100,281,1,100,100,9066300
310447.5,9,93218,100,282,1,100,100,9321800
310447.5,9,96385,100,283,1,100,100,9638500
310447.5,9,98491,100,284,1,100,100,9849100
310448.25,8,96643,100,285,1,100,100,9664300
310448.25,349,98585,100,286,1,100,100,9858500
310448.25,3122,113137,100,287,1,100,100,11313700
310448.25,2739,115061,100,288,1,100,100,11506100
310449.0,23427,67781,100,289,1,100,100,6778100
310449.0,23427,81012,100,290,1,100,100,8101200
310449.0,23427,86629,100,291,1,100,100,8662900
310449.0,23427,89299,100,292,1,100,100,8929900
310449.75,23935,7907,100,293,1,100,100,790700
310449.75,23426,112559,100,294,1,100,100,11255900
310449.75,23935,126309,100,295,1,100,100,12630900
310495.5,26729,27746,500,296,1,500,500,13873000
310611.0,27196,99192,500,297,1,500,500,49596000
310621.5,27486,93176,500,298,1,500,500,46588000
316268.25,16177,112572,100,299,1,100,100,11257200
316273.5,16170,129884,100,300,1,100,100,12988400
316292.25,16145,98798,100,301,1,100,100,9879800
316295.25,20424,101296,100,302,1,100,100,10129600
344454.0,0,54,1,303,1,1,1,54
344532.75,0,43,1,304,1,1,1,43
346734.0,1,159,4,305,1,4,4,636
346878.0,11,84,4,306,1,4,4,336
347068.5,8,93,4,307,2,6,3,372
348174.75,1,149,1000,308,1,1000,1000,149000
348248.25,0,74,10,309,2,14,6,740
348270.0,0,308,1000,310,1,1000,1000,308000
348283.5,5,172800,1,311,1,1,1,172800
348303.75,11,172800,1,312,1,1,1,172800
348320.25,1,172800,1,313,1,1,1,172800
348336.0,2,114284,1,314,2,2,1,114284
348925.5,4,345,1000,315,2,1350,600,345000
351277.5,1,109,1000,316,1,1000,1000,109000
351326.25,0,98402,500,317,1,500,500,49201000
351332.25,4,97701,500,318,1,500,500,48850500
351334.5,1,97025,500,319,1,500,500,48512500
351354.0,8,95622,500,320,1,500,500,47811000
351362.25,8,95622,500,321,2,675,300,47811000
351366.75,2,145,1000,322,1,1000,1000,145000
351368.25,1428,50648,500,323,1,500,500,25324000
351378.75,15761,97051,500,324,1,500,500,48525500
351428.25,38,7949,100,325,2,135,60,794900
351456.0,28,78018,1000,326,2,1350,600,78018000
352314.0,14514,80183,1000,327,1,1000,1000,80183000
353262.75,0,438,160,328,1,160,160,70080
353565.75,0,9154,160,329,1,160,160,1464640
353930.25,0,135,160,330,1,160,160,21600
354085.5,0,136,160,331,1,160,160,21760
354087.0,8844,108780,500,332,1,500,500,54390000
354387.75,8058,88290,200,333,1,200,200,17658000
354462.75,8343,97628,200,334,1,200,200,19525600
354480.75,8319,105458,200,335,1,200,200,21091600
354579.75,11316,104265,200,336,1,200,200,20853000
355784.25,9710,93,400,337,1,400,400,37200
355927.5,0,89,40,338,1,40,40,3560
356882.25,6,9449,160,339,2,216,96,1511840
357756.0,47053,21873,1000,340,1,1000,1000,21873000
364187.25,5,334,100,341,1,100,100,33400
364634.25,3,77920,100,342,1,100,100,7792000
364753.5,0,73157,100,343,1,100,100,7315700
366458.25,8,434,160,344,2,216,96,69440
367974.75,20364,259200,1000,345,1,1000,1000,259200000
368159.25,1,1107,200,346,1,200,200,221400
368934.75,1,19198,300,347,1,300,300,5759400
372441.0,8552,70105,600,348,1,600,600,42063000
374598.0,11648,64144,600,349,1,600,600,38486400
389412.75,0,81230,100,350,1,100,100,8123000
389425.5,6,93577,100,351,1,100,100,9357700
389442.0,6,7915,100,352,2,135,60,791500
408054.75,8933,105,15000,353,1,15000,15000,1575000
408723.0,1,53,1,354,1,1,1,53
408850.5,0,178,1,355,1,1,1,178
409050.0,5,146,2,356,1,2,2,292
409468.5,1,165,1,357,1,1,1,165
409584.0,0,4638,1,358,1,1,1,4638
409836.75,7,180,4,359,2,6,3,720
409950.75,3,172800,1000,360,2,1350,600,172800000
410174.25,4,118685,1000,361,1,1000,1000,118685000
410949.0,1,183,4,362,1,4,4,732
411870.75,1,184,4,363,1,4,4,736
413153.25,0,190,4,364,1,4,4,760
413324.25,5,178,4,365,2,6,3,712
417450.75,10,166950,15000,366,1,15000,15000,2504250000
418879.5,3,60,20,367,1,20,20,1200
419006.25,3,300,20,368,1,20,20,6000
420321.0,3674,53,1,369,1,1,1,53
421047.75,2705,53,20,370,1,20,20,1060
421048.5,2704,86,40,371,1,40,40,3440
421048.5,2704,97,60,372,1,60,60,5820
421048.5,2704,97,80,373,1,80,80,7760
421048.5,2704,97,100,374,1,100,100,9700
421049.25,2703,97,120,375,2,162,72,11640
422067.0,1346,2583,1000,376,1,1000,1000,2583000
422163.0,1218,8410,100,377,1,100,100,841000
422203.5,1164,8210,100,378,1,100,100,821000
422634.0,590,53,1,379,1,1,1,53
423510.0,0,87,40,380,2,54,24,3480
423635.25,1,1092,1000,381,1,1000,1000,1092000
423699.0,0,43,1,382,1,1,1,43
423839.25,2,1016,20,383,1,20,20,20320
423840.0,1,331,80,384,1,80,80,26480
423840.0,1,414,60,385,1,60,60,24840
423840.0,1,549,40,386,1,40,40,21960
423840.75,11,279,120,387,1,120,120,33480
423840.75,11,301,100,388,2,135,60,30100
423840.75,11,14548,1000,389,2,1350,600,14548000
425106.0,1,200012,1000,390,1,1000,1000,200012000
425134.5,3,219,200,391,1,200,200,43800
425134.5,3,230,180,392,1,180,180,41400
425134.5,3,241,160,393,1,160,160,38560
425134.5,3,252,140,394,1,140,140,35280
425135.25,2,208,220,395,1,220,220,45760
425135.25,2,208,240,396,1,240,240,49920
426084.0,3,137,200,397,2,270,120,27400
426084.75,2,115,1000,398,2,1350,600,115000
426084.75,2,126,2000,399,1,2000,2000,252000
426489.75,1,73,200,400,2,270,120,14600
426490.5,11,349,1000,401,2,1350,600,349000
426491.25,10,263,2000,402,2,2700,1200,526000
426491.25,6590,106,4000,403,2,5400,2400,424000
426491.25,154906,107,10000,404,1,10000,10000,1070000
426558.75,4,1112,200,405,1,200,200,222400
427614.0,1,600,400,406,2,540,240,240000
427614.75,11,293,1600,407,2,2160,960,468800
427614.75,11,324,1200,408,1,1200,1200,388800
428208.75,1,600,100,409,1,100,100,60000
428958.0,0,506,100,410,1,100,100,50600
429054.0,1,355,100,411,1,100,100,35500
429283.5,8,230,100,412,1,100,100,23000
429326.25,4,177,100,413,1,100,100,17700
429500.25,2,48906,100,414,1,100,100,4890600
429516.0,3,48013,100,415,1,100,100,4801300
430163.25,0,105,100,416,1,100,100,10500
430275.75,1,48992,100,417,1,100,100,4899200
430285.5,10,49768,100,418,2,135,60,4976800
430382.25,5,110003,2000,419,1,2000,2000,220006000
430898.25,1,213,100,420,1,100,100,21300
431041.5,0,97,100,421,1,100,100,9700
431163.75,8,374,100,422,1,100,100,37400
431663.25,0,5498,100,423,1,100,100,549800
435835.5,8,49337,100,424,1,100,100,4933700
435873.75,1,48453,100,425,1,100,100,4845300
443922.0,0,53,1,426,1,1,1,53
443985.75,10,47,1,427,1,1,1,47
444060.0,1,53,1,428,1,1,1,53
458708.25,4,114832,100,429,1,100,100,11483200
458736.75,0,113995,100,430,1,100,100,11399500
458763.0,8,91242,100,431,1,100,100,9124200
458818.5,7,56482,100,432,1,100,100,5648200
458841.75,0,115161,100,433,1,100,100,11516100
458856.75,2,172800,100,434,1,100,100,17280000
458883.75,8,7889,100,435,1,100,100,788900
459052.5,10,115,500,436,1,500,500,57500
459108.0,9,62436,500,437,1,500,500,31218000
459189.0,5,25893,500,438,1,500,500,12946500
459250.5,7,93675,500,439,1,500,500,46837500
459286.5,1,106,500,440,1,500,500,53000
459324.75,3,6403,500,441,1,500,500,3201500
459454.5,0,2632,500,442,1,500,500,1316000
459509.25,11,1380,500,443,1,500,500,690000
459569.25,5,757,500,444,1,500,500,378500
461228.25,0,98,500,445,1,500,500,49000
461231.25,8,108,500,446,1,500,500,54000
461266.5,3,99213,500,447,1,500,500,49606500
461282.25,4,98286,500,448,1,500,500,49143000
461312.25,8,98826,500,449,1,500,500,49413000
461319.0,10,97107,500,450,2,675,300,48553500
471134.25,0,166,1000,451,2,1350,600,166000
471381.75,0,74031,1500,452,1,1500,1500,111046500
473863.5,8,217,4,453,1,4,4,868
475711.5,2,913,100,454,1,100,100,91300
475965.75,1,99,100,455,1,100,100,9900
477438.75,1565,53,1,456,1,1,1,53
478339.5,364,309,200,457,1,200,200,61800
478666.5,0,96,200,458,1,200,200,19200
478993.5,0,65,200,459,1,200,200,13000
479023.5,3,1223,200,460,1,200,200,244600
479222.25,0,32473,200,461,1,200,200,6494600
479334.75,7,97,40,462,1,40,40,3880
479335.5,6,97,40,463,1,40,40,3880
479335.5,6,97,40,464,1,40,40,3880
479335.5,6,97,40,465,1,40,40,3880
479335.5,6,97,40,466,1,40,40,3880
479335.5,6,97,40,467,1,40,40,3880
479335.5,6,97,40,468,1,40,40,3880
479336.25,5,97,40,469,1,40,40,3880
479336.25,5,97,40,470,1,40,40,3880
479336.25,5,97,40,471,1,40,40,3880
479337.0,4,97,40,472,1,40,40,3880
479337.75,3,86,40,473,1,40,40,3440
479337.75,3,86,40,474,1,40,40,3440
479337.75,3,86,40,475,1,40,40,3440
479337.75,3,86,40,476,1,40,40,3440
479337.75,3,97,40,477,1,40,40,3880
479337.75,3,97,40,478,1,40,40,3880
479337.75,3,97,40,479,1,40,40,3880
479338.5,2,97,40,480,1,40,40,3880
479338.5,2,97,40,481,1,40,40,3880
479338.5,2,97,40,482,1,40,40,3880
479339.25,1,86,40,483,1,40,40,3440
479339.25,1,86,40,484,1,40,40,3440
479339.25,1,86,40,485,1,40,40,3440
479339.25,1,86,40,486,1,40,40,3440
479339.25,1,97,40,487,1,40,40,3880
479339.25,1,97,40,488,1,40,40,3880
479339.25,1,97,40,489,1,40,40,3880
479340.0,11,98,40,490,1,40,40,3920
479340.75,10,98,40,491,1,40,40,3920
479352.75,5,98,40,492,1,40,40,3920
479352.75,5,98,40,493,1,40,40,3920
479352.75,5,98,40,494,1,40,40,3920
479352.75,5,98,40,495,1,40,40,3920
479352.75,5,98,40,496,1,40,40,3920
479352.75,5,98,40,497,1,40,40,3920
479353.5,4,87,40,498,1,40,40,3480
479353.5,4,98,40,499,1,40,40,3920
479353.5,4,98,40,500,1,40,40,3920
479353.5,4,98,40,501,1,40,40,3920
479353.5,4,98,40,502,1,40,40,3920
479353.5,4,98,40,503,1,40,40,3920
479354.25,3,87,40,504,1,40,40,3480
479354.25,3,87,40,505,1,40,40,3480
479354.25,3,98,40,506,1,40,40,3920
479354.25,3,98,40,507,1,40,40,3920
479354.25,3,98,40,508,1,40,40,3920
479354.25,3,98,40,509,1,40,40,3920
479354.25,3,98,40,510,1,40,40,3920
479355.0,2,98,40,511,1,40,40,3920
479355.0,66,84,40,512,1,40,40,3360
479355.0,66,96,40,513,1,40,40,3840
479355.0,66,96,40,514,1,40,40,3840
479355.0,66,96,40,515,1,40,40,3840
479355.0,66,96,40,516,1,40,40,3840
479355.75,65,96,40,517,1,40,40,3840
479355.75,65,96,40,518,1,40,40,3840
479355.75,65,96,40,519,1,40,40,3840
479355.75,76,85,40,520,1,40,40,3400
479355.75,76,85,40,521,1,40,40,3400
479355.75,76,85,40,522,1,40,40,3400
479355.75,76,96,40,523,1,40,40,3840
479356.5,75,96,40,524,1,40,40,3840
479356.5,75,96,40,525,1,40,40,3840
479357.25,74,85,40,526,1,40,40,3400
479357.25,74,85,40,527,1,40,40,3400
479357.25,74,96,40,528,1,40,40,3840
479358.0,73,85,40,529,1,40,40,3400
479358.0,73,85,40,530,1,40,40,3400
479358.0,73,96,40,531,1,40,40,3840
479358.0,73,96,40,532,1,40,40,3840
479358.75,72,85,40,533,1,40,40,3400
479358.75,72,96,40,534,1,40,40,3840
479358.75,72,96,40,535,1,40,40,3840
479358.75,72,96,40,536,1,40,40,3840
479359.5,71,85,40,537,1,40,40,3400
479359.5,71,96,40,538,1,40,40,3840
479359.5,71,96,40,539,1,40,40,3840
479359.5,83,95,40,540,1,40,40,3800
479360.25,82,84,40,541,1,40,40,3360
479360.25,82,95,40,542,1,40,40,3800
