S_ime,W_time,R_time,Processors,id,type,Max_resource,Min_resource,Total_cost
0.0,4,14400,100,1,1,100,100,1440000
3.46875,0,14400,100,2,1,100,100,1440000
7131.375,9,45,20,3,1,20,20,900
10144.96875,16386,154,1,4,1,1,1,154
10153.125,16977,50,1,5,1,1,1,50
10156.5,16596,1112,1,6,3,2,1,1112
10606.5,11796,176777,1000,7,2,1350,600,176777000
11755.03125,206,45,2560,8,2,3456,1536,115200
11769.09375,112,353,10000,9,2,13500,6000,3530000
11817.28125,197,42,2560,10,2,3456,1536,107520
11871.65625,11,2114,1000,11,2,1350,600,2114000
11909.34375,3,172800,2560,12,1,2560,2560,442368000
11914.21875,4,49,1,13,1,1,1,49
11925.28125,8,42,1,14,1,1,1,42
12040.21875,4,53,1,15,1,1,1,53
12049.78125,1,42,1,16,1,1,1,42
12057.0,8,657,1,17,2,2,1,657
12073.125,0,180,1000,18,2,1350,600,180000
12092.8125,0,365,1000,19,3,1600,800,365000
12143.71875,0,354,1000,20,1,1000,1000,354000
12148.3125,4,374,1,21,3,2,1,374
12185.625,243,31,1000,22,2,1350,600,31000
12200.15625,11,327,1000,23,1,1000,1000,327000
12226.78125,1,25210,100,24,1,100,100,2521000
12226.78125,1,41846,100,25,1,100,100,4184600
12226.78125,1,42111,100,26,1,100,100,4211100
12226.78125,1,42240,100,27,1,100,100,4224000
12226.78125,1,42488,100,28,1,100,100,4248800
12226.78125,1019,42341,100,29,1,100,100,4234100
12226.875,11,42114,100,30,1,100,100,4211400
12226.875,11,42891,100,31,1,100,100,4289100
12226.96875,10,109,100,32,1,100,100,10900
12226.96875,10,41534,100,33,1,100,100,4153400
12226.96875,10,41866,100,34,1,100,100,4186600
12226.96875,10,41994,100,35,1,100,100,4199400
12227.0625,9,39720,100,36,1,100,100,3972000
12227.0625,9,41951,100,37,1,100,100,4195100
12227.0625,9,43726,100,38,1,100,100,4372600
12227.0625,9,43788,100,39,1,100,100,4378800
12227.15625,8,39474,100,40,1,100,100,3947400
12227.15625,8,39751,100,41,1,100,100,3975100
12227.15625,8,40137,100,42,1,100,100,4013700
12227.15625,8,43203,100,43,1,100,100,4320300
12227.25,7,39377,100,44,1,100,100,3937700
12227.25,7,39516,100,45,1,100,100,3951600
12227.25,7,40033,100,46,1,100,100,4003300
12231.09375,8,347,500,47,1,500,500,173500
12231.75,1,347,500,48,1,500,500,173500
12233.71875,2,325,500,49,1,500,500,162500
12234.9375,1,313,500,50,1,500,500,156500
12235.96875,1,346,500,51,1,500,500,173000
12238.21875,10,313,500,52,1,500,500,156500
12239.34375,9,346,500,53,1,500,500,173000
12240.46875,8,335,500,54,1,500,500,167500
12241.5,8,313,500,55,1,500,500,156500
12242.71875,6,313,500,56,1,500,500,156500
12243.75,297,342,500,57,1,500,500,171000
12244.6875,221,95052,500,58,1,500,500,47526000
12245.71875,276,342,500,59,1,500,500,171000
12246.9375,638,31,500,60,1,500,500,15500
12302.625,0,907,1,61,2,2,1,907
12354.46875,309,296,1000,62,1,1000,1000,296000
12396.75,469,31,500,63,3,800,400,15500
12407.15625,1,335,2560,64,3,4096,2048,857600
12475.40625,155,33,2560,65,2,3456,1536,84480
12477.28125,806,326,1000,66,3,1600,800,326000
12562.40625,462,62,2560,67,1,2560,2560,158720
12660.9375,0,43,1,68,1,1,1,43
12672.46875,4,53,1,69,1,1,1,53
12682.3125,0,54,1,70,1,1,1,54
12688.59375,1,53,1,71,3,2,1,53
12740.71875,5,338,1000,72,1,1000,1000,338000
12764.625,4,332,200,73,1,200,200,66400
12806.90625,500,341,200,74,1,200,200,68200
