S_ime,W_time,R_time,Processors,id,type,Max_resource,Min_resource,Total_cost
0.0,11,74700,240,15001,1,240,240,17928000
893.0,0,116,200,15002,1,200,200,23200
2135.5,5,462,1,15003,1,1,1,462
2519.5,0,246,1,15004,1,1,1,246
2796.5,2,84,36,15005,1,36,36,3024
2848.5,1,83,36,15006,1,36,36,2988
2866.5,1,227,1,15007,1,1,1,227
2953.5,1,95,36,15008,1,36,36,3420
3025.5,1,102,36,15009,1,36,36,3672
3044.5,5,248,1,15010,1,1,1,248
3111.5,4,241,36,15011,1,36,36,8676
3228.0,1,147,36,15012,1,36,36,5292
3305.0,6,1696,36,15013,1,36,36,61056
3314.0,10,509,1,15014,1,1,1,509
3331.0,3,398,1,15015,1,1,1,398
3382.0,5,1730,36,15016,1,36,36,62280
3548.0,9,1666,36,15017,1,36,36,59976
3556.5,3,1591,36,15018,3,58,29,57276
4150.0,0,9157,2000,15019,1,2000,2000,18314000
4167.0,1,405,1,15020,1,1,1,405
4262.0,6,146,200,15021,1,200,200,29200
4562.5,0,499,1,15022,1,1,1,499
4700.5,1,300,200,15023,1,200,200,60000
5074.5,3,146,200,15024,1,200,200,29200
5230.0,4,104,200,15025,1,200,200,20800
5421.5,0,296,1,15026,1,1,1,296
5430.0,11,458,1,15027,1,1,1,458
5586.0,9,83,240,15028,2,324,144,19920
5596.5,0,86400,2000,15029,1,2000,2000,172800000
5599.5,6,135,240,15030,1,240,240,32400
5612.5,2,102,240,15031,1,240,240,24480
5709.5,0,1229,240,15032,1,240,240,294960
5711.0,9,1062,1,15033,1,1,1,1062
5718.0,11,1227,240,15034,1,240,240,294480
5737.0,4,1229,240,15035,1,240,240,294960
5800.0,1,1133,240,15036,2,324,144,271920
5835.0,361,6929,2000,15037,1,2000,2000,13858000
5992.0,0,62727,240,15038,1,240,240,15054480
6012.0,7,1400,48,15039,3,77,39,67200
6261.0,6731,843,2000,15040,1,2000,2000,1686000
6261.0,2,62198,240,15041,1,240,240,14927520
6271.0,4,47,20,15042,1,20,20,940
6271.5,3,600,40,15043,1,40,40,24000
6271.5,3,600,80,15044,1,80,80,48000
6271.5,3,600,160,15045,1,160,160,96000
6271.5,3,600,320,15046,3,512,256,192000
6271.5,3,600,640,15047,2,864,384,384000
