S_ime,W_time,R_time,Processors,id,type,Max_resource,Min_resource,Total_cost
0.0,4,14400,100,1,1,100,100,1440000
10.40625,0,14400,100,2,1,100,100,1440000
21394.125,9,45,20,3,1,20,20,900
30434.90625,16386,154,1,4,1,1,1,154
30459.375,16977,50,1,5,1,1,1,50
30469.5,16596,1112,1,6,1,1,1,1112
31819.5,11796,176777,1000,7,1,1000,1000,176777000
35265.09375,206,45,2560,8,1,2560,2560,115200
35307.28125,112,353,10000,9,1,10000,10000,3530000
35451.84375,197,42,2560,10,1,2560,2560,107520
35614.96875,11,2114,1000,11,1,1000,1000,2114000
35728.03125,3,172800,2560,12,1,2560,2560,442368000
35742.65625,4,49,1,13,1,1,1,49
35775.84375,8,42,1,14,1,1,1,42
36120.65625,4,53,1,15,1,1,1,53
36149.34375,1,42,1,16,1,1,1,42
36171.0,8,657,1,17,1,1,1,657
36219.375,0,180,1000,18,1,1000,1000,180000
36278.4375,0,365,1000,19,1,1000,1000,365000
36431.15625,0,354,1000,20,1,1000,1000,354000
36444.9375,4,374,1,21,1,1,1,374
36556.875,243,31,1000,22,1,1000,1000,31000
36600.46875,11,327,1000,23,1,1000,1000,327000
36680.34375,1,25210,100,24,1,100,100,2521000
36680.34375,1,41846,100,25,1,100,100,4184600
36680.34375,1,42111,100,26,1,100,100,4211100
36680.34375,1,42240,100,27,1,100,100,4224000
36680.34375,1,42488,100,28,1,100,100,4248800
36680.34375,1019,42341,100,29,1,100,100,4234100
36680.625,11,42114,100,30,1,100,100,4211400
36680.625,11,42891,100,31,1,100,100,4289100
36680.90625,10,109,100,32,1,100,100,10900
36680.90625,10,41534,100,33,1,100,100,4153400
36680.90625,10,41866,100,34,1,100,100,4186600
36680.90625,10,41994,100,35,1,100,100,4199400
36681.1875,9,39720,100,36,1,100,100,3972000
36681.1875,9,41951,100,37,1,100,100,4195100
36681.1875,9,43726,100,38,1,100,100,4372600
36681.1875,9,43788,100,39,1,100,100,4378800
36681.46875,8,39474,100,40,1,100,100,3947400
36681.46875,8,39751,100,41,1,100,100,3975100
36681.46875,8,40137,100,42,1,100,100,4013700
36681.46875,8,43203,100,43,1,100,100,4320300
36681.75,7,39377,100,44,1,100,100,3937700
36681.75,7,39516,100,45,1,100,100,3951600
36681.75,7,40033,100,46,1,100,100,4003300
36693.28125,8,347,500,47,1,500,500,173500
36695.25,1,347,500,48,1,500,500,173500
36701.15625,2,325,500,49,1,500,500,162500
36704.8125,1,313,500,50,1,500,500,156500
36707.90625,1,346,500,51,1,500,500,173000
36714.65625,10,313,500,52,1,500,500,156500
36718.03125,9,346,500,53,1,500,500,173000
36721.40625,8,335,500,54,1,500,500,167500
36724.5,8,313,500,55,1,500,500,156500
36728.15625,6,313,500,56,1,500,500,156500
36731.25,297,342,500,57,1,500,500,171000
36734.0625,221,95052,500,58,1,500,500,47526000
36737.15625,276,342,500,59,1,500,500,171000
36740.8125,638,31,500,60,1,500,500,15500
36907.875,0,907,1,61,1,1,1,907
37063.40625,309,296,1000,62,1,1000,1000,296000
37190.25,469,31,500,63,1,500,500,15500
37221.46875,1,335,2560,64,1,2560,2560,857600
37426.21875,155,33,2560,65,1,2560,2560,84480
37431.84375,806,326,1000,66,1,1000,1000,326000
37687.21875,462,62,2560,67,1,2560,2560,158720
37982.8125,0,43,1,68,1,1,1,43
38017.40625,4,53,1,69,1,1,1,53
38046.9375,0,54,1,70,1,1,1,54
38065.78125,1,53,1,71,1,1,1,53
38222.15625,5,338,1000,72,1,1000,1000,338000
38293.875,4,332,200,73,1,200,200,66400
38420.71875,500,341,200,74,1,200,200,68200
38567.53125,1,53,1,75,1,1,1,53
38606.625,1,43,1,76,1,1,1,43
38876.625,2,90,400,77,1,400,400,36000
38956.21875,7,86,400,78,1,400,400,34400
