S_ime,W_time,R_time,Processors,id,type,Max_resource,Min_resource,Total_cost
14548010.25,11,74700,240,15001,1,240,240,17928000
14549349.75,0,116,200,15002,1,200,200,23200
14551213.5,5,462,1,15003,1,1,1,462
14551789.5,0,246,1,15004,1,1,1,246
14552205.0,2,84,36,15005,1,36,36,3024
14552283.0,1,83,36,15006,1,36,36,2988
14552310.0,1,227,1,15007,1,1,1,227
14552440.5,1,95,36,15008,1,36,36,3420
14552548.5,1,102,36,15009,1,36,36,3672
14552577.0,5,248,1,15010,1,1,1,248
14552677.5,4,241,36,15011,1,36,36,8676
14552852.25,1,147,36,15012,1,36,36,5292
14552967.75,6,1696,36,15013,1,36,36,61056
14552981.25,10,509,1,15014,1,1,1,509
14553006.75,3,398,1,15015,1,1,1,398
14553083.25,5,1730,36,15016,1,36,36,62280
14553332.25,9,1666,36,15017,1,36,36,59976
14553345.0,3,1591,36,15018,2,49,22,57276
14554235.25,0,9157,2000,15019,1,2000,2000,18314000
14554260.75,1,405,1,15020,1,1,1,405
14554403.25,6,146,200,15021,1,200,200,29200
14554854.0,0,499,1,15022,1,1,1,499
14555061.0,1,300,200,15023,1,200,200,60000
14555622.0,3,146,200,15024,1,200,200,29200
14555855.25,4,104,200,15025,1,200,200,20800
14556142.5,0,296,1,15026,1,1,1,296
14556155.25,11,458,1,15027,1,1,1,458
14556389.25,9,83,240,15028,2,324,144,19920
14556405.0,0,86400,2000,15029,1,2000,2000,172800000
14556409.5,6,135,240,15030,1,240,240,32400
14556429.0,2,102,240,15031,1,240,240,24480
14556574.5,0,1229,240,15032,1,240,240,294960
14556576.75,9,1062,1,15033,1,1,1,1062
14556587.25,11,1227,240,15034,1,240,240,294480
14556615.75,4,1229,240,15035,1,240,240,294960
14556710.25,1,1133,240,15036,2,324,144,271920
14556762.75,361,6929,2000,15037,1,2000,2000,13858000
14556998.25,0,62727,240,15038,1,240,240,15054480
14557028.25,7,1400,48,15039,2,65,29,67200
