S_ime,W_time,R_time,Processors,id,type,Max_resource,Min_resource,Total_cost
14548010.25,11,74700,240,15001,2,324,144,17928000
14549349.75,0,116,200,15002,1,200,200,23200
14551213.5,5,462,1,15003,1,1,1,462
14551789.5,0,246,1,15004,2,2,1,246
14552205.0,2,84,36,15005,2,49,22,3024
14552283.0,1,83,36,15006,1,36,36,2988
14552310.0,1,227,1,15007,3,2,1,227
14552440.5,1,95,36,15008,3,58,29,3420
14552548.5,1,102,36,15009,1,36,36,3672
14552577.0,5,248,1,15010,3,2,1,248
14552677.5,4,241,36,15011,2,49,22,8676
14552852.25,1,147,36,15012,3,58,29,5292
14552967.75,6,1696,36,15013,1,36,36,61056
14552981.25,10,509,1,15014,1,1,1,509
14553006.75,3,398,1,15015,3,2,1,398
14553083.25,5,1730,36,15016,2,49,22,62280
14553332.25,9,1666,36,15017,3,58,29,59976
14553345.0,3,1591,36,15018,2,49,22,57276
14554235.25,0,9157,2000,15019,1,2000,2000,18314000
14554260.75,1,405,1,15020,3,2,1,405
14554403.25,6,146,200,15021,1,200,200,29200
14554854.0,0,499,1,15022,2,2,1,499
14555061.0,1,300,200,15023,3,320,160,60000
14555622.0,3,146,200,15024,3,320,160,29200
14555855.25,4,104,200,15025,1,200,200,20800
14556142.5,0,296,1,15026,1,1,1,296
14556155.25,11,458,1,15027,3,2,1,458
14556389.25,9,83,240,15028,2,324,144,19920
14556405.0,0,86400,2000,15029,2,2700,1200,172800000
14556409.5,6,135,240,15030,3,384,192,32400
14556429.0,2,102,240,15031,3,384,192,24480
14556574.5,0,1229,240,15032,1,240,240,294960
14556576.75,9,1062,1,15033,2,2,1,1062
14556587.25,11,1227,240,15034,3,384,192,294480
14556615.75,4,1229,240,15035,2,324,144,294960
14556710.25,1,1133,240,15036,2,324,144,271920
14556762.75,361,6929,2000,15037,3,3200,1600,13858000
14556998.25,0,62727,240,15038,2,324,144,15054480
14557028.25,7,1400,48,15039,3,77,39,67200
14557401.75,6731,843,2000,15040,2,2700,1200,1686000
14557401.75,2,62198,240,15041,1,240,240,14927520
14557416.75,4,47,20,15042,2,27,12,940
14557417.5,3,600,40,15043,3,64,32,24000
14557417.5,3,600,80,15044,2,108,48,48000
14557417.5,3,600,160,15045,3,256,128,96000
14557417.5,3,600,320,15046,3,512,256,192000
14557417.5,3,600,640,15047,2,864,384,384000
14557417.5,722,104,1280,15048,2,1728,768,133120
14557418.25,2933,143,2560,15049,3,4096,2048,366080
14557418.25,6416,122,5120,15050,3,8192,4096,624640
14557468.5,4,62096,240,15051,2,324,144,14903040
14557486.5,2842,59234,240,15052,2,324,144,14216160
14557506.75,2837,59212,240,15053,3,384,192,14210880
14557526.25,2932,59091,240,15054,1,240,240,14181840
14557548.0,1,1200,1,15055,3,2,1,1200
14557755.75,1,1567,20,15056,2,27,12,31340
14557760.25,11,1551,20,15057,3,32,16,31020
14557760.25,11,1563,20,15058,2,27,12,31260
14557761.0,10,1551,20,15059,2,27,12,31020
14557761.0,10,1551,20,15060,3,32,16,31020
14557761.0,10,1551,20,15061,3,32,16,31020
14557761.0,10,1563,20,15062,3,32,16,31260
14557761.75,9,1551,20,15063,3,32,16,31020
14557761.75,9,1563,20,15064,2,27,12,31260
14557761.75,9,1563,20,15065,3,32,16,31260
14557761.75,9,1563,20,15066,2,27,12,31260
14557761.75,9,1563,20,15067,2,27,12,31260
14557762.5,8,1551,20,15068,3,32,16,31020
14557762.5,8,1551,20,15069,2,27,12,31020
14557762.5,8,1563,20,15070,2,27,12,31260
14557762.5,8,1563,20,15071,2,27,12,31260
14557763.25,7,1563,20,15072,3,32,16,31260
14557763.25,7,1563,20,15073,3,32,16,31260
14557763.25,7,1563,20,15074,2,27,12,31260
14557764.0,6,1563,20,15075,3,32,16,31260
14557764.0,6,1563,20,15076,3,32,16,31260
14557764.0,6,1563,20,15077,2,27,12,31260
14557764.0,6,1563,20,15078,3,32,16,31260
14557764.0,6,1563,20,15079,2,27,12,31260
14557764.0,6,1563,20,15080,2,27,12,31260
14557764.0,6,1563,20,15081,3,32,16,31260
14557764.75,5,1563,20,15082,2,27,12,31260
14557764.75,5,1563,20,15083,2,27,12,31260
14557764.75,5,1563,20,15084,3,32,16,31260
14557764.75,5,1563,20,15085,2,27,12,31260
14557764.75,5,1563,20,15086,2,27,12,31260
14557764.75,5,1563,20,15087,3,32,16,31260
14557764.75,5,1563,20,15088,3,32,16,31260
14557765.5,4,1563,20,15089,2,27,12,31260
14557765.5,4,1563,20,15090,3,32,16,31260
14557765.5,4,1563,20,15091,3,32,16,31260
14557765.5,4,1563,20,15092,2,27,12,31260
14557765.5,4,1563,20,15093,3,32,16,31260
14557765.5,4,1563,20,15094,3,32,16,31260
14557765.5,4,1563,20,15095,2,27,12,31260
14557766.25,3,1563,20,15096,2,27,12,31260
14557766.25,3,1563,20,15097,3,32,16,31260
14557766.25,3,1563,20,15098,3,32,16,31260
14557766.25,3,1563,20,15099,3,32,16,31260
14557766.25,3,1563,20,15100,3,32,16,31260
14557766.25,3,1563,20,15101,3,32,16,31260
14557766.25,3,1563,20,15102,3,32,16,31260
14557767.0,2,1563,20,15103,3,32,16,31260
14557767.0,2,1563,20,15104,3,32,16,31260
14558081.25,3,26598,80,15105,2,108,48,2127840
14558097.0,4,4551,80,15106,3,128,64,364080
14558687.25,5017,219,2400,15107,2,3240,1440,525600
14558845.5,0,104,40,15108,1,40,40,4160
