S_ime,W_time,R_time,Processors,id,type,Max_resource,Min_resource,Total_cost
54312.700000000004,1,432024,36,2,2,49,22,15552864
127309.65000000001,1,278442,64,3,2,87,39,17820288
181128.35,2,268225,4,4,2,6,3,1072900
220360.4,1,305581,24,5,2,33,15,7333944
220544.35,1,214651,24,6,2,33,15,5151624
221093.6,1,432006,24,7,2,33,15,10368144
221300.30000000002,2,370083,24,8,2,33,15,8881992
228987.85,2,109634,36,9,2,49,22,3946824
229028.80000000002,1,98910,36,10,2,49,22,3560760
230555.0,2,86412,30,11,2,41,18,2592360
239860.4,1,180824,60,12,2,81,36,10849440
239903.30000000002,1,292929,60,13,2,81,36,17575740
240826.95,1,246546,36,14,2,49,22,8875656
240859.45,1,163668,36,15,2,49,22,5892048
240975.15,2,157777,36,16,2,49,22,5679972
241003.75,1,160148,36,17,2,49,22,5765328
241726.55000000002,1,319797,36,18,2,49,22,11512692
241797.4,1,432004,36,19,2,49,22,15552144
241833.80000000002,1,432010,36,20,2,49,22,15552360
242074.95,2,432005,36,21,2,49,22,15552180
242100.30000000002,1,432007,36,22,2,49,22,15552252
248003.6,1,169423,24,23,2,33,15,4066152
275688.4,1,84779,2,24,2,3,2,169558
277122.3,2,29600,12,25,2,17,8,355200
277129.45,1,29590,12,26,2,17,8,355080
277156.75,1,10142,12,27,2,17,8,121704
277866.55,2,25001,1,28,2,2,1,25001
277867.2,1,28157,1,29,2,2,1,28157
277867.2,1,26588,1,30,2,2,1,26588
277867.2,2,172812,1,31,2,2,1,172812
277867.85000000003,1,28043,1,32,2,2,1,28043
277867.85000000003,1,172812,1,33,2,2,1,172812
277867.85000000003,1,29331,1,34,2,2,1,29331
277868.5,0,172812,1,35,2,2,1,172812
277868.5,6,25680,1,36,2,2,1,25680
277868.5,6,172806,1,37,2,2,1,172806
277869.15,5,27546,1,38,2,2,1,27546
277869.15,5,172806,1,39,2,2,1,172806
277869.15,5,29020,1,40,2,2,1,29020
277869.8,4,172806,1,41,2,2,1,172806
277869.8,4,26609,1,42,2,2,1,26609
277869.8,4,172806,1,43,2,2,1,172806
279758.05,1,6988,1,44,2,2,1,6988
279758.05,1,6849,1,45,2,2,1,6849
279758.05,1,6678,1,46,2,2,1,6678
279758.7,2,6600,1,47,2,2,1,6600
279758.7,2,7011,1,48,2,2,1,7011
279758.7,2,6808,1,49,2,2,1,6808
279759.35000000003,1,6636,1,50,2,2,1,6636
279759.35000000003,1,6528,1,51,2,2,1,6528
