S_ime,R_time,Processors,Sigma,id,type,Max_resource,Min_resource,Total_cost
0.0,8497.339534,2,0.245417,1,1,2,2,16994.679068
1546.268975,70.963555,2,0.972174,2,1,2,2,141.92711
2531.770434,18009.100135,3,0.560986,3,2,5,2,54027.300405
4557.200278,123205.228198,7,0.880554,4,2,10,5,862436.597386
8173.286771,31.017399,9,0.752653,5,1,9,9,279.156591
10097.353151,7.175732,6,0.453731,6,2,9,4,43.054392
24490.833475,431.726863,7,0.46404,7,2,10,5,3022.088041
32108.691971,9.924151,12,1.134929,8,1,12,12,119.089812
41858.397611,2115.852686,2,1.169688,9,1,2,2,4231.705372
47967.380732,759.758628,6,0.146437,10,1,6,6,4558.551768
61835.327976,123981.272674,2,1.691955,11,1,2,2,247962.545348
64765.905015,32227.446102,3,0.438828,12,1,3,3,96682.338306
81885.077125,1554.068799,3,1.433392,13,2,5,2,4662.206397
84939.980839,34.790836,15,0.879695,14,1,15,15,521.86254
95517.66192,231593.482555,3,1.075416,15,2,5,2,694780.447665
95838.474605,8.371296,16,0.968447,16,2,22,10,133.940736
100351.957049,73573.783163,24,1.274554,17,1,24,24,1765770.795912
129215.426843,580.758792,3,0.512425,18,1,3,3,1742.2763759999998
148815.087216,1191.782551,2,0.774593,19,1,2,2,2383.565102
151907.230507,15.790373,4,0.994014,20,1,4,4,63.161492
178365.247238,338025.845896,4,0.565415,21,1,4,4,1352103.383584
181012.34369,97.626799,5,1.111541,22,1,5,5,488.133995
186095.052545,40.19389,5,1.013811,23,1,5,5,200.96945
218987.375519,7159.558649,3,0.551172,24,1,3,3,21478.675947
221162.888344,907.507948,3,1.697329,25,2,5,2,2722.5238440000003
230305.324522,9267.474527,25,1.433619,26,2,34,15,231686.863175
237560.245039,162331.529208,24,1.691546,27,1,24,24,3895956.700992
249816.010058,14259.82672,4,1.469098,28,1,4,4,57039.30688
278799.545185,294.11005,4,1.027437,29,1,4,4,1176.4402
295855.854139,6152.196136,4,0.756208,30,1,4,4,24608.784544
311060.113114,36.135244,3,0.91612,31,2,5,2,108.405732
344422.088991,414367.078653,9,1.901678,32,1,9,9,3729303.707877
348190.329765,1147.38942,4,1.185098,33,2,6,3,4589.55768
356715.464288,606597.185863,22,1.472275,34,2,30,14,13345138.088986
386598.377942,171760.178542,27,0.797668,35,2,37,17,4637524.820634
389033.640244,8790.048867,20,0.352298,36,1,20,20,175800.97733999998
392892.259964,660.57663,2,1.819047,37,2,3,2,1321.15326
410910.409785,1474723.657415,12,1.529392,38,1,12,12,17696683.88898
423895.913052,1467.068005,4,1.23592,39,2,6,3,5868.27202
428985.51196,5.012044,24,0.954853,40,2,33,15,120.28905600000002
435202.750902,4421.403852,7,0.946808,41,1,7,7,30949.826964000003
436647.910182,101.573043,6,1.426432,42,2,9,4,609.438258
444467.816789,657.54415,18,1.163059,43,1,18,18,11835.7947
448485.481804,88704.456986,3,0.722286,44,2,5,2,266113.370958
468213.172405,18274.016427,27,0.909749,45,1,27,27,493398.443529
468325.060212,5.991726,3,1.810925,46,1,3,3,17.975178
496787.551474,1280.596086,2,1.231706,47,1,2,2,2561.192172
497029.682463,2330.344159,2,0.946907,48,2,3,2,4660.688318
502168.106926,1131048.287483,8,0.818877,49,1,8,8,9048386.299864
503455.497975,8.287455,3,0.233691,50,1,3,3,24.862365
506262.214715,97.479011,2,1.403179,51,2,3,2,194.958022
517867.57099,44089.009658,14,1.17532,52,1,14,14,617246.135212
530265.412517,22681.200307,2,0.668241,53,2,3,2,45362.400614
530867.344187,222.363275,13,0.205654,54,2,18,8,2890.722575
531589.582124,46932.470016,12,1.017181,55,1,12,12,563189.640192
546788.926654,637.407869,2,0.915404,56,2,3,2,1274.815738
551608.981418,54.553556,14,1.345087,57,2,19,9,763.749784
559261.260935,2423571.75783,9,0.425924,58,1,9,9,21812145.82047
575221.572531,2926.886151,3,0.455021,59,1,3,3,8780.658453
582686.01914,30.980894,2,0.407656,60,2,3,2,61.961788
583480.466156,19.003666,29,1.257874,61,1,29,29,551.106314
609585.361373,358184.102094,2,0.493794,62,2,3,2,716368.204188
615822.044928,456305.579295,6,0.563694,63,2,9,4,2737833.47577
624381.068125,87825.807328,6,0.035886,64,1,6,6,526954.843968
649696.776466,58.860262,5,0.568106,65,2,7,3,294.30131
662270.6038,102436.211331,9,0.832186,66,1,9,9,921925.901979
663519.938949,330.471445,2,1.691556,67,2,3,2,660.94289
666619.230917,1008987.580273,17,1.511337,68,1,17,17,17152788.864641
688543.973412,157.304765,2,1.227968,69,1,2,2,314.60953
694373.86635,4.648143,3,0.121882,70,1,3,3,13.944429
707601.724555,19.998485,3,1.414277,71,1,3,3,59.99545499999999
711025.223122,2627183.526319,2,0.629308,72,2,3,2,5254367.052638
731316.095868,45.102172,13,0.427123,73,2,18,8,586.3282360000001
734731.016167,1467844.884791,28,1.02764,74,2,38,17,41099656.774148
755630.569089,16732.387747,31,0.278341,75,1,31,31,518704.0201570001
761496.647187,44402.264448,3,1.712024,76,2,5,2,133206.793344
772803.100865,14.897064,22,1.157831,77,2,30,14,327.735408
784322.663448,155.609916,17,0.959988,78,2,23,11,2645.368572
799753.805341,13685.296682,16,1.891246,79,2,22,10,218964.746912
801528.272292,25681.739802,15,1.581026,80,2,21,9,385226.09703
809134.798499,922679.505773,16,0.885978,81,2,22,10,14762872.092368
847350.517598,2946618.954497,13,0.572462,82,2,18,8,38306046.408461004
854328.219573,12866.055784,29,0.757459,83,2,40,18,373115.617736
856685.294822,42354.933844,6,1.185723,84,2,9,4,254129.603064
883731.988164,202484.141858,15,1.713812,85,1,15,15,3037262.12787
888851.32972,44722.254733,4,0.710195,86,1,4,4,178889.018932
894496.695292,250487.805501,4,0.695554,87,1,4,4,1001951.222004
902564.508384,500.088348,3,0.355732,88,1,3,3,1500.265044
925198.407553,32578.058268,3,0.126131,89,2,5,2,97734.174804
933322.495019,402127.920681,13,1.802042,90,1,13,13,5227662.968853
934334.301408,1990021.657177,3,1.350623,91,1,3,3,5970064.971531
934457.131291,125.162596,6,0.768849,92,1,6,6,750.9755759999999
934513.768815,1553606.620721,5,0.770026,93,2,7,3,7768033.103605
938052.600808,282912.446831,10,1.895184,94,2,14,6,2829124.46831
949324.356568,5.756886,11,1.144815,95,2,15,7,63.325746
952577.33371,3.393693,28,0.904089,96,2,38,17,95.023404
961523.781542,411.192156,21,1.286641,97,1,21,21,8635.035276
965083.852149,19314.835357,3,0.41564,98,2,5,2,57944.506071
965889.317573,49.788776,29,0.719516,99,1,29,29,1443.874504
979239.193437,6.593878,5,1.836625,100,1,5,5,32.969390000000004
987907.418525,78.529048,2,0.166314,101,2,3,2,157.058096
1005802.799475,204614.137365,17,0.240369,102,2,23,11,3478440.335205
1008941.004636,4222.469131,9,1.200216,103,2,13,6,38002.222179
1013377.219485,182.412846,16,1.866996,104,2,22,10,2918.605536
1015430.394258,433028.367737,12,1.545461,105,1,12,12,5196340.412844
1027478.531266,4.476622,3,1.406888,106,1,3,3,13.429866
1040121.739665,15.115639,2,0.652518,107,1,2,2,30.231278
1040228.541375,2623.891532,2,1.610492,108,1,2,2,5247.783064
1053702.583427,4832.683706,2,1.718889,109,1,2,2,9665.367412
1065706.41027,2935.157923,5,0.178815,110,1,5,5,14675.789615000002
1066416.903647,818288.101286,3,1.270798,111,2,5,2,2454864.303858
1073252.955941,1198408.389873,12,1.537425,112,2,17,8,14380900.678476002
1077489.992779,5.524463,14,1.661708,113,2,19,9,77.342482
1078023.393368,267802.318947,20,1.894263,114,1,20,20,5356046.37894
1085529.219559,48.346838,2,1.187584,115,2,3,2,96.693676
1097734.531175,684571.640795,7,1.429058,116,2,10,5,4792001.485565
1097897.2001,23373.999037,21,0.533884,117,1,21,21,490853.979777
1103748.040735,124112.240966,3,0.504515,118,2,5,2,372336.722898
1105467.524135,827799.261888,8,1.173217,119,2,11,5,6622394.095104
1105996.448992,4998.773582,7,1.609732,120,2,10,5,34991.415074
1122945.746665,127.544595,11,0.667556,121,2,15,7,1402.990545
1125894.959622,16966.396815,14,0.589601,122,2,19,9,237529.55541
1129005.741637,143.76045,30,1.210572,123,1,30,30,4312.8135
1142181.106231,26.131653,3,0.936863,124,1,3,3,78.394959
1143850.292751,215.574133,3,0.841331,125,1,3,3,646.722399
1175104.128423,500.788016,5,1.186498,126,1,5,5,2503.9400800000003
1176044.656586,134688.184048,5,1.178353,127,2,7,3,673440.92024
1187640.493564,291.811787,13,0.114549,128,2,18,8,3793.553231
1214893.756866,165195.493317,23,0.08521,129,2,32,14,3799496.346291
1222768.604161,203.233367,7,1.515292,130,1,7,7,1422.633569
1223228.304687,12755.278665,2,0.526609,131,1,2,2,25510.55733
1223494.03619,206.793346,4,0.801925,132,2,6,3,827.173384
1229126.9019,221.517106,11,0.010973,133,1,11,11,2436.688166
1231654.080922,228.633575,3,0.997096,134,1,3,3,685.900725
1233224.130128,7262.872392,2,1.508692,135,2,3,2,14525.744784
1239175.27245,49.766663,24,0.182039,136,2,33,15,1194.399912
1242982.754515,5.624603,7,1.514349,137,2,10,5,39.372221
1248280.398273,77076.942242,9,1.944321,138,1,9,9,693692.480178
1254864.310802,5090.727289,5,0.358066,139,2,7,3,25453.636445000004
1265451.330593,1670269.545084,20,1.134629,140,1,20,20,33405390.90168
1280237.550005,1019.553642,2,0.750742,141,1,2,2,2039.107284
1285019.264731,1077520.434039,4,1.040395,142,1,4,4,4310081.736156
1295726.373617,47.201629,2,1.79197,143,2,3,2,94.403258
1305605.614049,2318.174422,11,1.955685,144,2,15,7,25499.918642
1307583.728342,2671.856965,31,0.516027,145,2,42,19,82827.565915
1313881.190292,12138.354707,9,0.75602,146,2,13,6,109245.192363
1340003.611469,12426.254437,8,0.160551,147,2,11,5,99410.035496
1342723.332101,46538.711876,23,0.266512,148,1,23,23,1070390.373148
1343692.238093,2023.117372,5,1.924435,149,2,7,3,10115.58686
1353489.287878,283.074417,19,0.107491,150,2,26,12,5378.413923
1365504.390139,543577.113117,16,0.557696,151,2,22,10,8697233.809872
1373090.199564,216515.443817,13,0.160744,152,2,18,8,2814700.769621
1374219.259179,24.114726,16,0.950369,153,2,22,10,385.835616
1376955.246345,76.348155,25,1.302074,154,2,34,15,1908.703875
1396316.622383,6906.814539,19,1.102341,155,2,26,12,131229.476241
1412127.776883,1061791.694195,19,0.084107,156,2,26,12,20174042.189705
1430645.041057,318.027333,19,1.889171,157,1,19,19,6042.519327
1430915.837281,844.01946,5,1.398285,158,2,7,3,4220.097299999999
1435892.596813,10991.079275,10,0.767232,159,1,10,10,109910.79275
1437300.911382,21.008812,3,1.580859,160,1,3,3,63.026436
1441307.707327,1219367.299839,4,0.997981,161,1,4,4,4877469.199356
1442705.991515,49218.915505,4,1.426383,162,1,4,4,196875.66202
1452390.524744,495602.814351,2,0.431945,163,1,2,2,991205.628702
1456026.935942,41.36017,3,0.217967,164,2,5,2,124.08051
1459513.645043,58625.576313,6,0.673055,165,1,6,6,351753.457878
1465485.284673,50.201854,3,1.683908,166,2,5,2,150.605562
1501490.905691,3419.943198,25,0.746535,167,2,34,15,85498.57995
1510411.344612,84.699152,12,1.603402,168,2,17,8,1016.389824
1518374.270718,33.655157,18,1.038666,169,2,25,11,605.7928260000001
1522953.922313,55.059164,8,1.68237,170,1,8,8,440.473312
1530426.760779,5597.802742,2,1.889181,171,1,2,2,11195.605484
1550931.241911,2659.98138,2,0.715402,172,2,3,2,5319.96276
1576439.822184,616.416494,19,1.992334,173,2,26,12,11711.913385999998
1578126.882553,764.353911,32,1.090594,174,1,32,32,24459.325152
1578628.702762,2804321.61733,4,1.535675,175,2,6,3,11217286.46932
1581266.63086,722.437092,13,0.685096,176,2,18,8,9391.682196
1613872.891776,229711.545196,15,0.129779,177,1,15,15,3445673.17794
1618007.9551,41.09606,3,1.47335,178,2,5,2,123.28818
1623481.41478,235290.689173,26,0.817055,179,1,26,26,6117557.918498
1627183.642744,97.440565,3,1.363897,180,2,5,2,292.32169500000003
1636024.724312,19629.01954,16,1.55952,181,2,22,10,314064.31264
1648055.545053,5753.076228,16,0.021056,182,2,22,10,92049.219648
1682414.203909,5.720535,12,1.614865,183,1,12,12,68.64642
1690263.918686,1876.91719,3,1.381279,184,1,3,3,5630.751569999999
1691908.355652,115.591692,2,1.549033,185,2,3,2,231.183384
1693883.913856,1792.742367,25,0.045622,186,2,34,15,44818.559175
1697141.066202,1158.514442,15,1.003634,187,2,21,9,17377.71663
1714293.012362,188485.332405,14,1.936063,188,2,19,9,2638794.65367
1718693.041218,3180823.662372,20,0.66699,189,1,20,20,63616473.24744
1719062.748015,158590.585551,3,0.525038,190,2,5,2,475771.756653
1726493.002886,13.471693,13,0.957994,191,1,13,13,175.132009
1735306.443931,184.806251,4,0.65664,192,2,6,3,739.225004
1742412.803906,5.649957,14,0.51607,193,1,14,14,79.099398
1742854.980069,1212.514155,4,1.415648,194,1,4,4,4850.05662
1761618.5935,368.538536,4,1.998056,195,1,4,4,1474.154144
1777230.384478,1927556.219168,5,0.943764,196,1,5,5,9637781.09584
1777890.615282,1426431.573602,4,1.340899,197,2,6,3,5705726.294408
1792948.59052,8.781533,12,1.114944,198,1,12,12,105.378396
1825809.291082,5.35661,5,1.565244,199,2,7,3,26.78305
1825825.032065,86237.615654,13,0.68094,200,2,18,8,1121089.003502
1845726.23159,2644.338373,16,1.057981,201,1,16,16,42309.413968
1853084.11966,79060.673926,5,1.867617,202,1,5,5,395303.36963
1856959.08746,526532.674928,2,0.011812,203,2,3,2,1053065.349856
1862574.014883,64.771782,9,0.559102,204,2,13,6,582.946038
1900021.885334,237.691606,18,0.94591,205,2,25,11,4278.448908
1920810.351713,2103.242518,19,1.702558,206,1,19,19,39961.607842
1933215.497324,2562293.450521,3,0.14866,207,1,3,3,7686880.351563001
1935568.898582,5958.587886,3,0.470668,208,1,3,3,17875.763658
1943440.133541,918820.73656,4,1.184629,209,1,4,4,3675282.94624
1944606.074525,26.292322,2,1.008296,210,2,3,2,52.584644
1945486.74863,4498.187645,14,1.468343,211,2,19,9,62974.62703
1947110.217248,429603.199154,6,1.365881,212,2,9,4,2577619.194924
1959508.036314,2006587.204751,11,1.1636,213,2,15,7,22072459.252261
1975315.664744,501.975104,8,0.885899,214,2,11,5,4015.800832
2002015.554867,716349.832082,6,0.828542,215,2,9,4,4298098.992492
2010355.460432,199.995992,10,1.125032,216,1,10,10,1999.95992
2035748.311489,2261.16188,4,1.65018,217,1,4,4,9044.64752
2046574.158215,34408.978881,2,1.603205,218,1,2,2,68817.957762
2049134.732894,9.615722,4,0.915599,219,1,4,4,38.462888
2059160.231905,27790.167603,2,1.889875,220,2,3,2,55580.335206
2063571.975618,3.472336,31,0.299584,221,2,42,19,107.642416
2070889.371312,9099.495814,13,0.226238,222,2,18,8,118293.445582
2077053.427112,40.966306,9,1.730702,223,2,13,6,368.69675400000006
2078920.311714,46.159897,11,1.782529,224,1,11,11,507.758867
2110251.39376,29486.335218,2,0.722194,225,2,3,2,58972.670436
2113102.402063,67197.338869,15,1.562786,226,2,21,9,1007960.083035
2114398.331651,1013.966147,11,1.733786,227,1,11,11,11153.627617
2136887.879889,342.467252,2,1.655176,228,2,3,2,684.934504
2149201.025981,451.540394,10,1.800806,229,1,10,10,4515.40394
2153346.360938,73423.390118,5,0.681119,230,1,5,5,367116.95059
2161826.791517,602.538428,3,1.005655,231,1,3,3,1807.615284
2170839.839387,97.455437,5,0.349427,232,1,5,5,487.277185
2190940.086069,6.083423,5,1.609079,233,1,5,5,30.417115
2229630.078969,876159.12464,3,0.329314,234,1,3,3,2628477.37392
2232952.91316,1547.290598,2,0.708647,235,1,2,2,3094.581196
2244131.185473,3.418396,2,1.484383,236,2,3,2,6.836792
2247699.31683,28.945641,13,1.948547,237,2,18,8,376.293333
2255017.150618,534.896989,24,1.873872,238,2,33,15,12837.527736
2255540.390964,7.459303,8,0.797255,239,2,11,5,59.674424
2262021.27681,1000.610931,15,1.549242,240,1,15,15,15009.163965000002
2268653.981319,2615.129826,2,1.203445,241,2,3,2,5230.259652
2278096.14383,1094415.513952,20,0.9162,242,2,27,12,21888310.27904
2293835.308,25.135365,18,1.863956,243,1,18,18,452.43657
2300777.580634,846.092757,6,0.817236,244,1,6,6,5076.556542
2330616.169958,426.817168,5,1.291968,245,1,5,5,2134.08584
2343148.593768,28.571461,2,0.107255,246,1,2,2,57.142922
2345892.958097,7396.419184,5,1.575115,247,1,5,5,36982.09592
2358902.315658,31.472789,2,0.231595,248,2,3,2,62.945578
2361743.54565,244.125659,15,1.149604,249,2,21,9,3661.884885
2362697.758571,7.636229,10,0.814448,250,2,14,6,76.36229
2362726.900502,1671.222836,18,0.810612,251,1,18,18,30082.011048
2367935.760307,40213.80711,3,1.521643,252,1,3,3,120641.42133
