S_ime,W_time,R_time,Processors,id,type,Max_resource,Min_resource,Total_cost
3553522.0500000003,3694,1991,1,15001,1,1,1,1991
3553522.0500000003,3694,1992,1,15002,1,1,1,1992
3553522.0500000003,3694,1991,1,15003,1,1,1,1991
3553522.0500000003,3694,1992,1,15004,1,1,1,1992
3553522.0500000003,3694,98,1,15005,1,1,1,98
3553522.0500000003,3694,97,1,15006,1,1,1,97
3553522.0500000003,3694,101,1,15007,1,1,1,101
3553522.0500000003,3694,97,1,15008,1,1,1,97
3553522.0500000003,3694,101,1,15009,1,1,1,101
3553522.7,3693,99,1,15010,1,1,1,99
3553522.7,3693,100,1,15011,1,1,1,100
3553522.7,3693,97,1,15012,1,1,1,97
3553522.7,3693,97,1,15013,1,1,1,97
3553522.7,3693,101,1,15014,1,1,1,101
3553522.7,3693,2220,1,15015,1,1,1,2220
3553522.7,3693,2220,1,15016,1,1,1,2220
3553522.7,3693,2219,1,15017,1,1,1,2219
3553522.7,3693,2220,1,15018,1,1,1,2220
3553522.7,3693,2220,1,15019,1,1,1,2220
3553529.85,86,3061,48,15020,1,48,48,146928
3553538.3000000003,73,73900,48,15021,1,48,48,3547200
3553546.75,743,3078,48,15022,1,48,48,147744
3553550.65,3650,2220,1,15023,1,1,1,2220
3553550.65,3650,2220,1,15024,1,1,1,2220
3553550.65,3650,2220,1,15025,1,1,1,2220
3553550.65,3650,2220,1,15026,1,1,1,2220
3553550.65,3650,2220,1,15027,1,1,1,2220
3553551.3000000003,3649,2220,1,15028,1,1,1,2220
3553551.3000000003,131,6607,1,15029,1,1,1,6607
3553551.3000000003,3649,2220,1,15030,1,1,1,2220
3553551.3000000003,3649,57831,1,15031,1,1,1,57831
3553551.3000000003,131,6610,1,15032,1,1,1,6610
3553551.3000000003,3649,55737,1,15033,1,1,1,55737
3553551.3000000003,3649,55927,1,15034,1,1,1,55927
3553551.3000000003,3649,57180,1,15035,1,1,1,57180
3553551.3000000003,3665,56787,1,15036,1,1,1,56787
3553551.3000000003,3665,53716,1,15037,1,1,1,53716
3553551.3000000003,290,6604,1,15038,1,1,1,6604
3553551.3000000003,3665,54917,1,15039,1,1,1,54917
3553551.3000000003,3665,62532,1,15040,1,1,1,62532
3553551.3000000003,3665,53691,1,15041,1,1,1,53691
3553551.3000000003,3665,50362,1,15042,1,1,1,50362
3553551.3000000003,3665,53766,1,15043,1,1,1,53766
3553551.3000000003,3665,58037,1,15044,1,1,1,58037
3553551.3000000003,3665,52184,1,15045,1,1,1,52184
3553551.3000000003,3665,52054,1,15046,1,1,1,52054
3553551.3000000003,3665,58124,1,15047,1,1,1,58124
3553551.3000000003,3665,50380,1,15048,1,1,1,50380
3553551.95,289,6607,1,15049,1,1,1,6607
3553551.95,3664,53713,1,15050,1,1,1,53713
3553551.95,3664,53655,1,15051,1,1,1,53655
3553551.95,3664,52479,1,15052,1,1,1,52479
3553551.95,3664,51669,1,15053,1,1,1,51669
3553551.95,289,6604,1,15054,1,1,1,6604
3553551.95,3664,55891,1,15055,1,1,1,55891
3553551.95,3664,55923,1,15056,1,1,1,55923
3553555.2,1368,3022,48,15057,1,48,48,145056
3553567.5500000003,3640,53405,1,15058,1,1,1,53405
3553567.5500000003,3640,56128,1,15059,1,1,1,56128
3553567.5500000003,3640,53562,1,15060,1,1,1,53562
3553567.5500000003,3640,51442,1,15061,1,1,1,51442
3553568.2,3639,59743,1,15062,1,1,1,59743
3553568.2,3639,56985,1,15063,1,1,1,56985
3553568.2,3639,50873,1,15064,1,1,1,50873
3553568.2,3639,63105,1,15065,1,1,1,63105
3553568.2,3639,59201,1,15066,1,1,1,59201
3553568.2,3639,65454,1,15067,1,1,1,65454
3553568.2,3639,54066,1,15068,1,1,1,54066
3553568.2,3639,56991,1,15069,1,1,1,56991
3553568.2,3639,56563,1,15070,1,1,1,56563
3553568.2,3639,53780,1,15071,1,1,1,53780
3553568.2,3639,60037,1,15072,1,1,1,60037
3553568.2,3639,58627,1,15073,1,1,1,58627
3553568.2,3639,54365,1,15074,1,1,1,54365
3553568.2,3639,65735,1,15075,1,1,1,65735
3553568.2,3639,56251,1,15076,1,1,1,56251
3553568.2,3639,52102,1,15077,1,1,1,52102
3553568.2,3639,52433,1,15078,1,1,1,52433
3553568.2,3639,51992,1,15079,1,1,1,51992
3553568.2,3639,55636,1,15080,1,1,1,55636
3553568.2,3639,57462,1,15081,1,1,1,57462
3553568.85,1576,3082,48,15082,1,48,48,147936
3553568.85,3638,57194,1,15083,1,1,1,57194
3553568.85,3638,58635,1,15084,1,1,1,58635
3553568.85,3638,51280,1,15085,1,1,1,51280
3553568.85,3638,53703,1,15086,1,1,1,53703
3553568.85,3638,54098,1,15087,1,1,1,54098
3553568.85,3638,55765,1,15088,1,1,1,55765
3553568.85,3638,53202,1,15089,1,1,1,53202
3553568.85,3638,62883,1,15090,1,1,1,62883
3553568.85,3657,54716,1,15091,1,1,1,54716
3553568.85,3657,51858,1,15092,1,1,1,51858
3553568.85,3657,54578,1,15093,1,1,1,54578
3553568.85,3657,58518,1,15094,1,1,1,58518
3553568.85,3657,64536,1,15095,1,1,1,64536
3553568.85,3657,55350,1,15096,1,1,1,55350
3553568.85,3680,71347,1,15097,1,1,1,71347
3553568.85,3680,71348,1,15098,1,1,1,71348
3553568.85,3680,62316,1,15099,1,1,1,62316
3553568.85,3680,71347,1,15100,1,1,1,71347
3553568.85,3680,71348,1,15101,1,1,1,71348
3553568.85,3680,67378,1,15102,1,1,1,67378
3553568.85,3680,71348,1,15103,1,1,1,71348
3553568.85,3680,66011,1,15104,1,1,1,66011
3553568.85,3680,71348,1,15105,1,1,1,71348
3553568.85,3680,71347,1,15106,1,1,1,71347
3553579.25,1591,2993,48,15107,1,48,48,143664
3553590.95,1606,3046,48,15108,1,48,48,146208
