S_ime,W_time,R_time,Processors,id,type,Max_resource,Min_resource,Total_cost
0.0,4,14400,100,1,1,100,100,1440000
20.8125,0,14400,100,2,1,100,100,1440000
42788.25,9,45,20,3,1,20,20,900
60869.8125,16386,154,1,4,1,1,1,154
60918.75,16977,50,1,5,1,1,1,50
60939.0,16596,1112,1,6,1,1,1,1112
63639.0,11796,176777,1000,7,1,1000,1000,176777000
70530.1875,206,45,2560,8,1,2560,2560,115200
70614.5625,112,353,10000,9,1,10000,10000,3530000
70903.6875,197,42,2560,10,1,2560,2560,107520
71229.9375,11,2114,1000,11,1,1000,1000,2114000
71456.0625,3,172800,2560,12,1,2560,2560,442368000
71485.3125,4,49,1,13,1,1,1,49
71551.6875,8,42,1,14,1,1,1,42
72241.3125,4,53,1,15,1,1,1,53
72298.6875,1,42,1,16,1,1,1,42
72342.0,8,657,1,17,1,1,1,657
72438.75,0,180,1000,18,1,1000,1000,180000
72556.875,0,365,1000,19,1,1000,1000,365000
72862.3125,0,354,1000,20,1,1000,1000,354000
72889.875,4,374,1,21,1,1,1,374
73113.75,243,31,1000,22,1,1000,1000,31000
73200.9375,11,327,1000,23,1,1000,1000,327000
73360.6875,1,25210,100,24,1,100,100,2521000
73360.6875,1,41846,100,25,1,100,100,4184600
73360.6875,1,42111,100,26,1,100,100,4211100
73360.6875,1,42240,100,27,1,100,100,4224000
73360.6875,1,42488,100,28,1,100,100,4248800
73360.6875,1019,42341,100,29,1,100,100,4234100
73361.25,11,42114,100,30,1,100,100,4211400
73361.25,11,42891,100,31,1,100,100,4289100
73361.8125,10,109,100,32,1,100,100,10900
73361.8125,10,41534,100,33,1,100,100,4153400
73361.8125,10,41866,100,34,1,100,100,4186600
73361.8125,10,41994,100,35,1,100,100,4199400
73362.375,9,39720,100,36,1,100,100,3972000
73362.375,9,41951,100,37,1,100,100,4195100
73362.375,9,43726,100,38,1,100,100,4372600
73362.375,9,43788,100,39,1,100,100,4378800
73362.9375,8,39474,100,40,1,100,100,3947400
73362.9375,8,39751,100,41,1,100,100,3975100
73362.9375,8,40137,100,42,1,100,100,4013700
73362.9375,8,43203,100,43,1,100,100,4320300
73363.5,7,39377,100,44,1,100,100,3937700
73363.5,7,39516,100,45,1,100,100,3951600
73363.5,7,40033,100,46,1,100,100,4003300
73386.5625,8,347,500,47,1,500,500,173500
73390.5,1,347,500,48,1,500,500,173500
73402.3125,2,325,500,49,1,500,500,162500
73409.625,1,313,500,50,1,500,500,156500
73415.8125,1,346,500,51,1,500,500,173000
73429.3125,10,313,500,52,1,500,500,156500
73436.0625,9,346,500,53,1,500,500,173000
73442.8125,8,335,500,54,1,500,500,167500
73449.0,8,313,500,55,1,500,500,156500
73456.3125,6,313,500,56,1,500,500,156500
73462.5,297,342,500,57,1,500,500,171000
73468.125,221,95052,500,58,1,500,500,47526000
73474.3125,276,342,500,59,1,500,500,171000
73481.625,638,31,500,60,1,500,500,15500
73815.75,0,907,1,61,1,1,1,907
74126.8125,309,296,1000,62,1,1000,1000,296000
74380.5,469,31,500,63,1,500,500,15500
74442.9375,1,335,2560,64,1,2560,2560,857600
74852.4375,155,33,2560,65,1,2560,2560,84480
74863.6875,806,326,1000,66,1,1000,1000,326000
75374.4375,462,62,2560,67,1,2560,2560,158720
75965.625,0,43,1,68,1,1,1,43
76034.8125,4,53,1,69,1,1,1,53
76093.875,0,54,1,70,1,1,1,54
76131.5625,1,53,1,71,1,1,1,53
76444.3125,5,338,1000,72,1,1000,1000,338000
76587.75,4,332,200,73,1,200,200,66400
76841.4375,500,341,200,74,1,200,200,68200
77135.0625,1,53,1,75,1,1,1,53
77213.25,1,43,1,76,1,1,1,43
77753.25,2,90,400,77,1,400,400,36000
77912.4375,7,86,400,78,1,400,400,34400
78339.375,8,681,400,79,1,400,400,272400
78462.0,0,85,400,80,1,400,400,34000
78464.25,8,84,400,81,1,400,400,33600
78956.4375,7,93,1000,82,1,1000,1000,93000
79047.0,0,95,1000,83,1,1000,1000,95000
79176.9375,0,93,1000,84,1,1000,1000,93000
79606.6875,2,92,1000,85,1,1000,1000,92000
79685.4375,1,197,200,86,1,200,200,39400
80142.75,7,104,1000,87,1,1000,1000,104000
82024.875,3,467,2560,88,1,2560,2560,1195520
82280.25,16,190,10000,89,1,10000,10000,1900000
82429.3125,4,166,10000,90,1,10000,10000,1660000
82628.4375,3,212,10000,91,1,10000,10000,2120000
82776.9375,0,214,10000,92,1,10000,10000,2140000
82906.3125,0,271,10000,93,1,10000,10000,2710000
83143.6875,4,7297,500,94,1,500,500,3648500
83411.4375,4,888,500,95,1,500,500,444000
83415.9375,7,3452,500,96,1,500,500,1726000
83419.875,11,3669,500,97,1,500,500,1834500
83428.3125,7,21507,500,98,1,500,500,10753500
83432.8125,10,6610,500,99,1,500,500,3305000
83441.8125,5,1743,500,100,1,500,500,871500
83446.875,7,1823,500,101,1,500,500,911500
83453.0625,7,157,500,102,1,500,500,78500
83457.5625,10,3780,500,103,1,500,500,1890000
83463.1875,146,2162,500,104,1,500,500,1081000
83470.5,787,310,500,105,1,500,500,155000
83475.5625,1088,2694,500,106,1,500,500,1347000
83885.0625,5816,395,3840,107,1,3840,3840,1516800
85277.25,4,385,500,108,1,500,500,192500
87770.8125,0,91,10,109,1,10,10,910
87827.0625,3,367,10,110,1,10,10,3670
88038.0,7,987,25,111,1,25,25,24675
88612.3125,4,135,25,112,1,25,25,3375
88626.9375,1,42,25,113,1,25,25,1050
88676.4375,0,223,25,114,1,25,25,5575
88836.75,11,1348,25,115,1,25,25,33700
88902.0,0,178,10000,116,1,10000,10000,1780000
109191.375,5,658,25,117,1,25,25,16450
109574.4375,1,302,10000,118,1,10000,10000,3020000
109656.5625,2,1384,2,119,1,2,2,2768
110839.5,1,87,1000,120,1,1000,1000,87000
113257.125,8,155,200,121,1,200,200,31000
113358.9375,4,332,200,122,1,200,200,66400
114256.6875,9,321,1000,123,1,1000,1000,321000
114461.4375,8,409,1000,124,1,1000,1000,409000
114645.375,2,294,3840,125,1,3840,3840,1128960
114739.3125,0,590,1000,126,1,1000,1000,590000
114828.75,1,325,200,127,1,200,200,65000
115277.0625,6,1242,1000,128,1,1000,1000,1242000
115746.75,10,11296,200,129,1,200,200,2259200
116014.5,1,1059,3840,130,1,3840,3840,4066560
116795.8125,0,185,500,131,1,500,500,92500
116961.75,0,707,1000,132,1,1000,1000,707000
116969.0625,10,610,500,133,1,500,500,305000
117999.5625,1,43190,100,134,1,100,100,4319000
118000.125,11,43157,100,135,1,100,100,4315700
118000.125,11,43857,100,136,1,100,100,4385700
118000.6875,10,3949,100,137,1,100,100,394900
118000.6875,10,43382,100,138,1,100,100,4338200
118000.6875,10,43623,100,139,1,100,100,4362300
118000.6875,10,43706,100,140,1,100,100,4370600
118001.25,9,95,100,141,1,100,100,9500
118001.25,9,44366,100,142,1,100,100,4436600
118001.25,9,44605,100,143,1,100,100,4460500
118001.25,9,44729,100,144,1,100,100,4472900
118001.8125,8,44439,100,145,1,100,100,4443900
118001.8125,8,45006,100,146,1,100,100,4500600
118001.8125,8,49351,100,147,1,100,100,4935100
118002.375,7,5896,100,148,1,100,100,589600
118002.375,7,44355,100,149,1,100,100,4435500
118002.375,7,53799,100,150,1,100,100,5379900
118002.375,7,64861,100,151,1,100,100,6486100
118002.9375,6,70910,100,152,1,100,100,7091000
118002.9375,6,74810,100,153,1,100,100,7481000
118002.9375,6,78260,100,154,1,100,100,7826000
118002.9375,6,78509,100,155,1,100,100,7850900
118002.9375,6,78730,100,156,1,100,100,7873000
118204.875,1,1242,500,157,1,500,500,621000
118204.875,1,2011,500,158,1,500,500,1005500
118204.875,1,5786,500,159,1,500,500,2893000
118204.875,1,96868,500,160,1,500,500,48434000
118204.875,1,98032,500,161,1,500,500,49016000
118204.875,1,98250,500,162,1,500,500,49125000
118205.4375,11,7877,500,163,1,500,500,3938500
118205.4375,11,43627,500,164,1,500,500,21813500
118206.0,1241,1036,500,165,1,500,500,518000
118206.0,2010,3547,500,166,1,500,500,1773500
118206.0,10,11639,500,167,1,500,500,5819500
118206.0,2277,9817,500,168,1,500,500,4908500
118206.5625,3512,299,500,169,1,500,500,149500
119896.3125,508,837,3840,170,1,3840,3840,3214080
120012.1875,1,165,200,171,1,200,200,33000
120177.0,9,4074,500,172,1,500,500,2037000
123451.3125,0,395,3840,173,1,3840,3840,1516800
123744.9375,8,188743,200,174,1,200,200,37748600
123753.375,4,2457,500,175,1,500,500,1228500
123822.5625,5,115,200,176,1,200,200,23000
123958.125,3,188380,200,177,1,200,200,37676000
124541.4375,9,187326,200,178,1,200,200,37465200
124710.75,0,19629,200,179,1,200,200,3925800
125327.25,0,142850,500,180,1,500,500,71425000
126237.375,135,90490,500,181,1,500,500,45245000
128739.9375,0,105,200,182,1,200,200,21000
129520.125,1,95,200,183,1,200,200,19000
129564.5625,6,92016,500,184,1,500,500,46008000
129564.5625,6,92028,500,185,1,500,500,46014000
129564.5625,6,93703,500,186,1,500,500,46851500
129564.5625,6,94106,500,187,1,500,500,47053000
129564.5625,6,98076,500,188,1,500,500,49038000
129565.125,10999,94798,500,189,1,500,500,47399000
129565.125,10999,96384,500,190,1,500,500,48192000
129565.125,10999,98192,500,191,1,500,500,49096000
129565.125,10999,98245,500,192,1,500,500,49122500
129565.125,10999,105651,500,193,1,500,500,52825500
129593.25,8,95,100,194,1,100,100,9500
129598.875,9,95,200,195,1,200,200,19000
129601.125,5,95,100,196,1,100,100,9500
129641.625,17,95,100,197,1,100,100,9500
130661.4375,6,20126,1,198,1,1,1,20126
135750.375,3,167405,200,199,1,200,200,33481000
136614.9375,6,95,80,200,1,80,80,7600
136665.0,1,91,10,201,1,10,10,910
140488.875,10,86400,3840,202,1,3840,3840,331776000
142289.4375,9,24941,200,203,1,200,200,4988200
142444.6875,9,57299,100,204,1,100,100,5729900
142495.3125,0,49755,100,205,1,100,100,4975500
142552.6875,0,57750,100,206,1,100,100,5775000
142564.5,2,48529,100,207,1,100,100,4852900
142578.0,0,44110,100,208,1,100,100,4411000
142592.625,8,96,100,209,1,100,100,9600
142656.1875,170,93224,500,210,1,500,500,46612000
142710.1875,1,42539,100,211,1,100,100,4253900
156836.8125,1,59739,200,212,1,200,200,11947800
167607.5625,0,59097,100,213,1,100,100,5909700
167608.125,11,58193,100,214,1,100,100,5819300
167608.125,11,58857,100,215,1,100,100,5885700
167608.6875,10,44489,100,216,1,100,100,4448900
167608.6875,10,58711,100,217,1,100,100,5871100
167608.6875,10,59096,100,218,1,100,100,5909600
167608.6875,10,59694,100,219,1,100,100,5969400
167609.25,9,59911,100,220,1,100,100,5991100
167609.25,9,60212,100,221,1,100,100,6021200
167609.25,9,60595,100,222,1,100,100,6059500
167609.25,9,102035,100,223,1,100,100,10203500
167609.8125,8,76669,100,224,1,100,100,7666900
167609.8125,8,93271,100,225,1,100,100,9327100
167609.8125,8,94205,100,226,1,100,100,9420500
167609.8125,8,94341,100,227,1,100,100,9434100
167610.375,2784,56751,100,228,1,100,100,5675100
167610.375,7,96316,100,229,1,100,100,9631600
167610.375,7,112961,100,230,1,100,100,11296100
167610.375,2784,117386,100,231,1,100,100,11738600
169176.375,0,180202,1000,232,1,1000,1000,180202000
169750.6875,3,346,200,233,1,200,200,69200
169839.0,1,169,200,234,1,200,200,33800
169935.75,9,77399,200,235,1,200,200,15479800
169950.9375,4,77252,200,236,1,200,200,15450400
171536.0625,0,314,1000,237,1,1000,1000,314000
172023.1875,0,395,1000,238,1,1000,1000,395000
172421.4375,8,177554,1000,239,1,1000,1000,177554000
174893.0625,5,1986,1000,240,1,1000,1000,1986000
176318.4375,0,147,1000,241,1,1000,1000,147000
