S_time,R_time,Processors,sigma
0,487.133589,2,0.245417
8.134504,22.746667,2,0.972174
13.318962,787.996298,3,0.560986
23.974203,2699.441216,10,0.880554
42.997459,13.389669,13,0.752653
53.119454,5.244419,8,0.453731
128.839676,72.282789,10,0.46404
168.915177,6.454624,19,1.134929
220.205751,199.999205,3,1.169688
252.343465,103.80314,9,0.146437
325.298999,2710.316316,2,1.691955
340.715975,1143.807995,3,0.438828
430.775327,164.140789,3,1.433392
446.846352,14.411048,25,0.879695
502.492682,4043.729065,3,1.075416
504.180391,5.788304,28,0.968447
527.924606,1940.455893,45,1.274554
679.767543,87.397457,3,0.512425
782.876075,138.485882,2,0.774593
799.143008,8.690036,4,0.994014
938.331505,5151.534892,5,0.565415
952.257166,27.901194,7,1.111541
978.995928,15.806661,7,1.013811
1152.033576,436.526729,3,0.551172
1163.478363,116.312547,3,1.697329
1211.574256,514.960703,46,1.433619
1249.740438,3220.82135,45,1.691546
1314.214716,678.59493,4,1.469098
1466.689284,56.5321,5,1.027437
1556.41793,396.13416,6,0.756208
1636.403439,14.76519,3,0.91612
1811.911805,5868.984975,13,1.901678
1831.735504,135.160309,5,1.185098
1876.58394,7491.082938,40,1.472275
2033.789897,3339.387927,51,0.797668
2046.601156,497.812747,35,0.352298
2066.900314,94.909542,2,1.819047
2161.688945,13230.74129,19,1.529392
2230.002179,158.196136,4,1.23592
2256.777188,4.167769,46,0.954853
2289.484406,320.609587,11,0.946808
2297.087,28.618193,8,1.426432
2338.225422,94.630329,30,1.163059
2359.361275,2187.316137,3,0.722286
2463.143339,795.399008,53,0.909749
2463.731951,4.672526,4,1.810925
2613.465448,145.008342,2,1.231706
2614.739234,212.754909,2,0.946907
2641.7711,11163.52002,12,0.818877
2648.543718,5.751117,3,0.233691
2663.309098,27.874141,2,1.403179
2724.361751,1397.985499,24,1.17532
2789.583454,913.41254,2,0.668241
2792.750055,47.264066,22,0.205654
2796.549554,1455.066169,19,1.017181
2876.50921,92.764394,3,0.915404
2901.866219,19.221447,23,1.345087
2942.1228,18185.64864,13,0.425924
3026.085699,246.184965,3,0.455021
3065.354141,13.379577,2,0.407656
3069.533513,9.784342,56,1.257874
3206.864332,5346.192969,2,0.493794
3239.673844,6242.711614,9,0.563694
3284.700559,2173.418177,9,0.035886
3417.879679,20.179754,7,0.568106
3484.027197,2398.481232,13,0.832186
3490.599612,60.913059,2,1.691556
3506.904152,10376.3495,29,1.511337
3622.244315,37.868523,2,1.227968
3652.913811,3.971392,4,0.121882
3722.502008,10.109292,3,1.414277
3740.512112,19149.69596,3,0.629308
3847.256926,17.016874,22,0.427123
3865.221902,13191.19168,54,1.02764
3975.168818,751.755028,60,0.278341
4006.028674,1404.337481,4,1.712024
4065.508881,8.371956,41,1.157831
4126.110195,37.606762,29,0.959988
4207.289275,660.959104,28,1.891246
4216.624267,989.047785,24,1.581026
4256.640152,9798.916242,27,0.885978
4457.682753,20609.66798,22,0.572462
4494.390563,635.34345,56,0.757459
4506.790501,1362.52458,7,1.185723
4649.075867,3710.471923,25,1.713812
4676.007343,1410.809422,6,0.710195
4705.70609,4251.980806,6,0.695554
4748.148681,79.416552,3,0.355732
4867.219526,1151.760439,3,0.126131
4909.958161,5757.387544,22,1.802042
4915.281002,16029.47052,3,1.350623
4915.927177,32.712682,9,0.768849
4916.225131,13679.6423,7,0.770026
4934.841973,4596.653583,16,1.895184
4994.139643,4.55442,17,1.144815
5011.252679,3.246919,55,0.904089
5058.31753,70.062098,38,1.286641
5077.046103,824.117374,4,0.41564
5081.283439,18.128881,55,0.719516
5151.513539,4.968001,6,1.836625
5197.114736,24.271038,2,0.166314
5291.257513,3735.417359,30,0.240369
5307.766765,311.296519,13,1.200216
5331.104495,41.635061,28,1.866996
5341.905695,6036.885029,19,1.545461
5405.287697,3.876922,4,1.406888
5471.80021,8.450404,3,0.652518
5472.362065,229.547343,2,1.610492
5543.245369,339.399079,2,1.718889
5606.394268,246.630238,6,0.178815
5610.131982,9073.798319,4,1.270798
5646.094611,11584.79091,19,1.537425
5668.38452,4.435811,23,1.661708
5671.190597,4437.90659,36,1.894263
5710.676726,17.790921,2,1.187584
5774.885582,8094.181263,11,1.429058
5775.741339,931.180645,39,0.533884
5806.521036,2712.149223,3,0.504515
5815.566774,9141.189821,12,1.173217
5818.349306,346.822546,10,1.609732
5907.514994,33.109965,17,0.667556
5923.030008,758.470199,23,0.589601
5939.394994,35.747077,60,1.210572
6008.707037,11.997917,4,0.936863
6017.488178,46.334913,4,0.841331
6181.906186,79.48768,6,1.186498
