S_ime,R_time,Processors,Sigma
0.000000,8497.339534,2,0.245417
1546.268975,70.963555,2,0.972174
2531.770434,18009.100135,3,0.560986
4557.200278,123205.228198,7,0.880554
8173.286771,31.017399,9,0.752653
10097.353151,7.175732,6,0.453731
24490.833475,431.726863,7,0.464040
32108.691971,9.924151,12,1.134929
41858.397611,2115.852686,2,1.169688
47967.380732,759.758628,6,0.146437
61835.327976,123981.272674,2,1.691955
64765.905015,32227.446102,3,0.438828
81885.077125,1554.068799,3,1.433392
84939.980839,34.790836,15,0.879695
95517.661920,231593.482555,3,1.075416
95838.474605,8.371296,16,0.968447
100351.957049,73573.783163,24,1.274554
129215.426843,580.758792,3,0.512425
148815.087216,1191.782551,2,0.774593
151907.230507,15.790373,4,0.994014
178365.247238,338025.845896,4,0.565415
181012.343690,97.626799,5,1.111541
186095.052545,40.193890,5,1.013811
218987.375519,7159.558649,3,0.551172
221162.888344,907.507948,3,1.697329
230305.324522,9267.474527,25,1.433619
237560.245039,162331.529208,24,1.691546
249816.010058,14259.826720,4,1.469098
278799.545185,294.110050,4,1.027437
295855.854139,6152.196136,4,0.756208
311060.113114,36.135244,3,0.916120
344422.088991,414367.078653,9,1.901678
348190.329765,1147.389420,4,1.185098
356715.464288,606597.185863,22,1.472275
386598.377942,171760.178542,27,0.797668
389033.640244,8790.048867,20,0.352298
392892.259964,660.576630,2,1.819047
410910.409785,1474723.657415,12,1.529392
423895.913052,1467.068005,4,1.235920
428985.511960,5.012044,24,0.954853
435202.750902,4421.403852,7,0.946808
436647.910182,101.573043,6,1.426432
444467.816789,657.544150,18,1.163059
448485.481804,88704.456986,3,0.722286
468213.172405,18274.016427,27,0.909749
468325.060212,5.991726,3,1.810925
496787.551474,1280.596086,2,1.231706
497029.682463,2330.344159,2,0.946907
502168.106926,1131048.287483,8,0.818877
503455.497975,8.287455,3,0.233691
506262.214715,97.479011,2,1.403179
517867.570990,44089.009658,14,1.175320
530265.412517,22681.200307,2,0.668241
530867.344187,222.363275,13,0.205654
531589.582124,46932.470016,12,1.017181
546788.926654,637.407869,2,0.915404
551608.981418,54.553556,14,1.345087
559261.260935,2423571.757830,9,0.425924
575221.572531,2926.886151,3,0.455021
582686.019140,30.980894,2,0.407656
583480.466156,19.003666,29,1.257874
609585.361373,358184.102094,2,0.493794
615822.044928,456305.579295,6,0.563694
624381.068125,87825.807328,6,0.035886
649696.776466,58.860262,5,0.568106
662270.603800,102436.211331,9,0.832186
663519.938949,330.471445,2,1.691556
666619.230917,1008987.580273,17,1.511337
688543.973412,157.304765,2,1.227968
694373.866350,4.648143,3,0.121882
707601.724555,19.998485,3,1.414277
711025.223122,2627183.526319,2,0.629308
731316.095868,45.102172,13,0.427123
734731.016167,1467844.884791,28,1.027640
755630.569089,16732.387747,31,0.278341
761496.647187,44402.264448,3,1.712024
772803.100865,14.897064,22,1.157831
784322.663448,155.609916,17,0.959988
799753.805341,13685.296682,16,1.891246
801528.272292,25681.739802,15,1.581026
809134.798499,922679.505773,16,0.885978
847350.517598,2946618.954497,13,0.572462
854328.219573,12866.055784,29,0.757459
856685.294822,42354.933844,6,1.185723
883731.988164,202484.141858,15,1.713812
888851.329720,44722.254733,4,0.710195
894496.695292,250487.805501,4,0.695554
902564.508384,500.088348,3,0.355732
925198.407553,32578.058268,3,0.126131
933322.495019,402127.920681,13,1.802042
934334.301408,1990021.657177,3,1.350623
934457.131291,125.162596,6,0.768849
934513.768815,1553606.620721,5,0.770026
938052.600808,282912.446831,10,1.895184
949324.356568,5.756886,11,1.144815
952577.333710,3.393693,28,0.904089
961523.781542,411.192156,21,1.286641
965083.852149,19314.835357,3,0.415640
965889.317573,49.788776,29,0.719516
979239.193437,6.593878,5,1.836625
987907.418525,78.529048,2,0.166314
1005802.799475,204614.137365,17,0.240369
1008941.004636,4222.469131,9,1.200216
1013377.219485,182.412846,16,1.866996
1015430.394258,433028.367737,12,1.545461
1027478.531266,4.476622,3,1.406888
1040121.739665,15.115639,2,0.652518
1040228.541375,2623.891532,2,1.610492
1053702.583427,4832.683706,2,1.718889
1065706.410270,2935.157923,5,0.178815
1066416.903647,818288.101286,3,1.270798
1073252.955941,1198408.389873,12,1.537425
1077489.992779,5.524463,14,1.661708
1078023.393368,267802.318947,20,1.894263
1085529.219559,48.346838,2,1.187584
1097734.531175,684571.640795,7,1.429058
1097897.200100,23373.999037,21,0.533884
1103748.040735,124112.240966,3,0.504515
1105467.524135,827799.261888,8,1.173217
1105996.448992,4998.773582,7,1.609732
1122945.746665,127.544595,11,0.667556
1125894.959622,16966.396815,14,0.589601
1129005.741637,143.760450,30,1.210572
1142181.106231,26.131653,3,0.936863
1143850.292751,215.574133,3,0.841331
1175104.128423,500.788016,5,1.186498
1176044.656586,134688.184048,5,1.178353
1187640.493564,291.811787,13,0.114549
1214893.756866,165195.493317,23,0.085210
1222768.604161,203.233367,7,1.515292
1223228.304687,12755.278665,2,0.526609
1223494.036190,206.793346,4,0.801925
1229126.901900,221.517106,11,0.010973
1231654.080922,228.633575,3,0.997096
1233224.130128,7262.872392,2,1.508692
1239175.272450,49.766663,24,0.182039
1242982.754515,5.624603,7,1.514349
1248280.398273,77076.942242,9,1.944321
1254864.310802,5090.727289,5,0.358066
1265451.330593,1670269.545084,20,1.134629
1280237.550005,1019.553642,2,0.750742
1285019.264731,1077520.434039,4,1.040395
1295726.373617,47.201629,2,1.791970
1305605.614049,2318.174422,11,1.955685
1307583.728342,2671.856965,31,0.516027
1313881.190292,12138.354707,9,0.756020
1340003.611469,12426.254437,8,0.160551
1342723.332101,46538.711876,23,0.266512
1343692.238093,2023.117372,5,1.924435
1353489.287878,283.074417,19,0.107491
1365504.390139,543577.113117,16,0.557696
1373090.199564,216515.443817,13,0.160744
1374219.259179,24.114726,16,0.950369
1376955.246345,76.348155,25,1.302074
1396316.622383,6906.814539,19,1.102341
1412127.776883,1061791.694195,19,0.084107
1430645.041057,318.027333,19,1.889171
1430915.837281,844.019460,5,1.398285
1435892.596813,10991.079275,10,0.767232
1437300.911382,21.008812,3,1.580859
1441307.707327,1219367.299839,4,0.997981
1442705.991515,49218.915505,4,1.426383
1452390.524744,495602.814351,2,0.431945
1456026.935942,41.360170,3,0.217967
1459513.645043,58625.576313,6,0.673055
1465485.284673,50.201854,3,1.683908
1501490.905691,3419.943198,25,0.746535
1510411.344612,84.699152,12,1.603402
1518374.270718,33.655157,18,1.038666
1522953.922313,55.059164,8,1.682370
1530426.760779,5597.802742,2,1.889181
1550931.241911,2659.981380,2,0.715402
1576439.822184,616.416494,19,1.992334
1578126.882553,764.353911,32,1.090594
1578628.702762,2804321.617330,4,1.535675
1581266.630860,722.437092,13,0.685096
1613872.891776,229711.545196,15,0.129779
1618007.955100,41.096060,3,1.473350
1623481.414780,235290.689173,26,0.817055
1627183.642744,97.440565,3,1.363897
1636024.724312,19629.019540,16,1.559520
1648055.545053,5753.076228,16,0.021056
1682414.203909,5.720535,12,1.614865
