S_ime,R_time,Processors,Sigma
0,8497.339534,2,0.245417
549.784524,70.963555,2,0.972174
900.185043,18009.10014,3,0.560986
1620.337877,123205.2282,12,0.880554
2906.057519,31.017399,16,0.752653
3590.170009,7.175732,9,0.453731
8707.851902,431.726863,12,0.46404
11416.42381,9.924151,25,1.134929
14882.98582,2115.852686,3,1.169688
17055.06871,759.758628,11,0.146437
21985.89439,123981.2727,2,1.691955
23027.87734,32227.4461,3,0.438828
29114.69409,1554.068799,4,1.433392
30200.88208,34.790836,32,0.879695
33961.83535,231593.4826,3,1.075416
34075.90208,8.371296,36,0.968447
35680.69584,73573.78316,61,1.274554
45943.26288,580.758792,3,0.512425
52912.03101,1191.782551,2,0.774593
54011.45974,15.790373,5,0.994014
63418.75457,338025.8459,6,0.565415
64359.94442,97.626799,8,1.111541
66167.12979,40.19389,8,1.013811
77862.17796,7159.558649,3,0.551172
78635.69363,907.507948,4,1.697329
81886.33761,9267.474527,63,1.433619
84465.8649,162331.5292,61,1.691546
88823.47024,14259.82672,5,1.469098
99128.72718,294.11005,5,1.027437
105193.1926,6152.196136,6,0.756208
110599.1513,36.135244,3,0.91612
122461.1872,414367.0787,16,1.901678
123801.0061,1147.38942,5,1.185098
126832.1651,606597.1859,54,1.472275
137457.201,171760.1785,70,0.797668
138323.0721,8790.048867,46,0.352298
139695.0258,660.57663,2,1.819047
146101.479,1474723.657,24,1.529392
150718.5469,1467.068005,5,1.23592
152528.182,5.012044,62,0.954853
154738.7559,4421.403852,13,0.946808
155252.5903,101.573043,10,1.426432
158033.0015,657.54415,40,1.163059
159461.5046,88704.45699,3,0.722286
166475.7946,18274.01643,73,0.909749
166515.577,5.991726,4,1.810925
176635.5739,1280.596086,2,1.231706
176721.6649,2330.344159,3,0.946907
178548.6602,1131048.287,14,0.818877
179006.3993,8.287455,4,0.233691
180004.343,97.479011,2,1.403179
184130.6919,44089.00966,30,1.17532
188538.8133,22681.20031,2,0.668241
188752.8335,222.363275,28,0.205654
189009.6292,46932.47002,25,1.017181
194413.8406,637.407869,3,0.915404
196127.6378,54.553556,30,1.345087
198848.4483,2423571.758,15,0.425924
204523.2258,2926.886151,3,0.455021
207177.2513,30.980894,2,0.407656
207459.7213,19.003666,78,1.257874
216741.4618,358184.1021,2,0.493794
218958.9493,456305.5793,10,0.563694
222002.1576,87825.80733,10,0.035886
231003.2983,58.860262,8,0.568106
235473.9925,102436.2113,16,0.832186
235918.2005,330.471445,2,1.691556
237020.171,1008987.58,38,1.511337
244815.635,157.304765,2,1.227968
246888.4858,4.648143,4,0.121882
251591.7243,19.998485,4,1.414277
252808.9682,2627183.526,3,0.629308
260023.5008,45.102172,28,0.427123
261237.6946,1467844.885,74,1.02764
268668.6468,16732.38775,84,0.278341
270754.3634,44402.26445,4,1.712024
274774.4359,14.897064,55,1.157831
278870.2803,155.609916,38,0.959988
284356.9086,13685.29668,36,1.891246
284987.8301,25681.7398,31,1.581026
287692.3728,922679.5058,35,0.885978
301280.184,2946618.954,28,0.572462
303761.1447,12866.05578,77,0.757459
304599.2159,42354.93384,9,1.185723
314215.818,202484.1419,33,1.713812
316036.0283,44722.25473,6,0.710195
318043.2694,250487.8055,6,0.695554
320911.8252,500.088348,4,0.355732
328959.4338,32578.05827,4,0.126131
331847.9982,402127.9207,28,1.802042
332207.7516,1990021.657,3,1.350623
332251.4245,125.162596,11,0.768849
332271.5622,1553606.621,8,0.770026
333529.8136,282912.4468,20,1.895184
337537.549,5.756886,21,1.144815
338694.1631,3.393693,75,0.904089
341875.1223,411.192156,52,1.286641
343140.9252,19314.83536,4,0.41564
343427.3129,49.788776,76,0.719516
348173.9354,6.593878,7,1.836625
351255.971,78.529048,2,0.166314
357618.7731,204614.1374,40,0.240369
358734.5794,4222.469131,16,1.200216
360311.9003,182.412846,36,1.866996
361041.918,433028.3677,24,1.545461
365325.7,4.476622,4,1.406888
369821.063,15.115639,3,0.652518
369859.0369,2623.891532,2,1.610492
374649.8074,4832.683706,2,1.718889
378917.8348,2935.157923,7,0.178815
379170.4546,818288.1013,4,1.270798
381601.051,1198408.39,24,1.537425
383107.553,5.524463,29,1.661708
383297.2065,267802.3189,48,1.894263
385965.9447,48.346838,3,1.187584
390305.6111,684571.6408,13,1.429058
390363.4489,23373.99904,52,0.533884
392443.7478,124112.241,3,0.504515
393055.1197,827799.2619,14,1.173217
393243.1819,4998.773582,12,1.609732
399269.5988,127.544595,22,0.667556
400318.2079,16966.39682,30,0.589601
401424.2637,143.76045,83,1.210572
406108.8378,26.131653,5,0.936863
406702.3263,215.574133,5,0.841331
417814.8012,500.788016,7,1.186498
418149.2112,134688.184,8,1.178353
422272.1755,291.811787,27,0.114549
431962.2247,165195.4933,59,0.08521
434762.1704,203.233367,12,1.515292
434925.6194,12755.27867,2,0.526609
435020.1018,206.793346,6,0.801925
437022.8985,221.517106,21,0.010973
437921.451,228.633575,3,0.997096
438479.6907,7262.872392,3,1.508692
440595.6524,49.766663,60,0.182039
441949.4238,5.624603,13,1.514349
443833.0305,77076.94224,16,1.944321
446173.9772,5090.727289,8,0.358066
449938.2509,1670269.545,47,1.134629
455195.5733,1019.553642,2,0.750742
456895.7386,1077520.434,6,1.040395
460702.7106,47.201629,2,1.79197
464215.3294,2318.174422,22,1.955685
464918.659,2671.856965,85,0.516027
467157.7565,12138.35471,17,0.75602
476445.7285,12426.25444,14,0.160551
477412.7403,46538.71188,57,0.266512
