id,Arrival,Start,Completion,No_of_expansion,No_of_shrinkage,Wait_time,Turn_around_time,Exe_time
2.0,386.5672435,386.5672435,457.5307985,0.0,0.0,0.0,70.96355499999999,70.96355499999999
5.0,2043.3216929999999,2043.3216929999999,2074.3390919999997,0.0,0.0,0.0,31.01739899999984,31.01739899999984
6.0,2524.3382875,2524.3382875,2531.5140195000004,0.0,0.0,0.0,7.175732000000153,7.175732000000153
1.0,0.0,0.0,3780.8260152503453,1.0,0.0,0.0,3780.8260152503453,3780.8260152503453
7.0,6122.708369,6122.708369,6554.435232,0.0,0.0,0.0,431.72686299999987,431.72686299999987
8.0,8027.1729925,8027.1729925,8037.0971435,0.0,0.0,0.0,9.924151000000165,9.924151000000165
3.0,632.9426085,632.9426085,8820.573326569387,1.0,0.0,0.0,8187.6307180693875,8187.6307180693875
9.0,10464.5994025,10464.5994025,12580.4520885,0.0,0.0,0.0,2115.852686,2115.852686
10.0,11991.845183,11991.845183,12751.603810999999,0.0,0.0,0.0,759.7586279999996,759.7586279999996
14.0,21234.99521,21234.99521,21269.786046,0.0,0.0,0.0,34.79083600000013,34.79083600000013
13.0,20471.2692815,20471.2692815,22025.3380805,0.0,0.0,0.0,1554.0687990000006,1554.0687990000006
16.0,23959.618651499997,23959.618651499997,23967.9899475,0.0,0.0,0.0,8.371296000001166,8.371296000001166
18.0,32303.8567105,32303.8567105,32884.6155025,0.0,0.0,0.0,580.7587919999969,580.7587919999969
19.0,37203.771804,37203.771804,38395.554355,0.0,0.0,0.0,1191.7825509999966,1191.7825509999966
12.0,16191.476253499999,16191.476253499999,48418.9223555,0.0,0.0,0.0,32227.446102,32227.446102
20.0,37976.807626999995,48418.9223555,48434.7127285,0.0,0.0,10442.114728500004,10457.905101500008,15.790373000003456
23.0,46523.763136,48421.99428784183,48462.18817784183,0.0,0.0,1898.2311518418283,1938.4250418418305,40.193890000002284
22.0,45253.0859225,48419.787572373294,48517.41437137329,0.0,0.0,3166.701649873292,3264.3284488732897,97.62679899999785
24.0,54746.84387999999,54746.84387999999,61906.40252899999,0.0,0.0,0.0,7159.558648999999,7159.558648999999
25.0,55290.722086,61906.40252899999,62813.91047699999,0.0,0.0,6615.68044299999,7523.188390999989,907.5079479999986
4.0,1139.3000695,1139.3000695,69624.3527520964,2.0,3.0,0.0,68485.0526825964,68485.0526825964
11.0,15458.831994,15458.831994,77477.88377083956,3.0,1.0,0.0,62019.05177683956,62019.05177683956
29.0,69699.8862965,77477.88377083956,77771.99382083956,0.0,0.0,7777.997474339558,8072.107524339561,294.11005000000296
31.0,77765.0282785,77771.99382083956,77808.12906483957,0.0,0.0,6.965542339559761,43.100786339564365,36.135244000004604
30.0,73963.9635345,77478.10561816292,83630.30175416292,0.0,0.0,3514.142083662926,9666.338219662925,6152.196135999999
28.0,62454.002514499996,69624.3527520964,83884.1794720964,0.0,0.0,7170.350237596402,21430.1769575964,14259.826719999997
17.0,25087.989262,25087.989262,86099.87212720576,4.0,2.0,0.0,61011.88286520576,61011.88286520576
33.0,87047.58244099999,87047.58244099999,88194.971861,0.0,0.0,0.0,1147.3894200000068,1147.3894200000068
26.0,57576.331130499995,86099.87212720576,95367.34665420576,0.0,0.0,28523.540996705764,37791.01552370576,9267.474526999998
37.0,98223.06499099999,98223.06499099999,98883.64162099999,0.0,0.0,0.0,660.5766299999959,660.5766299999959
15.0,23879.41548,23879.41548,255472.89803500002,0.0,0.0,0.0,231593.48255500002,231593.48255500002
39.0,105973.978263,255472.89803500002,257422.94276478258,0.0,0.0,149498.91977200002,151448.96450178258,1950.0447297825594
27.0,59390.06126,95367.34665420576,257698.87586220575,0.0,0.0,35977.285394205755,198308.81460220576,162331.529208
46.0,117081.265053,257698.87586220575,257704.86758820576,0.0,0.0,140617.61080920574,140623.60253520578,5.991726000007475
50.0,125863.874494,257704.86758820576,257717.240336623,0.0,0.0,131840.99309420574,131853.365842623,12.372748417255934
51.0,126565.55367850001,257705.49962542127,257802.97863642126,0.0,0.0,131139.94594692125,131237.42495792126,97.47901099998853
56.0,136697.2316635,257717.240336623,258669.43039741466,0.0,0.0,121020.00867312303,121972.19873391467,952.1900607916468
60.0,145671.504785,258669.43039741466,258700.41129141467,0.0,0.0,112997.92561241466,113028.90650641467,30.980894000007538
47.0,124196.8878685,257699.05905450368,258979.6551405037,0.0,0.0,133502.1711860037,134782.7672720037,1280.596086000005
67.0,165879.9847375,258979.6551405037,259310.1265855037,0.0,0.0,93099.67040300369,93430.1418480037,330.47144500000286
69.0,172135.993353,259310.1265855037,259467.4313505037,0.0,0.0,87174.1332325037,87331.4379975037,157.30476500000805
48.0,124257.4206155,257704.86758820576,260035.21174720576,0.0,0.0,133447.44697270577,135777.79113170574,2330.344159
88.0,225641.127096,259467.4313505037,260214.25085390953,0.0,0.0,33826.30425450369,34573.12375790952,746.8195034058299
101.0,246976.854631,260214.25085390953,260292.77990190953,0.0,0.0,13237.396222909534,13315.92527090953,78.52904799999669
107.0,260030.434916,260292.77990190953,260315.37782327572,0.0,0.0,262.34498590952717,284.94290727571934,22.597921366192168
41.0,108800.68772550001,257705.06247093328,262126.46632293327,0.0,0.0,148904.37474543328,153325.77859743324,4421.403851999989
71.0,176900.4311385,262126.46632293327,262146.46480793325,0.0,0.0,85226.03518443328,85246.03366943327,19.99848499998916
59.0,143805.3931325,257802.97863642126,262180.96955654543,0.0,0.0,113997.58550392126,118375.57642404543,4377.990920124168
42.0,109161.97754549999,262126.46632293327,262228.0393659333,0.0,0.0,152964.4887774333,153066.0618204333,101.57304300001124
108.0,260057.135344,260315.37782327572,262939.2693552757,0.0,0.0,258.2424792757083,2882.134011275717,2623.8915320000087
109.0,263425.645857,263425.645857,268258.329563,0.0,0.0,0.0,4832.683705999982,4832.683705999982
115.0,271382.30489,271382.30489,271430.651728,0.0,0.0,0.0,48.34683799999766,48.34683799999766
53.0,132566.3531295,257706.2508155571,280387.4511225571,0.0,0.0,125139.89768605711,147821.0979930571,22681.200306999992
70.0,173593.4665875,280387.4511225571,280392.09926555713,0.0,0.0,106793.9845350571,106798.63267805713,4.6481430000276305
89.0,231299.6018885,262228.35064119875,294806.40890919877,0.0,0.0,30928.74875269874,63506.80702069876,32578.058268000023
98.0,241270.9630375,294806.40890919877,320490.4659070722,0.0,0.0,53535.44587169876,79219.50286957217,25684.056997873413
76.0,190374.161797,280392.09926555713,324794.36371355713,0.0,0.0,90017.93746855712,134420.20191655713,44402.264448
21.0,44591.3118095,48418.988282481114,386444.8341784811,0.0,0.0,3827.676472981111,341853.5223689811,338025.845896
65.0,162424.1941165,386444.8341784811,386526.9132271188,0.0,0.0,224020.64006198107,224102.71911061878,82.07904863770818
44.0,112121.370451,257422.94276478258,389970.79267520685,0.0,1.0,145301.57231378258,277849.42222420685,132547.84991042427
131.0,305807.076172,389970.79267520685,402726.07134020684,0.0,0.0,84163.71650320687,96918.99516820686,12755.27866499999
134.0,307913.52023049997,402726.07134020684,403067.9767778688,0.0,0.0,94812.55110970687,95154.45654736884,341.90543766197516
135.0,308306.03253200004,403067.9767778688,410330.8491698688,0.0,0.0,94761.94424586877,102024.81663786876,7262.87239199999
141.0,320059.38750149996,410330.8491698688,411350.4028118688,0.0,0.0,90271.46166836884,91291.01531036885,1019.5536420000135
143.0,323931.593404,411350.4028118688,411397.60444086883,0.0,0.0,87418.80940786883,87466.01103686885,47.20162900001742
32.0,86105.52224800001,86105.52224800001,500472.600901,0.0,0.0,0.0,414367.078653,414367.078653
62.0,152396.3403435,258700.41129141467,616884.5133854147,0.0,0.0,106304.07094791468,464488.1730419147,358184.1020940001
106.0,256869.6328165,616884.6062548248,616889.0828768248,0.0,0.0,360014.97343832476,360019.45006032474,4.476621999987401
110.0,266426.6025675,616889.0828768248,621278.7663625779,0.0,0.0,350462.48030932475,354852.1637950779,4389.683485753136
171.0,382606.690195,616884.5133854147,622482.3161274147,0.0,0.0,234277.82319041475,239875.62593241472,5597.802741999971
185.0,422977.088913,622482.3161274147,622597.9078194147,0.0,0.0,199505.22721441468,199620.81890641473,115.59169200004544
