cores,time,running_job_len
2.0,0.0,1.0
7.0,386.5672435,2.0
5.0,457.5307985,1.0
8.0,632.9426085,2.0
23.0,1139.3000695,3.0
49.0,2043.3216929999999,4.0
36.0,2074.3390919999997,3.0
44.0,2524.3382875,4.0
36.0,2531.5140195000004,3.0
31.0,3722.210740667029,2.0
41.0,6122.708369,3.0
31.0,6554.435232,2.0
23.0,8005.019560305377,1.0
42.0,8027.1729925,2.0
23.0,8037.0971435,1.0
26.0,10464.5994025,2.0
40.0,11991.845183,3.0
32.0,12222.557252657063,2.0
23.0,12751.603810999999,1.0
25.0,15458.831994,2.0
31.0,16191.476253499999,3.0
39.0,20471.2692815,4.0
69.0,21234.99521,5.0
44.0,21269.786046,4.0
36.0,21543.969882600293,3.0
39.0,23879.41548,4.0
72.0,23959.618651499997,5.0
44.0,23967.9899475,4.0
80.0,25087.989262,5.0
72.0,31329.987980452075,4.0
85.0,32303.8567105,5.0
82.0,32884.6155025,4.0
85.0,37203.771804,5.0
83.0,38395.554355,4.0
60.0,57119.05082346999,3.0
85.0,57119.42775125493,9.0
81.0,57134.84119646999,8.0
74.0,57159.24471346999,7.0
67.0,57216.677622469986,6.0
64.0,58026.93569925493,5.0
85.0,62454.002514499996,6.0
82.0,64278.672342687816,5.0
77.0,67075.04933382476,4.0
85.0,69699.8862965,5.0
80.0,69993.9963465,4.0
85.0,73963.9635345,5.0
81.0,76713.8292345,4.0
85.0,77765.0282785,5.0
82.0,77801.1635225,4.0
77.0,81334.54837045612,3.0
85.0,87048.22778260302,5.0
85.0,87506.92541396181,5.0
85.0,87709.80391605581,5.0
76.0,87937.41110999012,4.0
85.0,89667.51138166279,4.0
39.0,98934.98590866278,3.0
85.0,98935.47538537104,5.0
83.0,99596.05201537104,4.0
75.0,115075.12715528089,3.0
85.0,115077.51201015101,7.0
85.0,115119.15695778102,7.0
85.0,115136.78559920406,7.0
85.0,115147.36278405788,7.0
85.0,115163.22856133862,7.0
81.0,116542.19516028088,6.0
85.0,117081.265053,7.0
81.0,117087.25677899999,6.0
70.0,119584.63241333862,5.0
85.0,124196.8878685,6.0
85.0,125477.4839545,6.0
83.0,127807.8281135,5.0
85.0,127808.38344089143,7.0
83.0,127905.3071245,6.0
85.0,132566.9970960344,8.0
82.0,132575.28455103442,7.0
85.0,136697.2316635,8.0
82.0,137334.63953249998,7.0
85.0,143805.3931325,8.0
85.0,146732.27928350001,8.0
83.0,146763.26017750002,7.0
85.0,152396.3403435,8.0
83.0,155247.5534365,7.0
85.0,165879.9847375,8.0
83.0,166210.4561825,7.0
85.0,172135.993353,8.0
83.0,172293.298118,7.0
85.0,203779.5841412809,7.0
81.0,203784.2322842809,6.0
85.0,203784.7728506618,8.0
82.0,203804.2307692809,7.0
85.0,225641.127096,8.0
82.0,226141.215444,7.0
85.0,231299.6018885,8.0
85.0,263877.6601565,8.0
85.0,297333.53658852144,8.0
50.0,306123.5854555214,7.0
85.0,306123.9381935412,10.0
83.0,306202.4672415412,9.0
85.0,306203.21074564155,11.0
85.0,306925.0501300176,11.0
83.0,308826.3587735412,10.0
85.0,308827.10414956213,12.0
85.0,313659.04247954115,12.0
85.0,313707.38931754115,12.0
85.0,316746.18664593215,12.0
85.0,321304.48779018415,12.0
85.0,324107.84299389913,12.0
85.0,326462.66798254114,12.0
85.0,328141.93950656214,12.0
81.0,328146.4161285621,11.0
85.0,328147.1561698719,13.0
85.0,328161.53176756215,13.0
85.0,329166.70981187193,13.0
83.0,329213.91144087195,12.0
85.0,333725.54037454113,12.0
85.0,350525.8499035214,12.0
85.0,350551.98155652144,12.0
85.0,350767.5556895214,12.0
82.0,350996.1892645214,11.0
85.0,355418.6247206211,11.0
85.0,359331.61454240547,11.0
67.0,359602.6271301249,10.0
85.0,359602.9492248247,12.0
69.0,415211.9324598448,11.0
85.0,415212.0536024024,14.0
85.0,420809.8563444024,14.0
85.0,423469.83772440243,14.0
85.0,423517.2303181224,14.0
85.0,423535.8557836147,14.0
85.0,423563.7121908689,14.0
85.0,423584.7210028689,14.0
85.0,452273.77273356216,14.0
85.0,452315.13290356216,14.0
85.0,452335.71566370217,14.0
85.0,452365.33475756214,14.0
85.0,452382.18414216215,14.0
85.0,452392.12527907616,14.0
85.0,452406.43081756216,14.0
82.0,452503.87138256215,13.0
85.0,464262.84485294984,13.0
85.0,464321.70511494984,13.0
85.0,506676.6389589498,13.0
83.0,510580.4424375,12.0
85.0,540723.9134262996,13.0
85.0,540731.8137639449,13.0
85.0,544246.7072466569,13.0
85.0,544846.2724750978,13.0
85.0,545093.7815769918,13.0
85.0,546104.3357014694,13.0
85.0,605007.0101011689,13.0
85.0,628549.7207542995,13.0
76.0,628674.8833502996,12.0
85.0,628675.435452119,14.0
85.0,630552.3526421189,14.0
85.0,782596.7914506056,14.0
85.0,782781.5977016056,14.0
85.0,783994.1118566056,14.0
85.0,784435.606830444,14.0
81.0,789142.9381931189,13.0
85.0,867838.7952941528,13.0
83.0,910814.7468108449,12.0
85.0,988683.6167413273,12.0
81.0,1152013.641660541,11.0
85.0,1336127.8654608722,11.0
85.0,1336130.2257841323,11.0
85.0,1336131.6183748557,11.0
68.0,1336133.6223468722,10.0
85.0,1336134.430998076,12.0
85.0,1340356.0914778723,12.0
85.0,1470822.615046076,12.0
85.0,1475913.342335076,12.0
85.0,1476742.820457596,12.0
85.0,1477102.2855861112,12.0
85.0,1477534.4313195422,12.0
85.0,1481223.8768778895,12.0
85.0,1486222.6504598896,12.0
85.0,1486425.8838268896,12.0
85.0,1486432.7400700697,12.0
85.0,1545058.3163830696,12.0
81.0,1689685.0349152377,11.0
85.0,1862745.9551353508,11.0
66.0,1862811.8272220534,10.0
85.0,1862812.8341328965,12.0
78.0,1862818.1907428964,11.0
85.0,1862866.8107901756,11.0
81.0,1943097.5633256552,10.0
85.0,2145064.314109854,10.0
81.0,2210867.180432444,9.0
85.0,2222141.2563518537,9.0
82.0,2253899.3173335,8.0
76.0,2321091.5042796317,7.0
85.0,2468666.098280474,7.0
85.0,2735512.484486438,7.0
82.0,2830968.299169662,6.0
85.0,2852129.196430522,6.0
85.0,2852256.741025522,6.0
85.0,2852616.314538386,6.0
85.0,2852837.831644386,6.0
85.0,2864976.186351386,6.0
85.0,2870070.9506705557,6.0
85.0,2872283.028154546,6.0
85.0,2873643.4558071997,6.0
85.0,2874426.531236532,6.0
85.0,2875601.1443805313,6.0
85.0,2886592.223655531,6.0
73.0,2886647.2828195314,5.0
85.0,2959253.565991857,5.0
85.0,2959409.1759078573,5.0
85.0,2973094.4725898574,5.0
85.0,2998776.2123918575,5.0
85.0,3079830.6620019386,5.0
73.0,3312021.507605723,4.0
85.0,3351371.823387161,4.0
85.0,3553855.9652451607,4.0
85.0,3808830.6122749243,4.0
85.0,3809052.3122700015,4.0
85.0,3809057.8367330013,4.0
85.0,3815844.3954590014,4.0
85.0,3820018.1290754913,4.0
85.0,3826024.2335480014,4.0
85.0,3826951.5033168015,4.0
85.0,3827370.8177019055,4.0
85.0,3827628.6960487445,4.0
85.0,3827999.7892795615,4.0
85.0,4103628.785647941,4.0
85.0,4127775.739022023,4.0
85.0,4258478.243800739,4.0
85.0,4127805.533986889,4.0
85.0,4127890.2331388886,4.0
85.0,4128790.8689889912,4.0
85.0,4128797.6469286014,4.0
69.0,4128808.59561149,3.0
85.0,4370557.773621336,3.0
85.0,4370576.226342474,3.0
85.0,4371079.232280609,3.0
85.0,4401128.578569417,3.0
85.0,4429544.566683764,3.0
85.0,4655062.520221471,3.0
85.0,4983346.506607001,3.0
85.0,4857655.104161137,3.0
85.0,5400587.750563776,3.0
85.0,4915008.916095064,3.0
85.0,4915291.990512064,3.0
85.0,4922198.805051064,3.0
85.0,4922584.259614291,3.0
85.0,4922626.199342786,3.0
85.0,5206176.602501018,3.0
85.0,5207621.759610297,3.0
85.0,5207638.191584145,3.0
68.0,5313891.839410461,2.0
84.0,5921675.812101593,3.0
85.0,5945699.112198502,3.0
85.0,5952682.600825579,3.0
82.0,6026449.616498939,3.0
82.0,6028076.7337875785,3.0
63.0,6026456.439776353,2.0
77.0,6118544.0648513315,2.0
83.0,6118550.279148533,2.0
85.0,6141026.348563036,2.0
85.0,6141049.9408697225,2.0
84.0,6157029.240717116,2.0
84.0,6157091.356651209,2.0
78.0,6157141.123314209,2.0
74.0,6157235.280883605,2.0
85.0,6528272.997964594,2.0
85.0,6592569.875503555,2.0
85.0,6596977.0693813935,2.0
82.0,6700033.176506594,2.0
82.0,6849417.286329325,2.0
82.0,6720905.215357861,2.0
83.0,6721084.40962205,2.0
81.0,6724403.053419608,2.0
67.0,6727822.996617608,2.0
82.0,6728439.413111608,2.0
81.0,6963730.1022846075,2.0
69.0,6965522.844651608,2.0
35.0,7219026.975078605,1.0
54.0,10146346.507023608,1.0
55.0,11614191.391814608,1.0
72.0,11614194.674936047,1.0
72.0,11614195.859207254,1.0
0.0,11614197.563402405,0.0
0.0,11614961.917313404,0.0
