id,Arrival,Start,Completion,No_of_expansion,No_of_shrinkage,Wait_time,Turn_around_time,Exe_time
2.0,386.5672435,386.5672435,457.5307985,0.0,0.0,0.0,70.96355499999999,70.96355499999999
5.0,2043.3216929999999,2043.3216929999999,2074.3390919999997,0.0,0.0,0.0,31.01739899999984,31.01739899999984
6.0,2524.3382875,2524.3382875,2531.5140195000004,0.0,0.0,0.0,7.175732000000153,7.175732000000153
7.0,6122.708369,6122.708369,6554.435232,0.0,0.0,0.0,431.72686299999987,431.72686299999987
8.0,8027.1729925,8027.1729925,8037.0971435,0.0,0.0,0.0,9.924151000000165,9.924151000000165
1.0,0.0,0.0,8497.339534,0.0,0.0,0.0,8497.339534,8497.339534
3.0,632.9426085,632.9426085,9519.945772523206,1.0,0.0,0.0,8887.003164023206,8887.003164023206
9.0,10464.5994025,10464.5994025,12263.229992197963,1.0,0.0,0.0,1798.630589697963,1798.630589697963
10.0,11991.845183,11991.845183,12751.603810999999,0.0,0.0,0.0,759.7586279999996,759.7586279999996
14.0,21234.99521,21234.99521,21269.786046,0.0,0.0,0.0,34.79083600000013,34.79083600000013
13.0,20471.2692815,20471.2692815,21610.1712383875,1.0,0.0,0.0,1138.9019568874974,1138.9019568874974
16.0,23959.618651499997,23959.618651499997,23967.9899475,0.0,0.0,0.0,8.371296000001166,8.371296000001166
18.0,32303.8567105,32303.8567105,32884.6155025,0.0,0.0,0.0,580.7587919999969,580.7587919999969
20.0,37976.807626999995,37976.807626999995,37992.598,0.0,0.0,0.0,15.790373000003456,15.790373000003456
19.0,37203.771804,37203.771804,38395.554355,0.0,0.0,0.0,1191.7825509999966,1191.7825509999966
12.0,16191.476253499999,16191.476253499999,48418.9223555,0.0,0.0,0.0,32227.446102,32227.446102
23.0,46523.763136,48419.04192892103,48459.235818921035,0.0,0.0,1895.2787929210317,1935.472682921034,40.193890000002284
22.0,45253.0859225,48418.9223555,48553.07950689024,0.0,0.0,3165.8364329999968,3299.993584390235,134.15715139023814
24.0,54746.84387999999,54746.84387999999,61906.40252899999,0.0,0.0,0.0,7159.558648999999,7159.558648999999
25.0,55290.722086,61906.40252899999,62813.91047699999,0.0,0.0,6615.68044299999,7523.188390999989,907.5079479999986
29.0,69699.8862965,69699.8862965,70179.25948229806,0.0,0.0,0.0,479.37318579806015,479.37318579806015
4.0,1139.3000695,1139.3000695,75539.83877628061,2.0,2.0,0.0,74400.53870678062,74400.53870678062
31.0,77765.0282785,77765.0282785,77801.1635225,0.0,0.0,0.0,36.135244000004604,36.135244000004604
30.0,73963.9635345,75539.83877628061,81692.03491228061,0.0,0.0,1575.87524178061,7728.071377780609,6152.196135999999
28.0,62454.002514499996,69700.54330039349,83960.37002039349,0.0,0.0,7246.540785893492,21506.36750589349,14259.826719999997
33.0,87047.58244099999,87047.58244099999,88194.971861,0.0,0.0,0.0,1147.3894200000068,1147.3894200000068
17.0,25087.989262,25087.989262,98661.772425,0.0,0.0,0.0,73573.783163,73573.783163
37.0,98223.06499099999,98223.06499099999,98757.6408433302,1.0,0.0,0.0,534.5758523302065,534.5758523302065
39.0,105973.978263,105973.978263,107441.04626799999,0.0,0.0,0.0,1467.0680049999937,1467.0680049999937
26.0,57576.331130499995,98661.772425,107994.30943003827,0.0,1.0,41085.44129450001,50417.97829953827,9332.537005038263
11.0,15458.831994,15458.831994,139440.104668,0.0,0.0,0.0,123981.272674,123981.272674
15.0,23879.41548,23879.41548,192449.65575998198,1.0,1.0,0.0,168570.24027998198,168570.24027998198
47.0,124196.8878685,192449.65575998198,193730.25184598198,0.0,0.0,68252.76789148198,69533.36397748199,1280.596086000005
48.0,124257.4206155,193730.25184598198,196060.59600498198,0.0,0.0,69472.83123048198,71803.17538948198,2330.344159
51.0,126565.55367850001,196060.59600498198,196158.07501598197,0.0,0.0,69495.04232648197,69592.52133748196,97.47901099998853
53.0,132566.3531295,196158.07501598197,218839.27532298196,0.0,0.0,63591.72188648197,86272.92219348197,22681.200306999992
56.0,136697.2316635,218839.27532298196,219786.84046394966,0.0,0.0,82142.04365948198,83089.60880044967,947.5651409676939
60.0,145671.504785,219786.84046394966,219817.82135794967,0.0,0.0,74115.33567894966,74146.31657294967,30.980894000007538
27.0,59390.06126,107994.30943003827,270325.83863803826,0.0,0.0,48604.24817003826,210935.77737803827,162331.529208
42.0,109161.97754549999,270325.83863803826,270483.2494895072,0.0,0.0,161163.86109253828,161321.2719440072,157.4108514689142
46.0,117081.265053,270483.2494895072,270489.24121550715,0.0,0.0,153401.98443650716,153407.97616250714,5.991725999978371
70.0,173593.4665875,270489.73270742124,270494.38085042126,0.0,0.0,96896.26611992123,96900.91426292126,4.6481430000276305
50.0,125863.874494,270486.90576094756,270495.19321594754,0.0,0.0,144623.03126694757,144631.31872194755,8.28745499998331
71.0,176900.4311385,270494.38085042126,270514.37933542125,0.0,0.0,93593.94971192128,93613.94819692126,19.99848499998916
101.0,246976.854631,270494.9939616272,270573.5230096272,0.0,0.0,23518.139330627193,23596.66837862719,78.52904799999669
69.0,172135.993353,270489.24121550715,270646.54598050716,0.0,0.0,98353.24786250715,98510.55262750716,157.30476500000805
67.0,165879.9847375,270489.24121550715,270819.7126605071,0.0,0.0,104609.25647800716,104939.72792300713,330.47144499997376
44.0,112121.370451,139440.104668,271142.86151083204,0.0,0.0,27318.73421700002,159021.49105983204,131702.75684283202
59.0,143805.3931325,270489.22017307195,273416.10632407194,0.0,0.0,126683.82704057195,129610.71319157194,2926.8861509999842
108.0,260057.135344,270819.7126605071,273443.6041925071,0.0,0.0,10762.577316507115,13386.468848507095,2623.8915319999796
115.0,271382.30489,273443.6041925071,273491.9510305071,0.0,0.0,2061.2993025070755,2109.646140507073,48.34683799999766
88.0,225641.127096,273416.10632407194,273916.19467207196,0.0,0.0,47774.97922807193,48275.067576071946,500.0883480000193
65.0,162424.1941165,273916.19467207196,273996.82368372864,0.0,0.0,111492.00055557195,111572.62956722864,80.62901165668154
109.0,263425.645857,271142.86151083204,275975.545216832,0.0,0.0,7717.215653832012,12549.899359831994,4832.683705999982
41.0,108800.68772550001,270484.8163787112,277072.78499467555,0.0,2.0,161684.12865321117,168272.09726917552,6587.968615964346
89.0,231299.6018885,270573.5230096272,318844.11848556215,0.0,0.0,39273.921121127176,87544.51659706215,48270.59547593497
135.0,308306.03253200004,318844.8200387751,326107.6924307751,0.0,0.0,10538.787506775057,17801.659898775048,7262.87239199999
141.0,320059.38750149996,326107.6924307751,327127.2460727751,0.0,0.0,6048.304929275124,7067.858571275137,1019.5536420000135
143.0,323931.593404,327127.2460727751,327174.4477017751,0.0,0.0,3195.6526687751175,3242.854297775135,47.20162900001742
76.0,190374.161797,270514.37933542125,329151.24965592375,0.0,0.0,80140.21753842125,138777.08785892374,58636.870320502494
131.0,305807.076172,318844.11848556215,331599.39715056214,0.0,0.0,13037.042313562182,25792.320978562173,12755.27866499999
84.0,214171.32370550002,273996.82368372864,331766.60294678085,0.0,0.0,59825.49997822862,117595.27924128083,57769.779263052216
86.0,222212.83243,329151.24965592375,394567.60627816943,0.0,0.0,106938.41722592374,172354.77384816943,65416.35662224569
98.0,241270.9630375,394567.60627816943,413882.44163516944,0.0,0.0,153296.64324066942,172611.47859766943,19314.835357000004
106.0,256869.6328165,413882.44163516944,413886.9182571694,0.0,0.0,157012.80881866944,157017.28544066942,4.476621999987401
107.0,260030.434916,413886.9182571694,413902.03389616945,0.0,0.0,153856.48334116943,153871.59898016945,15.115639000025112
118.0,275937.0101835,275975.545216832,459642.9996318271,0.0,0.0,38.535033332009334,183705.9894483271,183667.4544149951
164.0,364006.7339855,459642.9996318271,459704.24994102004,0.0,0.0,95636.26564632711,95697.51595552004,61.25030919292476
166.0,366371.3211685,459704.24994102004,459778.5596045403,0.0,0.0,93332.92877252004,93407.2384360403,74.3096635202528
64.0,156095.2670315,331766.60294678085,459872.1637146433,0.0,0.0,175671.33591528086,303776.8966831433,128105.56076786242
171.0,382606.690195,459778.5596045403,465376.3623465403,0.0,0.0,77171.86940954032,82769.67215154035,5597.802742000029
