cores,time,running_job_len
2.0,0.0,1.0
4.0,386.5672435,2.0
2.0,457.5307985,1.0
5.0,632.9426085,2.0
19.0,1139.3000695,3.0
42.0,2043.3216929999999,4.0
29.0,2074.3390919999997,3.0
37.0,2524.3382875,4.0
29.0,2531.5140195000004,3.0
39.0,6122.708369,4.0
29.0,6554.435232,3.0
48.0,8027.1729925,4.0
29.0,8037.0971435,3.0
27.0,8497.339534,2.0
20.0,9519.945772523206,1.0
23.0,10464.5994025,2.0
36.0,11991.845183,3.0
29.0,12263.229992197963,2.0
20.0,12751.603810999999,1.0
22.0,15458.831994,2.0
28.0,16191.476253499999,3.0
35.0,20471.2692815,4.0
64.0,21234.99521,5.0
39.0,21269.786046,4.0
32.0,21598.301309715134,3.0
35.0,23879.41548,4.0
67.0,23959.618651499997,5.0
39.0,23967.9899475,4.0
84.0,25087.989262,5.0
85.0,33504.67541128425,5.0
82.0,34085.43420328425,4.0
85.0,37203.771804,5.0
83.0,38395.554355,4.0
85.0,54751.55222852149,9.0
81.0,54762.982931613595,8.0
74.0,54791.74611852149,7.0
67.0,54847.205197576055,6.0
85.0,55290.722086,7.0
82.0,56198.230034,6.0
85.0,62454.002514499996,7.0
83.0,65347.66323417908,6.0
78.0,69642.35058210063,5.0
85.0,69699.8862965,6.0
80.0,69993.9963465,5.0
60.0,73091.70643401366,4.0
85.0,73963.9635345,5.0
79.0,80116.1596705,4.0
85.0,80118.24905273633,6.0
82.0,80152.2949145,5.0
79.0,81179.38145237765,4.0
85.0,87048.32341042525,6.0
80.0,88194.971861,5.0
85.0,89689.11793874824,5.0
45.0,100360.95945482721,4.0
85.0,100361.57256603314,6.0
83.0,101022.14919603313,5.0
85.0,112122.32301779505,7.0
83.0,243966.24672474404,6.0
85.0,243967.10788238226,9.0
83.0,245246.84281074404,8.0
85.0,245247.2790371897,10.0
85.0,245344.32182174403,10.0
85.0,245494.04909684713,10.0
85.0,245502.33655184714,10.0
85.0,246291.13454021642,10.0
85.0,246297.45204138226,10.0
85.0,246322.11543421642,10.0
85.0,246652.58687921643,10.0
85.0,246809.89164421643,10.0
85.0,246839.4450569827,10.0
85.0,248429.22270284715,10.0
85.0,263194.5084805693,10.0
85.0,263935.96306518436,10.0
85.0,267928.4793441897,10.0
85.0,307060.9187806107,10.0
85.0,311751.2154828183,13.0
81.0,311755.86362581834,12.0
85.0,311756.8887616264,14.0
81.0,311757.2072088183,13.0
85.0,311758.00365757855,15.0
85.0,311836.53270557855,15.0
85.0,311837.12088509736,15.0
85.0,311905.7353653904,15.0
85.0,312114.7971227923,15.0
85.0,314460.4242375785,15.0
85.0,314508.7710755785,15.0
85.0,316947.48082879226,15.0
85.0,318337.0869970076,15.0
85.0,329702.75949379225,15.0
85.0,332506.7516944346,15.0
85.0,332521.86733343464,15.0
85.0,336965.63188579225,15.0
85.0,337985.18552779226,15.0
83.0,338032.3871567923,14.0
85.0,363097.631186,15.0
85.0,369562.1071288686,15.0
85.0,369566.58375086857,15.0
85.0,373865.7753057771,15.0
85.0,373891.9069587771,15.0
85.0,374107.4810917771,15.0
85.0,374840.0920263563,15.0
81.0,375141.9033985586,14.0
85.0,375142.32934172347,16.0
85.0,375183.68951172347,16.0
85.0,375211.37952103117,16.0
85.0,375370.5369735586,16.0
82.0,375420.7388275586,15.0
85.0,377156.79499269597,15.0
85.0,498551.9362796047,15.0
85.0,504149.73902160465,15.0
85.0,504800.4929248815,15.0
85.0,504982.30015904596,15.0
85.0,504988.89403704595,15.0
85.0,506809.72040160466,15.0
85.0,506870.58722972183,15.0
85.0,507015.30623550806,15.0
83.0,507130.89792750805,14.0
85.0,512930.04154874315,14.0
85.0,583624.6197548108,14.0
83.0,604481.5541353823,13.0
85.0,677216.4072728958,13.0
85.0,709138.796877297,13.0
85.0,715612.4751167345,13.0
83.0,858700.445537,12.0
85.0,862083.1025999845,12.0
85.0,862091.4488922232,12.0
78.0,867182.1761812231,11.0
85.0,867182.4252432735,13.0
85.0,869059.3424332734,13.0
85.0,872018.6945198792,13.0
85.0,873248.5569004635,13.0
85.0,964324.6850813217,14.0
85.0,965279.4908358273,15.0
85.0,965464.2970868273,15.0
80.0,966676.8112418273,14.0
85.0,966677.5261926386,16.0
81.0,967216.2722138732,15.0
85.0,984717.189981432,15.0
85.0,1013543.6005863218,15.0
82.0,1052771.6522137956,14.0
85.0,1410609.8476658214,14.0
82.0,1411968.1679424657,13.0
85.0,1480307.8912831184,13.0
85.0,1480632.3896152796,13.0
85.0,1480711.9991142424,13.0
72.0,1583148.2104452425,12.0
85.0,1583148.941220132,14.0
78.0,1583154.2978301318,13.0
85.0,1583156.3752323873,13.0
85.0,1583220.0233248295,13.0
78.0,1751355.1899410323,12.0
85.0,1944702.6102202232,12.0
85.0,1997918.4541757794,12.0
85.0,2034272.046310237,12.0
85.0,2096327.7783188273,12.0
85.0,2331927.2544498374,12.0
82.0,2361823.4289051914,11.0
85.0,2430015.2743622153,11.0
80.0,2465497.1673706803,10.0
85.0,2576924.9819542104,10.0
85.0,2596189.074236229,10.0
85.0,2893062.6487119333,10.0
85.0,2893070.6688222694,10.0
85.0,2893250.5442465665,10.0
85.0,2893453.7776135663,10.0
85.0,3012556.1816103924,10.0
85.0,3030090.1069167275,10.0
77.0,3088715.6832297277,9.0
85.0,3114536.869806546,9.0
85.0,3114853.658400165,9.0
85.0,3118288.1674671546,9.0
85.0,3135913.691894102,9.0
76.0,3152923.8403492114,8.0
85.0,3279959.1312546064,8.0
85.0,3305788.34906716,8.0
85.0,3306227.075487926,8.0
77.0,3613543.6803111974,7.0
85.0,3615526.977572213,7.0
85.0,3615746.769349914,7.0
80.0,3646517.1175023364,6.0
85.0,3842258.07383696,6.0
85.0,3842526.713871504,6.0
