cores,time,running_job_len
2.0,0.0,1.0
4.0,386.5672435,2.0
2.0,457.5307985,1.0
5.0,632.9426085,2.0
15.0,1139.3000695,3.0
28.0,2043.3216929999999,4.0
15.0,2074.3390919999997,3.0
23.0,2524.3382875,4.0
15.0,2531.5140195000004,3.0
25.0,6122.708369,4.0
15.0,6554.435232,3.0
34.0,8027.1729925,4.0
15.0,8037.0971435,3.0
13.0,8497.339534,2.0
16.0,10464.5994025,3.0
25.0,11991.845183,4.0
22.0,12580.4520885,3.0
13.0,12751.603810999999,2.0
15.0,15458.831994,3.0
18.0,16191.476253499999,4.0
15.0,18642.042743500002,3.0
18.0,20471.2692815,4.0
44.0,21234.99521,5.0
20.0,21269.786046,4.0
15.0,21732.610147980027,3.0
18.0,23879.41548,4.0
50.0,23959.618651499997,5.0
22.0,23979.89801041837,4.0
67.0,25087.989262,5.0
70.0,32303.8567105,6.0
67.0,32884.6155025,5.0
69.0,37203.771804,6.0
73.0,37976.807626999995,7.0
69.0,37992.598,6.0
67.0,38395.554355,5.0
72.0,44591.3118095,6.0
79.0,45253.0859225,7.0
72.0,45350.7127215,6.0
79.0,46523.763136,7.0
72.0,46563.957026000004,6.0
69.0,48418.9223555,5.0
72.0,54746.84387999999,6.0
75.0,55290.722086,7.0
72.0,56198.230034,6.0
69.0,61906.40252899999,5.0
73.0,62454.002514499996,6.0
78.0,69699.8862965,7.0
73.0,69993.9963465,6.0
79.0,73963.9635345,7.0
75.0,76713.8292345,6.0
78.0,77765.0282785,7.0
75.0,77801.1635225,6.0
69.0,80116.1596705,5.0
82.0,86105.52224800001,6.0
85.0,87047.58244099999,7.0
82.0,88908.93619125416,6.0
84.0,98223.06499099999,7.0
85.0,98661.772425,7.0
83.0,98883.64162099999,6.0
37.0,107929.246952,5.0
85.0,107929.60899453262,7.0
85.0,108531.10687658262,7.0
85.0,108776.0511146742,7.0
77.0,109047.88371346032,6.0
85.0,109161.97754549999,7.0
77.0,109263.55058849999,6.0
85.0,112121.370451,7.0
85.0,124344.52826749999,9.0
81.0,124350.51999349998,8.0
79.0,125625.1243535,7.0
85.0,125864.7249275312,9.0
82.0,125872.161949,8.0
85.0,126565.55367850001,9.0
83.0,126663.03268950002,8.0
81.0,126674.87242649999,7.0
85.0,130286.12877953121,7.0
83.0,139440.104668,6.0
85.0,139440.2693240058,8.0
85.0,139701.6065502958,8.0
81.0,140039.81411434582,7.0
85.0,143805.3931325,8.0
85.0,146732.27928350001,8.0
85.0,146744.67164110002,8.0
85.0,146749.7564966177,8.0
85.0,146752.45776289038,8.0
81.0,146756.3449509413,7.0
79.0,150035.81942075587,6.0
85.0,152396.3403435,7.0
83.0,162121.304975,6.0
85.0,165879.9847375,7.0
85.0,166015.47802995,7.0
85.0,166068.51120435432,7.0
85.0,166093.38408768567,7.0
80.0,166123.08845067883,6.0
85.0,172135.993353,7.0
83.0,172293.298118,6.0
85.0,177756.50978740244,8.0
85.0,177761.15793040243,8.0
82.0,177781.15641540242,7.0
85.0,196451.0011788521,7.0
85.0,214211.9069580521,7.0
85.0,221627.84727264012,7.0
85.0,226188.65056611176,7.0
85.0,232751.75774452212,7.0
85.0,270260.77616,9.0
85.0,270760.864508,9.0
80.0,290653.94876194006,8.0
85.0,290654.4922225467,10.0
85.0,290685.90384174674,10.0
85.0,290698.4102551497,10.0
85.0,290706.10169939254,10.0
85.0,290717.16987525416,10.0
85.0,290732.2855142542,10.0
85.0,293356.17704625416,10.0
85.0,298188.86075225414,10.0
83.0,298237.20759025414,9.0
85.0,305807.076172,10.0
85.0,316138.4696993737,10.0
85.0,318562.35483699996,10.0
83.0,318643.12143477134,9.0
85.0,320059.38750149996,10.0
83.0,321078.9411435,9.0
85.0,323931.593404,10.0
83.0,323978.795033,9.0
85.0,325825.22722899995,9.0
85.0,325829.70385099994,9.0
80.0,382617.15770549997,8.0
85.0,382617.82875619107,10.0
85.0,382643.2893585,10.0
85.0,382858.8634915,10.0
85.0,383087.49706649996,10.0
85.0,383128.85723649996,10.0
85.0,383179.05909049994,10.0
85.0,388776.86183249997,10.0
85.0,389840.85438449995,10.0
85.0,390283.2709679184,10.0
85.0,390477.5852544808,10.0
85.0,390769.05668432434,10.0
81.0,390790.0654963243,9.0
85.0,404501.988775,10.0
85.0,404518.42719899997,10.0
85.0,404526.2419583774,10.0
85.0,404530.8526664101,10.0
81.0,404537.4875877254,9.0
85.0,406795.910686,10.0
85.0,406835.86131765,10.0
85.0,406853.9670434346,10.0
81.0,406880.0216244417,9.0
85.0,422565.97967150004,10.0
85.0,424442.89686150005,10.0
83.0,424558.48855350004,9.0
85.0,440250.7106653737,9.0
85.0,500472.600901,9.0
83.0,510580.4424375,8.0
83.0,512899.6505052,8.0
85.0,624548.8545431271,8.0
85.0,658482.97511232,8.0
85.0,624607.7148051271,8.0
85.0,745832.969876592,8.0
85.0,669329.9695381271,8.0
85.0,798242.9667351552,8.0
85.0,876857.962023,9.0
83.0,878220.6431071911,8.0
85.0,885648.01089,10.0
85.0,919817.7750391271,10.0
85.0,919824.3689171271,10.0
85.0,922759.5268401272,10.0
85.0,923260.3148561271,10.0
85.0,923467.1082021272,10.0
85.0,924276.3551509272,10.0
85.0,924653.4382282232,10.0
85.0,925219.0628441672,10.0
85.0,973473.818218,10.0
85.0,973598.980814,10.0
77.0,980130.9748550819,9.0
85.0,980131.2762910676,11.0
85.0,1138721.8618420677,11.0
82.0,1139024.0114035856,10.0
85.0,1144117.805137,10.0
85.0,1146154.0960526,10.0
85.0,1149208.532426,10.0
85.0,1150052.5518860002,10.0
85.0,1261334.4162625312,10.0
76.0,1341953.590185,9.0
85.0,1341953.7743059045,11.0
85.0,1359844.5894368452,11.0
85.0,1409063.504941845,11.0
