id,Arrival,Start,Completion,No_of_expansion,No_of_shrinkage,Wait_time,Turn_around_time,Exe_time
2.0,386.5672435,386.5672435,457.5307985,0.0,0.0,0.0,70.96355499999999,70.96355499999999
5.0,2043.3216929999999,2043.3216929999999,2074.3390919999997,0.0,0.0,0.0,31.01739899999984,31.01739899999984
6.0,2524.3382875,2524.3382875,2537.5454725391155,1.0,1.0,0.0,13.207185039115302,13.207185039115302
7.0,6122.708369,6122.708369,6554.435232,0.0,0.0,0.0,431.72686299999987,431.72686299999987
8.0,8027.1729925,8027.1729925,8037.0971435,0.0,0.0,0.0,9.924151000000165,9.924151000000165
1.0,0.0,0.0,8497.339534,0.0,0.0,0.0,8497.339534,8497.339534
3.0,632.9426085,632.9426085,9402.714488513186,1.0,0.0,0.0,8769.771880013186,8769.771880013186
9.0,10464.5994025,10464.5994025,12580.4520885,0.0,0.0,0.0,2115.852686,2115.852686
10.0,11991.845183,11991.845183,12751.603810999999,0.0,0.0,0.0,759.7586279999996,759.7586279999996
14.0,21234.99521,21234.99521,21269.786046,0.0,0.0,0.0,34.79083600000013,34.79083600000013
13.0,20471.2692815,20471.2692815,21612.418140323483,1.0,0.0,0.0,1141.1488588234824,1141.1488588234824
16.0,23959.618651499997,23959.618651499997,23967.9899475,0.0,0.0,0.0,8.371296000001166,8.371296000001166
18.0,32303.8567105,32303.8567105,32884.6155025,0.0,0.0,0.0,580.7587919999969,580.7587919999969
20.0,37976.807626999995,37976.807626999995,37992.598,0.0,0.0,0.0,15.790373000003456,15.790373000003456
19.0,37203.771804,37203.771804,38395.554355,0.0,0.0,0.0,1191.7825509999966,1191.7825509999966
22.0,45253.0859225,45253.0859225,45350.7127215,0.0,0.0,0.0,97.62679899999785,97.62679899999785
23.0,46523.763136,46523.763136,46563.957026000004,0.0,0.0,0.0,40.193890000002284,40.193890000002284
12.0,16191.476253499999,16191.476253499999,48418.9223555,0.0,0.0,0.0,32227.446102,32227.446102
25.0,55290.722086,55290.722086,56198.230034,0.0,0.0,0.0,907.5079479999986,907.5079479999986
24.0,54746.84387999999,54746.84387999999,61906.40252899999,0.0,0.0,0.0,7159.558648999999,7159.558648999999
29.0,69699.8862965,69699.8862965,69993.9963465,0.0,0.0,0.0,294.11005000000296,294.11005000000296
28.0,62454.002514499996,62454.002514499996,76713.8292345,0.0,0.0,0.0,14259.826719999997,14259.826719999997
31.0,77765.0282785,77765.0282785,77801.1635225,0.0,0.0,0.0,36.135244000004604,36.135244000004604
4.0,1139.3000695,1139.3000695,78895.17715942193,1.0,0.0,0.0,77755.87708992194,77755.87708992194
30.0,73963.9635345,73963.9635345,80116.1596705,0.0,0.0,0.0,6152.196135999999,6152.196135999999
26.0,57576.331130499995,80116.1596705,91926.29397490011,0.0,0.0,22539.828540000002,34349.962844400114,11810.134304400111
33.0,87047.58244099999,91926.29397490011,92916.03922477033,3.0,1.0,4878.7115339001175,5868.456783770336,989.7452498702187
17.0,25087.989262,25087.989262,98661.772425,0.0,0.0,0.0,73573.783163,73573.783163
37.0,98223.06499099999,98223.06499099999,98757.28579798467,1.0,0.0,0.0,534.220806984682,534.220806984682
39.0,105973.978263,105973.978263,107441.04626799999,0.0,0.0,0.0,1467.0680049999937,1467.0680049999937
41.0,108800.68772550001,108800.68772550001,113222.09157750002,0.0,0.0,0.0,4421.403852000003,4421.403852000003
42.0,109161.97754549999,113222.09157750002,113322.0971386915,1.0,1.0,4060.114032000027,4160.119593191514,100.00556119148678
46.0,117081.265053,117081.265053,117087.25677899999,0.0,0.0,0.0,5.991725999992923,5.991725999992923
47.0,124196.8878685,124196.8878685,125477.4839545,0.0,0.0,0.0,1280.596086000005,1280.596086000005
50.0,125863.874494,125863.874494,125872.161949,0.0,0.0,0.0,8.287454999997863,8.287454999997863
48.0,124257.4206155,124257.4206155,126587.7647745,0.0,0.0,0.0,2330.344159,2330.344159
51.0,126565.55367850001,126565.55367850001,126663.03268950002,0.0,0.0,0.0,97.47901100000308,97.47901100000308
11.0,15458.831994,15458.831994,139440.104668,0.0,0.0,0.0,123981.272674,123981.272674
60.0,145671.504785,145671.504785,145702.485679,0.0,0.0,0.0,30.980894000007538,30.980894000007538
53.0,132566.3531295,132566.3531295,155247.5534365,0.0,0.0,0.0,22681.200306999992,22681.200306999992
44.0,112121.370451,112121.370451,207918.6040523662,2.0,2.0,0.0,95797.2336013662,95797.2336013662
56.0,136697.2316635,207918.6040523662,208556.01192136618,0.0,0.0,71221.3723888662,71858.7802578662,637.4078689999878
15.0,23879.41548,23879.41548,210840.37970603147,2.0,0.0,0.0,186960.96422603147,186960.96422603147
69.0,172135.993353,210840.37970603147,210997.68447103148,0.0,0.0,38704.38635303147,38861.69111803148,157.30476500000805
67.0,165879.9847375,210840.37970603147,211170.85115103147,0.0,0.0,44960.39496853147,45290.866413531476,330.47144500000286
70.0,173593.4665875,211170.85115103147,211175.49929403147,0.0,0.0,37577.384563531465,37582.03270653146,4.648142999998527
71.0,176900.4311385,211175.49929403147,211195.49777903146,0.0,0.0,34275.06815553148,34295.06664053147,19.99848499998916
59.0,143805.3931325,208556.01192136618,211482.8980723662,0.0,0.0,64750.61878886618,67677.5049398662,2926.8861510000133
88.0,225641.127096,225641.127096,226141.215444,0.0,0.0,0.0,500.0883479999902,500.0883479999902
27.0,59390.06126,98661.772425,260993.301633,0.0,0.0,39271.711165,201603.24037299998,162331.529208
89.0,231299.6018885,231299.6018885,263877.6601565,0.0,0.0,0.0,32578.058267999993,32578.058267999993
101.0,246976.854631,263879.3580215328,263957.8870695328,0.0,0.0,16902.50339053283,16981.032438532828,78.52904799999669
108.0,260057.135344,263957.8870695328,266581.7786015328,0.0,0.0,3900.751725532813,6524.643257532793,2623.8915319999796
109.0,263425.645857,266581.7786015328,271414.4623075328,0.0,0.0,3156.132744532777,7988.816450532759,4832.683705999982
115.0,271382.30489,271414.4623075328,271453.9839471059,1.0,0.0,32.15741753275506,71.67905710585183,39.52163957309676
107.0,260030.434916,271453.9839471059,271469.0995861059,0.0,0.0,11423.549031105882,11438.664670105907,15.115639000025112
98.0,241270.9630375,263877.6601565,289234.81782660197,0.0,0.0,22606.69711899999,47963.854789101955,25357.157670101966
76.0,190374.161797,260993.301633,305395.566081,0.0,0.0,70619.13983599999,115021.40428400002,44402.26444800003
65.0,162424.1941165,305395.566081,305454.426343,0.0,0.0,142971.37196450002,143030.23222650003,58.86026200000197
84.0,214171.32370550002,305454.426343,347809.360187,0.0,0.0,91283.10263750001,133638.0364815,42354.933843999985
21.0,44591.3118095,44591.3118095,382617.15770549997,0.0,0.0,0.0,338025.845896,338025.845896
106.0,256869.6328165,382617.15770549997,382621.63432749995,0.0,0.0,125747.52488899996,125752.00151099995,4.476621999987401
86.0,222212.83243,347809.360187,392531.61492,0.0,0.0,125596.527757,170318.78249,44722.25473300001
131.0,305807.076172,382617.24577598035,395372.52444098034,0.0,0.0,76810.16960398038,89565.44826898037,12755.27866499999
118.0,275937.0101835,275937.0101835,400049.2511495,0.0,0.0,0.0,124112.24096600001,124112.24096600001
134.0,307913.52023049997,400049.2511495,400277.8847245,0.0,0.0,92135.73091900005,92364.36449400004,228.63357499998529
141.0,320059.38750149996,400277.8847245,401297.4383665,0.0,0.0,80218.49722300004,81238.05086500006,1019.5536420000135
143.0,323931.593404,401297.4383665,401336.062376357,1.0,0.0,77365.84496250004,77404.46897235699,38.62400985695422
135.0,308306.03253200004,395372.52444098034,402635.39683298033,0.0,0.0,87066.4919089803,94329.36430098029,7262.87239199999
171.0,382606.690195,402635.39683298033,408233.1995749803,0.0,0.0,20028.70663798036,25626.50937998033,5597.802741999971
172.0,387732.8104775,408233.1995749803,410385.08718378557,1.0,0.0,20500.389097480278,22652.276706285542,2151.887608805264
164.0,364006.7339855,410385.08718378557,410426.44735378557,0.0,0.0,46378.353198285564,46419.713368285564,41.360169999999925
166.0,366371.3211685,410426.44735378557,410476.64920778555,0.0,0.0,44055.12618528557,44105.32803928555,50.20185399998445
178.0,404501.988775,410476.64920778555,410517.74526778556,0.0,0.0,5974.660432785575,6015.756492785586,41.096060000010766
