cores,time,running_job_len
2.0,0.0,1.0
7.0,386.5672435,2.0
5.0,457.5307985,1.0
8.0,632.9426085,2.0
22.0,1139.3000695,3.0
45.0,2043.3216929999999,4.0
32.0,2074.3390919999997,3.0
40.0,2524.3382875,4.0
32.0,2531.5140195000004,3.0
27.0,3930.6195080495327,2.0
37.0,6122.708369,3.0
27.0,6554.435232,2.0
46.0,8027.1729925,3.0
27.0,8037.0971435,2.0
20.0,9180.355897982708,1.0
23.0,10464.5994025,2.0
36.0,11991.845183,3.0
29.0,12271.318422827562,2.0
20.0,12751.603810999999,1.0
22.0,15458.831994,2.0
28.0,16191.476253499999,3.0
35.0,20471.2692815,4.0
64.0,21234.99521,5.0
39.0,21269.786046,4.0
32.0,21614.643449019248,3.0
35.0,23879.41548,4.0
67.0,23959.618651499997,5.0
39.0,23967.9899475,4.0
84.0,25087.989262,5.0
85.0,33308.06846042837,5.0
82.0,33888.82725242837,4.0
85.0,37203.771804,5.0
83.0,38395.554355,4.0
85.0,54752.458669671236,9.0
81.0,54763.16301794822,8.0
74.0,54792.65255967124,7.0
67.0,54847.87453421919,6.0
85.0,55290.722086,7.0
82.0,56198.230034,6.0
85.0,62454.002514499996,7.0
83.0,65374.12310621771,6.0
78.0,68912.64234449215,5.0
85.0,69699.8862965,6.0
80.0,69993.9963465,5.0
85.0,73963.9635345,6.0
85.0,81138.76659540186,6.0
82.0,81174.90183940186,5.0
79.0,81198.1437202669,4.0
75.0,83037.44302590011,3.0
85.0,86106.11044818848,5.0
58.0,103844.55058491883,4.0
85.0,103844.90374036915,7.0
83.0,104505.48037036914,6.0
78.0,104991.94000491884,5.0
85.0,105974.27938590539,7.0
81.0,107441.04626799999,6.0
85.0,112121.73472936453,8.0
85.0,112223.30777236453,8.0
85.0,116452.42312842587,8.0
85.0,117371.25723365953,8.0
81.0,117377.24895965953,7.0
74.0,118776.18984177362,6.0
85.0,124196.8878685,7.0
85.0,125477.4839545,7.0
83.0,127807.8281135,6.0
85.0,127809.15573093425,9.0
83.0,127820.12822551819,8.0
81.0,127906.63474193425,7.0
85.0,132566.3531295,8.0
83.0,155247.5534365,7.0
85.0,155250.28724777247,10.0
83.0,155281.26814177248,9.0
85.0,155281.71877933282,11.0
83.0,156191.67560147907,10.0
81.0,159629.42150755954,9.0
85.0,165880.22737630352,11.0
85.0,165939.08763830352,11.0
83.0,166210.4561825,10.0
85.0,172135.993353,11.0
83.0,172293.298118,10.0
85.0,176900.4311385,11.0
83.0,176930.1369933169,10.0
85.0,177756.3057805,11.0
85.0,220699.65978641494,12.0
85.0,220704.30792941494,12.0
83.0,222730.78169608724,11.0
85.0,225641.127096,12.0
83.0,226383.48715574993,11.0
85.0,231299.6018885,12.0
83.0,233433.3321291344,11.0
85.0,233583.57535199999,12.0
85.0,265106.5723774149,12.0
85.0,279473.53126177075,12.0
85.0,279552.06030977075,12.0
85.0,279574.44836098386,12.0
85.0,282198.33989298384,12.0
85.0,287031.0235989838,12.0
85.0,287079.3704369838,12.0
85.0,287880.3604335082,12.0
85.0,299879.6938780189,13.0
85.0,330948.1490116019,13.0
85.0,350262.98436860193,13.0
85.0,350272.6236994842,13.0
85.0,350277.1003214842,13.0
85.0,354592.0004894413,13.0
85.0,471285.45194082014,13.0
85.0,484040.73060582014,13.0
85.0,484380.41260135506,13.0
85.0,491643.28499335505,13.0
85.0,492662.83863535506,13.0
85.0,492710.0402643551,13.0
85.0,513465.82087333285,13.0
85.0,513527.0052524307,13.0
85.0,513601.66907951597,13.0
85.0,519199.47182151594,13.0
85.0,521859.45320151595,13.0
85.0,521920.19829144573,13.0
85.0,522064.5708389115,13.0
83.0,522180.1625309115,12.0
85.0,585333.1882830563,12.0
85.0,643207.3559999625,12.0
85.0,668198.3957134073,12.0
85.0,668224.5273664073,12.0
85.0,668440.1014994073,12.0
85.0,669170.4996056127,12.0
85.0,669473.695999665,12.0
77.0,711464.9267677647,11.0
85.0,711465.7736364923,13.0
85.0,711486.7824484924,13.0
85.0,714453.5433103105,13.0
85.0,715685.7849379501,13.0
85.0,822665.2542056934,13.0
85.0,822845.2337851207,13.0
85.0,830700.8877236935,13.0
85.0,838124.4096342673,13.0
85.0,838444.8489457566,13.0
80.0,845437.0289106052,12.0
85.0,845437.7445531625,14.0
85.0,847314.6617431624,14.0
85.0,917936.080498007,14.0
83.0,988312.8546153551,13.0
85.0,1015153.1137620371,13.0
85.0,1076526.666049007,13.0
85.0,1076827.4460847497,13.0
85.0,1078791.3082760994,13.0
85.0,1115073.3835341472,13.0
85.0,1159162.3931921471,13.0
85.0,1159384.756467147,14.0
85.0,1159467.1949827366,14.0
85.0,1159530.7677150785,14.0
85.0,1316256.9079168504,14.0
82.0,1318393.6026604862,13.0
85.0,1322717.7814128925,13.0
85.0,1500482.4107664586,13.0
85.0,1500490.8468400026,13.0
75.0,1745277.3931549718,12.0
85.0,1745277.6241386174,14.0
85.0,1745285.7601130784,14.0
85.0,1745654.2986490785,14.0
85.0,1803903.2004516174,14.0
85.0,1920800.8825889025,14.0
85.0,1938377.9285891876,14.0
85.0,1938457.0396879434,14.0
78.0,1938462.3962979433,13.0
85.0,2032269.107598055,13.0
85.0,2134762.262620951,13.0
85.0,2170985.1706365542,13.0
82.0,2422091.2477014,12.0
85.0,2464658.443991263,12.0
85.0,2594791.8280342245,12.0
77.0,2692909.068993002,11.0
85.0,2707396.2554509845,11.0
85.0,2707576.170130048,11.0
85.0,2707889.950271131,11.0
85.0,2711423.4279149184,11.0
85.0,2729475.6006531566,11.0
76.0,2746223.606236507,10.0
85.0,2775879.9358280706,10.0
82.0,2957731.4919366846,9.0
75.0,3115726.0865500933,8.0
85.0,3174884.0490696705,8.0
85.0,3175004.8783726087,8.0
85.0,3176111.459048927,8.0
85.0,3176119.9824591815,8.0
73.0,3176133.067025147,7.0
85.0,3223557.519274897,7.0
85.0,3223770.2542129518,7.0
85.0,3242861.9572081794,7.0
85.0,3603531.4476440055,7.0
85.0,3603539.3722577523,7.0
85.0,3628360.1184573714,7.0
85.0,3628799.9060193845,7.0
85.0,3906215.1146006957,7.0
85.0,3949953.692604834,7.0
72.0,4073090.2686433815,6.0
85.0,4190651.32616642,6.0
80.0,4395805.395374605,5.0
85.0,4403343.758746132,5.0
85.0,4403350.229114373,5.0
85.0,4403370.972852545,5.0
62.0,4403920.335245467,4.0
85.0,4403921.544843794,6.0
85.0,4403935.016536794,6.0
85.0,4404190.961615617,6.0
73.0,4523470.667018306,5.0
85.0,4556534.931507253,5.0
85.0,4586619.661026834,5.0
75.0,4618097.713420726,4.0
85.0,4777316.09500598,4.0
85.0,4801379.585816726,4.0
85.0,5030298.832943747,4.0
85.0,5088734.879368357,4.0
85.0,5089144.996938741,4.0
85.0,5089178.630036668,4.0
85.0,5122855.263114435,4.0
85.0,5122921.269088968,4.0
85.0,5132936.746190309,4.0
85.0,5132984.157681722,4.0
85.0,5161288.82447504,4.0
85.0,5166045.675602329,4.0
85.0,5166138.904515521,4.0
85.0,5169806.475260136,4.0
85.0,5171568.521928905,4.0
85.0,5420718.787594113,4.0
71.0,5420727.026992128,3.0
85.0,5447933.704212573,3.0
85.0,5448357.444773434,3.0
65.0,5449219.3189949645,2.0
85.0,6291997.968840933,2.0
85.0,6292016.972506934,2.0
85.0,6518800.508164418,2.0
85.0,6523236.341784975,2.0
85.0,6807881.817629913,2.0
85.0,6810207.137669476,2.0
85.0,7759995.319919013,2.0
85.0,7776727.707666013,2.0
85.0,7789593.7634500135,2.0
85.0,7789597.157143014,2.0
85.0,7789646.945919014,2.0
49.0,7789805.341757865,1.0
61.0,10147380.537996728,1.0
0.0,10150052.394961728,0.0
0.0,10150816.748872727,0.0
