id,Arrival,Start,Completion,No_of_expansion,No_of_shrinkage,Wait_time,Turn_around_time,Exe_time
2.0,386.5672435,386.5672435,457.5307985,0.0,0.0,0.0,70.96355499999999,70.96355499999999
5.0,2043.3216929999999,2043.3216929999999,2074.3390919999997,0.0,0.0,0.0,31.01739899999984,31.01739899999984
6.0,2524.3382875,2524.3382875,2531.5140195000004,0.0,0.0,0.0,7.175732000000153,7.175732000000153
7.0,6122.708369,6122.708369,6554.435232,0.0,0.0,0.0,431.72686299999987,431.72686299999987
8.0,8027.1729925,8027.1729925,8037.0971435,0.0,0.0,0.0,9.924151000000165,9.924151000000165
1.0,0.0,0.0,8497.339534,0.0,0.0,0.0,8497.339534,8497.339534
3.0,632.9426085,632.9426085,9519.945772523206,1.0,0.0,0.0,8887.003164023206,8887.003164023206
9.0,10464.5994025,10464.5994025,12263.229992197963,1.0,0.0,0.0,1798.630589697963,1798.630589697963
10.0,11991.845183,11991.845183,12751.603810999999,0.0,0.0,0.0,759.7586279999996,759.7586279999996
14.0,21234.99521,21234.99521,21269.786046,0.0,0.0,0.0,34.79083600000013,34.79083600000013
13.0,20471.2692815,20471.2692815,21598.301309715134,1.0,0.0,0.0,1127.0320282151333,1127.0320282151333
16.0,23959.618651499997,23959.618651499997,23967.9899475,0.0,0.0,0.0,8.371296000001166,8.371296000001166
12.0,16191.476253499999,16191.476253499999,33504.67541128425,1.0,0.0,0.0,17313.19915778425,17313.19915778425
18.0,32303.8567105,33504.67541128425,34085.43420328425,0.0,0.0,1200.8187007842462,1781.5774927842467,580.7587920000005
19.0,37203.771804,37203.771804,38395.554355,0.0,0.0,0.0,1191.7825509999966,1191.7825509999966
20.0,37976.807626999995,54747.19255861359,54762.982931613595,0.0,0.0,16770.384931613597,16786.1753046136,15.790373000003456
23.0,46523.763136,54751.55222852149,54791.74611852149,0.0,0.0,8227.789092521489,8267.982982521491,40.193890000002284
22.0,45253.0859225,54749.57839857606,54847.205197576055,0.0,0.0,9496.492476076055,9594.119275076053,97.62679899999785
25.0,55290.722086,55290.722086,56198.230034,0.0,0.0,0.0,907.5079479999986,907.5079479999986
24.0,54746.84387999999,54746.84387999999,65347.66323417908,0.0,0.0,0.0,10600.81935417909,10600.81935417909
11.0,15458.831994,15458.831994,69642.35058210063,1.0,0.0,0.0,54183.518588100625,54183.518588100625
29.0,69699.8862965,69699.8862965,69993.9963465,0.0,0.0,0.0,294.11005000000296,294.11005000000296
31.0,77765.0282785,77765.0282785,77801.1635225,0.0,0.0,0.0,36.135244000004604,36.135244000004604
4.0,1139.3000695,1139.3000695,80255.96921883275,1.0,1.0,0.0,79116.66914933275,79116.66914933275
28.0,62454.002514499996,62454.002514499996,81179.38145237765,0.0,0.0,0.0,18725.378937877656,18725.378937877656
30.0,73963.9635345,77765.47727661801,83917.67341261801,0.0,0.0,3801.5137421180116,9953.70987811801,6152.196135999999
17.0,25087.989262,25087.989262,96018.15397285353,5.0,4.0,0.0,70930.16471085353,70930.16471085353
33.0,87047.58244099999,96018.15397285353,97165.54339285353,0.0,0.0,8970.571531853537,10117.960951853544,1147.3894200000068
37.0,98223.06499099999,98223.06499099999,98883.64162099999,0.0,0.0,0.0,660.5766299999959,660.5766299999959
26.0,57576.331130499995,96018.15397285353,107151.943490686,0.0,1.0,38441.82284235353,49575.612360186,11133.789517832469
39.0,105973.978263,107151.943490686,109086.73124392015,0.0,0.0,1177.9652276859997,3112.7529809201515,1934.7877532341518
41.0,108800.68772550001,112121.72360645031,116543.12745845031,0.0,0.0,3321.035880950294,7742.439732950297,4421.403852000003
42.0,109161.97754549999,116543.12745845031,116644.70050145031,0.0,0.0,7381.149912950321,7482.722955950318,101.57304299999669
46.0,117081.265053,117081.265053,117087.25677899999,0.0,0.0,0.0,5.991725999992923,5.991725999992923
47.0,124196.8878685,124196.8878685,125477.4839545,0.0,0.0,0.0,1280.596086000005,1280.596086000005
48.0,124257.4206155,125477.4839545,127807.8281135,0.0,0.0,1220.0633390000003,3550.4074980000005,2330.344159
50.0,125863.874494,127808.90602669682,127817.19348169681,0.0,0.0,1945.031532696812,1953.31898769681,8.287454999997863
51.0,126565.55367850001,127807.8281135,127905.3071245,0.0,0.0,1242.2744349999848,1339.753445999988,97.47901100000308
53.0,132566.3531295,132566.3531295,155247.5534365,0.0,0.0,0.0,22681.200306999992,22681.200306999992
60.0,145671.504785,155249.95357532016,155280.93446932017,0.0,0.0,9578.448790320166,9609.429684320174,30.980894000007538
56.0,136697.2316635,155247.5534365,156194.04142977027,0.0,0.0,18550.321773000003,19496.80976627028,946.4879932702752
59.0,143805.3931325,155248.33876586,158175.22491686002,0.0,0.0,11442.94563336001,14369.831784360023,2926.8861510000133
65.0,162424.1941165,162424.1941165,162504.62789991437,0.0,0.0,0.0,80.43378341436619,80.43378341436619
67.0,165879.9847375,165879.9847375,166210.4561825,0.0,0.0,0.0,330.47144500000286,330.47144500000286
69.0,172135.993353,172135.993353,172293.298118,0.0,0.0,0.0,157.30476500000805,157.30476500000805
71.0,176900.4311385,176900.4311385,176929.9949712326,0.0,0.0,0.0,29.563832732615992,29.563832732615992
15.0,23879.41548,23879.41548,219702.15577443957,1.0,1.0,0.0,195822.74029443957,195822.74029443957
44.0,112121.370451,112121.370451,222755.2090276349,0.0,1.0,0.0,110633.83857663491,110633.83857663491
70.0,173593.4665875,222755.2090276349,222759.8571706349,0.0,0.0,49161.7424401349,49166.3905831349,4.648142999998527
76.0,190374.161797,222759.8571706349,267162.1216186349,0.0,0.0,32385.695373634895,76787.9598216349,44402.264448
88.0,225641.127096,267162.91806739516,267663.0064153952,0.0,0.0,41521.79097139515,42021.87931939517,500.0883480000193
89.0,231299.6018885,267663.0064153952,300241.0646833952,0.0,0.0,36363.404526895174,68941.4627948952,32578.058268000023
27.0,59390.06126,107151.943490686,309867.59518350085,0.0,0.0,47761.882230685995,250477.53392350086,202715.65169281483
86.0,222212.83243,267162.1216186349,332411.44346523803,0.0,0.0,44949.289188634895,110198.61103523802,65249.321846603125
84.0,214171.32370550002,332411.8967267364,374766.8305707364,0.0,0.0,118240.57302123637,160595.50686523636,42354.933843999985
101.0,246976.854631,374767.4284909824,374845.9575389824,0.0,0.0,127790.5738599824,127869.1029079824,78.52904799999669
108.0,260057.135344,374845.9575389824,377469.84907098237,0.0,0.0,114788.82219498238,117412.71372698236,2623.8915319999796
109.0,263425.645857,377469.84907098237,382302.53277698235,0.0,0.0,114044.20321398234,118876.88691998232,4832.683705999982
115.0,271382.30489,382302.53277698235,382350.87961498235,0.0,0.0,110920.22788698232,110968.57472498232,48.34683799999766
62.0,152396.3403435,155280.93446932017,513465.0365633202,0.0,0.0,2884.5941258201783,361068.6962198202,358184.10209400003
131.0,305807.076172,513465.0365633202,526220.3152283202,0.0,0.0,207657.96039132023,220413.23905632022,12755.27866499999
135.0,308306.03253200004,526220.3152283202,533483.1876203202,0.0,0.0,217914.28269632015,225177.1550883202,7262.872392000048
141.0,320059.38750149996,533483.1876203202,534502.7412623202,0.0,0.0,213423.80011882028,214443.35376082023,1019.5536419999553
143.0,323931.593404,534502.7412623202,534549.9428913202,0.0,0.0,210571.1478583202,210618.34948732023,47.20162900001742
21.0,44591.3118095,54748.168196544626,550260.3335483203,0.0,2.0,10156.856387044623,505669.02173882036,495512.1653517757
118.0,275937.0101835,382350.87961498235,566330.0500162954,0.0,0.0,106413.86943148234,290393.0398327954,183979.17040131305
164.0,364006.7339855,566330.0500162954,566391.2523762117,0.0,0.0,202323.3160307954,202384.5183907117,61.20235991629306
166.0,366371.3211685,566391.2523762117,566465.6772560817,0.0,0.0,200019.9312077117,200094.35608758172,74.42487987002824
171.0,382606.690195,566465.6772560817,572063.4799980817,0.0,0.0,183858.98706108175,189456.78980308172,5597.802741999971
172.0,387732.8104775,572063.4799980817,574723.4613780817,0.0,0.0,184330.66952058166,186990.65090058168,2659.981380000012
178.0,404501.988775,574723.4613780817,574784.2326314234,0.0,0.0,170221.47260308173,170282.24385642342,60.7712533416925
