cores,time,running_job_len
2.0,0.0,1.0
4.0,386.5672435,2.0
2.0,457.5307985,1.0
5.0,632.9426085,2.0
15.0,1139.3000695,3.0
28.0,2043.3216929999999,4.0
15.0,2071.5175593445892,3.0
23.0,2524.3382875,4.0
15.0,2531.5140195000004,3.0
25.0,6122.708369,4.0
16.0,6554.435232,3.0
35.0,8027.1729925,4.0
16.0,8059.420512405561,3.0
14.0,8497.339534,2.0
17.0,10464.5994025,3.0
31.0,11991.845183,4.0
24.0,12267.850331931226,3.0
15.0,12751.603810999999,2.0
10.0,15192.887227749747,1.0
12.0,15458.831994,2.0
18.0,16191.476253499999,3.0
21.0,20471.2692815,4.0
50.0,21234.99521,5.0
25.0,21269.786046,4.0
18.0,21605.49405724387,3.0
21.0,23879.41548,4.0
49.0,23959.618651499997,5.0
21.0,23991.783795474057,4.0
66.0,25087.989262,5.0
69.0,32303.8567105,6.0
66.0,32884.6155025,5.0
68.0,37203.771804,6.0
75.0,37976.807626999995,7.0
71.0,37992.598,6.0
66.0,38075.16871565299,5.0
71.0,44591.3118095,6.0
78.0,45253.0859225,7.0
85.0,45319.81616338826,7.0
69.0,45335.491941425404,6.0
78.0,46523.763136,7.0
71.0,46563.957026000004,6.0
68.0,48418.9223555,5.0
75.0,54746.84387999999,6.0
85.0,55253.24035883,6.0
85.0,65086.76739721613,6.0
83.0,66430.58078851833,5.0
83.0,72699.99993976457,5.0
83.0,73300.48238160362,5.0
85.0,77765.0282785,6.0
83.0,77818.5338483813,5.0
85.0,89020.58583280054,5.0
85.0,97806.31250745092,7.0
85.0,97926.89762795092,7.0
85.0,97978.60677799735,7.0
76.0,98048.0560556854,6.0
85.0,98048.19377913835,8.0
85.0,99195.44547568541,8.0
85.0,99466.2818939854,8.0
85.0,99574.56577345687,8.0
85.0,99622.09752166776,8.0
80.0,99680.1826275121,7.0
74.0,101603.52828859181,6.0
68.0,103958.50864345091,5.0
85.0,105973.978263,6.0
71.0,106224.05240456249,5.0
67.0,107441.04626799999,4.0
85.0,108050.05938492068,5.0
85.0,179801.65016790002,5.0
85.0,241429.10424101504,5.0
82.0,255472.89803500002,4.0
85.0,255473.63339851843,7.0
85.0,256754.22948451844,7.0
85.0,257286.21183730187,7.0
85.0,257709.67058970843,7.0
85.0,258093.26881017076,7.0
85.0,258319.59176024352,7.0
85.0,258449.86545833418,7.0
85.0,258645.2760054702,7.0
85.0,258653.5634604702,7.0
85.0,258751.0424714702,7.0
85.0,259894.55641994148,8.0
77.0,259996.1294629415,7.0
85.0,259996.64645043772,10.0
85.0,260002.1211889415,11.0
85.0,260027.62734443773,11.0
85.0,260137.6144813915,11.0
85.0,260184.93210943774,11.0
85.0,260191.98760172632,11.0
85.0,260223.28530026053,11.0
85.0,260242.53338485907,11.0
85.0,260270.2318480618,11.0
85.0,260278.2312420618,11.0
85.0,260283.1508693718,11.0
85.0,260290.2303330618,11.0
85.0,260721.32536398462,11.0
85.0,260799.85441198462,11.0
85.0,262923.0156139415,11.0
83.0,263423.7459439846,10.0
85.0,263425.645857,11.0
85.0,265358.7193394,11.0
85.0,267938.6960268683,11.0
83.0,268258.329563,10.0
85.0,271382.30489,11.0
85.0,271401.6436252,11.0
85.0,271413.24686632,11.0
85.0,271420.208810992,11.0
85.0,271424.38597779523,11.0
83.0,271430.651728,10.0
85.0,275937.0101835,11.0
85.0,276867.28090590716,12.0
85.0,277367.3692539072,12.0
83.0,281432.2427784702,11.0
85.0,308418.98222553486,11.0
85.0,313040.6330806291,11.0
85.0,315770.6297122864,11.0
85.0,320337.9344619678,11.0
85.0,321174.26089053485,11.0
85.0,321273.33890952275,11.0
85.0,327188.8915864899,11.0
85.0,327268.9840841565,11.0
85.0,327273.63222715654,11.0
81.0,327278.10884915653,10.0
85.0,327278.3857194306,12.0
85.0,327293.22448815656,12.0
85.0,328297.9393614306,12.0
83.0,328345.1409904306,11.0
85.0,328437.13328253484,11.0
85.0,328447.84726026485,11.0
85.0,328463.26493553485,11.0
85.0,328549.4945887349,11.0
85.0,328601.23238065484,11.0
85.0,328678.83906853484,11.0
85.0,328982.7509717596,11.0
82.0,329211.3845467596,10.0
85.0,346648.14706541825,10.0
85.0,365729.3265889763,10.0
80.0,404418.4444825163,9.0
85.0,404418.97742444027,11.0
85.0,460092.4567099038,11.0
85.0,500125.9205915791,11.0
85.0,460166.75057046884,11.0
85.0,465764.5533124688,11.0
85.0,466828.5458644688,11.0
85.0,467466.9413956688,11.0
85.0,467849.9787143888,11.0
85.0,468079.8011056208,11.0
85.0,468424.5346924688,11.0
85.0,468569.4710551449,11.0
83.0,468685.0627471449,10.0
85.0,512415.2724321383,11.0
85.0,512442.9148087326,11.0
83.0,559878.4062723925,10.0
85.0,769346.2123756291,10.0
85.0,857172.0197036291,11.0
85.0,857188.5637716291,11.0
85.0,857196.2864666823,11.0
85.0,857200.3328156781,11.0
85.0,857206.9848171625,11.0
85.0,875060.9215968291,11.0
85.0,886062.5962611471,11.0
83.0,900021.7917754403,10.0
85.0,901894.274436629,10.0
85.0,1002089.396637029,10.0
85.0,1041972.3859539803,10.0
85.0,1048883.4652279702,10.0
85.0,1073376.0321247072,10.0
85.0,1048890.0591059702,10.0
85.0,1085692.1077150425,10.0
85.0,1050093.4738544002,10.0
85.0,1050786.1711242283,10.0
85.0,1051825.2170289701,10.0
85.0,1108290.6613408227,10.0
85.0,1052025.5322353703,10.0
85.0,1052145.7213592103,10.0
85.0,1052326.0050449702,10.0
85.0,1113999.5535436082,11.0
85.0,1114977.9945388318,12.0
85.0,1115286.6319846746,12.0
85.0,1117946.4784744815,12.0
85.0,1119187.58472443,12.0
85.0,1140810.5311925553,12.0
85.0,1190029.4466975552,13.0
85.0,1190045.8851215553,13.0
