cores,time,running_job_len
2.0,0.0,1.0
4.0,386.5672435,2.0
2.0,457.5307985,1.0
5.0,632.9426085,2.0
15.0,1139.3000695,3.0
28.0,2043.3216929999999,4.0
15.0,2074.3390919999997,3.0
23.0,2524.3382875,4.0
15.0,2531.5140195000004,3.0
25.0,6122.708369,4.0
15.0,6554.435232,3.0
34.0,8027.1729925,4.0
15.0,8037.0971435,3.0
13.0,8497.339534,2.0
16.0,10464.5994025,3.0
25.0,11991.845183,4.0
22.0,12580.4520885,3.0
13.0,12751.603810999999,2.0
15.0,15458.831994,3.0
18.0,16191.476253499999,4.0
15.0,18642.042743500002,3.0
18.0,20471.2692815,4.0
43.0,21234.99521,5.0
18.0,21269.786046,4.0
15.0,22025.3380805,3.0
18.0,23879.41548,4.0
46.0,23959.618651499997,5.0
18.0,23967.9899475,4.0
63.0,25087.989262,5.0
66.0,32303.8567105,6.0
63.0,32884.6155025,5.0
65.0,37203.771804,6.0
69.0,37976.807626999995,7.0
65.0,37992.598,6.0
63.0,38395.554355,5.0
68.0,44591.3118095,6.0
75.0,45253.0859225,7.0
68.0,45350.7127215,6.0
75.0,46523.763136,7.0
68.0,46563.957026000004,6.0
65.0,48418.9223555,5.0
68.0,54746.84387999999,6.0
71.0,55290.722086,7.0
68.0,56198.230034,6.0
65.0,61906.40252899999,5.0
69.0,62454.002514499996,6.0
74.0,69699.8862965,7.0
69.0,69993.9963465,6.0
75.0,73963.9635345,7.0
71.0,76713.8292345,6.0
74.0,77765.0282785,7.0
71.0,77801.1635225,6.0
65.0,80116.1596705,5.0
78.0,86105.52224800001,6.0
83.0,87047.58244099999,7.0
78.0,88194.971861,6.0
80.0,98223.06499099999,7.0
81.0,98661.772425,7.0
79.0,98883.64162099999,6.0
85.0,105974.06753569914,8.0
81.0,107441.04626799999,7.0
76.0,108338.57425182563,7.0
85.0,109161.97754549999,8.0
77.0,109263.55058849999,7.0
85.0,112121.370451,8.0
85.0,124344.52826749999,10.0
81.0,124350.51999349998,9.0
79.0,125625.1243535,8.0
85.0,125864.54732951154,10.0
82.0,125872.161949,9.0
85.0,126565.55367850001,10.0
83.0,126663.03268950002,9.0
81.0,126674.87242649999,8.0
85.0,130285.95118151154,8.0
83.0,139440.104668,7.0
85.0,139440.39111536418,9.0
82.0,140077.79898436417,8.0
85.0,143805.3931325,9.0
85.0,146732.27928350001,9.0
83.0,146763.26017750002,8.0
85.0,152396.3403435,9.0
83.0,162121.304975,8.0
85.0,165879.9847375,9.0
83.0,166210.4561825,8.0
85.0,172135.993353,9.0
83.0,172293.298118,8.0
79.0,184621.53188563985,7.0
85.0,184622.08323830628,9.0
85.0,184626.18002863985,9.0
82.0,184642.08172330627,8.0
85.0,190374.161797,9.0
85.0,248784.35868198058,9.0
85.0,249284.44702998057,9.0
85.0,255472.89803500002,9.0
85.0,281862.50529798056,9.0
82.0,307280.5286851261,8.0
85.0,307280.6336532097,10.0
85.0,307359.0577331261,10.0
85.0,309904.5251852097,10.0
85.0,309952.8720232097,10.0
85.0,312191.7414391261,10.0
83.0,319454.6138311261,9.0
85.0,320059.38750149996,10.0
83.0,321078.9411435,9.0
85.0,322708.1506882097,9.0
85.0,322712.6273102097,9.0
85.0,322727.7429492097,9.0
80.0,382617.15770549997,8.0
85.0,382617.3795528233,10.0
85.0,382664.58118182333,10.0
85.0,446839.9839152097,10.0
85.0,447068.6174902097,10.0
85.0,447109.9776602097,10.0
85.0,447160.1795142097,10.0
85.0,452757.9822562097,10.0
85.0,455417.9636362097,10.0
85.0,455478.8818923169,10.0
83.0,455594.4735843169,9.0
70.0,500472.600901,8.0
85.0,500472.78409329796,10.0
82.0,500570.22465829796,9.0
85.0,510580.4424375,9.0
85.0,510606.5740905,9.0
85.0,510822.1482235,9.0
85.0,513776.78691992414,9.0
85.0,513797.7957319241,9.0
85.0,515674.71292192413,9.0
85.0,674265.2984729242,9.0
84.0,868169.6411252031,9.0
82.0,878267.3955328234,8.0
85.0,912258.6507832031,9.0
85.0,912481.0140582031,9.0
84.0,916925.8905599335,9.0
84.0,916984.7508219335,9.0
83.0,959339.6846659335,9.0
82.0,959413.4840742031,10.0
82.0,1004061.9393989334,10.0
82.0,1047239.291402203,10.0
85.0,1047364.453998203,11.0
81.0,1200905.2589915,10.0
81.0,1254549.7448999335,10.0
81.0,1254556.3387779335,10.0
82.0,1257491.4967009334,10.0
85.0,1261334.2386645116,10.0
85.0,1363770.4499955117,10.0
74.0,1363778.7998386377,9.0
85.0,1363779.4129498436,11.0
85.0,1368777.5734206378,11.0
85.0,1369278.3614366378,11.0
85.0,1369485.1547826377,11.0
85.0,1370329.1742426378,11.0
76.0,1415719.0633692031,10.0
85.0,1415719.3924514176,12.0
85.0,1419548.0897476377,12.0
85.0,1419732.8959986377,12.0
80.0,1420945.4101536376,11.0
85.0,1550407.2474172032,11.0
66.0,1580697.7249506991,10.0
85.0,1580698.3570504265,12.0
85.0,1580763.6483094767,12.0
79.0,1581066.8955864266,11.0
85.0,2100696.8720749244,11.0
85.0,2100900.105441924,11.0
85.0,2118819.8959471383,11.0
85.0,2121078.2590323645,11.0
80.0,2124884.888037203,10.0
85.0,2177445.4722601385,10.0
85.0,2181667.9413911384,10.0
85.0,2182100.7137996317,10.0
85.0,2182106.3384026317,10.0
85.0,2185663.803068945,10.0
78.0,2185669.1596789453,9.0
75.0,2245494.555212,8.0
85.0,2378206.5093052033,8.0
80.0,2583146.7127888435,7.0
85.0,2600971.074719203,7.0
85.0,2601093.657631307,7.0
73.0,2601148.716795307,6.0
85.0,2780334.429986203,6.0
82.0,2811809.7063476397,5.0
85.0,2924044.358731,5.0
54.0,3013600.954168167,4.0
85.0,3013601.2457110872,6.0
85.0,3014258.498318167,6.0
