id,Arrival,Start,Completion,No_of_expansion,No_of_shrinkage,Wait_time,Turn_around_time,Exe_time
2.0,386.5672435,386.5672435,457.5307985,0.0,0.0,0.0,70.96355499999999,70.96355499999999
5.0,2043.3216929999999,2043.3216929999999,2071.5175593445892,2.0,0.0,0.0,28.195866344589376,28.195866344589376
6.0,2524.3382875,2524.3382875,2531.5140195000004,0.0,0.0,0.0,7.175732000000153,7.175732000000153
7.0,6122.708369,6122.708369,6554.435232,0.0,0.0,0.0,431.72686299999987,431.72686299999987
8.0,8027.1729925,8027.1729925,8037.0971435,0.0,0.0,0.0,9.924151000000165,9.924151000000165
1.0,0.0,0.0,8497.339534,0.0,0.0,0.0,8497.339534,8497.339534
9.0,10464.5994025,10464.5994025,12269.42222066668,1.0,0.0,0.0,1804.82281816668,1804.82281816668
10.0,11991.845183,11991.845183,12751.603810999999,0.0,0.0,0.0,759.7586279999996,759.7586279999996
3.0,632.9426085,632.9426085,15180.998586489448,2.0,0.0,0.0,14548.055977989448,14548.055977989448
14.0,21234.99521,21234.99521,21269.786046,0.0,0.0,0.0,34.79083600000013,34.79083600000013
13.0,20471.2692815,20471.2692815,21602.3630490444,1.0,0.0,0.0,1131.0937675444002,1131.0937675444002
16.0,23959.618651499997,23959.618651499997,24000.15598943065,3.0,0.0,0.0,40.53733793065112,40.53733793065112
18.0,32303.8567105,32303.8567105,32884.6155025,0.0,0.0,0.0,580.7587919999969,580.7587919999969
20.0,37976.807626999995,37976.807626999995,37994.179726421724,2.0,1.0,0.0,17.372099421729217,17.372099421729217
19.0,37203.771804,37203.771804,38071.57821586739,3.0,0.0,0.0,867.8064118673865,867.8064118673865
12.0,16191.476253499999,16191.476253499999,41618.854210815,3.0,0.0,0.0,25427.377957315002,25427.377957315002
22.0,45253.0859225,45253.0859225,45335.04866438792,3.0,0.0,0.0,81.96274188791722,81.96274188791722
23.0,46523.763136,46523.763136,46563.957026000004,0.0,0.0,0.0,40.193890000002284,40.193890000002284
25.0,55290.722086,55290.722086,56198.230034,0.0,0.0,0.0,907.5079479999986,907.5079479999986
24.0,54746.84387999999,54746.84387999999,58350.00852804187,1.0,0.0,0.0,3603.1646480418785,3603.1646480418785
11.0,15458.831994,15458.831994,68779.75131669949,1.0,0.0,0.0,53320.91932269949,53320.91932269949
29.0,69699.8862965,69699.8862965,69931.75662055255,3.0,0.0,0.0,231.87032405255013,231.87032405255013
28.0,62454.002514499996,62454.002514499996,76217.26085961965,2.0,3.0,0.0,13763.258345119655,13763.258345119655
31.0,77765.0282785,77765.0282785,77801.1635225,0.0,0.0,0.0,36.135244000004604,36.135244000004604
30.0,73963.9635345,73963.9635345,80116.1596705,0.0,0.0,0.0,6152.196135999999,6152.196135999999
17.0,25087.989262,25087.989262,98661.772425,0.0,0.0,0.0,73573.783163,73573.783163
4.0,1139.3000695,1139.3000695,100320.22669457358,2.0,0.0,0.0,99180.92662507358,99180.92662507358
37.0,98223.06499099999,100320.22669457358,100805.42505658185,3.0,0.0,2097.1617035735835,2582.360065581859,485.1983620082756
33.0,87047.58244099999,100320.22669457358,101976.89473908006,0.0,2.0,13272.644253573584,14929.312298080069,1656.6680445064849
