cores,time,running_job_len
2.0,0.0,1.0
4.0,386.5672435,2.0
2.0,457.5307985,1.0
5.0,632.9426085,2.0
19.0,1139.3000695,3.0
32.0,2043.3216929999999,4.0
19.0,2074.3390919999997,3.0
27.0,2524.3382875,4.0
19.0,2531.5140195000004,3.0
29.0,6122.708369,4.0
19.0,6554.435232,3.0
38.0,8027.1729925,4.0
19.0,8037.0971435,3.0
17.0,8497.339534,2.0
10.0,9393.254757342007,1.0
13.0,10464.5994025,2.0
24.0,11991.845183,3.0
19.0,12173.48748466893,2.0
10.0,12751.603810999999,1.0
12.0,15458.831994,2.0
18.0,16191.476253499999,3.0
25.0,20471.2692815,4.0
51.0,21234.99521,5.0
25.0,21283.19568969756,4.0
22.0,21942.878418993252,3.0
25.0,23879.41548,4.0
57.0,23959.618651499997,5.0
29.0,23967.9899475,4.0
74.0,25087.989262,5.0
77.0,32303.8567105,6.0
74.0,32884.6155025,5.0
67.0,33606.18643402212,4.0
69.0,37203.771804,5.0
73.0,37976.807626999995,6.0
69.0,37992.598,5.0
67.0,38395.554355,4.0
72.0,44591.3118095,5.0
79.0,45253.0859225,6.0
72.0,45350.7127215,5.0
79.0,46523.763136,6.0
85.0,46551.260595096595,6.0
69.0,46556.592503413725,5.0
75.0,54746.84387999999,6.0
85.0,55253.24035883,6.0
83.0,65130.19599805943,5.0
83.0,71891.39298058175,5.0
24.0,95834.10041188305,4.0
85.0,95834.28948391823,10.0
85.0,95849.0274144238,10.0
85.0,95855.6404572752,10.0
80.0,95863.76340587887,9.0
85.0,95864.03348121839,11.0
85.0,95954.7970848838,11.0
85.0,96006.28228244206,11.0
85.0,96032.02489779716,11.0
85.0,96045.02329723498,11.0
72.0,96062.83337272193,10.0
69.0,96741.60835988304,9.0
66.0,97690.82270223006,8.0
85.0,98223.06499099999,9.0
85.0,101538.14454310415,9.0
83.0,98883.64162099999,8.0
81.0,103346.15978504454,7.0
79.0,104903.76068425497,6.0
85.0,105928.31818929805,6.0
85.0,106388.96981203787,6.0
81.0,107856.03781703787,5.0
85.0,112122.09992786251,7.0
85.0,116543.50377986251,7.0
77.0,116645.07682286251,6.0
85.0,117081.265053,7.0
81.0,117087.25677899999,6.0
85.0,124196.8878685,7.0
75.0,124344.52826749999,6.0
85.0,124345.11382952987,8.0
85.0,125300.31485428762,8.0
83.0,125477.4839545,7.0
85.0,125935.7375058854,7.0
85.0,126041.38021335856,7.0
82.0,126049.66766835855,6.0
85.0,126565.55367850001,7.0
83.0,126663.03268950002,6.0
85.0,132566.3531295,7.0
79.0,150386.2918370356,6.0
85.0,150387.0689870048,9.0
85.0,150399.7711535448,9.0
85.0,150404.78513763248,9.0
85.0,150407.28611901056,9.0
85.0,150408.33468637682,9.0
79.0,150411.3394711594,8.0
85.0,151321.99482858542,8.0
85.0,153313.1779880356,8.0
83.0,155247.5534365,7.0
85.0,165879.9847375,8.0
85.0,166015.47802995,8.0
85.0,166068.55324272875,8.0
85.0,166100.398370396,8.0
82.0,166148.1660618969,7.0
82.0,170860.92987249806,7.0
85.0,172135.993353,8.0
83.0,172293.298118,7.0
85.0,210794.48605766604,7.0
85.0,237547.73092217834,7.0
85.0,243419.77061440394,7.0
40.0,268259.847397298,6.0
85.0,268260.47756471124,9.0
81.0,268264.49554029806,8.0
85.0,268266.71029155445,11.0
82.0,268284.49402529805,10.0
85.0,268285.6413357733,12.0
85.0,268339.00661271124,12.0
85.0,285695.46695475973,12.0
85.0,288319.3584867597,12.0
85.0,290300.7588062197,12.0
85.0,291441.2721608357,12.0
85.0,293152.0421927597,12.0
85.0,293200.3890307597,12.0
85.0,296586.8188256356,12.0
85.0,313007.8960687733,12.0
85.0,326835.29609252256,12.0
85.0,327040.33231520257,12.0
85.0,327335.3844405226,12.0
85.0,327350.5000795226,12.0
85.0,330103.52323062567,12.0
85.0,330162.38349262567,12.0
85.0,372517.31733662565,12.0
85.0,475217.31759203563,12.0
85.0,477383.6741955404,12.0
85.0,490138.9528605404,12.0
85.0,497401.8252525404,12.0
85.0,498421.3788945404,12.0
85.0,498468.58052354044,12.0
85.0,511497.28008203564,12.0
85.0,511571.7575668772,12.0
85.0,517169.56030887715,12.0
85.0,519829.54168887716,12.0
85.0,519875.77836567716,12.0
85.0,519894.6540790834,12.0
85.0,519905.9795071272,12.0
85.0,519912.9446453741,12.0
85.0,519922.96764919284,12.0
85.0,520206.3263947439,12.0
85.0,520434.9599697439,12.0
85.0,623005.1228376257,12.0
85.0,701665.7344074504,12.0
85.0,623186.6109923742,12.0
85.0,642501.4463493743,12.0
85.0,642503.2369981742,12.0
85.0,642504.1107250154,12.0
85.0,642505.3680392501,12.0
85.0,642511.9619172502,12.0
85.0,645447.1198402502,12.0
85.0,645473.2514932503,12.0
85.0,645776.9992672536,12.0
85.0,648750.395134426,12.0
85.0,648758.7986592259,12.0
85.0,648762.450831764,12.0
85.0,648764.6056135616,12.0
85.0,648767.7063971239,12.0
85.0,648973.0294836839,12.0
85.0,649268.4944131238,12.0
85.0,748430.9799074963,12.0
85.0,818627.9985942864,12.0
85.0,832233.5732895907,12.0
85.0,839176.6154666726,12.0
85.0,937437.8175071928,12.0
85.0,937454.3615751929,12.0
85.0,937461.9794061815,12.0
85.0,937466.4739264648,12.0
85.0,937474.2469866191,12.0
85.0,970253.5291712494,12.0
85.0,970580.3715721853,12.0
85.0,970926.4195507853,12.0
85.0,971130.5878581593,12.0
85.0,971248.1091277697,12.0
85.0,971318.6218895359,12.0
85.0,971424.3910321853,12.0
85.0,1009775.3792974625,12.0
85.0,1009816.4753574625,12.0
85.0,1009856.4259891126,12.0
85.0,1009907.6444264384,12.0
85.0,1011784.5616164383,12.0
85.0,1101922.9310633498,13.0
85.0,1102107.7373143497,13.0
