cores,time,running_job_len
2.0,0.0,1.0
9.0,289.925432625,2.0
7.0,360.88898762499997,1.0
10.0,474.706956375,2.0
28.0,854.475052125,3.0
65.0,1532.49126975,4.0
52.0,1563.50866875,3.0
60.0,1893.253715625,4.0
52.0,1900.429447625,3.0
45.0,3099.163608147273,2.0
55.0,4592.03127675,3.0
45.0,5023.75813975,2.0
64.0,6020.379744375,3.0
45.0,6030.303895375,2.0
34.0,6631.435576756215,1.0
37.0,7848.449551875,2.0
46.0,8993.88388725,3.0
37.0,9753.64251525,2.0
34.0,9964.302237875,1.0
36.0,11594.1239955,2.0
44.0,12143.607190125,3.0
47.0,15353.451961125,4.0
72.0,15926.246407499999,5.0
47.0,15961.037243499999,4.0
44.0,16907.520760125,3.0
47.0,17909.56161,4.0
75.0,17969.713988625,5.0
47.0,17978.085284625,4.0
65.0,18815.991946500002,5.0
85.0,24227.892532875,6.0
82.0,24808.651324875,5.0
85.0,27902.828853000006,6.0
83.0,29094.611404000007,5.0
85.0,41065.091057239406,10.0
81.0,41076.403339064265,9.0
74.0,41105.28494723941,8.0
67.0,41160.37623798382,7.0
85.0,41468.041564499996,8.0
82.0,42375.549512499994,7.0
79.0,44371.053292125,6.0
85.0,46841.34282424155,8.0
83.0,51703.61517176871,7.0
85.0,56108.817351241545,8.0
85.0,61100.328605874995,8.0
82.0,61136.46384987499,7.0
85.0,62380.55042871417,7.0
80.0,62674.66047871417,6.0
85.0,65285.68683075,7.0
80.0,66433.07625075,6.0
77.0,68134.54314056173,5.0
85.0,73667.29874325001,6.0
83.0,74327.87537325,5.0
85.0,79480.48369724999,6.0
83.0,82347.79349901588,5.0
85.0,84091.4035396877,7.0
77.0,84192.9765826877,6.0
85.0,87810.94878975,7.0
81.0,87816.94051574999,6.0
85.0,93147.665901375,7.0
83.0,94428.26198737501,6.0
85.0,94428.5088923898,8.0
82.0,94436.7963473898,7.0
85.0,94924.165258875,8.0
83.0,95021.644269875,7.0
81.0,96758.60614637501,6.0
85.0,99424.764847125,7.0
83.0,122105.965154125,6.0
85.0,122107.4763869404,9.0
85.0,122138.45728094039,9.0
83.0,123048.23485841163,8.0
85.0,124409.988553125,9.0
83.0,124740.459998125,8.0
85.0,125033.56048682767,8.0
85.0,125888.53133109232,8.0
85.0,166251.04491541005,9.0
85.0,215393.07693395426,9.0
85.0,215550.38169895427,9.0
85.0,218440.34655924153,11.0
82.0,218571.83644848657,10.0
85.0,218575.27410750915,14.0
85.0,218578.203440643,15.0
85.0,218591.83493348656,15.0
85.0,218653.80315550914,15.0
85.0,219179.53742705984,15.0
85.0,223771.0831954857,15.0
84.0,223867.0158511542,14.0
85.0,231229.524399,15.0
84.0,245566.17551953034,14.0
85.0,249503.04416500003,14.0
85.0,256950.7812275157,14.0
85.0,256973.14393316087,14.0
85.0,261805.82763916088,14.0
85.0,282081.10243300005,14.0
85.0,302812.13790935936,14.0
85.0,302863.188933401,14.0
85.0,303284.46120121796,14.0
85.0,313604.05052456004,14.0
85.0,313608.52714656,15.0
85.0,316039.73986621795,15.0
85.0,316379.39566332794,15.0
85.0,317398.94930532796,15.0
85.0,319297.9097375311,15.0
85.0,379087.1879094074,15.0
85.0,443410.1507035311,15.0
85.0,444379.8878981434,16.0
85.0,444427.0895271434,16.0
85.0,444468.36442465096,16.0
84.0,455473.4270994003,15.0
85.0,580618.12356841,16.0
85.0,584561.1388106762,16.0
85.0,585039.5274204101,17.0
85.0,585512.8307488373,17.0
85.0,586198.3728150659,17.0
85.0,586239.7329850659,17.0
85.0,586289.9348390659,17.0
85.0,586331.0308990659,17.0
85.0,586428.471464066,17.0
85.0,586544.063156066,17.0
85.0,587699.5088004101,17.0
85.0,588151.0324718812,17.0
83.0,591107.9932797605,16.0
85.0,701110.9518113708,16.0
85.0,712918.9010744106,16.0
85.0,713403.2830821539,16.0
84.0,737324.8674516062,15.0
85.0,825341.1042604754,15.0
85.0,825352.7954205117,15.0
83.0,897577.4362857514,14.0
74.0,1041818.4100438373,13.0
85.0,1041818.7290467548,15.0
85.0,1041913.8826613532,15.0
85.0,1043695.6462367547,15.0
82.0,1044415.8369821048,14.0
85.0,1296960.086212812,14.0
85.0,1298344.4737070163,14.0
72.0,1400780.6850380164,13.0
85.0,1400780.9341000668,15.0
85.0,1443135.8679440669,15.0
85.0,1452012.9571709058,15.0
85.0,1452138.1197669057,15.0
85.0,1487858.1226770668,15.0
85.0,1487864.7165550669,15.0
85.0,1496273.982917143,15.0
85.0,1496480.776263143,15.0
85.0,1654629.5928769484,15.0
85.0,1680275.1278287002,15.0
85.0,1693296.1972106828,15.0
85.0,1693305.3876207962,15.0
85.0,1704664.4310022586,15.0
85.0,1740237.8576367963,16.0
79.0,1753883.3465072585,15.0
77.0,1865283.0847878559,14.0
85.0,1865283.8034373277,16.0
85.0,1865779.1454028436,16.0
85.0,1870374.5307263278,16.0
78.0,1870379.8873363277,15.0
85.0,1874926.0416847963,15.0
78.0,2042625.6827118613,14.0
85.0,2215142.7429773533,14.0
85.0,2215493.2917603534,14.0
80.0,2250439.0242644516,13.0
85.0,2316208.3281036117,13.0
85.0,2316214.0849896115,13.0
85.0,2316341.6295846114,14.0
85.0,2316940.66749865,14.0
77.0,2316959.370691628,13.0
85.0,2317894.639079132,13.0
81.0,2723391.6598148122,12.0
78.0,2845761.729759643,11.0
85.0,2900064.9325553533,11.0
67.0,2902383.1069773533,10.0
85.0,2902383.4890116653,12.0
85.0,2902438.5481756655,12.0
85.0,2902504.178399982,12.0
85.0,2914809.3614143534,12.0
83.0,2933549.2822296745,11.0
85.0,2956530.744689717,11.0
85.0,2967452.8510495066,11.0
83.0,3165319.810195976,10.0
85.0,3358182.3610870745,10.0
74.0,3384699.008836181,9.0
72.0,3390810.661819274,8.0
85.0,3541348.29859832,8.0
85.0,3569427.263420665,8.0
80.0,3629674.4127505114,7.0
85.0,3695690.186349026,7.0
71.0,3696276.1027078363,6.0
68.0,3727781.727981584,5.0
85.0,3793335.3645708435,5.0
69.0,3805534.2253991384,4.0
85.0,3837424.3742288435,4.0
85.0,3846214.4230958433,4.0
85.0,3846871.9672458433,4.0
85.0,3846926.520801843,4.0
62.0,3869392.987469921,3.0
