cores,time,running_job_len
2.0,0.0,1.0
4.0,193.28362175,2.0
2.0,247.55519844998278,1.0
5.0,316.47130425,2.0
23.0,569.65003475,3.0
60.0,1021.6608464999999,4.0
47.0,1052.6782455,3.0
55.0,1262.16914375,4.0
47.0,1269.34487575,3.0
57.0,3061.3541845,4.0
48.0,3493.0810475,3.0
67.0,4013.58649625,4.0
49.0,4039.054694875133,3.0
52.0,5232.29970125,4.0
69.0,5995.9225915,5.0
65.0,6422.07401507024,4.0
54.0,6453.553996080332,3.0
43.0,6568.497572415341,2.0
34.0,6755.6812195,1.0
36.0,7729.415997,2.0
39.0,8095.73812675,3.0
50.0,10235.63464075,4.0
83.0,10617.497605,5.0
58.0,10652.288441,4.0
47.0,11034.321155976235,3.0
50.0,11939.70774,4.0
86.0,11979.80932575,5.0
58.0,11988.18062175,4.0
103.0,12543.994631,5.0
128.0,16151.92835525,6.0
125.0,16732.68714725,5.0
128.0,18601.885902,6.0
128.0,19793.668453000002,6.0
126.0,19824.6610325463,5.0
115.0,20415.507734327573,4.0
128.0,22295.65590475,5.0
128.0,58561.73779334,5.0
95.0,64342.87370209351,4.0
128.0,64347.852981357806,16.0
125.0,64379.008946093505,15.0
128.0,64383.59239485467,20.0
125.0,64377.01291519726,19.0
128.0,64377.50034689994,21.0
128.0,64385.83846444944,21.0
128.0,64380.89820344994,21.0
128.0,64382.90293881444,21.0
128.0,64384.05688404864,21.0
125.0,64385.78780189994,20.0
128.0,64400.90795414108,20.0
128.0,64408.24989947351,20.0
128.0,64440.500501093506,20.0
128.0,64466.396597359446,20.0
127.0,64571.52530648574,19.0
120.0,64608.168523189706,18.0
128.0,64633.60923419692,18.0
128.0,64652.549599162594,18.0
128.0,64983.37410446352,18.0
126.0,64990.99891569018,17.0
123.0,65360.24412285878,16.0
121.0,65669.88514896421,15.0
128.0,65846.47461341284,15.0
128.0,66807.35288657872,15.0
128.0,67056.76739292245,15.0
128.0,68053.08546990153,15.0
128.0,68319.94532828958,15.0
127.0,68967.19539955963,14.0
128.0,70496.6027444101,14.0
128.0,70757.9399707001,14.0
124.0,71069.12333009687,13.0
128.0,71902.69656625,14.0
128.0,73573.43808305569,14.0
126.0,73604.41897705568,13.0
128.0,73610.93420271714,13.0
125.0,74829.58271725,12.0
123.0,74917.58945456325,11.0
128.0,76199.08401702884,13.0
128.0,78842.24081800389,13.0
128.0,79826.68706156999,13.0
128.0,81524.64096161482,13.0
128.0,82349.50375269109,13.0
122.0,83395.8900573678,12.0
128.0,83396.22015495098,14.0
128.0,92130.6555577293,14.0
128.0,92461.1270027293,14.0
128.0,92525.6219563793,14.0
128.0,92550.77799500317,14.0
128.0,92588.51205293897,14.0
128.0,92597.63137689953,14.0
126.0,92627.27322230012,13.0
128.0,95187.0808985,14.0
128.0,100751.29659337988,14.0
128.0,100966.63615789996,15.0
128.0,101137.35877305949,15.0
128.0,117766.13835952421,17.0
119.0,118253.85230139061,16.0
128.0,118254.48246880384,18.0
128.0,118754.57081680384,18.0
128.0,153085.30995223325,18.0
128.0,154754.06461220127,19.0
128.0,164336.39300434428,19.0
127.0,164429.8853989326,18.0
128.0,166103.21631483734,18.0
128.0,181739.8446350196,18.0
128.0,181772.0415446996,18.0
128.0,181784.56495678847,18.0
128.0,181792.07900404176,18.0
128.0,181803.35007492173,18.0
128.0,181816.10696131492,18.0
128.0,181831.2226003149,18.0
128.0,182880.7792131149,18.0
128.0,183316.86932541893,18.0
128.0,183944.41363336865,18.0
128.0,189643.89664252478,18.0
128.0,189663.23537772478,18.0
128.0,189671.5103706059,18.0
128.0,189676.2735372399,18.0
128.0,189683.41828719093,18.0
128.0,189884.38754340127,18.0
128.0,206134.17438417376,18.0
128.0,206868.49235181703,18.0
128.0,211489.53614608926,18.0
128.0,211606.40725978825,18.0
128.0,211970.60381781703,18.0
128.0,212006.5001652796,18.0
128.0,212097.9535952796,18.0
128.0,212154.1974547296,18.0
128.0,212235.13374027962,19.0
128.0,215140.28269707962,19.0
128.0,219498.0061322796,19.0
128.0,219623.77101681702,19.0
128.0,219905.82758907962,19.0
128.0,220150.52046315963,19.0
128.0,220301.00658071882,19.0
128.0,220517.55977427962,19.0
128.0,220696.24233829143,19.0
128.0,220719.78644309143,19.0
128.0,220734.26606754345,19.0
128.0,220742.80904597012,19.0
128.0,220747.84940324185,19.0
121.0,220755.10260029143,18.0
128.0,220755.7094315061,20.0
128.0,221846.3017973061,20.0
128.0,222474.0574029861,20.0
127.0,223326.28256055745,19.0
128.0,223415.69081150612,19.0
128.0,234237.49231924495,19.0
128.0,234749.75433144975,19.0
128.0,240569.43708325096,19.0
128.0,238687.97711034483,19.0
128.0,240307.77652209275,19.0
128.0,240324.32059009274,19.0
128.0,240334.49519191275,19.0
128.0,240349.13669209275,19.0
128.0,240399.33854609277,19.0
128.0,242579.87194020126,20.0
128.0,270592.18817292637,20.0
128.0,242596.72132480127,20.0
128.0,242606.66246171528,20.0
128.0,242620.96800020128,20.0
128.0,284098.5164771708,20.0
128.0,242718.40856520127,20.0
128.0,292067.25017667504,20.0
128.0,246408.68607759418,20.0
128.0,246456.07867131417,20.0
128.0,246484.04030160897,20.0
128.0,246524.27776959416,20.0
128.0,301355.27759473294,20.0
128.0,332027.6261820288,20.0
128.0,309081.2117375329,20.0
128.0,313716.77222321293,20.0
128.0,320670.11295173294,20.0
128.0,342774.99414060125,20.0
128.0,320674.5895737329,20.0
128.0,353565.22102331626,21.0
128.0,392168.55850764085,21.0
128.0,362081.69321001356,21.0
128.0,404394.99429384724,21.0
128.0,418758.68551467964,21.0
128.0,422841.4831371979,21.0
128.0,426786.2658950663,21.0
126.0,434382.27226575004,20.0
122.0,434624.70929287036,19.0
128.0,434625.08078523766,21.0
128.0,434650.8409458704,21.0
128.0,434713.4661797677,21.0
128.0,434659.24447067035,21.0
128.0,434664.28658555035,21.0
128.0,434667.3118544784,21.0
128.0,434669.1270158352,21.0
128.0,434671.84975787037,21.0
128.0,434840.65491823765,21.0
128.0,473210.06768238294,21.0
128.0,478712.8269762045,21.0
128.0,499693.9898337804,21.0
128.0,479015.615485401,21.0
128.0,504842.688681411,21.0
125.0,508438.89410610904,20.0
128.0,517052.92422739696,20.0
128.0,556894.6338657776,20.0
128.0,571737.5866501916,20.0
128.0,688032.9196951011,20.0
128.0,571937.9018565916,20.0
128.0,572030.459165622,20.0
128.0,572169.2951291676,20.0
128.0,572182.0475225559,20.0
128.0,572670.0537493189,20.0
126.0,716120.3741252796,19.0
128.0,725745.6586862134,19.0
128.0,739815.8674102003,19.0
126.0,785012.8288306497,18.0
128.0,871246.0038880543,18.0
128.0,990908.2635447773,18.0
128.0,1031885.2672326737,18.0
128.0,1044768.5724237897,18.0
128.0,1031893.6141323622,18.0
128.0,1031922.7161341895,19.0
128.0,1031972.7811725895,19.0
128.0,1031997.8265505801,19.0
128.0,1032012.6033235946,19.0
128.0,1032021.1089783054,19.0
128.0,1032033.8674603715,19.0
128.0,1057734.708150784,19.0
124.0,1063203.020943485,18.0
128.0,1083901.1797833387,18.0
128.0,1117323.0750114284,18.0
128.0,1117404.3683582284,18.0
128.0,1117453.1443663083,18.0
128.0,1117526.3083784285,18.0
128.0,1122168.9253644592,18.0
124.0,1138962.690859733,17.0
128.0,1146741.8893310896,17.0
128.0,1152010.7693006594,17.0
128.0,1189096.735184542,17.0
128.0,1250109.0944822542,17.0
128.0,1462409.286925132,17.0
128.0,1462759.357157392,17.0
128.0,1490116.0389871493,18.0
109.0,1558119.8775699511,17.0
128.0,1558119.9915113214,19.0
128.0,1558247.4221649512,20.0
128.0,1558249.6720061512,20.0
128.0,1558251.0219108711,20.0
128.0,1558251.852102274,20.0
128.0,1558253.0467679512,20.0
128.0,1558302.9529089716,20.0
128.0,1558372.4911523452,20.0
128.0,1558448.2617152552,20.0
128.0,1558521.1393930467,20.0
128.0,1558537.234397849,20.0
128.0,1558718.7417183479,20.0
128.0,1558731.0604361473,20.0
128.0,1559228.1912396972,20.0
128.0,1559441.3436487957,20.0
128.0,1559738.6540890783,20.0
128.0,1559886.0695034782,20.0
128.0,1559956.2079360108,20.0
128.0,1560057.1388511185,20.0
121.0,1560062.4954611184,19.0
128.0,1577026.2554023596,19.0
128.0,1581753.1834341716,19.0
128.0,1592865.4114538273,19.0
128.0,1599421.6259854243,19.0
122.0,1607338.9070163213,18.0
128.0,1608856.1786040636,18.0
120.0,1610720.5117139583,17.0
128.0,1619975.3863349014,17.0
128.0,1743433.729883342,17.0
128.0,1798297.9167751335,17.0
119.0,1867248.8047480895,16.0
128.0,1934306.0583317021,16.0
128.0,1934360.6118877023,16.0
128.0,1934378.6527565024,16.0
128.0,1934389.4772777823,16.0
128.0,1934396.1343583695,16.0
128.0,1934405.7140597024,16.0
128.0,1982725.6804390822,16.0
128.0,1983266.387233295,16.0
119.0,1997772.4781912821,15.0
128.0,2027348.912582291,15.0
128.0,2080740.7764134542,15.0
123.0,2222141.722967931,14.0
128.0,2389502.8904970884,14.0
128.0,2403418.6380197452,14.0
128.0,2404042.4789394736,14.0
128.0,2404109.002028064,14.0
128.0,2406540.3408654947,14.0
123.0,2425832.3274790705,13.0
118.0,2709483.3388261492,12.0
128.0,2776870.4989564875,12.0
128.0,2776998.49478118,12.0
128.0,2778219.636496275,12.0
126.0,2854675.3061461714,11.0
99.0,2950028.418355291,10.0
128.0,2950028.6594598154,12.0
128.0,2950317.6342966156,12.0
128.0,2950491.0191986957,12.0
128.0,2950597.6509134746,12.0
128.0,2950751.0965518155,12.0
126.0,3051490.2897827826,11.0
114.0,3088922.910293644,10.0
128.0,3347380.193685317,10.0
128.0,3347649.786786817,10.0
128.0,3347808.846716702,10.0
128.0,3348037.737835317,10.0
128.0,3367173.972571554,10.0
128.0,3367178.9528419143,10.0
128.0,3367267.3822555295,10.0
128.0,3367384.1069703293,10.0
128.0,3367444.031187921,10.0
128.0,3367533.917514308,10.0
128.0,3367536.1272995076,10.0
128.0,3367554.2460323973,10.0
128.0,3371726.3588407594,10.0
128.0,3371731.747517959,10.0
128.0,3371736.8495303746,10.0
128.0,3371749.816656204,10.0
128.0,3372918.223302834,10.0
