id,Arrival,Start,Completion,No_of_expansion,No_of_shrinkage,Wait_time,Turn_around_time,Exe_time
2.0,1468.9555262499996,1468.9555262499996,1539.9190812499996,0.0,0.0,0.0,70.96355500000004,70.96355500000004
5.0,7764.62243245,7764.62243245,7795.63983145,0.0,0.0,0.0,31.017399000000296,31.017399000000296
1.0,0.0,0.0,8497.339534,0.0,0.0,0.0,8497.339534,8497.339534
6.0,9592.4854925,9592.4854925,9599.6612245,0.0,0.0,0.0,7.175731999999698,7.175731999999698
3.0,2405.1819123000005,2405.1819123000005,20414.282052300005,0.0,0.0,0.0,18009.100140000002,18009.100140000002
7.0,23266.291806,23266.291806,23698.018669,0.0,0.0,0.0,431.72686299999987,431.72686299999987
8.0,30503.257371499996,30503.257371499996,30513.181522499995,0.0,0.0,0.0,9.924150999999256,9.924150999999256
9.0,39765.4777295,39765.4777295,41881.3304155,0.0,0.0,0.0,2115.8526859999984,2115.8526859999984
10.0,45569.0116935,45569.0116935,46328.7703215,0.0,0.0,0.0,759.7586280000032,759.7586280000032
13.0,77790.8232735,77790.8232735,79344.8920725,0.0,0.0,0.0,1554.0687990000006,1554.0687990000006
14.0,80692.98179800001,80692.98179800001,80727.77263400001,0.0,0.0,0.0,34.79083600000013,34.79083600000013
16.0,91046.55087949999,91046.55087949999,91057.53420947428,2.0,0.0,0.0,10.983329974289518,10.983329974289518
12.0,61527.609769,61527.609769,93755.055869,0.0,0.0,0.0,32227.4461,32227.4461
18.0,122754.65546,122754.65546,123335.41425199999,0.0,0.0,0.0,580.7587919999933,580.7587919999933
4.0,4329.3402641,4329.3402641,127534.5684641,0.0,0.0,0.0,123205.2282,123205.2282
19.0,141374.33284000002,141374.33284000002,142566.11539100003,0.0,0.0,0.0,1191.7825510000112,1191.7825510000112
20.0,144311.868975,144311.868975,144327.659348,0.0,0.0,0.0,15.79037299999618,15.79037299999618
17.0,95334.35915,95334.35915,168908.14231000002,0.0,0.0,0.0,73573.78316000002,73573.78316000002
22.0,171961.72651500002,171961.72651500002,172059.353314,0.0,0.0,0.0,97.62679899999057,97.62679899999057
23.0,176790.299875,176790.299875,176830.493765,0.0,0.0,0.0,40.19388999999501,40.19388999999501
11.0,58743.561580999994,58743.561580999994,182724.834281,0.0,0.0,0.0,123981.2727,123981.2727
25.0,210104.743885,210104.743885,211012.25183300002,0.0,0.0,0.0,907.5079480000131,907.5079480000131
24.0,208038.006725,208038.006725,215197.56537400003,0.0,0.0,0.0,7159.558649000013,7159.558649000013
26.0,218790.058275,218790.058275,227522.52098567152,1.0,1.0,0.0,8732.462710671534,8732.462710671534
28.0,237325.209595,237325.209595,251585.036315,0.0,0.0,0.0,14259.826720000012,14259.826720000012
29.0,264859.56794000004,264859.56794000004,265153.67799000005,0.0,0.0,0.0,294.1100500000175,294.1100500000175
30.0,281063.061395,281063.061395,287215.257531,0.0,0.0,0.0,6152.196135999984,6152.196135999984
31.0,295507.10744500003,295507.10744500003,295543.24268900004,0.0,0.0,0.0,36.135244000004604,36.135244000004604
15.0,90741.77882400001,90741.77882400001,322335.261424,0.0,0.0,0.0,231593.48260000002,231593.48260000002
33.0,330780.81331,330780.81331,331928.20273,0.0,0.0,0.0,1147.3894200000213,1147.3894200000213
37.0,373247.64700000006,373247.64700000006,373908.2236300001,0.0,0.0,0.0,660.576630000025,660.576630000025
36.0,369581.95819,369581.95819,378372.00705699995,0.0,0.0,0.0,8790.048866999976,8790.048866999976
27.0,225682.23275,225682.23275,388013.76194999996,0.0,0.0,0.0,162331.52919999996,162331.52919999996
39.0,402701.117445,402701.117445,404168.18545,0.0,0.0,0.0,1467.0680050000083,1467.0680050000083
40.0,407536.2364,407536.2364,407541.24844399997,0.0,0.0,0.0,5.0120439999736845,5.0120439999736845
42.0,414815.51469,414815.51469,414917.087733,0.0,0.0,0.0,101.57304300001124,101.57304300001124
41.0,413442.61335500004,413442.61335500004,417864.01720700006,0.0,0.0,0.0,4421.403852000018,4421.403852000018
43.0,422244.42596,422244.42596,422901.97011,0.0,0.0,0.0,657.5441499999724,657.5441499999724
46.0,444908.80719,444908.80719,444914.798916,0.0,0.0,0.0,5.991725999978371,5.991725999978371
35.0,367268.459005,367268.459005,456452.5857589948,1.0,0.0,0.0,89184.12675399479,89184.12675399479
45.0,444802.51378000004,444802.51378000004,463076.53021000006,0.0,0.0,0.0,18274.016430000018,18274.016430000018
47.0,471948.173925,471948.173925,473228.770011,0.0,0.0,0.0,1280.596085999976,1280.596085999976
48.0,472178.198375,472178.198375,474508.54253399995,0.0,0.0,0.0,2330.344158999971,2330.344158999971
44.0,426061.20771,426061.20771,475526.2446264693,1.0,0.0,0.0,49465.03691646934,49465.03691646934
50.0,478282.7231,478282.7231,478291.010555,0.0,0.0,0.0,8.28745499998331,8.28745499998331
51.0,480949.10396499996,480949.10396499996,481046.582976,0.0,0.0,0.0,97.47901100001764,97.47901100001764
54.0,504323.97698999994,504323.97698999994,504546.34026499995,0.0,0.0,0.0,222.36327500001062,222.36327500001062
21.0,169446.98484000002,169446.98484000002,507472.83074,0.0,0.0,0.0,338025.84589999996,338025.84589999996
56.0,519449.4803649999,519449.4803649999,520086.8882339999,0.0,0.0,0.0,637.4078689999878,637.4078689999878
57.0,524028.53233,524028.53233,524083.085886,0.0,0.0,0.0,54.553555999998935,54.553555999998935
53.0,503752.141875,503752.141875,526433.342185,0.0,0.0,0.0,22681.200309999986,22681.200309999986
52.0,491974.19245,491974.19245,536063.20211,0.0,0.0,0.0,44089.00965999998,44089.00965999998
59.0,546460.4938749999,546460.4938749999,549387.380026,0.0,0.0,0.0,2926.8861510000424,2926.8861510000424
55.0,505010.102995,505010.102995,551942.573015,0.0,0.0,0.0,46932.47001999995,46932.47001999995
60.0,553551.7181449999,553551.7181449999,553582.699039,0.0,0.0,0.0,30.980894000036642,30.980894000036642
61.0,554306.44289,554306.44289,554325.4465559999,0.0,0.0,0.0,19.003665999975055,19.003665999975055
65.0,617211.937675,617211.937675,617270.797937,0.0,0.0,0.0,58.86026200000197,58.86026200000197
67.0,630343.9419549999,630343.9419549999,630593.2193110413,3.0,0.0,0.0,249.2773560413625,249.2773560413625
69.0,654116.7747300001,654116.7747300001,654274.0794950001,0.0,0.0,0.0,157.30476500000805,157.30476500000805
70.0,659655.17308,659655.17308,659659.821223,0.0,0.0,0.0,4.648142999969423,4.648142999969423
71.0,672221.63837,672221.63837,672241.6368549999,0.0,0.0,0.0,19.99848499998916,19.99848499998916
64.0,593162.014695,593162.014695,680987.822025,0.0,0.0,0.0,87825.80732999998,87825.80732999998
73.0,694750.2911050001,694750.2911050001,694795.393277,0.0,0.0,0.0,45.10217199998442,45.10217199998442
66.0,629157.0736100001,629157.0736100001,731593.28491,0.0,0.0,0.0,102436.21129999997,102436.21129999997
77.0,734162.9458549998,734162.9458549998,734177.8429189998,0.0,0.0,0.0,14.897064000018872,14.897064000018872
75.0,717849.040645,717849.040645,734581.4283949999,0.0,0.0,0.0,16732.387749999994,16732.387749999994
32.0,327200.98454999994,327200.98454999994,741568.0632499999,0.0,0.0,0.0,414367.07869999995,414367.07869999995
78.0,745106.5302299998,745106.5302299998,745262.1401459998,0.0,0.0,0.0,155.6099160000449,155.6099160000449
76.0,723421.81484,723421.81484,749162.1678501162,1.0,0.0,0.0,25740.353010116145,25740.353010116145
79.0,759766.115035,759766.115035,773451.411715,0.0,0.0,0.0,13685.296680000029,13685.296680000029
80.0,761451.8586849999,761451.8586849999,787133.5984849998,0.0,0.0,0.0,25681.73979999998,25681.73979999998
34.0,338879.691085,338879.691085,808893.9357335002,4.0,0.0,0.0,470014.2446485002,470014.2446485002
83.0,811611.8086199998,811611.8086199998,824477.8643999998,0.0,0.0,0.0,12866.055780000053,12866.055780000053
84.0,813851.03006,813851.03006,856205.9639,0.0,0.0,0.0,42354.933839999954,42354.933839999954
88.0,857436.28298,857436.28298,857936.371328,0.0,0.0,0.0,500.0883479999611,500.0883479999611
92.0,887734.274735,887734.274735,887859.437331,0.0,0.0,0.0,125.16259600000922,125.16259600000922
86.0,844408.7632149998,844408.7632149998,889131.0179449999,0.0,0.0,0.0,44722.254730000044,44722.254730000044
95.0,901858.1387700001,901858.1387700001,901868.5859331345,1.0,1.0,0.0,10.447163134464063,10.447163134464063
96.0,904948.467015,904948.467015,904951.8607079999,0.0,0.0,0.0,3.393692999961786,3.393692999961786
89.0,878938.4872200001,878938.4872200001,911516.5454900002,0.0,0.0,0.0,32578.058270000038,32578.058270000038
97.0,913447.592425,913447.592425,913858.784581,0.0,0.0,0.0,411.1921559999464,411.1921559999464
99.0,917594.85172,917594.85172,917644.6404960001,0.0,0.0,0.0,49.78877600003034,49.78877600003034
100.0,930277.23373,930277.23373,930283.827608,0.0,0.0,0.0,6.593878000043333,6.593878000043333
98.0,916829.659495,916829.659495,931864.6650301777,3.0,0.0,0.0,15035.005535177654,15035.005535177654
62.0,579106.0933300001,579106.0933300001,937290.1954300001,0.0,0.0,0.0,358184.1021,358184.1021
101.0,938512.047575,938512.047575,938590.576623,0.0,0.0,0.0,78.52904799999669,78.52904799999669
103.0,958493.95475,958493.95475,962716.423881,0.0,0.0,0.0,4222.469130999991,4222.469130999991
104.0,962708.35805,962708.35805,962890.7708960001,0.0,0.0,0.0,182.4128460000502,182.4128460000502
106.0,976104.60445,976104.60445,976109.081072,0.0,0.0,0.0,4.476621999987401,4.476621999987401
107.0,988115.653,988115.653,988130.768639,0.0,0.0,0.0,15.115638999966905,15.115638999966905
108.0,988217.11395,988217.11395,990841.0054820001,0.0,0.0,0.0,2623.891532000038,2623.891532000038
109.0,1001017.45385,1001017.45385,1005850.137556,0.0,0.0,0.0,4832.683705999982,4832.683705999982
110.0,1012421.0895,1012421.0895,1015356.247423,0.0,0.0,0.0,2935.15792300005,2935.15792300005
113.0,1023615.49335,1023615.49335,1023627.3396885943,3.0,0.0,0.0,11.846338594332337,11.846338594332337
115.0,1031252.7590000001,1031252.7590000001,1031301.1058380001,0.0,0.0,0.0,48.34683799999766,48.34683799999766
63.0,585030.9426549999,585030.9426549999,1041336.5219549999,0.0,0.0,0.0,456305.5793,456305.5793
85.0,839545.38879,839545.38879,1042029.5306899999,0.0,0.0,0.0,202484.14189999993,202484.14189999993
117.0,1043002.34,1043002.34,1066376.33904,0.0,0.0,0.0,23373.999040000024,23373.999040000024
120.0,1050696.62655,1066376.33904,1071375.112622,0.0,0.0,15679.712490000064,20678.486072000116,4998.773582000053
121.0,1066798.45965,1071375.112622,1071502.6572170001,0.0,0.0,4576.652971999953,4704.197567000054,127.54459500010125
124.0,1085072.0506999998,1085072.0506999998,1085098.1823529997,0.0,0.0,0.0,26.131652999902144,26.131652999902144
125.0,1086657.77835,1086657.77835,1086873.3524830001,0.0,0.0,0.0,215.57413300010376,215.57413300010376
122.0,1069600.2119999998,1071375.5432899576,1087182.0160599325,1.0,0.0,1775.3312899577431,17581.804059932707,15806.472769974964
87.0,849771.860535,849771.860535,1100259.666035,0.0,0.0,0.0,250487.80550000002,250487.80550000002
123.0,1072555.4549,1116349.5589073098,1116493.3193573097,0.0,0.0,43794.10400730977,43937.86445730971,143.76044999994338
126.0,1116348.9216,1116348.9216,1116849.709616,0.0,0.0,0.0,500.7880160000641,500.7880160000641
128.0,1128258.4693,1128258.4693,1128730.1489947634,0.0,0.0,0.0,471.67969476338476,471.67969476338476
102.0,955512.65905,955512.65905,1160126.79645,0.0,0.0,0.0,204614.1374,204614.1374
130.0,1161630.1738,1162067.6164539175,1162270.8498209175,0.0,0.0,437.4426539174747,640.6760209174827,203.233367000008
132.0,1162319.3342,1162319.3342,1162526.1275459998,0.0,0.0,0.0,206.79334599990398,206.79334599990398
133.0,1167670.5569,1170071.7138084422,1170293.2309144423,0.0,0.0,2401.1569084422663,2622.6740144423675,221.5171060001012
134.0,1170071.37695,1170071.37695,1170300.010525,0.0,0.0,0.0,228.6335750001017,228.6335750001017
118.0,1048560.63895,1048560.63895,1172672.87995,0.0,0.0,0.0,124112.24099999992,124112.24099999992
94.0,891149.9707599998,891149.9707599998,1174062.4175599997,0.0,0.0,0.0,282912.4467999999,282912.4467999999
131.0,1162066.88975,1162066.88975,1174822.16842,0.0,0.0,0.0,12755.278669999912,12755.278669999912
135.0,1171562.9234999998,1171562.9234999998,1176975.0211654457,2.0,0.0,0.0,5412.097665445879,5412.097665445879
137.0,1180833.61725,1180833.61725,1180839.241853,0.0,0.0,0.0,5.6246030000038445,5.6246030000038445
136.0,1177216.5084000002,1180834.4997312329,1180884.2663942329,0.0,0.0,3617.9913312327117,3667.7579942326993,49.7666629999876
139.0,1192121.09545,1192121.09545,1197211.822739,0.0,0.0,0.0,5090.72728900006,5090.72728900006
141.0,1216225.6725,1216225.6725,1217245.2261420002,0.0,0.0,0.0,1019.5536420000717,1019.5536420000717
143.0,1230940.0553,1230940.0553,1230987.256929,0.0,0.0,0.0,47.20162900001742,47.20162900001742
127.0,1117242.42415,1117242.42415,1251930.6081500002,0.0,0.0,0.0,134688.18400000012,134688.18400000012
138.0,1185866.3781,1185866.3781,1262943.32034,0.0,0.0,0.0,77076.94224,77076.94224
144.0,1240325.3333,1262943.32034,1265261.4947620002,0.0,0.0,22617.987040000036,24936.161462000106,2318.174422000069
146.0,1248187.1305,1262943.6777090316,1275082.0324190317,0.0,0.0,14756.547209031647,26894.90191903175,12138.354710000101
149.0,1276507.6260999998,1276507.6260999998,1278815.8072475481,0.0,1.0,0.0,2308.18114754837,2308.18114754837
147.0,1273003.43045,1273003.43045,1282421.7329851657,4.0,0.0,0.0,9418.302535165567,9418.302535165567
90.0,886656.3702499998,886656.3702499998,1288784.2909499998,0.0,0.0,0.0,402127.9207,402127.9207
114.0,1024122.22335,1024122.22335,1291924.54225,0.0,0.0,0.0,267802.31889999995,267802.31889999995
150.0,1285814.8235999998,1291924.54225,1292207.6166669999,0.0,0.0,6109.71865000017,6392.793067000108,283.07441699993797
129.0,1154149.06915,1160126.79645,1325322.28975,0.0,0.0,5977.727299999911,171173.22059999988,165195.49329999997
153.0,1305508.29605,1325322.28975,1325360.6966693574,0.0,0.0,19813.99369999999,19852.40061935736,38.40691935736686
148.0,1275587.1653999998,1288784.2909499998,1335323.00283,0.0,0.0,13197.125549999997,59735.83743000007,46538.711880000075
145.0,1242204.5416,1335323.00283,1337994.859795,0.0,0.0,93118.46122999978,95790.31819499983,2671.8569650000427
154.0,1308107.4837,1337994.859795,1338071.20795,0.0,0.0,29887.376094999956,29963.72424999997,76.34815500001423
155.0,1326500.7909,1337995.411541309,1344902.226080309,0.0,0.0,11494.62064130907,18401.435180308996,6906.814538999926
157.0,1359112.78895,1359112.78895,1359430.816283,0.0,0.0,0.0,318.02733299997635,318.02733299997635
158.0,1359370.04515,1359430.816283,1360274.835743,0.0,0.0,60.771133000031114,904.7905930001289,844.0194600000978
160.0,1365435.86545,1365435.86545,1365456.874262,0.0,0.0,0.0,21.00881200004369,21.00881200004369
159.0,1364097.96715,1365436.0100920848,1376427.0893720847,0.0,0.0,1338.0429420848377,12329.122222084785,10991.079279999947
105.0,964658.8743,964658.8743,1397687.242,0.0,0.0,0.0,433028.36770000006,433028.36770000006
164.0,1383225.5891999998,1397687.242,1397728.60217,0.0,0.0,14461.652800000273,14503.012970000273,41.360169999999925
166.0,1392211.02075,1397687.6519792648,1397737.853833265,0.0,0.0,5476.6312292648945,5526.833083264995,50.201854000100866
162.0,1370570.6924,1376427.0893720847,1425646.0048820847,0.0,0.0,5856.396972084651,55075.31248208461,49218.91550999996
116.0,1042847.80445,1042847.80445,1436012.8533451376,10.0,4.0,0.0,393165.0488951375,393165.0488951375
167.0,1426416.3606999996,1436012.8533451376,1439432.7965431376,0.0,0.0,9596.492645137943,13016.435843138024,3419.943198000081
168.0,1434890.77775,1439432.7965431376,1439516.9530191931,1.0,1.0,4542.018793137744,4626.175269193249,84.15647605550475
169.0,1442455.55745,1446806.494032008,1446840.1491890082,0.0,0.0,4350.936582008144,4384.591739008203,33.65515700005926
170.0,1446806.2259,1446806.2259,1446861.285064,0.0,0.0,0.0,55.05916399997659,55.05916399997659
165.0,1386537.96275,1397687.242,1456312.81831,0.0,0.0,11149.279250000138,69774.85556000005,58625.57630999992
171.0,1453905.4229499998,1453905.4229499998,1459503.2256919998,0.0,0.0,0.0,5597.802741999971,5597.802741999971
