cores,time,running_job_len
2.0,0.0,1.0
4.0,1468.9555262499996,2.0
2.0,1539.9190812499996,1.0
5.0,2405.1819123000005,2.0
12.0,4329.3402641,3.0
29.0,7764.62243245,4.0
20.0,7795.63983145,3.0
18.0,8497.339534,2.0
24.0,9592.4854925,3.0
19.0,9604.321161075088,2.0
15.0,16883.720960162238,1.0
22.0,23266.291806,2.0
15.0,23601.185523265012,1.0
27.0,30503.257371499996,2.0
15.0,30513.181522499995,1.0
17.0,39765.4777295,2.0
15.0,41881.3304155,1.0
21.0,45569.0116935,2.0
15.0,46328.7703215,1.0
17.0,58743.561580999994,2.0
20.0,61527.609769,3.0
5.0,64750.51813441913,2.0
8.0,77790.8232735,3.0
5.0,79344.8920725,2.0
20.0,80692.98179800001,3.0
5.0,80727.77263400001,2.0
8.0,90741.77882400001,3.0
28.0,91046.55087949999,4.0
12.0,91054.92217549999,3.0
9.0,93755.055869,2.0
33.0,95334.35915,3.0
36.0,122754.65546,4.0
33.0,123335.41425199999,3.0
35.0,141374.33284000002,4.0
33.0,142566.11539100003,3.0
37.0,144311.868975,4.0
33.0,144327.659348,3.0
9.0,168908.14231000002,2.0
13.0,169446.98484000002,3.0
18.0,171961.72651500002,4.0
13.0,172059.353314,3.0
18.0,176790.299875,4.0
13.0,176830.493765,3.0
11.0,182724.834281,2.0
4.0,193772.89819035205,1.0
7.0,208038.006725,2.0
10.0,210104.743885,3.0
7.0,211012.25183300002,2.0
4.0,215197.56537400003,1.0
29.0,218790.058275,2.0
77.0,225682.23275,3.0
28.0,226921.76568671037,2.0
32.0,237325.209595,3.0
28.0,251585.036315,2.0
32.0,264859.56794000004,3.0
28.0,265153.67799000005,2.0
32.0,281063.061395,3.0
28.0,287215.257531,2.0
31.0,295507.10744500003,3.0
28.0,295547.6018626073,2.0
37.0,327200.98454999994,3.0
41.0,330780.81331,4.0
37.0,331621.69741237164,3.0
59.0,338879.691085,4.0
108.0,367268.459005,5.0
128.0,369581.95819,6.0
130.0,373247.64700000006,7.0
128.0,373908.2236300001,6.0
108.0,378372.00705699995,5.0
84.0,388013.76194999996,4.0
96.0,390364.88931,5.0
100.0,402701.117445,6.0
96.0,404168.18545,5.0
120.0,407536.2364,6.0
96.0,407541.24844399997,5.0
103.0,413442.61335500004,6.0
109.0,414815.51469,7.0
103.0,414917.087733,6.0
96.0,417864.01720700006,5.0
114.0,422244.42596,6.0
96.0,422901.97011,5.0
99.0,426061.20771,6.0
126.0,444802.51378000004,7.0
129.0,444908.80719,8.0
126.0,444914.798916,7.0
99.0,463076.53021000006,6.0
101.0,471948.173925,7.0
103.0,472178.198375,8.0
101.0,473228.770011,7.0
99.0,474508.54253399995,6.0
107.0,477059.70155500004,7.0
110.0,478282.7231,8.0
107.0,478291.010555,7.0
109.0,480949.10396499996,8.0
107.0,481046.582976,7.0
121.0,491974.19245,8.0
123.0,503752.141875,9.0
136.0,504323.97698999994,10.0
123.0,504546.34026499995,9.0
135.0,505010.102995,10.0
131.0,507472.83074,9.0
128.0,514765.66469999996,8.0
130.0,519449.4803649999,9.0
128.0,520086.8882339999,8.0
142.0,524028.53233,9.0
128.0,524083.085886,8.0
126.0,526433.342185,7.0
135.0,531298.1978549999,8.0
121.0,536063.20211,7.0
94.0,539028.637505,6.0
97.0,546460.4938749999,7.0
94.0,549387.380026,6.0
82.0,551942.573015,5.0
84.0,553551.7181449999,6.0
82.0,553582.699039,5.0
111.0,554306.44289,6.0
82.0,554325.4465559999,5.0
84.0,579106.0933300001,6.0
93.0,585030.9426549999,7.0
106.0,593162.014695,8.0
111.0,617211.937675,9.0
106.0,617265.8441872533,8.0
115.0,629157.0736100001,9.0
117.0,630343.9419549999,10.0
115.0,630654.5744694194,9.0
132.0,633288.2693549999,10.0
134.0,654116.7747300001,11.0
132.0,654274.0794950001,10.0
135.0,659655.17308,11.0
132.0,659659.821223,10.0
88.0,661429.482272834,9.0
91.0,672221.63837,10.0
88.0,672241.6368549999,9.0
90.0,675473.9619449999,10.0
84.0,680987.822025,9.0
97.0,694750.2911050001,10.0
84.0,694794.7794667088,9.0
112.0,697994.4653899999,10.0
170.0,717849.040645,11.0
173.0,723421.81484,12.0
168.0,730001.1024809425,11.0
159.0,731593.28491,10.0
181.0,734162.9458549998,11.0
159.0,734177.8429189998,10.0
128.0,734581.4283949999,9.0
119.0,741568.0632499999,8.0
137.0,745106.5302299998,9.0
121.0,745233.709979047,8.0
116.0,759073.606806517,7.0
132.0,759766.115035,8.0
163.0,761451.8586849999,9.0
131.0,767559.2559123782,8.0
147.0,768678.058575,9.0
132.0,787133.5984849998,8.0
119.0,804874.2219609406,7.0
132.0,804982.9917199998,8.0
161.0,811611.8086199998,9.0
167.0,813851.03006,10.0
138.0,821744.3406605241,9.0
157.0,839545.38879,10.0
161.0,844408.7632149998,11.0
151.0,847532.1918072,10.0
155.0,849771.860535,11.0
158.0,857436.28298,12.0
155.0,857936.371328,11.0
158.0,878938.4872200001,12.0
175.0,886656.3702499998,13.0
178.0,887617.58633,14.0
184.0,887734.274735,15.0
189.0,887788.0803599998,16.0
183.0,887859.437331,15.0
179.0,889131.0179449999,14.0
194.0,891149.9707599998,15.0
187.0,897642.3769995013,14.0
198.0,901858.1387700001,15.0
187.0,901871.3567220905,14.0
215.0,904948.467015,15.0
187.0,904951.8607079999,14.0
208.0,913447.592425,15.0
187.0,913858.784581,14.0
190.0,916829.659495,15.0
219.0,917594.85172,16.0
191.0,917644.6404960001,15.0
196.0,930277.23373,16.0
192.0,930283.827608,15.0
187.0,932529.8027937164,14.0
189.0,938512.047575,15.0
187.0,938578.2795089964,14.0
204.0,955512.65905,15.0
213.0,958493.95475,16.0
204.0,961944.3630584204,15.0
220.0,962708.35805,16.0
204.0,962861.4055815181,15.0
216.0,964658.8743,16.0
219.0,976104.60445,17.0
216.0,976109.081072,16.0
218.0,988115.653,17.0
216.0,988130.768639,16.0
218.0,988217.11395,17.0
216.0,990841.0054820001,16.0
218.0,1001017.45385,17.0
219.0,1005850.137556,16.0
224.0,1012421.0895,17.0
227.0,1013096.0588,18.0
222.0,1015356.247423,17.0
238.0,1019590.3082,18.0
256.0,1023615.49335,19.0
256.0,1023617.7031352,19.0
256.0,1023619.5500874415,19.0
232.0,1023623.4704796612,18.0
256.0,1024122.22335,19.0
256.0,1037358.31401,19.0
256.0,1042029.5306899999,19.0
254.0,1042077.8775279999,18.0
256.0,1058084.6851798974,23.0
249.0,1063083.4587618974,22.0
234.0,1081452.2540328894,21.0
256.0,1081452.317148728,23.0
256.0,1081503.3097403927,23.0
241.0,1081575.9785191764,22.0
256.0,1085072.0506999998,23.0
253.0,1085098.1823529997,22.0
256.0,1086657.77835,23.0
256.0,1088238.875876728,23.0
253.0,1086873.3524830001,22.0
234.0,1096442.6274832366,21.0
234.0,1100259.666035,20.0
256.0,1116350.642333566,22.0
226.0,1116494.402783566,21.0
221.0,1116849.709616,20.0
256.0,1117242.42415,21.0
227.0,1117409.1909856484,20.0
256.0,1128258.4693,21.0
256.0,1131045.9366810953,21.0
244.0,1128346.9010184598,20.0
230.0,1141682.1560792453,19.0
256.0,1157628.2976400165,19.0
246.0,1191225.2853182377,18.0
256.0,1191238.7669122212,25.0
256.0,1191288.5335752212,26.0
256.0,1191318.232149121,26.0
256.0,1191290.7834164212,26.0
246.0,1191298.4483110046,25.0
240.0,1191387.444822318,24.0
233.0,1191428.5186852377,23.0
222.0,1191449.9650194834,22.0
219.0,1191460.0796143345,21.0
256.0,1192121.09545,22.0
256.0,1194142.3107964052,22.0
256.0,1194208.29363849,22.0
248.0,1196586.390813417,21.0
246.0,1197927.2229431993,20.0
244.0,1203980.5639882376,19.0
256.0,1216226.2187961212,21.0
254.0,1217245.2261420002,20.0
256.0,1225358.4498930166,20.0
256.0,1255200.0424529496,20.0
247.0,1268365.4758152212,19.0
