cores,time,running_job_len
2.0,0.0,1.0
4.0,773.134487,2.0
2.0,840.8000323778466,1.0
5.0,1265.885217,2.0
19.0,2278.600139,3.0
32.0,4086.6433859999997,4.0
19.0,4117.660785,3.0
27.0,5048.676575,4.0
19.0,5055.852307,3.0
17.0,8497.339534,2.0
10.0,9770.635910195948,1.0
20.0,12245.416738,2.0
10.0,12677.143601,1.0
29.0,16054.345985,2.0
10.0,16064.270136,1.0
13.0,20929.198805,2.0
10.0,22624.71033867249,1.0
19.0,23983.690366,2.0
10.0,24743.448994,1.0
12.0,30917.663988,2.0
18.0,32382.952506999998,3.0
25.0,40942.538563,4.0
22.0,42141.29775055351,3.0
47.0,42469.99042,4.0
22.0,42505.65812192128,3.0
25.0,47758.83096,4.0
57.0,47919.237302999994,5.0
29.0,47927.60859899999,4.0
74.0,50175.978524,5.0
67.0,51409.354988546555,4.0
74.0,64607.713421,5.0
75.0,65188.472213,4.0
77.0,74407.543608,5.0
75.0,75273.10745990036,4.0
79.0,75953.61525399999,5.0
89.0,75969.40562699999,4.0
84.0,83264.3941456264,3.0
89.0,89182.623619,4.0
96.0,90506.171845,5.0
89.0,90603.79864400001,4.0
96.0,93047.526272,5.0
103.0,93087.720162,4.0
85.0,97911.18199896622,3.0
88.0,109493.68775999999,4.0
15.0,109938.7445962142,3.0
22.0,110581.444172,4.0
19.0,111293.41063341174,3.0
12.0,113287.52271684767,2.0
58.0,115152.66226099999,3.0
128.0,118780.12252,4.0
57.0,122463.11952530748,3.0
61.0,124908.00502899999,4.0
57.0,135214.08920415695,3.0
62.0,139399.772593,4.0
57.0,139693.882643,3.0
63.0,147927.927069,4.0
56.0,149843.06419983337,3.0
50.0,154080.123205,2.0
53.0,155530.056557,3.0
50.0,155560.65350379306,2.0
63.0,172211.04449600002,3.0
81.0,174095.16488199998,4.0
76.0,175242.55430199997,3.0
116.0,178357.732144,4.0
128.0,183712.73420320003,4.0
128.0,214287.97255343772,4.0
55.0,250008.37747029724,3.0
128.0,250011.80258121842,9.0
128.0,250281.23470404075,9.0
128.0,250385.82988114923,9.0
128.0,250433.25272712018,9.0
123.0,250501.11581080972,8.0
128.0,250503.05994689045,12.0
124.0,250507.4957033724,11.0
119.0,250662.779343986,10.0
128.0,251084.05346300002,11.0
128.0,251458.50105208045,11.0
126.0,251782.80532942739,10.0
128.0,251798.4596499652,10.0
