id,Arrival,Start,Completion,No_of_expansion,No_of_shrinkage,Wait_time,Turn_around_time,Exe_time
2.0,773.134487,773.134487,844.0980420000001,0.0,0.0,0.0,70.96355500000004,70.96355500000004
1.0,0.0,0.0,3955.059202834244,1.0,0.0,0.0,3955.059202834244,3955.059202834244
5.0,4086.6433859999997,4086.6433859999997,4114.220743292196,2.0,0.0,0.0,27.57735729219621,27.57735729219621
6.0,5048.676575,5048.676575,5060.138031867797,3.0,1.0,0.0,11.461456867796187,11.461456867796187
7.0,12245.416738,12245.416738,12677.143601,0.0,0.0,0.0,431.72686299999987,431.72686299999987
8.0,16054.345985,16054.345985,16066.889936011563,2.0,0.0,0.0,12.543951011562967,12.543951011562967
3.0,1265.885217,1265.885217,18218.170367635208,1.0,1.0,0.0,16952.28515063521,16952.28515063521
9.0,20929.198805,20929.198805,23045.051491,0.0,0.0,0.0,2115.8526859999984,2115.8526859999984
10.0,23983.690366,23983.690366,24743.448994,0.0,0.0,0.0,759.7586279999996,759.7586279999996
13.0,40942.538563,40942.538563,42237.30180964478,2.0,1.0,0.0,1294.7632466447758,1294.7632466447758
14.0,42469.99042,42469.99042,42504.781256,0.0,0.0,0.0,34.79083600000013,34.79083600000013
16.0,47919.237302999994,47919.237302999994,47934.990133150095,2.0,1.0,0.0,15.752830150100635,15.752830150100635
12.0,32382.952506999998,32382.952506999998,64610.398608999996,0.0,0.0,0.0,32227.446101999998,32227.446101999998
18.0,64607.713421,64607.713421,65062.78695050611,3.0,0.0,0.0,455.0735295061095,455.0735295061095
19.0,74407.543608,74407.543608,75599.326159,0.0,0.0,0.0,1191.7825509999966,1191.7825509999966
20.0,75953.61525399999,75953.61525399999,75967.55624376479,2.0,0.0,0.0,13.940989764800179,13.940989764800179
22.0,90506.171845,109493.83319740808,109591.45999640808,0.0,0.0,18987.661352408075,19085.28815140808,97.62679900000512
23.0,93047.526272,109591.45999640808,109631.65388640808,0.0,0.0,16543.93372440808,16584.127614408077,40.19388999999501
25.0,110581.444172,110581.444172,111311.45943271452,2.0,0.0,0.0,730.0152607145137,730.0152607145137
17.0,50175.978524,50175.978524,113442.98815906876,1.0,0.0,0.0,63267.00963506876,63267.00963506876
24.0,109493.68775999999,109493.68775999999,115821.32824998375,1.0,0.0,0.0,6327.640489983765,6327.640489983765
11.0,30917.663988,30917.663988,120699.7563589479,3.0,0.0,0.0,89782.0923709479,89782.0923709479
26.0,115152.66226099999,115152.66226099999,122940.25818663325,2.0,0.0,0.0,7787.595925633257,7787.595925633257
4.0,2278.600139,2278.600139,125483.828337,0.0,0.0,0.0,123205.228198,123205.228198
28.0,124908.00502899999,124908.00502899999,139167.831749,0.0,0.0,0.0,14259.826720000012,14259.826720000012
29.0,139399.772593,139399.772593,139641.40677394235,2.0,1.0,0.0,241.63418094234657,241.63418094234657
30.0,147927.927069,147927.927069,154080.123205,0.0,0.0,0.0,6152.196136000013,6152.196136000013
31.0,155530.056557,155530.056557,155566.32219079186,1.0,1.0,0.0,36.26563379185973,36.26563379185973
15.0,47758.83096,47758.83096,160356.35152979897,3.0,2.0,0.0,112597.52056979897,112597.52056979897
33.0,174095.16488199998,174095.16488199998,175242.55430199997,0.0,0.0,0.0,1147.3894199999922,1147.3894199999922
37.0,196446.12998199998,217726.39081582997,218220.58867127617,2.0,0.0,21280.26083382999,21774.458689276187,494.1978554461966
39.0,211947.956526,217726.39081582997,218827.6495025128,2.0,0.0,5778.43428982998,6879.692976512801,1101.2586866828206
42.0,218323.95509099998,218827.6495025128,218929.2225455128,0.0,0.0,503.69441151281353,605.2674545128248,101.57304300001124
41.0,217601.37545100003,217726.39081582997,224652.16535232513,0.0,0.0,125.01536482994561,7050.789901325101,6925.774536495155
46.0,234162.530106,234162.530106,234168.521832,0.0,0.0,0.0,5.991726000007475,5.991726000007475
47.0,248393.775737,248393.775737,249321.29384693652,3.0,0.0,0.0,927.5181099365291,927.5181099365291
48.0,248514.841231,249321.29384693652,251651.63800593652,0.0,0.0,806.4526159365196,3136.79677493652,2330.344159
50.0,251727.748988,251727.748988,251740.12019315682,0.0,0.0,0.0,12.37120515681454,12.37120515681454
51.0,253131.10735700003,253131.10735700003,253203.50899346647,3.0,0.0,0.0,72.40163646644214,72.40163646644214
27.0,118780.12252,122940.25818663325,276248.7547582544,1.0,1.0,4160.135666633243,157468.6322382544,153308.49657162116
56.0,273394.463327,276248.7547582544,276761.98608105193,2.0,0.0,2854.2914312544162,3367.5227540519554,513.2313227975392
53.0,265132.706259,265132.706259,287813.906566,0.0,0.0,0.0,22681.20030700002,22681.20030700002
59.0,287610.786265,287610.786265,290537.672416,0.0,0.0,0.0,2926.8861509999842,2926.8861509999842
60.0,291343.00957,291343.00957,291367.44940414466,2.0,0.0,0.0,24.43983414466493,24.43983414466493
44.0,224242.740902,224242.740902,312947.197888,0.0,0.0,0.0,88704.456986,88704.456986
21.0,89182.623619,89182.623619,314445.5388185992,10.0,17.0,0.0,225262.91519959917,225262.91519959917
32.0,172211.04449600002,172211.04449600002,640987.6570704471,4.0,3.0,0.0,468776.61257444706,468776.61257444706
69.0,344271.986706,640988.3556017854,641145.6603667854,0.0,0.0,296716.36889578536,296873.67366078537,157.30476500000805
67.0,331759.969475,640987.6570704471,641318.1285154471,0.0,0.0,309227.6875954471,309558.15904044715,330.47144500003196
62.0,304792.680687,304792.680687,662976.782781,0.0,0.0,0.0,358184.10209400003,358184.10209400003
101.0,493953.709262,662976.782781,663055.311829,0.0,0.0,169023.07351900003,169101.60256700002,78.52904799999669
107.0,520060.869832,663055.311829,663077.9030198214,0.0,0.0,142994.44199700002,143017.0331878214,22.591190821374767
108.0,520114.270688,663077.9030198214,665701.7945518214,0.0,0.0,142963.63233182137,145587.5238638214,2623.891532000038
109.0,526851.291714,665701.7945518214,670534.4782578214,0.0,0.0,138850.50283782138,143683.18654382136,4832.683705999982
115.0,542764.60978,670534.4782578214,670582.8250958214,0.0,0.0,127769.86847782135,127818.21531582135,48.34683799999766
89.0,462599.203777,641145.6603667854,689785.6582977449,0.0,0.0,178546.45658978535,227186.4545207449,48639.997930959566
131.0,611614.152344,689785.6582977449,702540.9369627449,0.0,0.0,78171.50595374499,90926.78461874498,12755.27866499999
134.0,615827.0404609999,702540.9369627449,702882.8396280394,0.0,0.0,86713.89650174498,87055.79916703945,341.902665294474
135.0,616612.0650640001,702882.8396280394,710145.7120200394,0.0,0.0,86270.77456403931,93533.64695603936,7262.872392000048
141.0,640118.7750029999,710145.7120200394,711165.2656620394,0.0,0.0,70026.93701703951,71046.49065903947,1019.5536419999553
143.0,647863.186808,711165.2656620394,711212.4672910394,0.0,0.0,63302.07885403943,63349.280483039445,47.20162900001742
118.0,551874.020367,670582.8250958214,856221.3765013397,0.0,0.0,118708.80472882139,304347.3561343397,185638.55140551832
171.0,765213.38039,856221.3765013397,861819.1792433397,0.0,0.0,91007.99611133977,96605.79885333974,5597.802741999971
172.0,775465.620955,861819.1792433397,864479.1606233397,0.0,0.0,86353.55828833964,89013.53966833965,2659.981380000012
178.0,809003.97755,864479.1606233397,864540.5721259746,0.0,0.0,55475.18307333975,55536.594575974625,61.411502634873614
185.0,845954.177826,864540.5721259746,864656.1638179746,0.0,0.0,18586.39429997455,18701.985991974594,115.59169200004544
34.0,178357.732144,276248.7547582544,882845.9406212544,0.0,0.0,97891.02261425438,704488.2084772544,606597.185863
65.0,324848.388233,882845.9406212544,882892.5468544284,3.0,0.0,557997.5523882543,558044.1586214283,46.60623317398131
70.0,347186.933175,882893.1739278714,882897.8220708714,0.0,0.0,535706.2407528714,535710.8888958714,4.648142999969423
71.0,353800.862277,882894.4528822257,882911.9644501542,1.0,0.0,529093.5906052258,529111.1021731542,17.511567928479053
54.0,265433.672094,882892.5468544284,883240.7709882255,0.0,0.0,617458.8747604284,617807.0988942254,348.22413379710633
36.0,194516.820122,882845.9406212544,896180.5281863534,2.0,6.0,688329.1204992544,701663.7080643533,13334.587565099006
57.0,275804.49070900003,896180.5281863534,896235.0817423534,0.0,0.0,620376.0374773534,620430.5910333534,54.553555999998935
76.0,380748.323594,882911.9644501542,916111.9394162836,2.0,0.0,502163.6408561542,535363.6158222836,33199.974966129404
88.0,451282.254192,916113.1169114837,916613.2052594837,0.0,0.0,464830.8627194837,465330.95106748363,500.0883479999611
55.0,265794.791062,883240.7709882255,957296.6788072335,0.0,0.0,617445.9799262255,691501.8877452335,74055.90781900799
84.0,428342.64741100004,916111.9394162836,958466.8732602836,0.0,0.0,487769.2920052836,530124.2258492836,42354.933843999985
164.0,728013.467971,958467.2151707626,958508.5753407626,0.0,0.0,230453.7471997626,230495.1073697626,41.360169999999925
