cores,time,running_job_len
2.0,0.0,1.0
4.0,773.134487,2.0
2.0,844.0980420000001,1.0
5.0,1265.885217,2.0
19.0,2278.600139,3.0
42.0,4086.6433859999997,4.0
29.0,4117.660785,3.0
37.0,5048.676575,4.0
29.0,5055.852307,3.0
27.0,8497.339534,2.0
20.0,9848.850734211532,1.0
30.0,12245.416738,2.0
20.0,12677.143601,1.0
39.0,16054.345985,2.0
20.0,16064.270136,1.0
23.0,20929.198805,2.0
20.0,23045.051491,1.0
29.0,23983.690366,2.0
20.0,24743.448994,1.0
22.0,30917.663988,2.0
25.0,32382.952506999998,3.0
28.0,40942.538563,4.0
57.0,42469.99042,5.0
50.0,42483.04842857831,4.0
25.0,42504.781256,3.0
28.0,47758.83096,4.0
60.0,47919.237302999994,5.0
32.0,47927.60859899999,4.0
77.0,50175.978524,5.0
80.0,64607.713421,6.0
77.0,64610.398608999996,5.0
74.0,65188.472213,4.0
54.0,65768.98433903848,3.0
56.0,74407.543608,4.0
54.0,75599.326159,3.0
58.0,75953.61525399999,4.0
54.0,75969.40562699999,3.0
59.0,89182.623619,4.0
71.0,90506.171845,5.0
64.0,90603.79864400001,4.0
71.0,93047.526272,5.0
64.0,93087.720162,4.0
67.0,109493.68775999999,5.0
70.0,110581.444172,6.0
67.0,111488.95212,5.0
113.0,115152.66226099999,6.0
110.0,116653.24640899998,5.0
128.0,123749.76168699999,5.0
64.0,124236.57543814198,4.0
68.0,124908.00502899999,5.0
64.0,139167.831749,4.0
69.0,139399.772593,5.0
64.0,139693.882643,4.0
70.0,147927.927069,5.0
63.0,150641.47688366947,4.0
57.0,154080.123205,3.0
55.0,154898.93666200002,2.0
58.0,155530.056557,3.0
55.0,155566.191801,2.0
68.0,172211.04449600002,3.0
73.0,174095.16488199998,4.0
68.0,175242.55430199997,3.0
108.0,178357.732144,4.0
128.0,196446.92927189218,6.0
126.0,197106.70661199998,5.0
128.0,205236.97813889218,5.0
119.0,269397.50647950795,4.0
128.0,269399.1625002842,8.0
123.0,269559.33516385435,7.0
128.0,269561.9442391829,10.0
128.0,269565.32688985433,10.0
128.0,269573.6143448543,10.0
126.0,269659.42325018294,9.0
124.0,270679.7585862842,8.0
128.0,271291.17483223364,8.0
126.0,271890.34446549264,7.0
128.0,273394.463327,8.0
126.0,274346.822522303,7.0
119.0,278205.74581248406,6.0
128.0,286081.290895,7.0
